#PeakID(python identify_motif.py ./ENCODE_processed_files/ETV6_idr.fa ETV6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
418_10	chr1	206673206	206673606	+	1000	671.0	[]	[]	[9.058782]	[109]	[]	[206673396]
418_100	chr2	216109170	216109570	+	1000	293.0	[9.940348, 8.119915]	[102, 135]	[]	[]	[216109368, 216109401]	[]
418_10000	chr1	167935280	167935680	+	860	33.0	[6.9452558]	[136]	[]	[]	[167935500]	[]
418_10001	chr1	168287089	168287489	+	1000	33.0	[]	[]	[7.772714]	[164]	[]	[168287283]
418_10015	chr1	205263604	205264004	+	1000	33.0	[]	[]	[7.881745]	[121]	[]	[205263807]
418_1002	chrX	1478187	1478587	+	1000	93.0	[10.77997]	[131]	[]	[]	[1478414]	[]
418_10020	chr1	210374026	210374426	+	907	33.0	[9.831317]	[88]	[]	[]	[210374213]	[]
418_10024	chr1	223143250	223143650	+	1000	33.0	[]	[]	[8.755716]	[148]	[]	[223143427]
418_1003	chr1	12448806	12449206	+	1000	92.0	[]	[]	[10.77997]	[82]	[]	[12448963]
418_10030	chr1	240576206	240576606	+	1000	33.0	[10.77997]	[108]	[7.881745, 7.772714]	[83, 156]	[240576393]	[240576368, 240576441]
418_10033	chr1	245986517	245986917	+	1000	33.0	[10.77997]	[130]	[]	[]	[245986671]	[]
418_10034	chr1	247111699	247112099	+	561	33.0	[12.8385725]	[185]	[]	[]	[247111932]	[]
418_10037	chr10	5933953	5934353	+	1000	33.0	[]	[]	[7.881745]	[130]	[]	[5934155]
418_10040	chr10	15439512	15439912	+	1000	33.0	[9.831317, 9.058782]	[148, 157]	[]	[]	[15439696, 15439705]	[]
418_10043	chr10	22666457	22666857	+	989	33.0	[]	[]	[6.933092]	[156]	[]	[22666685]
418_10045	chr10	28822629	28823029	+	1000	33.0	[]	[]	[7.881745]	[109]	[]	[28822820]
418_10049	chr10	49164518	49164918	+	1000	33.0	[]	[]	[8.371923]	[153]	[]	[49164730]
418_10053	chr10	69408492	69408892	+	734	33.0	[]	[]	[9.940348]	[140]	[]	[69408705]
418_10055	chr10	73785272	73785672	+	1000	33.0	[]	[]	[7.881745, 6.9452558]	[60, 135]	[]	[73785427, 73785502]
418_1006	chr1	150611464	150611864	+	1000	92.0	[9.058782]	[113]	[]	[]	[150611674]	[]
418_10063	chr10	88986565	88986965	+	699	33.0	[10.77997, 10.77997, 10.77997, 10.77997]	[96, 112, 144, 160]	[]	[]	[88986717, 88986733, 88986765, 88986781]	[]
418_10065	chr10	92829176	92829576	+	994	33.0	[8.755716, 7.881745]	[71, 109]	[]	[]	[92829339, 92829377]	[]
418_10069	chr10	117241842	117242242	+	931	33.0	[]	[]	[6.9452558]	[110]	[]	[117242034]
418_1007	chr1	201578325	201578725	+	1000	92.0	[8.755716]	[117]	[]	[]	[201578539]	[]
418_10073	chr11	11841625	11842025	+	849	33.0	[]	[]	[6.8263144]	[155]	[]	[11841866]
418_10074	chr11	12666914	12667314	+	880	33.0	[10.77997]	[127]	[]	[]	[12667127]	[]
418_1008	chr1	235296696	235297096	+	1000	92.0	[]	[]	[10.77997]	[90]	[]	[235296871]
418_10084	chr11	62467722	62468122	+	1000	33.0	[]	[]	[10.77997]	[133]	[]	[62467923]
418_10086	chr11	63574443	63574843	+	1000	33.0	[]	[]	[8.371923]	[64]	[]	[63574599]
418_10088	chr11	69962265	69962665	+	799	33.0	[]	[]	[10.77997, 8.371923]	[57, 68]	[]	[69962416, 69962427]
418_10089	chr11	74460848	74461248	+	541	33.0	[7.772714]	[189]	[]	[]	[74461090]	[]
418_1009	chr1	236762472	236762872	+	1000	92.0	[12.8385725]	[103]	[]	[]	[236762665]	[]
418_10092	chr11	78039922	78040322	+	1000	33.0	[]	[]	[12.8385725]	[165]	[]	[78040122]
418_10093	chr11	78574528	78574928	+	975	33.0	[]	[]	[9.058782]	[83]	[]	[78574683]
418_10096	chr11	117946872	117947272	+	829	33.0	[9.058782]	[73]	[]	[]	[117947024]	[]
418_10097	chr11	118359422	118359822	+	893	33.0	[12.8385725]	[150]	[12.8385725]	[128]	[118359609]	[118359587]
418_101	chr3	4741457	4741857	+	1000	292.0	[12.8385725]	[68]	[8.371923]	[63]	[4741622]	[4741617]
418_1010	chr10	14181246	14181646	+	1000	92.0	[9.940348]	[125]	[]	[]	[14181445]	[]
418_10100	chr11	126268730	126269130	+	1000	33.0	[9.831317]	[98]	[12.8385725]	[117]	[126268907]	[126268926]
418_10102	chr12	6167844	6168244	+	852	33.0	[]	[]	[8.371923]	[132]	[]	[6168052]
418_10107	chr12	47834679	47835079	+	800	33.0	[10.77997]	[136]	[]	[]	[47834839]	[]
418_1011	chr10	71638741	71639141	+	1000	92.0	[9.058782]	[67]	[]	[]	[71638904]	[]
418_10112	chr12	53441085	53441485	+	1000	33.0	[]	[]	[8.119915]	[158]	[]	[53441269]
418_10116	chr12	57111153	57111553	+	1000	33.0	[]	[]	[6.933092]	[168]	[]	[57111371]
418_10118	chr12	71440835	71441235	+	1000	33.0	[9.058782]	[158]	[]	[]	[71441037]	[]
418_10119	chr12	89709355	89709755	+	1000	33.0	[6.8263144]	[114]	[]	[]	[89709568]	[]
418_1012	chr12	54304316	54304716	+	1000	92.0	[]	[]	[7.881745]	[126]	[]	[54304538]
418_10122	chr12	108561266	108561666	+	929	33.0	[10.77997]	[113]	[]	[]	[108561433]	[]
418_10127	chr12	121794250	121794650	+	962	33.0	[]	[]	[8.371923]	[98]	[]	[121794412]
418_10130	chr12	124391302	124391702	+	1000	33.0	[]	[]	[10.77997]	[114]	[]	[124391471]
418_10132	chr13	20993540	20993940	+	602	33.0	[9.058782]	[104]	[7.881745]	[111]	[20993711]	[20993718]
418_10133	chr13	41004815	41005215	+	1000	33.0	[7.881745]	[147]	[]	[]	[41005031]	[]
418_10137	chr13	107904848	107905248	+	914	33.0	[7.772714]	[152]	[]	[]	[107905046]	[]
418_10139	chr14	49999162	49999562	+	981	33.0	[10.77997]	[124]	[]	[]	[49999386]	[]
418_10141	chr14	58192079	58192479	+	853	33.0	[10.77997]	[136]	[]	[]	[58192268]	[]
