#PeakID(python identify_motif.py ./ENCODE_processed_files/ELF4_idr.fa ELF4 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
765_10	chr6	136250129	136250529	+	1000	663.5	[]	[]	[12.054617, 12.054617]	[62, 84]	[]	[136250290, 136250312]
765_100	chr16	28491919	28492319	+	1000	386.5	[]	[]	[18.177921]	[103]	[]	[28492121]
765_10002	chr5	68460172	68460572	+	1000	35.5	[5.980667]	[142]	[5.484291]	[121]	[68460379]	[68460358]
765_10004	chr5	108728818	108729218	+	872	35.5	[6.328198]	[77]	[5.4437294]	[102]	[108728977]	[108729002]
765_10007	chr5	149730826	149731226	+	1000	35.5	[]	[]	[8.144602]	[110]	[]	[149731011]
765_1001	chr9	128067243	128067643	+	1000	153.0	[]	[]	[7.5872273]	[72]	[]	[128067412]
765_10010	chr6	13702787	13703187	+	1000	35.5	[]	[]	[8.093627]	[124]	[]	[13702995]
765_10012	chr6	28079778	28080178	+	998	35.5	[]	[]	[8.093627]	[98]	[]	[28079942]
765_10017	chr6	144123939	144124339	+	810	35.5	[]	[]	[5.133758]	[149]	[]	[144124100]
765_10018	chr6	146881570	146881970	+	1000	35.5	[]	[]	[8.2169, 5.3917227]	[129, 135]	[]	[146881764, 146881770]
765_10019	chr6	156780040	156780440	+	1000	35.5	[]	[]	[5.084207]	[129]	[]	[156780240]
765_1002	chr1	161021291	161021691	+	1000	152.5	[7.648226]	[111]	[]	[]	[161021491]	[]
765_10021	chr7	26091942	26092342	+	1000	35.5	[12.04467]	[125]	[]	[]	[26092158]	[]
765_10022	chr7	38215731	38216131	+	878	35.5	[11.276007]	[151]	[]	[]	[38215974]	[]
765_10025	chr7	75073615	75074015	+	811	35.5	[5.5534124]	[104]	[]	[]	[75073803]	[]
765_10029	chr7	138400443	138400843	+	1000	35.5	[5.2921834]	[142]	[]	[]	[138400658]	[]
765_1003	chr11	57530596	57530996	+	1000	152.5	[6.8156576]	[116]	[16.013987, 9.112072]	[72, 114]	[57530804]	[57530760, 57530802]
765_10030	chr7	150433491	150433891	+	1000	35.5	[]	[]	[5.133758]	[160]	[]	[150433681]
765_10032	chr7	155298766	155299166	+	1000	35.5	[]	[]	[8.713946]	[182]	[]	[155298999]
765_10037	chr8	107336368	107336768	+	1000	35.5	[7.619102]	[125]	[]	[]	[107336586]	[]
765_10038	chr8	143741565	143741965	+	1000	35.5	[12.052997]	[183]	[]	[]	[143741803]	[]
765_10039	chr9	4988538	4988938	+	785	35.5	[]	[]	[14.216931]	[207]	[]	[4988724]
765_1004	chr11	83193463	83193863	+	1000	152.5	[16.005661, 5.588378, 5.2083597]	[97, 123, 143]	[]	[]	[83193654, 83193680, 83193700]	[]
765_10047	chrX	47662189	47662589	+	1000	35.5	[]	[]	[5.9616046]	[107]	[]	[47662351]
765_1005	chr11	95068530	95068930	+	1000	152.5	[]	[]	[8.153599]	[110]	[]	[95068728]
765_10051	chr1	6554377	6554777	+	1000	35.0	[8.180073]	[153]	[7.124477]	[151]	[6554621]	[6554619]
765_10052	chr1	8703442	8703842	+	963	35.0	[9.3151045]	[75]	[]	[]	[8703603]	[]
765_10053	chr1	11707059	11707459	+	600	35.0	[11.206088]	[201]	[]	[]	[11707248]	[]
765_10054	chr1	11785598	11785998	+	1000	35.0	[]	[]	[7.619102]	[207]	[]	[11785820]
765_10056	chr1	23914185	23914585	+	890	35.0	[]	[]	[12.04467]	[110]	[]	[23914395]
765_10057	chr1	25978324	25978724	+	843	35.0	[]	[]	[8.144602]	[119]	[]	[25978521]
765_1006	chr14	21383846	21384246	+	1000	152.5	[18.177921]	[88]	[14.28685]	[122]	[21384024]	[21384058]
765_10063	chr1	51296863	51297263	+	959	35.0	[9.284557]	[128]	[10.346185]	[126]	[51297058]	[51297056]
765_10065	chr1	52841792	52842192	+	815	35.0	[8.093627]	[119]	[]	[]	[52841947]	[]
765_10069	chr1	170074337	170074737	+	1000	35.0	[]	[]	[10.5791]	[96]	[]	[170074524]
765_1007	chr2	223957203	223957603	+	1000	152.5	[]	[]	[4.9825897, 8.095051, 5.7843447]	[81, 88, 95]	[]	[223957383, 223957390, 223957397]
765_10070	chr1	171753664	171754064	+	1000	35.0	[6.9453773]	[110]	[]	[]	[171753832]	[]
765_10071	chr1	173603312	173603712	+	1000	35.0	[]	[]	[6.6380987]	[183]	[]	[173603475]
765_10073	chr1	228085376	228085776	+	1000	35.0	[]	[]	[5.822973]	[134]	[]	[228085549]
765_10079	chr10	17472852	17473252	+	1000	35.0	[6.61811, 11.621676]	[77, 110]	[]	[]	[17473024, 17473057]	[]
765_10080	chr10	22316461	22316861	+	1000	35.0	[8.93221]	[104]	[]	[]	[22316652]	[]
765_10086	chr10	74176308	74176708	+	1000	35.0	[]	[]	[5.1966815]	[205]	[]	[74176530]
765_10087	chr10	97648958	97649358	+	928	35.0	[9.042153]	[75]	[]	[]	[97649126]	[]
765_1009	chr21	36060125	36060525	+	1000	152.5	[18.177921]	[101]	[]	[]	[36060324]	[]
765_10090	chr10	117187310	117187710	+	678	35.0	[10.760686]	[134]	[]	[]	[117187516]	[]
765_10098	chr11	102476847	102477247	+	1000	35.0	[]	[]	[14.216931]	[104]	[]	[102477038]
765_101	chr19	41859608	41860008	+	1000	385.5	[]	[]	[9.922594]	[144]	[]	[41859832]
765_10103	chr12	53508566	53508966	+	1000	35.0	[5.836276]	[210]	[]	[]	[53508796]	[]
765_10108	chr12	121712385	121712785	+	1000	35.0	[]	[]	[5.980667]	[123]	[]	[121712557]
765_10109	chr12	126953529	126953929	+	1000	35.0	[6.4070063]	[137]	[9.282794]	[71]	[126953748]	[126953682]
765_1011	chr3	44439765	44440165	+	1000	152.5	[8.93221]	[124]	[]	[]	[44439953]	[]
765_10111	chr13	42259530	42259930	+	997	35.0	[8.948737]	[169]	[]	[]	[42259767]	[]
765_10113	chr14	24147055	24147455	+	820	35.0	[10.490778]	[141]	[]	[]	[24147273]	[]
765_10114	chr14	55271018	55271418	+	773	35.0	[]	[]	[5.694821]	[142]	[]	[55271253]
765_1012	chr4	37001584	37001984	+	1000	152.5	[8.649346]	[105]	[]	[]	[37001760]	[]
765_10120	chr15	81092162	81092562	+	1000	35.0	[12.052997]	[99]	[]	[]	[81092318]	[]
765_10121	chr15	90895756	90896156	+	790	35.0	[7.378318]	[62]	[]	[]	[90895916]	[]
765_10123	chr16	970685	971085	+	982	35.0	[]	[]	[5.5368857]	[148]	[]	[970923]
765_10124	chr16	1772958	1773358	+	587	35.0	[9.922594, 6.8373966, 6.0315228]	[97, 107, 149]	[]	[]	[1773145, 1773155, 1773197]	[]
765_10127	chr16	30598239	30598639	+	1000	35.0	[8.153599]	[115]	[]	[]	[30598407]	[]
765_10128	chr16	69131750	69132150	+	866	35.0	[5.9196777]	[181]	[4.703615]	[212]	[69131968]	[69131999]
765_1013	chr1	52404378	52404778	+	1000	152.0	[]	[]	[5.061463, 6.3277173]	[122, 196]	[]	[52404538, 52404612]
765_10131	chr17	28268180	28268580	+	598	35.0	[]	[]	[13.675034]	[80]	[]	[28268359]
765_10135	chr19	2056357	2056757	+	1000	35.0	[7.541783]	[77]	[]	[]	[2056509]	[]
765_10143	chr19	42270278	42270678	+	665	35.0	[]	[]	[4.9088664]	[125]	[]	[42270467]
765_10146	chr2	64144288	64144688	+	1000	35.0	[5.1209664]	[163]	[]	[]	[64144493]	[]
765_10149	chr2	96895042	96895442	+	1000	35.0	[]	[]	[6.031513]	[134]	[]	[96895267]
765_10151	chr2	170845333	170845733	+	980	35.0	[16.013987]	[149]	[10.099592]	[146]	[170845557]	[170845554]
765_10155	chr2	207960147	207960547	+	667	35.0	[5.151082, 5.151082]	[148, 195]	[]	[]	[207960344, 207960391]	[]
765_10157	chr2	242088476	242088876	+	1000	35.0	[]	[]	[12.557741]	[116]	[]	[242088684]
765_10159	chr20	17966114	17966514	+	583	35.0	[12.8932]	[127]	[]	[]	[17966313]	[]
765_1016	chr19	52786593	52786993	+	1000	152.0	[]	[]	[14.28685]	[116]	[]	[52786764]
765_10165	chr21	39351278	39351678	+	1000	35.0	[]	[]	[10.32586]	[111]	[]	[39351488]
765_1017	chr19	58554872	58555272	+	1000	152.0	[]	[]	[6.773119]	[164]	[]	[58555095]
765_10174	chr3	47250541	47250941	+	1000	35.0	[]	[]	[4.706161]	[201]	[]	[47250752]
765_10175	chr3	52686065	52686465	+	963	35.0	[]	[]	[9.714044]	[110]	[]	[52686240]
765_10176	chr3	115658732	115659132	+	1000	35.0	[]	[]	[11.190916]	[122]	[]	[115658934]
765_10177	chr3	122679096	122679496	+	1000	35.0	[]	[]	[5.9822874]	[94]	[]	[122679264]
765_10179	chr3	129120564	129120964	+	1000	35.0	[5.419707]	[104]	[11.206088]	[154]	[129120762]	[129120812]
765_1018	chr22	39520079	39520479	+	1000	152.0	[9.018655]	[88]	[]	[]	[39520263]	[]
765_10182	chr4	83252773	83253173	+	966	35.0	[8.144602]	[87]	[]	[]	[83252959]	[]
765_10183	chr4	108167553	108167953	+	811	35.0	[]	[]	[12.77135]	[148]	[]	[108167718]
765_10185	chr5	34838909	34839309	+	1000	35.0	[16.005661]	[81]	[]	[]	[34839086]	[]
765_10188	chr5	41925636	41926036	+	927	35.0	[]	[]	[5.929869]	[97]	[]	[41925810]
765_10189	chr5	42950612	42951012	+	1000	35.0	[11.990436]	[90]	[]	[]	[42950796]	[]
765_10192	chr5	119324171	119324571	+	970	35.0	[]	[]	[5.694821]	[142]	[]	[119324342]
765_10194	chr5	134176653	134177053	+	1000	35.0	[5.3934865]	[113]	[]	[]	[134176810]	[]
765_10195	chr5	141326141	141326541	+	837	35.0	[6.869615]	[156]	[]	[]	[141326381]	[]
765_10197	chr5	173862191	173862591	+	965	35.0	[7.368371]	[153]	[]	[]	[173862398]	[]
765_102	chr1	25232300	25232700	+	1000	382.5	[]	[]	[12.557741, 7.383167]	[100, 122]	[]	[25232488, 25232510]
765_1020	chr1	212035206	212035606	+	1000	151.5	[]	[]	[6.6380987]	[166]	[]	[212035379]
