#PeakID(python identify_motif.py ./ENCODE_processed_files/NFE2_idr.fa NFE2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
314_1000	chr5	103472846	103473246	+	1000	325.0	[10.383591]	[137]	[8.735081]	[137]	[103473074]	[103473074]
314_10010	chr3	37993767	37994167	+	1000	94.0	[]	[]	[3.9807768]	[112]	[]	[37993973]
314_10019	chr5	56310757	56311157	+	1000	94.0	[11.627113]	[104]	[14.211601]	[104]	[56310917]	[56310917]
314_1002	chr7	107463225	107463625	+	1000	325.0	[4.195397]	[85]	[4.356292]	[85]	[107463407]	[107463407]
314_10022	chr5	167937545	167937945	+	1000	94.0	[8.735081]	[111]	[10.383591]	[111]	[167937751]	[167937751]
314_10023	chr5	175517843	175518243	+	1000	94.0	[16.93431, 10.545787]	[76, 150]	[15.292928, 8.904404]	[76, 150]	[175518017, 175518091]	[175518017, 175518091]
314_10028	chr6	16345542	16345942	+	1000	94.0	[7.646591]	[111]	[5.0621037]	[111]	[16345750]	[16345750]
314_10029	chr6	24428596	24428996	+	1000	94.0	[]	[]	[3.8107421]	[99]	[]	[24428792]
314_10045	chr8	38912669	38913069	+	1000	94.0	[6.7177763]	[121]	[6.01237]	[121]	[38912874]	[38912874]
314_10046	chr8	42392349	42392749	+	1000	94.0	[]	[]	[3.7968774]	[119]	[]	[42392563]
314_10074	chr1	244137686	244138086	+	1000	93.0	[]	[]	[3.7968774]	[100]	[]	[244137885]
314_10075	chr1	245621550	245621950	+	1000	93.0	[7.6537538]	[116]	[5.076393]	[116]	[245621755]	[245621755]
314_10076	chr1	245986852	245987252	+	1000	93.0	[12.570218]	[63]	[13.2684965]	[63]	[245987014]	[245987014]
314_10077	chr10	16944522	16944922	+	1000	93.0	[8.735081]	[111]	[10.383591]	[111]	[16944718]	[16944718]
314_1008	chr15	91536787	91537187	+	1000	324.0	[8.735081]	[111]	[10.383591]	[111]	[91536996]	[91536996]
314_10082	chr11	46380319	46380719	+	1000	93.0	[6.7177763]	[112]	[6.01237]	[112]	[46380524]	[46380524]
314_10091	chr12	93078572	93078972	+	1000	93.0	[8.735081]	[104]	[10.383591]	[104]	[93078775]	[93078775]
314_10095	chr12	132622506	132622906	+	1000	93.0	[10.383591]	[100]	[8.735081]	[100]	[132622705]	[132622705]
314_10109	chr17	7842887	7843287	+	1000	93.0	[]	[]	[3.825743]	[102]	[]	[7843078]
314_10114	chr18	267949	268349	+	1000	93.0	[]	[]	[3.825743]	[183]	[]	[268194]
314_10122	chr2	9914623	9915023	+	1000	93.0	[8.904404]	[98]	[10.545787]	[98]	[9914811]	[9914811]
314_10127	chr2	178258944	178259344	+	1000	93.0	[8.735081]	[106]	[10.383591]	[106]	[178259149]	[178259149]
314_1013	chr6	31969583	31969983	+	1000	324.0	[10.383591]	[108]	[8.735081]	[108]	[31969784]	[31969784]
314_10130	chr20	1325154	1325554	+	1000	93.0	[4.0162387]	[147]	[]	[]	[1325394]	[]
314_10143	chr3	108387052	108387452	+	1000	93.0	[10.383591]	[114]	[8.735081]	[114]	[108387258]	[108387258]
314_10146	chr3	160565996	160566396	+	1000	93.0	[4.261176]	[99]	[4.399592]	[99]	[160566188]	[160566188]
314_10155	chr4	113584783	113585183	+	1000	93.0	[6.01237]	[91]	[6.7177763]	[91]	[113584969]	[113584969]
314_1016	chr11	67583555	67583955	+	1000	323.0	[6.7177763]	[95]	[6.01237]	[95]	[67583745]	[67583745]
314_10161	chr6	1630685	1631085	+	1000	93.0	[10.376464]	[107]	[8.742208]	[107]	[1630889]	[1630889]
314_10189	chr8	58104604	58105004	+	1000	93.0	[10.383591]	[95]	[8.735081]	[95]	[58104789]	[58104789]
314_10191	chr8	128149980	128150380	+	1000	93.0	[12.570218]	[92]	[13.2684965]	[92]	[128150169]	[128150169]
314_10197	chrX	108036375	108036775	+	1000	93.0	[10.376464]	[107]	[8.742208]	[107]	[108036582]	[108036582]
314_10207	chr1	93567407	93567807	+	1000	92.0	[8.811605]	[137]	[10.310684]	[137]	[93567629]	[93567629]
314_10208	chr1	113904615	113905015	+	1000	92.0	[8.742208]	[98]	[10.376464]	[98]	[113904809]	[113904809]
314_1021	chr6	3442699	3443099	+	1000	323.0	[6.7177763]	[89]	[6.01237]	[89]	[3442888]	[3442888]
314_10214	chr1	203733221	203733621	+	1000	92.0	[5.0034866, 4.217658]	[93, 110]	[7.587974, 4.406684]	[93, 110]	[203733401, 203733418]	[203733401, 203733418]
314_10216	chr1	212488678	212489078	+	1000	92.0	[5.0034866]	[66]	[7.6102357]	[66]	[212488829]	[212488829]
