#PeakID(python scan_motif.py ./ENCODE_processed_files/RREB1_idr.fa RREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
874_1	chrM	12207	12607	+	1000	1013.0	[3.344858]	[193]	[]	[]	[12409]	[]
874_10003	chr5	134874302	134874702	+	1000	38.0	[]	[]	[1.9763261, 6.6043897]	[96, 131]	[]	[134874492, 134874527]
874_10007	chr5	177428057	177428457	+	1000	38.0	[]	[]	[7.336976]	[119]	[]	[177428214]
874_1001	chr7	73587772	73588172	+	1000	70.0	[]	[]	[8.274291]	[143]	[]	[73588006]
874_10010	chr6	14464021	14464421	+	1000	38.0	[3.4012365, 10.628754, 2.7746134, 16.94799]	[116, 123, 125, 126]	[]	[]	[14464185, 14464192, 14464194, 14464195]	[]
874_10012	chr6	20409706	20410106	+	970	38.0	[4.7813997]	[87]	[]	[]	[20409860]	[]
874_10019	chr6	31598434	31598834	+	1000	38.0	[1.7302203, 2.4813392]	[186, 191]	[]	[]	[31598624, 31598629]	[]
874_10021	chr6	32048197	32048597	+	1000	38.0	[1.8128216]	[99]	[]	[]	[32048348]	[]
874_10022	chr6	33571041	33571441	+	1000	38.0	[12.094246]	[212]	[]	[]	[33571282]	[]
874_10023	chr6	35726284	35726684	+	1000	38.0	[3.3316848, 10.983465, 4.3252535]	[175, 177, 179]	[15.15118, 6.5947657, 3.956119, 2.765144]	[116, 118, 119, 121]	[35726531, 35726533, 35726535]	[35726472, 35726474, 35726475, 35726477]
874_10024	chr6	43013315	43013715	+	1000	38.0	[2.8927171, 2.6316926]	[151, 152]	[]	[]	[43013515, 43013516]	[]
874_10026	chr6	50030737	50031137	+	1000	38.0	[8.642218, 2.9568896]	[156, 157]	[]	[]	[50030941, 50030942]	[]
874_10028	chr6	83132109	83132509	+	1000	38.0	[4.1698666, 3.3316848]	[189, 191]	[]	[]	[83132358, 83132360]	[]
874_10032	chr6	136425993	136426393	+	1000	38.0	[4.086534]	[192]	[]	[]	[136426215]	[]
874_10038	chr7	36217420	36217820	+	1000	38.0	[4.55573]	[151]	[5.1836233]	[114]	[36217648]	[36217611]
874_10040	chr7	43758206	43758606	+	780	38.0	[7.2736855, 12.632442, 3.6324492, 8.39913, 6.684256, 13.764148, 3.767643, 3.5259714, 7.524204]	[179, 182, 183, 184, 185, 186, 189, 191, 193]	[]	[]	[43758419, 43758422, 43758423, 43758424, 43758425, 43758426, 43758429, 43758431, 43758433]	[]
874_10041	chr7	50450170	50450570	+	1000	38.0	[]	[]	[2.1186657, 2.1186657]	[151, 159]	[]	[50450397, 50450405]
874_10043	chr7	96709407	96709807	+	1000	38.0	[3.2430575]	[198]	[]	[]	[96709617]	[]
874_10047	chr7	100612483	100612883	+	983	38.0	[1.7125633, 2.2514043]	[204, 205]	[]	[]	[100612712, 100612713]	[]
874_1006	chr1	201578412	201578812	+	1000	69.5	[]	[]	[1.6449046]	[160]	[]	[201578649]
874_10060	chr7	151782797	151783197	+	1000	38.0	[5.6684904]	[152]	[]	[]	[151782997]	[]
874_1008	chr1	207321068	207321468	+	1000	69.5	[7.91669, 3.2811625]	[84, 86]	[]	[]	[207321237, 207321239]	[]
874_10083	chr9	128786948	128787348	+	1000	38.0	[]	[]	[2.5230017]	[155]	[]	[128787196]
874_10084	chr9	129176888	129177288	+	1000	38.0	[6.8188224]	[163]	[]	[]	[129177087]	[]
874_10086	chr9	131221639	131222039	+	1000	38.0	[1.7644244, 6.3308992, 6.8196006, 3.4814107, 7.1059365, 6.5462646, 6.2282557, 4.654734, 2.0271504, 4.115423, 9.9829235, 4.7074995]	[180, 186, 187, 188, 190, 193, 194, 195, 196, 197, 199, 200]	[]	[]	[131221827, 131221833, 131221834, 131221835, 131221837, 131221840, 131221841, 131221842, 131221843, 131221844, 131221846, 131221847]	[]
874_10089	chr9	136992319	136992719	+	816	38.0	[]	[]	[6.582454]	[141]	[]	[136992559]
874_1009	chr1	224183177	224183577	+	1000	69.5	[5.289261]	[172]	[]	[]	[224183377]	[]
874_10090	chrUn_GL000224v1	22159	22559	+	938	38.0	[]	[]	[4.357198, 4.27081, 1.8128216, 4.713741]	[87, 90, 95, 135]	[]	[22342, 22345, 22350, 22390]
874_10091	chrUn_KI270411v1	478	878	+	708	38.0	[6.392602]	[109]	[]	[]	[685]	[]
874_10095	chrX	153927588	153927988	+	1000	38.0	[3.3468022]	[106]	[]	[]	[153927794]	[]
874_10096	chrX	154428537	154428937	+	1000	38.0	[]	[]	[2.7870793]	[155]	[]	[154428778]
874_10104	chr1	16443906	16444306	+	1000	37.5	[3.5454593]	[139]	[]	[]	[16444140]	[]
874_10106	chr1	20187148	20187548	+	1000	37.5	[]	[]	[7.914263, 2.0990539, 8.304175]	[113, 114, 117]	[]	[20187336, 20187337, 20187340]
874_10107	chr1	20486305	20486705	+	595	37.5	[]	[]	[4.1489425, 6.028111, 6.09218, 7.6084185]	[75, 76, 77, 78]	[]	[20486457, 20486458, 20486459, 20486460]
874_10118	chr1	46173377	46173777	+	1000	37.5	[]	[]	[4.890142]	[174]	[]	[46173623]
874_10120	chr1	52697877	52698277	+	1000	37.5	[1.8453299]	[136]	[]	[]	[52698072]	[]
874_10121	chr1	54405138	54405538	+	1000	37.5	[6.5443716, 3.4827232, 6.5022383]	[132, 133, 136]	[]	[]	[54405364, 54405365, 54405368]	[]
874_10124	chr1	109792118	109792518	+	1000	37.5	[]	[]	[2.301308]	[101]	[]	[109792310]
874_10129	chr1	153566592	153566992	+	1000	37.5	[5.1634774, 8.410367]	[138, 231]	[]	[]	[153566744, 153566837]	[]
874_10131	chr1	156054773	156055173	+	773	37.5	[]	[]	[7.7455053]	[159]	[]	[156055018]
874_10133	chr1	156816769	156817169	+	1000	37.5	[2.1115198, 3.8516605]	[245, 247]	[]	[]	[156817017, 156817019]	[]
874_10135	chr1	173824655	173825055	+	951	37.5	[]	[]	[2.9774017]	[145]	[]	[173824888]
874_10136	chr1	180610220	180610620	+	1000	37.5	[2.7782745, 4.8772454]	[111, 116]	[]	[]	[180610376, 180610381]	[]
874_1014	chr19	32686835	32687235	+	1000	69.5	[2.7537928]	[76]	[]	[]	[32686986]	[]
874_10144	chr1	212635635	212636035	+	1000	37.5	[]	[]	[10.289779, 4.8454685, 6.0922837, 14.8605995, 6.784984]	[189, 191, 196, 197, 198]	[]	[212635871, 212635873, 212635878, 212635879, 212635880]
874_10146	chr1	219088863	219089263	+	1000	37.5	[4.1498246, 2.7870793, 2.5359976, 3.5489657, 9.849472, 2.8292027]	[111, 114, 115, 116, 117, 122]	[]	[]	[219089024, 219089027, 219089028, 219089029, 219089030, 219089035]	[]
874_10156	chr1	244273132	244273532	+	1000	37.5	[]	[]	[5.15043]	[124]	[]	[244273335]
874_10168	chr10	71377122	71377522	+	1000	37.5	[7.357018, 3.5680525]	[202, 203]	[]	[]	[71377335, 71377336]	[]
874_10170	chr10	79114260	79114660	+	1000	37.5	[]	[]	[3.0929234, 2.1186657, 2.5208895, 7.3422284, 4.007244, 7.3422284, 2.1186657, 4.007244, 2.1186657, 7.3422284, 2.1186657, 4.007244, 5.45365, 7.3422284, 7.3422284]	[96, 108, 110, 120, 122, 124, 128, 132, 134, 136, 140, 144, 146, 148, 150]	[]	[79114455, 79114467, 79114469, 79114479, 79114481, 79114483, 79114487, 79114491, 79114493, 79114495, 79114499, 79114503, 79114505, 79114507, 79114509]
874_10176	chr11	3797176	3797576	+	1000	37.5	[]	[]	[5.405149]	[142]	[]	[3797401]
874_10181	chr11	60841739	60842139	+	1000	37.5	[4.0856524, 5.807415, 1.7216073, 13.610381]	[194, 199, 224, 226]	[]	[]	[60841951, 60841956, 60841981, 60841983]	[]
874_10183	chr11	65386624	65387024	+	933	37.5	[6.764942, 9.920748, 2.368863]	[188, 192, 195]	[]	[]	[65386866, 65386870, 65386873]	[]
874_10196	chr11	119356311	119356711	+	955	37.5	[3.4300838]	[120]	[]	[]	[119356530]	[]
874_10199	chr12	47829088	47829488	+	1000	37.5	[2.8927171]	[85]	[]	[]	[47829258]	[]
874_1020	chr22	20116088	20116488	+	1000	69.5	[]	[]	[4.073487, 3.346751, 10.286826, 4.6114855, 4.084641]	[224, 225, 227, 228, 230]	[]	[20116322, 20116323, 20116325, 20116326, 20116328]
874_10200	chr12	50597450	50597850	+	1000	37.5	[]	[]	[2.4910057]	[67]	[]	[50597605]
874_10205	chr12	57229757	57230157	+	936	37.5	[]	[]	[2.301308]	[138]	[]	[57229913]
874_10208	chr12	62248779	62249179	+	1000	37.5	[1.9763261, 3.9877362, 2.4366748]	[162, 164, 166]	[]	[]	[62249025, 62249027, 62249029]	[]
874_10209	chr12	69470290	69470690	+	887	37.5	[]	[]	[2.6910658]	[101]	[]	[69470466]
