#PeakID(python identify_motif.py ./ENCODE_processed_files/FOSL1_idr.fa FOSL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
46_10005	chr6	106548087	106548487	+	1000	85.0	[10.435919]	[125]	[9.98434]	[125]	[106548312]	[106548312]
46_10019	chr7	150367863	150368263	+	1000	85.0	[11.972782]	[129]	[13.811987]	[129]	[150368061]	[150368061]
46_10020	chr8	38405161	38405561	+	1000	85.0	[10.894309, 7.0391154]	[118, 135]	[8.619093, 9.046039]	[118, 135]	[38405374, 38405391]	[38405374, 38405391]
46_10023	chr8	97214649	97215049	+	1000	85.0	[13.335394]	[119]	[10.910327]	[119]	[97214856]	[97214856]
46_10026	chr8	142676053	142676453	+	1000	85.0	[10.158142]	[111]	[12.433358]	[111]	[142676237]	[142676237]
46_10029	chr9	120775805	120776205	+	1000	85.0	[13.811987]	[102]	[11.972782]	[102]	[120775997]	[120775997]
46_10034	chr9	137611810	137612210	+	1000	85.0	[10.894309]	[107]	[8.619093]	[107]	[137612017]	[137612017]
46_10035	chrX	1888266	1888666	+	1000	85.0	[6.770823]	[64]	[9.314332]	[64]	[1888427]	[1888427]
46_10039	chrX	132004653	132005053	+	1000	85.0	[13.351411]	[129]	[15.626627]	[129]	[132004878]	[132004878]
46_1005	chr1	205284682	205285082	+	1000	267.0	[13.811987]	[82]	[11.972782, 7.7565556]	[82, 93]	[205284859]	[205284859, 205284870]
46_10054	chr1	155983508	155983908	+	1000	84.0	[]	[]	[8.227716]	[112]	[]	[155983703]
46_10056	chr1	172948421	172948821	+	1000	84.0	[8.4212055, 8.192566]	[104, 162]	[10.410377]	[104]	[172948607, 172948665]	[172948607]
46_10059	chr1	241998445	241998845	+	1000	84.0	[11.806913]	[106]	[9.245538]	[106]	[241998648]	[241998648]
46_1006	chr15	27454311	27454711	+	1000	267.0	[13.185543]	[138]	[11.060178]	[138]	[27454545]	[27454545]
46_10061	chr10	21184198	21184598	+	1000	84.0	[15.626627]	[102]	[13.351411]	[102]	[21184392]	[21184392]
