#PeakID(python scan_motif.py ./ENCODE_processed_files/NFATC3_idr.fa NFATC3 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
28_10	chr16	46390492	46390892	+	1000	790.5	[]	[]	[7.657809, 7.657809, 7.657809, 7.657809, 7.657809]	[72, 82, 95, 121, 144]	[]	[46390664, 46390674, 46390687, 46390713, 46390736]
28_10003	chr18	3293438	3293838	+	1000	37.5	[]	[]	[10.276439]	[121]	[]	[3293625]
28_10005	chr18	23529636	23530036	+	1000	37.5	[]	[]	[7.657809]	[156]	[]	[23529856]
28_10008	chr19	3986116	3986516	+	1000	37.5	[7.408826]	[209]	[]	[]	[3986332]	[]
28_10009	chr19	4130944	4131344	+	1000	37.5	[]	[]	[10.276439]	[173]	[]	[4131141]
28_1001	chr22	21626690	21627090	+	1000	72.5	[7.657809]	[170]	[7.408826]	[202]	[21626871]	[21626903]
28_10011	chr19	11564273	11564673	+	1000	37.5	[]	[]	[7.657809]	[113]	[]	[11564482]
28_10012	chr19	17261041	17261441	+	1000	37.5	[7.0441737]	[110]	[]	[]	[17261224]	[]
28_10016	chr19	35375303	35375703	+	1000	37.5	[]	[]	[7.408826, 7.408826, 7.408826, 7.408826]	[70, 139, 148, 153]	[]	[35375460, 35375529, 35375538, 35375543]
28_10017	chr19	38900221	38900621	+	1000	37.5	[]	[]	[7.657809]	[148]	[]	[38900446]
28_10020	chr19	44590430	44590830	+	1000	37.5	[7.657809]	[127]	[10.276439]	[142]	[44590649]	[44590664]
28_10022	chr19	45493176	45493576	+	1000	37.5	[7.657809]	[137]	[]	[]	[45493364]	[]
28_10023	chr19	45523491	45523891	+	584	37.5	[]	[]	[7.408826]	[87]	[]	[45523645]
28_10025	chr19	46413682	46414082	+	1000	37.5	[10.276439]	[115]	[]	[]	[46413837]	[]
28_1003	chr4	128177594	128177994	+	1000	72.5	[10.276439]	[137]	[]	[]	[128177807]	[]
28_10032	chr2	39229744	39230144	+	1000	37.5	[]	[]	[7.657809]	[134]	[]	[39229936]
28_10034	chr2	55482160	55482560	+	884	37.5	[10.276439]	[159]	[10.276439]	[71]	[55482407]	[55482319]
28_10036	chr2	70078320	70078720	+	1000	37.5	[]	[]	[10.276439]	[238]	[]	[70078564]
28_10039	chr2	156334804	156335204	+	1000	37.5	[]	[]	[7.408826]	[120]	[]	[156334958]
28_10040	chr2	169109773	169110173	+	1000	37.5	[]	[]	[10.276439]	[154]	[]	[169110019]
28_10045	chr20	3159755	3160155	+	1000	37.5	[10.276439]	[123]	[]	[]	[3159962]	[]
28_1005	chr6	26571596	26571996	+	1000	72.5	[]	[]	[10.276439]	[139]	[]	[26571808]
28_10050	chr20	53162273	53162673	+	1000	37.5	[7.408826]	[120]	[]	[]	[53162449]	[]
28_10052	chr21	14675996	14676396	+	1000	37.5	[]	[]	[7.657809]	[187]	[]	[14676191]
28_10054	chr21	22210237	22210637	+	993	37.5	[7.408826]	[133]	[]	[]	[22210422]	[]
28_10061	chr22	20519251	20519651	+	1000	37.5	[10.276439]	[145]	[]	[]	[20519404]	[]
28_10065	chr22	21085257	21085657	+	1000	37.5	[]	[]	[7.0441737]	[137]	[]	[21085476]
28_1007	chr6	30872593	30872993	+	1000	72.5	[7.0441737, 7.408826]	[135, 143]	[]	[]	[30872816, 30872824]	[]
28_10071	chr22	22677729	22678129	+	909	37.5	[10.276439]	[93]	[]	[]	[22677882]	[]
28_10072	chr22	22739769	22740169	+	1000	37.5	[7.408826]	[100]	[7.657809]	[133]	[22739945]	[22739978]
28_10074	chr22	23198947	23199347	+	1000	37.5	[7.408826]	[163]	[]	[]	[23199185]	[]
28_10080	chr3	16546490	16546890	+	1000	37.5	[7.408826]	[120]	[]	[]	[16546684]	[]
28_10083	chr3	47117785	47118185	+	1000	37.5	[]	[]	[7.408826]	[154]	[]	[47117980]
28_10084	chr3	47503058	47503458	+	1000	37.5	[]	[]	[7.408826]	[67]	[]	[47503217]
28_10087	chr3	146554310	146554710	+	1000	37.5	[]	[]	[10.276439]	[160]	[]	[146554499]
28_10088	chr3	152471886	152472286	+	1000	37.5	[7.408826, 7.408826]	[125, 178]	[]	[]	[152472070, 152472123]	[]
28_10089	chr3	156826711	156827111	+	1000	37.5	[]	[]	[10.276439]	[201]	[]	[156826924]
28_1009	chr8	123922144	123922544	+	1000	72.5	[9.601446]	[162]	[7.408826, 7.408826, 7.408826]	[181, 188, 212]	[123922343]	[123922362, 123922369, 123922393]
28_10091	chr3	158679528	158679928	+	841	37.5	[]	[]	[7.408826]	[205]	[]	[158679736]
28_10093	chr3	171967932	171968332	+	1000	37.5	[7.657809]	[125]	[]	[]	[171968152]	[]
28_10100	chr4	15153718	15154118	+	1000	37.5	[7.657809]	[154]	[]	[]	[15153906]	[]
28_10101	chr4	39046083	39046483	+	1000	37.5	[]	[]	[7.408826]	[151]	[]	[39046315]
28_10103	chr4	49511430	49511830	+	1000	37.5	[10.276439]	[155]	[]	[]	[49511643]	[]
28_10104	chr4	67575099	67575499	+	1000	37.5	[]	[]	[7.408826]	[116]	[]	[67575257]
28_10106	chr4	75573520	75573920	+	1000	37.5	[]	[]	[10.276439]	[104]	[]	[75573685]
28_10107	chr4	87007726	87008126	+	1000	37.5	[7.657809]	[114]	[]	[]	[87007902]	[]
28_10109	chr4	102257678	102258078	+	1000	37.5	[]	[]	[7.408826]	[142]	[]	[102257916]
28_10110	chr4	139300769	139301169	+	1000	37.5	[10.276439, 10.276439]	[108, 190]	[]	[]	[139300927, 139301009]	[]
28_10115	chr5	32760011	32760411	+	1000	37.5	[]	[]	[7.657809]	[150]	[]	[32760236]
28_10117	chr5	34930545	34930945	+	1000	37.5	[]	[]	[10.276439]	[161]	[]	[34930781]
28_10118	chr5	36875938	36876338	+	1000	37.5	[10.276439, 7.657809]	[123, 155]	[]	[]	[36876093, 36876125]	[]
28_1012	chr1	180611381	180611781	+	1000	72.0	[]	[]	[10.276439]	[165]	[]	[180611610]
28_10121	chr5	102670254	102670654	+	914	37.5	[7.408826]	[167]	[]	[]	[102670406]	[]
28_10122	chr5	132526688	132527088	+	1000	37.5	[]	[]	[10.276439]	[169]	[]	[132526917]
28_10123	chr5	133051586	133051986	+	1000	37.5	[7.0441737, 10.276439]	[157, 190]	[]	[]	[133051797, 133051830]	[]
28_10125	chr5	134466032	134466432	+	1000	37.5	[10.276439, 7.408826]	[170, 189]	[]	[]	[134466221, 134466240]	[]
28_10126	chr5	138035958	138036358	+	1000	37.5	[10.276439]	[148]	[]	[]	[138036186]	[]
28_10127	chr5	139475318	139475718	+	1000	37.5	[]	[]	[7.408826]	[97]	[]	[139475505]
28_10131	chr5	151771141	151771541	+	1000	37.5	[]	[]	[9.601446]	[92]	[]	[151771319]
28_10135	chr5	169746203	169746603	+	1000	37.5	[]	[]	[7.408826]	[177]	[]	[169746433]
28_10136	chr5	179698044	179698444	+	1000	37.5	[10.276439]	[97]	[7.408826]	[169]	[179698202]	[179698274]
28_1014	chr1	224080079	224080479	+	1000	72.0	[]	[]	[7.0441737]	[145]	[]	[224080274]
28_10141	chr6	10643223	10643623	+	994	37.5	[]	[]	[10.276439]	[196]	[]	[10643469]
