#PeakID(python identify_motif.py ./ENCODE_processed_files/BHLHE40_idr.fa BHLHE40 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
890_10002	chr22	21569751	21570151	+	1000	89.0	[9.876531]	[110]	[11.247076]	[110]	[21569939]	[21569939]
890_10006	chr22	25853037	25853437	+	1000	89.0	[]	[]	[7.0544653]	[96]	[]	[25853232]
890_1001	chr7	157224595	157224995	+	1000	346.0	[13.009925]	[71]	[13.009925]	[71]	[157224766]	[157224766]
890_10010	chr3	4241814	4242214	+	1000	89.0	[11.247076]	[98]	[9.876531]	[98]	[4242005]	[4242005]
890_10013	chr3	13007488	13007888	+	1000	89.0	[]	[]	[6.9763474]	[84]	[]	[13007670]
890_10017	chr3	142347521	142347921	+	1000	89.0	[7.225755, 11.406425]	[79, 121]	[7.5227866, 10.185503]	[79, 121]	[142347695, 142347737]	[142347695, 142347737]
890_10022	chr4	6788108	6788508	+	1000	89.0	[7.6892915]	[95]	[7.1388025]	[95]	[6788296]	[6788296]
890_10024	chr4	78629864	78630264	+	1000	89.0	[10.071603, 10.071603]	[87, 124]	[8.857911, 8.857911]	[87, 124]	[78630039, 78630076]	[78630039, 78630076]
890_10025	chr4	108224790	108225190	+	1000	89.0	[11.406425]	[139]	[10.185503]	[139]	[108225003]	[108225003]
890_10026	chr5	1111860	1112260	+	1000	89.0	[10.071603]	[157]	[8.857911]	[157]	[1112110]	[1112110]
890_10030	chr5	149284449	149284849	+	1000	89.0	[13.169274]	[113]	[13.318897]	[113]	[149284657]	[149284657]
890_10033	chr6	5260859	5261259	+	1000	89.0	[7.4877]	[146]	[7.2114162]	[146]	[5261080]	[5261080]
890_10036	chr6	34865073	34865473	+	1000	89.0	[7.0544653]	[122]	[]	[]	[34865280]	[]
890_10038	chr6	139823071	139823471	+	1000	89.0	[11.406425]	[111]	[10.185503]	[111]	[139823264]	[139823264]
890_10041	chr7	77834362	77834762	+	1000	89.0	[10.185503]	[88]	[11.406425]	[88]	[77834545]	[77834545]
890_10051	chr8	142456264	142456664	+	1000	89.0	[13.009925, 9.912252, 10.185503]	[75, 115, 127]	[13.009925, 8.548939, 11.406425]	[75, 115, 127]	[142456421, 142456461, 142456473]	[142456421, 142456461, 142456473]
890_10053	chr9	129442957	129443357	+	1000	89.0	[13.318897]	[98]	[13.169274]	[98]	[129443155]	[129443155]
890_10054	chr9	130368660	130369060	+	1000	89.0	[8.548939]	[143]	[9.912252]	[143]	[130368889]	[130368889]
890_10056	chr9	131245140	131245540	+	1000	89.0	[11.406425, 10.071603]	[110, 119]	[10.185503, 8.857911]	[110, 119]	[131245347, 131245356]	[131245347, 131245356]
890_10058	chrX	17361618	17362018	+	1000	89.0	[10.185503]	[102]	[11.406425]	[102]	[17361813]	[17361813]
890_10059	chrX	63351294	63351694	+	1000	89.0	[7.14623]	[72]	[8.05161]	[72]	[63351448]	[63351448]
890_10060	chrX	103686813	103687213	+	1000	89.0	[8.857911]	[128]	[10.071603]	[128]	[103687040]	[103687040]
890_10064	chr1	15112099	15112499	+	1000	88.0	[8.548939]	[98]	[9.912252]	[98]	[15112279]	[15112279]
890_10067	chr1	31702809	31703209	+	1000	88.0	[13.318897, 7.0544653]	[105, 144]	[13.169274]	[105]	[31703005, 31703044]	[31703005]
890_10072	chr1	160652108	160652508	+	1000	88.0	[11.247076]	[96]	[9.876531]	[96]	[160652291]	[160652291]
890_10076	chr1	204695620	204696020	+	1000	88.0	[13.478247]	[105]	[13.478247]	[105]	[204695821]	[204695821]
890_10084	chr11	17528356	17528756	+	1000	88.0	[11.247076, 11.406425]	[102, 133]	[9.876531, 10.185503]	[102, 133]	[17528548, 17528579]	[17528548, 17528579]
890_10088	chr12	76551495	76551895	+	1000	88.0	[7.0544653]	[106]	[]	[]	[76551698]	[]
890_10089	chr12	109899927	109900327	+	1000	88.0	[13.478247]	[109]	[13.478247]	[109]	[109900091]	[109900091]
890_1009	chr6	166950932	166951332	+	1000	345.0	[13.478247, 10.185503]	[84, 93]	[13.478247, 11.406425]	[84, 93]	[166951115, 166951124]	[166951115, 166951124]
890_10090	chr12	110079388	110079788	+	1000	88.0	[6.900726]	[121]	[7.2062225]	[121]	[110079593]	[110079593]
890_10098	chr15	82305163	82305563	+	1000	88.0	[7.4477744]	[95]	[7.848641]	[95]	[82305356]	[82305356]
