#PeakID(python scan_motif.py ./ENCODE_processed_files/CREM_idr.fa CREM --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
978_0	chr16	2267946	2268346	+	1000	870.0	[12.827382, 8.6803]	[68, 118]	[12.82774, 8.678796]	[68, 118]	[2268110, 2268160]	[2268110, 2268160]
978_1	chr9	131125381	131125781	+	1000	844.0	[12.233896]	[75]	[12.236791]	[75]	[131125554]	[131125554]
978_100	chr16	807663	808063	+	1000	716.0	[14.656586]	[93]	[14.659791]	[93]	[807856]	[807856]
978_1000	chr19	50679367	50679767	+	1000	482.0	[15.040159]	[96]	[15.039618]	[96]	[50679559]	[50679559]
978_10006	chr1	116570268	116570668	+	1000	128.0	[8.722204]	[87]	[8.723584]	[87]	[116570440]	[116570440]
978_10009	chr1	203270999	203271399	+	1000	128.0	[7.3324223]	[106]	[7.3363094]	[106]	[203271198]	[203271198]
978_10011	chr10	3852253	3852653	+	1000	128.0	[9.827688]	[76]	[9.827729]	[76]	[3852425]	[3852425]
978_10013	chr10	31928636	31929036	+	1000	128.0	[6.9189477]	[141]	[6.9155855]	[141]	[31928864]	[31928864]
978_10014	chr10	45726965	45727365	+	1000	128.0	[9.628607, 10.588503, 6.6510525, 6.9203253]	[122, 127, 132, 137]	[9.629826, 10.590109, 6.657896, 6.9204936]	[122, 127, 132, 137]	[45727187, 45727192, 45727197, 45727202]	[45727187, 45727192, 45727197, 45727202]
978_10019	chr11	75768551	75768951	+	1000	128.0	[6.9284296]	[97]	[6.933033]	[97]	[75768739]	[75768739]
978_1002	chr15	22838448	22838848	+	1000	481.0	[6.6363373]	[147]	[6.631806]	[147]	[22838693]	[22838693]
978_10020	chr11	119067286	119067686	+	1000	128.0	[9.619333, 7.0569654]	[82, 136]	[9.625264, 7.0500126]	[82, 136]	[119067468, 119067522]	[119067468, 119067522]
