#PeakID(python scan_motif.py ./ENCODE_processed_files/USF2_idr.fa USF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
77_0	chr1	11805975	11806375	+	1000	1225.0	[13.817017, 12.367886]	[96, 119]	[12.61677, 12.827922]	[96, 119]	[11806169, 11806192]	[11806169, 11806192]
77_1	chr7	4775392	4775792	+	1000	1223.0	[11.787619, 12.827876, 12.827922]	[83, 95, 127]	[6.3357368, 12.086817, 12.367886]	[83, 95, 127]	[4775572, 4775584, 4775616]	[4775572, 4775584, 4775616]
77_10	chr1	154558629	154559029	+	1000	1123.0	[12.827922, 8.017387, 10.924718]	[73, 101, 153]	[12.367886, 6.679178]	[73, 101]	[154558800, 154558828, 154558880]	[154558800, 154558828]
77_100	chr5	132963464	132963864	+	1000	916.0	[13.018968, 13.541038]	[85, 117]	[6.342368, 13.783291]	[85, 117]	[132963649, 132963681]	[132963649, 132963681]
77_1000	chr2	197434931	197435331	+	1000	487.0	[7.719285, 12.678137]	[93, 100]	[11.70322]	[100]	[197435122, 197435129]	[197435129]
77_10000	chr16	30985528	30985928	+	1000	78.0	[]	[]	[6.7343836]	[76]	[]	[30985698]
77_10001	chr16	56257223	56257623	+	1000	78.0	[11.616045]	[108]	[10.658051]	[108]	[56257428]	[56257428]
77_10002	chr16	86806677	86807077	+	1000	78.0	[13.817017]	[83]	[12.61677]	[83]	[86806857]	[86806857]
77_10004	chr17	37488839	37489239	+	1000	78.0	[6.864139]	[122]	[6.178773, 6.539683]	[122, 136]	[37489036]	[37489036, 37489050]
77_10006	chr17	65381170	65381570	+	1000	78.0	[8.54334]	[99]	[7.991037, 14.977686]	[57, 99]	[65381364]	[65381322, 65381364]
77_10007	chr17	77424973	77425373	+	1000	78.0	[13.018968]	[106]	[6.342368]	[106]	[77425160]	[77425160]
77_10008	chr17	78861972	78862372	+	1000	78.0	[9.304013]	[106]	[8.789132]	[106]	[78862167]	[78862167]
77_10009	chr17	81309155	81309555	+	1000	78.0	[7.3758764]	[95]	[]	[]	[81309341]	[]
77_1001	chr5	179698798	179699198	+	1000	487.0	[12.827876]	[101]	[12.086817]	[101]	[179698995]	[179698995]
77_10010	chr17_GL000205v2_random	56159	56559	+	1000	78.0	[8.625433]	[136]	[]	[]	[56348]	[]
77_10011	chr18	519085	519485	+	1000	78.0	[8.733058]	[152]	[8.490806]	[152]	[519286]	[519286]
77_10012	chr18	25281522	25281922	+	1000	78.0	[13.783291, 9.334596]	[73, 115]	[13.541038]	[73]	[25281692, 25281734]	[25281692]
77_10013	chr18	46399253	46399653	+	1000	78.0	[6.437684, 12.827876]	[57, 100]	[12.086817]	[100]	[46399409, 46399452]	[46399452]
77_10014	chr19	4247172	4247572	+	1000	78.0	[]	[]	[7.604468]	[124]	[]	[4247389]
77_10016	chr19	12737873	12738273	+	1000	78.0	[8.668185]	[95]	[7.9271264]	[95]	[12738063]	[12738063]
77_10018	chr19	17718975	17719375	+	1000	78.0	[14.701707, 8.165397]	[124, 129]	[9.709861]	[124]	[17719184, 17719189]	[17719184]
77_1002	chr1	9539222	9539622	+	1000	486.0	[13.817017]	[119]	[12.61677]	[119]	[9539437]	[9539437]
77_10020	chr19	47229382	47229782	+	1000	78.0	[12.827922, 6.829499]	[85, 120]	[12.367886, 10.403315, 6.575677]	[85, 120, 129]	[47229560, 47229595]	[47229560, 47229595, 47229604]
77_10021	chr2	27765591	27765991	+	1000	78.0	[7.057958, 8.701957]	[71, 95]	[7.283927]	[95]	[27765752, 27765776]	[27765776]
77_10023	chr2	64831222	64831622	+	1000	78.0	[9.172683]	[106]	[9.172683]	[106]	[64831425]	[64831425]
77_10024	chr2	71306754	71307154	+	1000	78.0	[12.863889]	[107]	[8.604708]	[107]	[71306954]	[71306954]
77_10027	chr2	201835040	201835440	+	1000	78.0	[12.61677]	[110]	[13.817017]	[110]	[201835239]	[201835239]
77_10028	chr2	215880949	215881349	+	1000	78.0	[8.559837, 7.5288043]	[86, 127]	[6.3285575]	[127]	[215881124, 215881165]	[215881165]
77_10029	chr20	3989460	3989860	+	1000	78.0	[16.90268]	[107]	[11.66858]	[107]	[3989661]	[3989661]
77_1003	chr20	48282814	48283214	+	1000	486.0	[12.086817, 12.923806]	[91, 128]	[12.827876, 8.069922]	[91, 128]	[48282999, 48283036]	[48282999, 48283036]
77_10030	chr20	5010156	5010556	+	1000	78.0	[6.3285575]	[122]	[7.5288043]	[122]	[5010378]	[5010378]
77_10031	chr20	32764722	32765122	+	1000	78.0	[7.3176527, 6.4583592]	[99, 108]	[7.777689]	[99]	[32764903, 32764912]	[32764903]
77_10032	chr20	39468696	39469096	+	1000	78.0	[11.66858]	[98]	[16.90268]	[98]	[39468889]	[39468889]
77_10034	chr20	44364762	44365162	+	1000	78.0	[8.54334]	[86]	[14.977686]	[86]	[44364947]	[44364947]
77_10035	chr20	48957065	48957465	+	1000	78.0	[7.5088897]	[114]	[12.742989]	[114]	[48957262]	[48957262]
77_10036	chr20	54115013	54115413	+	1000	78.0	[9.2292185]	[119]	[8.107944]	[119]	[54115225]	[54115225]
77_10037	chr20	61230139	61230539	+	1000	78.0	[7.6297903]	[105]	[13.838806]	[105]	[61230343]	[61230343]
77_10038	chr20	63980221	63980621	+	1000	78.0	[9.76405]	[96]	[8.329096]	[96]	[63980400]	[63980400]
77_1004	chr3	9101244	9101644	+	1000	486.0	[12.827922]	[101]	[12.367886]	[101]	[9101443]	[9101443]
77_10040	chr21	38793050	38793450	+	1000	78.0	[13.783291, 7.3436203]	[118, 149]	[13.541038]	[118]	[38793251, 38793282]	[38793251]
77_10045	chr22	21803676	21804076	+	1000	78.0	[]	[]	[10.333352]	[149]	[]	[21803902]
77_10046	chr22	22586749	22587149	+	1000	78.0	[]	[]	[6.4237375]	[76]	[]	[22586917]
77_1005	chr12	6891032	6891432	+	1000	485.0	[12.367886]	[112]	[12.827922]	[112]	[6891239]	[6891239]
77_10053	chr22	31130881	31131281	+	1000	78.0	[8.54334]	[106]	[14.977686]	[106]	[31131072]	[31131072]
77_10054	chr22	36114495	36114895	+	1000	78.0	[9.657327]	[83]	[8.457079]	[83]	[36114674]	[36114674]
77_10055	chr22	36990456	36990856	+	1000	78.0	[]	[]	[6.851289, 7.0282474]	[95, 118]	[]	[36990646, 36990669]
77_10056	chr22	40668911	40669311	+	1000	78.0	[]	[]	[12.029826]	[89]	[]	[40669099]
77_10057	chr3	10027267	10027667	+	1000	78.0	[14.701707]	[105]	[9.709861]	[105]	[10027457]	[10027457]
77_10058	chr3	13513446	13513846	+	1000	78.0	[11.70322]	[95]	[12.678137]	[95]	[13513637]	[13513637]
77_10059	chr3	49723881	49724281	+	1000	78.0	[]	[]	[6.5727334]	[142]	[]	[49724121]
77_1006	chr19	50369177	50369577	+	1000	485.0	[10.415798]	[95]	[11.858298]	[95]	[50369372]	[50369372]
77_10060	chr3	125150482	125150882	+	1000	78.0	[6.2967544]	[106]	[6.5390077]	[106]	[125150674]	[125150674]
77_10061	chr3	125603116	125603516	+	1000	78.0	[15.742009]	[82]	[15.742009]	[82]	[125603296]	[125603296]
77_10062	chr4	3304911	3305311	+	1000	78.0	[9.242645]	[91]	[10.902928]	[91]	[3305100]	[3305100]
77_10063	chr4	6478805	6479205	+	1000	78.0	[8.54334, 13.817017]	[105, 113]	[14.977686, 12.61677]	[105, 113]	[6478998, 6479006]	[6478998, 6479006]
77_10065	chr4	124426294	124426694	+	1000	78.0	[8.54334]	[81]	[14.977686]	[81]	[124426465]	[124426465]
77_10066	chr5	18698137	18698537	+	1000	78.0	[12.367886, 12.863889]	[100, 109]	[12.827922, 8.604708]	[100, 109]	[18698335, 18698344]	[18698335, 18698344]
77_10067	chr5	112969413	112969813	+	1000	78.0	[13.988591]	[92]	[8.294456]	[92]	[112969594]	[112969594]
77_10068	chr5	126972250	126972650	+	1000	78.0	[11.0465145]	[108]	[6.7957277]	[108]	[126972454]	[126972454]
77_10069	chr5	163437871	163438271	+	1000	78.0	[8.754492]	[96]	[13.528555]	[96]	[163438060]	[163438060]
77_1007	chr20	60049170	60049570	+	1000	485.0	[8.754446]	[119]	[13.247486]	[119]	[60049388]	[60049388]
77_10070	chr6	1527169	1527569	+	1000	78.0	[10.902928]	[100]	[9.242645]	[100]	[1527354]	[1527354]
