#PeakID(python scan_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_1	chrM	9604	10004	+	1000	801.0	[]	[]	[10.370103]	[120]	[]	[9803]
39_10003	chr12	121798814	121799214	+	1000	39.0	[]	[]	[10.586677]	[124]	[]	[121799001]
39_10007	chr13	41463867	41464267	+	1000	39.0	[8.329008]	[64]	[]	[]	[41464031]	[]
39_1002	chr2	6909717	6910117	+	1000	75.0	[10.586677]	[132]	[]	[]	[6909925]	[]
39_10020	chr15	40569137	40569537	+	1000	39.0	[10.370103]	[107]	[]	[]	[40569339]	[]
39_10022	chr15	41513460	41513860	+	1000	39.0	[]	[]	[12.064187]	[138]	[]	[41513678]
39_10023	chr15	49155568	49155968	+	1000	39.0	[7.397283]	[169]	[]	[]	[49155776]	[]
39_10029	chr15	65049337	65049737	+	1000	39.0	[8.260495]	[167]	[8.017088]	[96]	[65049577]	[65049506]
39_10034	chr15	74580456	74580856	+	1000	39.0	[7.151105]	[166]	[8.892592]	[120]	[74580706]	[74580660]
39_10037	chr15	90954784	90955184	+	1000	39.0	[12.064187]	[232]	[]	[]	[90955026]	[]
39_10039	chr16	253004	253404	+	1000	39.0	[8.017088, 7.3683157]	[77, 89]	[]	[]	[253157, 253169]	[]
39_1004	chr2	138058344	138058744	+	1000	75.0	[]	[]	[12.064187]	[117]	[]	[138058559]
39_10042	chr16	3022307	3022707	+	1000	39.0	[]	[]	[7.7944894]	[177]	[]	[3022558]
39_10045	chr16	10357234	10357634	+	1000	39.0	[8.260495]	[57]	[]	[]	[10357387]	[]
39_10049	chr16	19067568	19067968	+	1000	39.0	[8.044104]	[208]	[]	[]	[19067798]	[]
39_1005	chr22	20117915	20118315	+	1000	75.0	[7.2151175]	[150]	[]	[]	[20118097]	[]
39_10055	chr16	29926164	29926564	+	1000	39.0	[8.892592]	[86]	[]	[]	[29926320]	[]
39_10061	chr16	66516717	66517117	+	1000	39.0	[]	[]	[10.586677]	[157]	[]	[66516927]
39_10065	chr16	70165072	70165472	+	1000	39.0	[7.2151175]	[141]	[]	[]	[70165262]	[]
39_10068	chr16	85322875	85323275	+	1000	39.0	[12.064187]	[198]	[]	[]	[85323110]	[]
39_1007	chr22	22928724	22929124	+	1000	75.0	[10.370103]	[145]	[]	[]	[22928967]	[]
39_10071	chr16	85372850	85373250	+	1000	39.0	[8.892592]	[150]	[]	[]	[85373089]	[]
39_10072	chr16	85437271	85437671	+	1000	39.0	[]	[]	[9.738007]	[136]	[]	[85437493]
39_10073	chr16	88149010	88149410	+	1000	39.0	[]	[]	[8.909202, 8.892592]	[133, 223]	[]	[88149164, 88149254]
39_10078	chr17	16419874	16420274	+	1000	39.0	[12.064187]	[109]	[12.064187]	[136]	[16420071]	[16420098]
39_1008	chr3	5428944	5429344	+	1000	75.0	[8.909202]	[188]	[7.3683157]	[162]	[5429192]	[5429166]
39_10087	chr17	36862396	36862796	+	1000	39.0	[]	[]	[12.064187]	[185]	[]	[36862629]
39_10088	chr17	38719919	38720319	+	1000	39.0	[8.892592]	[147]	[8.502309]	[115]	[38720155]	[38720123]
39_10092	chr17	42181302	42181702	+	1000	39.0	[7.748347]	[91]	[9.738007]	[135]	[42181465]	[42181509]
39_10097	chr17	46779506	46779906	+	1000	39.0	[8.892592]	[110]	[]	[]	[46779707]	[]
39_10098	chr17	47877541	47877941	+	1000	39.0	[]	[]	[8.017088]	[155]	[]	[47877777]
39_10099	chr17	48492584	48492984	+	1000	39.0	[8.017088]	[184]	[]	[]	[48492773]	[]
39_101	chr1	206735488	206735888	+	1000	175.0	[10.586677]	[107]	[8.502309]	[77]	[206735687]	[206735657]
39_1010	chr3	130787670	130788070	+	1000	75.0	[8.502309, 8.502309]	[97, 110]	[]	[]	[130787863, 130787876]	[]
39_10100	chr17	48501016	48501416	+	1000	39.0	[]	[]	[8.044104]	[150]	[]	[48501265]
39_10101	chr17	49879526	49879926	+	1000	39.0	[7.397283]	[102]	[]	[]	[49879726]	[]
39_10104	chr17	57340458	57340858	+	1000	39.0	[12.064187]	[93]	[]	[]	[57340645]	[]
