#PeakID(python identify_motif.py ./ENCODE_processed_files/SOX6_idr.fa SOX6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
986_10	chrM	13875	14275	+	1000	1238.5	[]	[]	[6.5548015]	[78]	[]	[14027]
986_1001	chr10	30070051	30070451	+	1000	300.5	[6.2220955, 6.2220955, 6.3845105]	[85, 114, 143]	[6.3118367]	[103]	[30070230, 30070259, 30070288]	[30070248]
986_10019	chr7	102748652	102749052	+	1000	93.5	[6.2220955]	[155]	[6.2220955, 12.026935]	[77, 91]	[102748882]	[102748804, 102748818]
986_10029	chr9	104791805	104792205	+	1000	93.5	[]	[]	[9.315548]	[119]	[]	[104792006]
986_10039	chr1	181021999	181022399	+	1000	93.0	[]	[]	[12.637342]	[95]	[]	[181022189]
986_10050	chr10	103829962	103830362	+	1000	93.0	[]	[]	[12.18935, 6.2220955]	[86, 128]	[]	[103830146, 103830188]
986_10077	chr17	79473363	79473763	+	1000	93.0	[6.4234533]	[136]	[]	[]	[79473572]	[]
986_10095	chr2	230008657	230009057	+	1000	93.0	[]	[]	[6.2220955]	[114]	[]	[230008853]
986_1010	chr3	173007148	173007548	+	1000	300.0	[]	[]	[6.2220955]	[154]	[]	[173007399]
986_10106	chr4	38382452	38382852	+	1000	93.0	[]	[]	[6.3845105, 6.2220955]	[90, 166]	[]	[38382606, 38382682]
986_10107	chr4	112153285	112153685	+	1000	93.0	[6.7628446, 8.908878]	[103, 131]	[]	[]	[112153487, 112153515]	[]
986_10108	chr4	126738071	126738471	+	1000	93.0	[6.8433943]	[137]	[6.3845105]	[162]	[126738272]	[126738297]
986_10112	chr6	2124280	2124680	+	1000	93.0	[]	[]	[8.665914]	[144]	[]	[2124513]
986_10114	chr6	20126790	20127190	+	1000	93.0	[]	[]	[8.910168]	[171]	[]	[20127018]
986_10117	chr6	28480184	28480584	+	1000	93.0	[6.3845105]	[92]	[]	[]	[28480356]	[]
986_10121	chr7	101913871	101914271	+	1000	93.0	[6.3845105, 6.3845105]	[85, 167]	[]	[]	[101914038, 101914120]	[]
986_10127	chr8	90224292	90224692	+	1000	93.0	[12.799757]	[159]	[]	[]	[90224524]	[]
986_10137	chr1	28518018	28518418	+	1000	92.5	[12.18935]	[140]	[]	[]	[28518194]	[]
986_10154	chr1	236524378	236524778	+	1000	92.5	[]	[]	[6.3845105]	[82]	[]	[236524556]
986_10155	chr1	244834725	244835125	+	1000	92.5	[8.910168]	[188]	[]	[]	[244834951]	[]
986_10163	chr11	12997117	12997517	+	1000	92.5	[10.16892]	[112]	[]	[]	[12997313]	[]
986_1017	chr11	20363931	20364331	+	1000	298.0	[6.7628446]	[133]	[9.925955]	[100]	[20364163]	[20364130]
986_10172	chr13	48161913	48162313	+	1000	92.5	[]	[]	[13.042722]	[102]	[]	[48162091]
986_10197	chr2	88754569	88754969	+	1000	92.5	[]	[]	[12.880307]	[73]	[]	[88754728]
986_10198	chr2	106115260	106115660	+	1000	92.5	[8.910168]	[157]	[12.026935]	[82]	[106115493]	[106115418]
986_1020	chr22	20981878	20982278	+	1000	298.0	[]	[]	[6.6004295]	[176]	[]	[20982104]
986_10217	chr4	108834772	108835172	+	1000	92.5	[13.042722]	[93]	[9.925955, 13.042722]	[79, 169]	[108834945]	[108834931, 108835021]
986_10226	chr6	43171099	43171499	+	1000	92.5	[7.3200583]	[94]	[6.3845105]	[91]	[43171272]	[43171269]
986_10228	chr6	104956876	104957276	+	1000	92.5	[]	[]	[7.6431108]	[93]	[]	[104957051]
986_10230	chr6	159805423	159805823	+	1000	92.5	[6.8433943]	[98]	[6.2220955]	[77]	[159805614]	[159805593]
986_10247	chr1	167928433	167928833	+	1000	92.0	[]	[]	[12.18935, 7.3200583]	[71, 112]	[]	[167928595, 167928636]
986_10248	chr1	174745954	174746354	+	1000	92.0	[6.2220955, 12.18935]	[92, 98]	[]	[]	[174746136, 174746142]	[]
986_10249	chr1	212596272	212596672	+	1000	92.0	[6.3845105]	[124]	[6.2220955]	[152]	[212596479]	[212596507]
986_10252	chr1	244341498	244341898	+	1000	92.0	[6.2220955]	[112]	[]	[]	[244341659]	[]
986_10263	chr11	62753558	62753958	+	1000	92.0	[]	[]	[6.5548015]	[152]	[]	[62753796]
986_10268	chr12	46406329	46406729	+	1000	92.0	[7.2768254]	[89]	[]	[]	[46406514]	[]
986_10270	chr12	49342398	49342798	+	1000	92.0	[]	[]	[9.072583]	[95]	[]	[49342554]
986_10284	chr16	3383000	3383400	+	1000	92.0	[]	[]	[12.637342]	[153]	[]	[3383163]
986_10309	chr20	62686072	62686472	+	1000	92.0	[6.2220955]	[115]	[]	[]	[62686254]	[]
986_10318	chr3	158109718	158110118	+	1000	92.0	[]	[]	[10.006505]	[91]	[]	[158109905]
986_10325	chr6	28505700	28506100	+	1000	92.0	[]	[]	[6.3845105]	[57]	[]	[28505856]
986_10331	chr6	83442758	83443158	+	1000	92.0	[]	[]	[7.8125415]	[157]	[]	[83442986]
986_10362	chr1	51469476	51469876	+	1000	91.5	[]	[]	[6.3845105]	[180]	[]	[51469726]
986_1037	chr18	48545663	48546063	+	1000	296.5	[8.496483, 7.6431108]	[95, 110]	[12.880307]	[68]	[48545852, 48545867]	[48545825]
986_10386	chr12	95217375	95217775	+	1000	91.5	[]	[]	[9.153132]	[166]	[]	[95217609]
986_10390	chr14	77342740	77343140	+	1000	91.5	[]	[]	[13.042722]	[118]	[]	[77342954]
986_10397	chr18	8998945	8999345	+	1000	91.5	[]	[]	[12.637342]	[144]	[]	[8999173]
986_104	chr3	130849966	130850366	+	1000	715.5	[9.925955]	[62]	[]	[]	[130850121]	[]
986_1040	chr11	22792490	22792890	+	1000	296.0	[]	[]	[9.925955]	[126]	[]	[22792708]
