#PeakID(python identify_motif.py ./ENCODE_processed_files/TEAD2_idr.fa TEAD2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
965_0	chrM	41	441	+	1000	1110.5	[7.6554527]	[123]	[]	[]	[263]	[]
965_100	chr17	59154991	59155391	+	1000	220.0	[12.834519]	[91]	[]	[]	[59155176]	[]
965_10002	chrX	49079351	49079751	+	685	28.0	[]	[]	[10.269137]	[127]	[]	[49079523]
965_10005	chr1	12441401	12441801	+	574	27.5	[10.269137]	[90]	[]	[]	[12441561]	[]
965_10010	chr1	24746096	24746496	+	550	27.5	[]	[]	[7.7329817]	[130]	[]	[24746270]
965_10015	chr1	31487829	31488229	+	624	27.5	[8.366211]	[105]	[]	[]	[31488002]	[]
965_10024	chr1	53957297	53957697	+	658	27.5	[]	[]	[7.7999115]	[126]	[]	[53957510]
965_10044	chr1	207322268	207322668	+	602	27.5	[9.390524]	[205]	[]	[]	[207322493]	[]
965_10048	chr1	218344936	218345336	+	544	27.5	[12.834519]	[118]	[7.6554527]	[81]	[218345150]	[218345113]
965_1005	chr11	64334995	64335395	+	1000	66.0	[8.196857]	[105]	[]	[]	[64335168]	[]
965_10059	chr10	30583648	30584048	+	603	27.5	[8.366211, 7.6554527]	[86, 102]	[]	[]	[30583799, 30583815]	[]
965_1006	chr12	9797992	9798392	+	1000	66.0	[10.269137]	[69]	[]	[]	[9798158]	[]
965_10061	chr10	44978736	44979136	+	618	27.5	[]	[]	[12.834519]	[197]	[]	[44978979]
965_10063	chr10	60299292	60299692	+	647	27.5	[]	[]	[8.196857]	[189]	[]	[60299491]
965_1008	chr14	77043342	77043742	+	1000	66.0	[9.390524]	[122]	[]	[]	[77043557]	[]
965_10085	chr12	51341366	51341766	+	640	27.5	[8.366211]	[100]	[]	[]	[51341557]	[]
965_10086	chr12	56688505	56688905	+	636	27.5	[8.311733]	[96]	[]	[]	[56688701]	[]
965_10099	chr13	90008891	90009291	+	613	27.5	[8.366211]	[134]	[]	[]	[90009114]	[]
965_10105	chr13	93324613	93325013	+	661	27.5	[]	[]	[8.196857]	[104]	[]	[93324784]
965_10112	chr14	81267892	81268292	+	641	27.5	[8.176826]	[141]	[]	[]	[81268100]	[]
965_10118	chr15	95684724	95685124	+	650	27.5	[7.6554527]	[133]	[]	[]	[95684931]	[]
965_1012	chr22	22342900	22343300	+	1000	66.0	[]	[]	[12.834519]	[129]	[]	[22343120]
965_10121	chr16	11093928	11094328	+	618	27.5	[8.518976]	[112]	[]	[]	[11094105]	[]
965_10126	chr16	57591311	57591711	+	635	27.5	[8.311733]	[142]	[12.834519]	[90]	[57591551]	[57591499]
965_10141	chr17	48944796	48945196	+	646	27.5	[10.269137]	[180]	[]	[]	[48945044]	[]
965_10148	chr17	82037788	82038188	+	605	27.5	[]	[]	[8.366211]	[160]	[]	[82038008]
965_1016	chr5	131994523	131994923	+	1000	66.0	[]	[]	[10.269137]	[94]	[]	[131994706]
965_10169	chr2	88691313	88691713	+	627	27.5	[10.269137]	[122]	[]	[]	[88691507]	[]
965_10179	chr2	196400052	196400452	+	654	27.5	[7.7999115]	[131]	[]	[]	[196400265]	[]
965_10191	chr20	57524849	57525249	+	641	27.5	[]	[]	[10.269137]	[99]	[]	[57525044]
965_1020	chr1	53838452	53838852	+	1000	65.5	[]	[]	[12.834519]	[75]	[]	[53838611]
965_10212	chr22	20567409	20567809	+	665	27.5	[]	[]	[12.834519]	[174]	[]	[20567645]
965_10233	chr22	22573200	22573600	+	614	27.5	[12.834519]	[158]	[]	[]	[22573425]	[]
965_10247	chr3	39287203	39287603	+	667	27.5	[]	[]	[7.7329817]	[165]	[]	[39287401]
965_10249	chr3	41102226	41102626	+	598	27.5	[]	[]	[12.834519]	[102]	[]	[41102427]
965_10254	chr3	171809174	171809574	+	627	27.5	[8.196857, 8.176826]	[138, 192]	[]	[]	[171809359, 171809413]	[]
965_10266	chr5	44808690	44809090	+	603	27.5	[8.196857]	[110]	[]	[]	[44808877]	[]
965_10277	chr6	2769945	2770345	+	639	27.5	[7.6554527]	[143]	[12.834519]	[160]	[2770123]	[2770140]
965_10283	chr6	20846583	20846983	+	634	27.5	[]	[]	[8.731906]	[78]	[]	[20846752]
965_10288	chr6	31122883	31123283	+	568	27.5	[12.834519]	[87]	[]	[]	[31123063]	[]
965_10304	chr6	111842881	111843281	+	602	27.5	[]	[]	[8.311733]	[145]	[]	[111843099]
965_10320	chr7	99831672	99832072	+	643	27.5	[]	[]	[8.518976]	[146]	[]	[99831845]
965_10336	chr7	142478394	142478794	+	643	27.5	[10.269137]	[104]	[]	[]	[142478567]	[]
965_10352	chr8	129751900	129752300	+	664	27.5	[8.196857]	[177]	[]	[]	[129752093]	[]
965_1037	chr7	16657938	16658338	+	1000	65.5	[7.6749144]	[133]	[7.6554527, 10.269137]	[102, 126]	[16658169]	[16658138, 16658162]
965_10382	chr1	39408085	39408485	+	549	27.0	[]	[]	[8.366211]	[215]	[]	[39408307]
965_10385	chr1	42683598	42683998	+	552	27.0	[]	[]	[8.366211]	[138]	[]	[42683835]
965_10391	chr1	85612734	85613134	+	624	27.0	[]	[]	[8.196857, 12.834519]	[112, 136]	[]	[85612939, 85612963]
965_10404	chr1	162497438	162497838	+	598	27.0	[]	[]	[8.518976]	[135]	[]	[162497668]
965_1041	chr1	6603850	6604250	+	1000	65.0	[10.269137]	[82]	[]	[]	[6604027]	[]
965_10413	chr1	204400969	204401369	+	593	27.0	[9.390524]	[122]	[]	[]	[204401166]	[]
965_10415	chr1	205267424	205267824	+	552	27.0	[8.731906]	[207]	[]	[]	[205267658]	[]
965_10419	chr1	207805875	207806275	+	598	27.0	[]	[]	[10.269137]	[115]	[]	[207806077]
965_1043	chr10	131916783	131917183	+	1000	65.0	[]	[]	[8.311733, 8.311733, 8.311733]	[91, 123, 155]	[]	[131916967, 131916999, 131917031]
965_1044	chr12	66145145	66145545	+	1000	65.0	[10.269137, 8.311733]	[90, 143]	[]	[]	[66145324, 66145377]	[]
965_10447	chr10	69211073	69211473	+	622	27.0	[9.390524]	[152]	[]	[]	[69211293]	[]
965_1045	chr2	27765855	27766255	+	1000	65.0	[]	[]	[10.269137]	[133]	[]	[27766061]
965_10460	chr11	118980016	118980416	+	582	27.0	[8.196857]	[132]	[9.390524]	[101]	[118980214]	[118980183]
965_10461	chr11	119085302	119085702	+	587	27.0	[7.8428354]	[90]	[]	[]	[119085471]	[]
965_10473	chr12	101696778	101697178	+	556	27.0	[7.7329817]	[213]	[]	[]	[101697001]	[]
965_10486	chr13	91668895	91669295	+	600	27.0	[]	[]	[10.269137, 8.366211]	[195, 244]	[]	[91669096, 91669145]
965_10489	chr13	93231524	93231924	+	559	27.0	[]	[]	[7.6554527]	[166]	[]	[93231739]
965_10493	chr14	61837540	61837940	+	582	27.0	[10.269137]	[105]	[]	[]	[61837727]	[]
965_10494	chr15	40274664	40275064	+	569	27.0	[]	[]	[8.731906]	[195]	[]	[40274907]
965_10503	chr16	69529678	69530078	+	601	27.0	[12.834519]	[139]	[]	[]	[69529894]	[]
965_10512	chr17	46795419	46795819	+	614	27.0	[8.731906]	[145]	[]	[]	[46795609]	[]
965_10528	chr19	54906015	54906415	+	631	27.0	[7.7329817]	[164]	[8.518976]	[209]	[54906197]	[54906242]
965_10530	chr2	24816733	24817133	+	610	27.0	[7.5994935, 8.366211]	[188, 213]	[]	[]	[24816937, 24816962]	[]
965_10542	chr2	157875035	157875435	+	569	27.0	[12.834519]	[130]	[]	[]	[157875239]	[]
965_10548	chr2	231786616	231787016	+	599	27.0	[]	[]	[9.390524]	[131]	[]	[231786842]
965_10550	chr20	31560083	31560483	+	609	27.0	[]	[]	[7.7999115]	[170]	[]	[31560316]
965_10551	chr20	32109419	32109819	+	580	27.0	[7.6554527]	[132]	[]	[]	[32109576]	[]
965_10565	chr22	19483507	19483907	+	592	27.0	[9.390524]	[119]	[]	[]	[19483700]	[]
965_10567	chr22	19892147	19892547	+	634	27.0	[7.6749144]	[99]	[]	[]	[19892339]	[]
965_10604	chr3	153221756	153222156	+	556	27.0	[]	[]	[10.269137]	[150]	[]	[153221993]
965_10612	chr4	13484362	13484762	+	545	27.0	[9.390524]	[177]	[]	[]	[13484588]	[]
965_10628	chr6	7042867	7043267	+	611	27.0	[7.6554527]	[198]	[]	[]	[7043104]	[]
965_10630	chr6	14720772	14721172	+	607	27.0	[]	[]	[8.366211]	[112]	[]	[14720944]
965_10637	chr6	32415400	32415800	+	595	27.0	[10.269137]	[90]	[]	[]	[32415583]	[]
965_1064	chr4	99842419	99842819	+	1000	64.5	[9.390524]	[165]	[]	[]	[99842655]	[]
965_10640	chr6	87590064	87590464	+	573	27.0	[8.311733]	[107]	[]	[]	[87590233]	[]
965_1065	chr7	116954225	116954625	+	1000	64.5	[]	[]	[9.390524]	[78]	[]	[116954397]
965_10655	chr7	90346279	90346679	+	605	27.0	[8.518976]	[72]	[]	[]	[90346440]	[]
965_10659	chr7	106022169	106022569	+	629	27.0	[8.311733]	[218]	[]	[]	[106022408]	[]
965_10660	chr7	107026215	107026615	+	564	27.0	[10.269137, 7.5994935]	[129, 139]	[]	[]	[107026400, 107026410]	[]
965_1067	chr9	40939219	40939619	+	1000	64.5	[9.390524]	[97]	[]	[]	[40939395]	[]
965_10684	chr8	90195640	90196040	+	606	27.0	[12.834519, 9.390524, 8.518976]	[114, 148, 153]	[]	[]	[90195814, 90195848, 90195853]	[]
965_10687	chr8	104365844	104366244	+	600	27.0	[]	[]	[12.834519]	[111]	[]	[104366032]
965_10688	chr8	124636498	124636898	+	569	27.0	[]	[]	[8.731906]	[92]	[]	[124636656]
965_10693	chr9	113410670	113411070	+	616	27.0	[]	[]	[8.196857, 8.518976]	[147, 218]	[]	[113410845, 113410916]
965_10695	chr9	125240477	125240877	+	585	27.0	[8.311733]	[160]	[]	[]	[125240716]	[]
965_10704	chr1	10211459	10211859	+	564	26.5	[12.834519]	[162]	[]	[]	[10211659]	[]
965_1071	chr15	66803220	66803620	+	1000	64.0	[]	[]	[10.269137]	[95]	[]	[66803403]
965_10723	chr1	93879224	93879624	+	599	26.5	[7.6749144]	[214]	[]	[]	[93879443]	[]
965_10735	chr1	154999735	155000135	+	574	26.5	[8.311733, 8.311733]	[107, 162]	[]	[]	[154999916, 154999971]	[]
965_10739	chr1	172441775	172442175	+	544	26.5	[7.6749144]	[128]	[]	[]	[172441954]	[]
965_10741	chr1	202184703	202185103	+	611	26.5	[]	[]	[8.518976]	[88]	[]	[202184882]
965_10752	chr1	234616335	234616735	+	592	26.5	[]	[]	[7.6554527]	[87]	[]	[234616494]
965_10765	chr11	36747005	36747405	+	569	26.5	[]	[]	[12.834519]	[108]	[]	[36747209]
965_10767	chr11	65859856	65860256	+	607	26.5	[12.834519]	[114]	[]	[]	[65860019]	[]
965_10778	chr12	54596431	54596831	+	585	26.5	[12.834519]	[70]	[8.518976]	[88]	[54596600]	[54596618]
965_10779	chr12	93785202	93785602	+	600	26.5	[]	[]	[8.176826]	[105]	[]	[93785398]
965_10783	chr12	116373282	116373682	+	548	26.5	[8.518976, 8.518976]	[162, 167]	[]	[]	[116373519, 116373524]	[]
965_10789	chr13	91128680	91129080	+	576	26.5	[]	[]	[7.7999115]	[154]	[]	[91128874]
965_10799	chr13	92537468	92537868	+	591	26.5	[7.5994935]	[78]	[]	[]	[92537626]	[]
965_108	chr7	105012573	105012973	+	1000	210.0	[]	[]	[10.269137]	[89]	[]	[105012758]
965_10805	chr14	20302052	20302452	+	591	26.5	[8.176826]	[107]	[]	[]	[20302257]	[]
965_1081	chrX	154371334	154371734	+	1000	64.0	[]	[]	[10.269137]	[84]	[]	[154371485]
965_10826	chr17	48907979	48908379	+	600	26.5	[]	[]	[8.311733]	[108]	[]	[48908157]
965_10828	chr17	64649067	64649467	+	575	26.5	[8.176826]	[98]	[]	[]	[64649265]	[]
965_10829	chr17	68457705	68458105	+	615	26.5	[]	[]	[10.269137]	[103]	[]	[68457902]
965_10832	chr18	596880	597280	+	547	26.5	[]	[]	[8.311733]	[141]	[]	[597120]
965_10835	chr19	11434875	11435275	+	602	26.5	[7.6554527]	[198]	[]	[]	[11435122]	[]
965_1084	chr1	125177194	125177594	+	1000	63.5	[8.518976, 8.196857]	[99, 132]	[]	[]	[125177391, 125177424]	[]
965_10842	chr19	35145064	35145464	+	550	26.5	[12.834519]	[146]	[]	[]	[35145286]	[]
965_10846	chr19	45507247	45507647	+	563	26.5	[]	[]	[9.390524, 8.731906]	[105, 118]	[]	[45507446, 45507459]
965_10852	chr19	56368091	56368491	+	555	26.5	[10.269137]	[88]	[]	[]	[56368251]	[]
965_10859	chr2	69307224	69307624	+	557	26.5	[]	[]	[8.731906]	[120]	[]	[69307439]
965_10890	chr22	19544402	19544802	+	588	26.5	[]	[]	[12.834519]	[138]	[]	[19544636]
965_10897	chr22	20929784	20930184	+	592	26.5	[]	[]	[9.390524]	[169]	[]	[20930010]
965_10922	chr4	40531318	40531718	+	563	26.5	[9.390524]	[117]	[]	[]	[40531502]	[]
965_10934	chr5	90613266	90613666	+	573	26.5	[12.834519]	[195]	[]	[]	[90613483]	[]
965_10935	chr5	91314198	91314598	+	588	26.5	[]	[]	[7.7329817]	[192]	[]	[91314391]
965_10954	chr6	27694136	27694536	+	578	26.5	[8.366211, 7.7999115]	[83, 104]	[]	[]	[27694288, 27694309]	[]
965_10956	chr6	32184148	32184548	+	596	26.5	[]	[]	[10.269137]	[113]	[]	[32184337]
965_10968	chr6	139369435	139369835	+	578	26.5	[9.390524]	[154]	[]	[]	[139369657]	[]
965_10986	chr7	121003805	121004205	+	578	26.5	[8.366211]	[115]	[12.834519, 8.176826]	[94, 180]	[121003983]	[121003962, 121004048]
965_10988	chr8	10814221	10814621	+	541	26.5	[]	[]	[10.269137]	[128]	[]	[10814434]
965_1100	chr7	129720364	129720764	+	1000	63.5	[]	[]	[7.7999115]	[123]	[]	[129720585]
965_11008	chr1	21781767	21782167	+	550	26.0	[8.518976]	[177]	[12.834519]	[200]	[21781993]	[21782016]
965_11014	chr1	43763457	43763857	+	540	26.0	[]	[]	[8.311733]	[131]	[]	[43763667]
965_11034	chr1	231240764	231241164	+	543	26.0	[7.8428354]	[138]	[]	[]	[231240974]	[]
965_1104	chr1	223771875	223772275	+	1000	63.0	[9.390524]	[132]	[]	[]	[223772041]	[]
965_11041	chr10	69639233	69639633	+	542	26.0	[]	[]	[9.390524]	[93]	[]	[69639420]
965_1105	chr10	63629463	63629863	+	1000	63.0	[12.834519]	[120]	[]	[]	[63629659]	[]
965_11055	chr12	116434232	116434632	+	564	26.0	[8.311733]	[170]	[]	[]	[116434407]	[]
965_11057	chr13	89926414	89926814	+	577	26.0	[8.311733]	[99]	[8.731906]	[112]	[89926601]	[89926614]
965_11070	chr15	42275539	42275939	+	562	26.0	[9.390524]	[162]	[]	[]	[42275761]	[]
965_11075	chr16	71722760	71723160	+	552	26.0	[10.269137]	[71]	[]	[]	[71722920]	[]
965_11078	chr17	29710756	29711156	+	550	26.0	[12.834519]	[161]	[]	[]	[29710926]	[]
965_11081	chr17	58379283	58379683	+	584	26.0	[7.5994935]	[161]	[]	[]	[58379530]	[]
965_11095	chr2	26785434	26785834	+	553	26.0	[8.366211]	[90]	[]	[]	[26785600]	[]
965_11097	chr2	38665653	38666053	+	555	26.0	[8.518976]	[165]	[]	[]	[38665884]	[]
