#PeakID	chr	start	end	strand	idrScore	count
658_0	chrM	5	225	+	1000	788.0
658_1	chrM	14989	15213	+	1000	787.0
658_2	chr22	20777838	20778052	+	1000	781.0
658_3	chrM	11117	11324	+	1000	780.0
658_4	chrM	9726	9933	+	1000	770.0
658_5	chrM	13678	13904	+	1000	765.0
658_6	chrM	10572	10841	+	1000	756.0
658_7	chr17	42388650	42388862	+	1000	710.0
658_8	chr22	20858805	20859012	+	1000	710.0
658_9	chr4	1043676	1043885	+	1000	706.0
658_10	chr8	630976	631196	+	1000	693.0
658_11	chr1	2180342	2180550	+	1000	691.0
658_12	chr7	149719139	149719347	+	1000	681.0
658_13	chr12	132446084	132446298	+	1000	680.0
658_14	chr1	12161927	12162132	+	1000	672.0
658_15	chr7	155291124	155291336	+	1000	669.0
658_16	chr19	48326040	48326243	+	1000	668.0
658_17	chr5	133240576	133240784	+	1000	665.0
658_18	chr3	93470496	93470777	+	1000	662.0
658_19	chr11	9566055	9566259	+	1000	661.0
658_20	chr7	101138557	101138761	+	1000	661.0
658_21	chr15	66803167	66803375	+	1000	658.0
658_22	chr3	8629545	8629752	+	1000	649.0
658_23	chr1	151311638	151311838	+	1000	648.0
658_24	chr16	15590916	15591176	+	1000	646.0
658_25	chr20	33732154	33732356	+	1000	646.0
658_26	chr11	64924086	64924301	+	1000	639.0
658_27	chr13	100392810	100393015	+	1000	634.0
658_28	chr6	90369081	90369283	+	1000	629.0
658_29	chr15	58332242	58332443	+	1000	628.0
658_30	chr9	121287104	121287308	+	1000	626.0
658_31	chrM	5289	5494	+	1000	626.0
658_32	chr11	36149769	36149971	+	1000	624.0
658_33	chr7	20219835	20220038	+	1000	622.0
658_34	chr3	139299456	139299664	+	1000	616.0
658_35	chr7	134084046	134084247	+	1000	616.0
658_36	chr18	3652951	3653154	+	1000	614.0
658_37	chr2	157261392	157261593	+	1000	614.0
658_38	chr10	72320797	72321017	+	1000	613.0
658_39	chr11	5280650	5280852	+	1000	613.0
658_40	chr7	151039398	151039604	+	1000	613.0
658_41	chr3	15269599	15269811	+	1000	610.0
658_42	chrM	6388	6596	+	1000	610.0
658_43	chr16	69530744	69530948	+	1000	606.0
658_44	chr1	212558956	212559167	+	1000	605.0
658_45	chr1	36386546	36386754	+	1000	603.0
658_46	chrM	4863	5072	+	1000	603.0
658_47	chr13	110870252	110870458	+	1000	602.0
658_48	chr7	87110877	87111090	+	1000	602.0
658_49	chr1	37999612	37999821	+	1000	600.0
658_50	chr5	34924021	34924230	+	1000	600.0
658_51	chr22	21666227	21666434	+	1000	599.0
658_52	chr3	5428999	5429208	+	1000	599.0
658_53	chr2	100291204	100291411	+	1000	598.0
658_54	chr22	21791783	21791991	+	1000	598.0
658_55	chr7	105013004	105013207	+	1000	598.0
658_56	chr9	97922134	97922340	+	1000	598.0
658_57	chr1	26284804	26285010	+	1000	594.0
658_58	chr2	12106398	12106609	+	1000	594.0
658_59	chr6	26204380	26204584	+	1000	594.0
658_60	chr8	42051919	42052127	+	1000	594.0
658_61	chr22	23251661	23251863	+	1000	593.0
658_62	chr18	22668046	22668252	+	1000	592.0
658_63	chr12	124917171	124917374	+	1000	591.0
658_64	chr19	9075697	9075910	+	1000	591.0
658_65	chr1	91732585	91732788	+	1000	589.0
658_66	chr6	31690412	31690615	+	1000	589.0
658_67	chr1	211675944	211676148	+	1000	587.0
658_68	chr12	113582711	113582924	+	1000	587.0
658_69	chr7	129958737	129958938	+	1000	586.0
658_70	chr1	234975289	234975500	+	1000	585.0
658_71	chr16	69565784	69565993	+	1000	585.0
658_72	chr11	65382390	65382595	+	1000	584.0
658_73	chr6	157515082	157515294	+	1000	584.0
658_74	chr6	158040508	158040711	+	1000	583.0
658_75	chr6	44058610	44058873	+	1000	582.0
658_76	chr1	112700892	112701092	+	1000	580.0
658_77	chr11	95147540	95147742	+	1000	579.0
658_78	chr19	38544079	38544280	+	1000	578.0
658_79	chr1	30191188	30191399	+	1000	577.0
658_80	chr16	9047874	9048089	+	1000	577.0
658_81	chr3	43770739	43770941	+	1000	577.0
658_82	chr5	112160673	112160876	+	1000	577.0
658_83	chr6	11143808	11144015	+	1000	577.0
658_84	chr6	43798925	43799126	+	1000	577.0
658_85	chr1	15952832	15953032	+	1000	574.0
658_86	chr1	116827329	116827535	+	1000	574.0
658_87	chr3	5023421	5023632	+	1000	573.0
658_88	chr1	201896017	201896220	+	1000	571.0
658_89	chr2	100292186	100292391	+	1000	571.0
658_90	chr1	108016522	108016732	+	1000	569.0
658_91	chr17	27332853	27333054	+	1000	569.0
658_92	chr3	36958007	36958222	+	1000	569.0
658_93	chr10	5548950	5549151	+	1000	567.0
658_94	chr10	7028293	7028504	+	1000	567.0
658_95	chr17	27353708	27353918	+	1000	566.0
658_96	chr18	35459000	35459204	+	1000	566.0
658_97	chr6	52517634	52517837	+	1000	566.0
658_98	chr6	31734723	31734933	+	1000	565.0
658_99	chr1	26070411	26070623	+	1000	564.0
658_100	chr2	43293908	43294113	+	1000	564.0
658_101	chr7	22350866	22351079	+	1000	564.0
658_102	chr8	100900491	100900706	+	1000	563.0
658_103	chr12	109999022	109999228	+	1000	562.0
658_104	chr20	50166123	50166326	+	1000	562.0
658_105	chr4	6916695	6916902	+	1000	560.0
658_106	chr10	17228423	17228646	+	1000	559.0
658_107	chr2	12177067	12177277	+	1000	559.0
658_108	chr2	12965508	12965718	+	1000	559.0
658_109	chr3	4531486	4531687	+	1000	559.0
658_110	chr21	46188461	46188661	+	1000	558.0
658_111	chr5	91280512	91280717	+	1000	558.0
658_112	chr6	32971894	32972095	+	1000	558.0
658_113	chr6	37791421	37791625	+	1000	558.0
658_114	chr1	14437045	14437246	+	1000	557.0
658_115	chr2	20579354	20579556	+	1000	557.0
658_116	chr3	197031557	197031776	+	1000	557.0
658_117	chr22	40711639	40711843	+	1000	556.0
658_118	chr7	107035496	107035698	+	1000	556.0
658_119	chr17	48972403	48972623	+	1000	555.0
658_120	chr22	21556088	21556293	+	1000	555.0
658_121	chr18	9899074	9899275	+	1000	554.0
658_122	chr3	9715920	9716134	+	1000	554.0
658_123	chr3	41962055	41962262	+	1000	554.0
658_124	chr6	7975120	7975331	+	1000	554.0
658_125	chr12	56158205	56158423	+	1000	553.0
658_126	chr3	44236012	44236213	+	1000	552.0
658_127	chr1	15543602	15543815	+	1000	551.0
658_128	chr2	118803074	118803276	+	1000	551.0
658_129	chr1	27542539	27542751	+	1000	550.0
658_130	chr6	10347826	10348030	+	1000	550.0
658_131	chr19	10194937	10195143	+	1000	549.0
658_132	chr11	108497690	108497896	+	1000	548.0
658_133	chr21	38787616	38787818	+	1000	548.0
658_134	chr22	21102850	21103070	+	1000	547.0
658_135	chr6	20811268	20811481	+	1000	547.0
658_136	chr18	3603526	3603730	+	1000	546.0
658_137	chr22	19479166	19479405	+	1000	546.0
658_138	chr6	137863290	137863493	+	1000	546.0
658_139	chr15	67024459	67024661	+	1000	545.0
658_140	chr15	67091336	67091539	+	1000	543.0
658_141	chr17	35809243	35809451	+	1000	543.0
658_142	chr19	13880282	13880493	+	1000	542.0
658_143	chr19	46193204	46193415	+	1000	542.0
658_144	chr22	20916850	20917052	+	1000	542.0
658_145	chr6	42028598	42028814	+	1000	539.0
