#PeakID(python identify_motif.py ./ENCODE_processed_files/MYC_idr.fa MYC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
640_10006	chr6	43798854	43799254	+	1000	83.0	[9.957076]	[117]	[9.3206]	[118]	[43799064]	[43799065]
640_10007	chr6	52504069	52504469	+	1000	83.0	[]	[]	[7.3538165]	[124]	[]	[52504274]
640_1001	chr5	140564465	140564865	+	1000	259.0	[9.3206]	[141]	[12.820818]	[142]	[140564684]	[140564685]
640_10011	chr6	166956490	166956890	+	1000	83.0	[7.3984704]	[108]	[7.4328523]	[109]	[166956672]	[166956673]
640_10012	chr7	22443463	22443863	+	1000	83.0	[9.957076]	[145]	[12.820818]	[146]	[22443691]	[22443692]
640_10016	chr7	113071451	113071851	+	1000	83.0	[12.820818]	[132]	[12.820818]	[133]	[113071678]	[113071679]
640_10024	chr8	144852830	144853230	+	1000	83.0	[]	[]	[7.5613456]	[62]	[]	[144852990]
640_10034	chrX	120485798	120486198	+	1000	83.0	[9.957076]	[106]	[12.820818]	[107]	[120485959]	[120485960]
640_10036	chr1	1201366	1201766	+	1000	82.0	[8.344066, 7.3805842]	[95, 109]	[7.981569]	[110]	[1201551, 1201565]	[1201566]
640_1004	chr1	161153833	161154233	+	1000	258.0	[8.344066]	[80]	[]	[]	[161154011]	[]
640_10048	chr1	153404695	153405095	+	1000	82.0	[12.820818]	[84]	[12.820818]	[85]	[153404872]	[153404873]
640_1005	chr17	2029923	2030323	+	1000	258.0	[8.415787]	[139]	[]	[]	[2030151]	[]
640_10052	chr1	212488513	212488913	+	1000	82.0	[]	[]	[7.5613456, 9.081068]	[71, 137]	[]	[212488682, 212488748]
640_10053	chr1	225817660	225818060	+	1000	82.0	[]	[]	[9.081068]	[73]	[]	[225817833]
640_10054	chr1	226109975	226110375	+	1000	82.0	[]	[]	[8.344066]	[157]	[]	[226110216]
640_10056	chr10	47326827	47327227	+	1000	82.0	[9.3206]	[137]	[9.957076]	[138]	[47327063]	[47327064]
640_10059	chr10	117375412	117375812	+	1000	82.0	[12.820818]	[169]	[8.415534, 12.820818]	[76, 170]	[117375657]	[117375564, 117375658]
640_1006	chr17	76506356	76506756	+	1000	258.0	[12.820818]	[123]	[12.820818]	[124]	[76506575]	[76506576]
640_10060	chr10	119178747	119179147	+	1000	82.0	[9.859796]	[119]	[12.820818]	[120]	[119178963]	[119178964]
640_10066	chr11	72821908	72822308	+	1000	82.0	[8.415534]	[87]	[8.344066, 8.334265]	[88, 130]	[72822062]	[72822063, 72822105]
640_10069	chr11	108592784	108593184	+	1000	82.0	[9.957076]	[121]	[12.820818]	[122]	[108592998]	[108592999]
640_10072	chr13	38349649	38350049	+	1000	82.0	[]	[]	[7.2921777]	[80]	[]	[38349819]
640_10073	chr13	114065377	114065777	+	1000	82.0	[]	[]	[9.081068]	[130]	[]	[114065602]
640_10077	chr14	100447215	100447615	+	1000	82.0	[7.3805842, 9.957076, 12.820818]	[60, 94, 152]	[9.859796, 9.859796]	[95, 153]	[100447367, 100447401, 100447459]	[100447402, 100447460]
640_1008	chr18	3603298	3603698	+	1000	258.0	[12.820818]	[107]	[9.3206]	[108]	[3603505]	[3603506]
640_1009	chr19	4328535	4328935	+	1000	258.0	[8.415534]	[58]	[8.344066]	[59]	[4328689]	[4328690]
640_10095	chr17	7915695	7916095	+	1000	82.0	[]	[]	[7.3538165]	[77]	[]	[7915861]
640_101	chrX	48574627	48575027	+	1000	481.0	[8.344066, 12.820818]	[92, 124]	[12.820818]	[125]	[48574811, 48574843]	[48574844]
640_10117	chr2	38603401	38603801	+	1000	82.0	[]	[]	[8.415534]	[134]	[]	[38603626]
640_1012	chr20	57524890	57525290	+	1000	258.0	[7.981569, 8.415534]	[95, 104]	[]	[]	[57525084, 57525093]	[]
