#PeakID(python identify_motif.py ./ENCODE_processed_files/NFE2_idr.fa NFE2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
314_10	chr6	17907677	17908077	+	1000	691.0	[10.383591]	[70]	[8.735081]	[70]	[17907844]	[17907844]
314_100	chr3	53270054	53270454	+	1000	497.0	[]	[]	[3.8185804]	[94]	[]	[53270248]
314_1000	chr5	103472846	103473246	+	1000	325.0	[10.383591]	[137]	[8.735081]	[137]	[103473074]	[103473074]
314_10000	chr20	49852516	49852916	+	1000	94.0	[4.268303]	[107]	[4.392465]	[107]	[49852722]	[49852722]
314_10001	chr20	57451920	57452320	+	1000	94.0	[8.706215]	[141]	[10.325563, 3.8442411]	[141, 154]	[57452143]	[57452143, 57452156]
314_10003	chr22	21596714	21597114	+	1000	94.0	[3.7824428]	[103]	[]	[]	[21596903]	[]
314_10004	chr22	36328633	36329033	+	1000	94.0	[14.211601]	[118]	[11.627113]	[118]	[36328850]	[36328850]
314_10005	chr22	39840057	39840457	+	1000	94.0	[8.706215]	[119]	[10.310684]	[119]	[39840258]	[39840258]
314_10008	chr3	15606541	15606941	+	1000	94.0	[4.268303]	[104]	[4.392465]	[104]	[15606742]	[15606742]
314_10009	chr3	31314265	31314665	+	1000	94.0	[8.735081]	[95]	[10.383591, 3.92216]	[95, 141]	[31314449]	[31314449, 31314495]
314_10010	chr3	37993767	37994167	+	1000	94.0	[]	[]	[3.9807768]	[112]	[]	[37993973]
314_10012	chr3	128425785	128426185	+	1000	94.0	[6.7177763]	[97]	[6.01237]	[97]	[128425979]	[128425979]
314_10014	chr3	130343076	130343476	+	1000	94.0	[5.96147]	[123]	[6.6523285]	[123]	[130343294]	[130343294]
314_10016	chr4	53480894	53481294	+	1000	94.0	[6.01237]	[110]	[6.7177763]	[110]	[53481098]	[53481098]
314_10018	chr5	14901384	14901784	+	1000	94.0	[3.825743]	[96]	[]	[]	[14901578]	[]
314_10019	chr5	56310757	56311157	+	1000	94.0	[11.627113]	[104]	[14.211601]	[104]	[56310917]	[56310917]
314_1002	chr7	107463225	107463625	+	1000	325.0	[4.195397]	[85]	[4.356292]	[85]	[107463407]	[107463407]
314_10021	chr5	143176055	143176455	+	1000	94.0	[5.1457915]	[105]	[7.587974]	[105]	[143176258]	[143176258]
314_10022	chr5	167937545	167937945	+	1000	94.0	[8.735081]	[111]	[10.383591]	[111]	[167937751]	[167937751]
314_10023	chr5	175517843	175518243	+	1000	94.0	[16.93431, 10.545787]	[76, 150]	[15.292928, 8.904404]	[76, 150]	[175518017, 175518091]	[175518017, 175518091]
314_10024	chr6	2429522	2429922	+	1000	94.0	[8.742208]	[114]	[10.376464]	[114]	[2429731]	[2429731]
314_10025	chr6	15036644	15037044	+	1000	94.0	[]	[]	[3.7819347]	[68]	[]	[15036809]
314_10028	chr6	16345542	16345942	+	1000	94.0	[7.646591]	[111]	[5.0621037]	[111]	[16345750]	[16345750]
314_10029	chr6	24428596	24428996	+	1000	94.0	[]	[]	[3.8107421]	[99]	[]	[24428792]
314_1003	chr8	107495829	107496229	+	1000	325.0	[4.268303]	[104]	[4.392465]	[104]	[107496029]	[107496029]
314_10030	chr6	25660506	25660906	+	1000	94.0	[4.217658, 6.01237, 8.669301]	[73, 101, 139]	[4.406684, 6.7177763, 10.347598]	[73, 101, 139]	[25660678, 25660706, 25660744]	[25660678, 25660706, 25660744]
314_10032	chr6	43961950	43962350	+	1000	94.0	[8.669301, 3.7819347]	[106, 151]	[10.34029]	[106]	[43962145, 43962190]	[43962145]
314_10033	chr6	134525187	134525587	+	1000	94.0	[10.383591]	[99]	[8.735081]	[99]	[134525385]	[134525385]
314_10036	chr7	26616242	26616642	+	1000	94.0	[8.735081]	[135]	[10.383591]	[135]	[26616470]	[26616470]
314_10038	chr7	74452272	74452672	+	1000	94.0	[8.735081, 12.570218, 5.076393]	[112, 119, 138]	[10.383591, 13.2684965, 7.6537538]	[112, 119, 138]	[74452475, 74452482, 74452501]	[74452475, 74452482, 74452501]
314_1004	chr1	21638580	21638980	+	1000	324.0	[10.383591, 14.211601]	[90, 151]	[8.735081, 11.627113]	[90, 151]	[21638767, 21638828]	[21638767, 21638828]
314_10041	chr7	144862978	144863378	+	1000	94.0	[6.01237]	[100]	[6.7177763]	[100]	[144863175]	[144863175]
314_10043	chr8	1744913	1745313	+	1000	94.0	[8.742208]	[93]	[10.376464]	[93]	[1745100]	[1745100]
314_10045	chr8	38912669	38913069	+	1000	94.0	[6.7177763]	[121]	[6.01237]	[121]	[38912874]	[38912874]
314_10046	chr8	42392349	42392749	+	1000	94.0	[]	[]	[3.7968774]	[119]	[]	[42392563]
314_10047	chr8	101098490	101098890	+	1000	94.0	[16.93431, 15.292928]	[96, 112]	[15.292928, 16.93431]	[96, 112]	[101098685, 101098701]	[101098685, 101098701]
314_1005	chr1	42967092	42967492	+	1000	324.0	[7.6537538, 10.376464]	[87, 110]	[5.076393, 8.742208]	[87, 110]	[42967274, 42967297]	[42967274, 42967297]
314_10052	chr9	112502112	112502512	+	1000	94.0	[8.735081, 10.310684]	[153, 160]	[10.383591, 8.811605]	[153, 160]	[112502355, 112502362]	[112502355, 112502362]
314_10055	chr1	21091058	21091458	+	1000	93.0	[6.7177763, 6.7177763]	[106, 121]	[6.01237, 6.01237]	[106, 121]	[21091255, 21091270]	[21091255, 21091270]
314_10056	chr1	21919449	21919849	+	1000	93.0	[12.570218]	[147]	[3.7824428, 13.2684965]	[100, 147]	[21919671]	[21919624, 21919671]
314_10057	chr1	25063661	25064061	+	1000	93.0	[8.735081]	[105]	[3.7824428, 10.383591]	[72, 105]	[25063861]	[25063828, 25063861]
314_10058	chr1	27599131	27599531	+	1000	93.0	[7.6537538]	[108]	[5.076393]	[108]	[27599335]	[27599335]
314_1006	chr1	167747980	167748380	+	1000	324.0	[8.735081]	[96]	[10.383591]	[96]	[167748176]	[167748176]
314_10061	chr1	45525025	45525425	+	1000	93.0	[3.7824428]	[104]	[]	[]	[45525220]	[]
314_10062	chr1	54801423	54801823	+	1000	93.0	[]	[]	[3.825743]	[123]	[]	[54801637]
314_10063	chr1	65021818	65022218	+	1000	93.0	[6.64487]	[97]	[5.983505]	[97]	[65022014]	[65022014]
314_10065	chr1	147718988	147719388	+	1000	93.0	[10.383591]	[94]	[8.735081]	[94]	[147719181]	[147719181]
314_10066	chr1	148996819	148997219	+	1000	93.0	[10.383591]	[89]	[8.735081]	[89]	[148997004]	[148997004]
314_10067	chr1	150604692	150605092	+	1000	93.0	[3.9590735]	[99]	[]	[]	[150604881]	[]
314_1007	chr10	12221897	12222297	+	1000	324.0	[8.742208]	[107]	[10.376464]	[107]	[12222097]	[12222097]
314_10070	chr1	224428720	224429120	+	1000	93.0	[4.261176]	[105]	[4.399592]	[105]	[224428923]	[224428923]
314_10074	chr1	244137686	244138086	+	1000	93.0	[]	[]	[3.7968774]	[100]	[]	[244137885]
314_10075	chr1	245621550	245621950	+	1000	93.0	[7.6537538]	[116]	[5.076393]	[116]	[245621755]	[245621755]
