#PeakID(python identify_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_100	chr2	219387432	219387832	+	1000	503.0	[]	[]	[12.521293, 12.521293]	[109, 115]	[]	[219387639, 219387645]
642_10001	chr22	22866357	22866757	+	1000	40.0	[3.2771003]	[183]	[]	[]	[22866578]	[]
642_10004	chr22	22966898	22967298	+	1000	40.0	[]	[]	[3.3478272]	[160]	[]	[22967099]
642_10005	chr22	22979281	22979681	+	1000	40.0	[3.4720602]	[145]	[]	[]	[22979451]	[]
642_10006	chr22	22979899	22980299	+	1000	40.0	[]	[]	[4.3336134]	[90]	[]	[22980056]
642_10009	chr22	29553723	29554123	+	1000	40.0	[3.6080077]	[171]	[]	[]	[29553959]	[]
642_1001	chr10	67849329	67849729	+	1000	122.0	[]	[]	[3.4720602]	[164]	[]	[67849520]
642_10013	chr3	17730191	17730591	+	1000	40.0	[]	[]	[4.3336134]	[181]	[]	[17730396]
642_10015	chr3	19945497	19945897	+	1000	40.0	[]	[]	[3.3478272]	[184]	[]	[19945735]
642_10025	chr3	47315187	47315587	+	645	40.0	[4.593794]	[223]	[]	[]	[47315430]	[]
642_10027	chr3	87806639	87807039	+	1000	40.0	[]	[]	[16.66425, 3.6080077]	[105, 122]	[]	[87806841, 87806858]
642_10029	chr3	105987827	105988227	+	1000	40.0	[]	[]	[5.6029005, 16.66425, 5.3194]	[120, 126, 132]	[]	[105988017, 105988023, 105988029]
642_10032	chr3	139052755	139053155	+	1000	40.0	[]	[]	[5.863081]	[133]	[]	[139052974]
642_10039	chr3	184154359	184154759	+	1000	40.0	[]	[]	[16.66425]	[118]	[]	[184154573]
642_10045	chr4	55633925	55634325	+	1000	40.0	[]	[]	[10.006039]	[77]	[]	[55634078]
642_10046	chr4	74093329	74093729	+	1000	40.0	[]	[]	[12.521293]	[93]	[]	[74093521]
642_10052	chr4	112109738	112110138	+	1000	40.0	[]	[]	[12.261112, 6.848867]	[109, 115]	[]	[112109942, 112109948]
642_10055	chr5	36739567	36739967	+	1000	40.0	[3.4720602]	[154]	[]	[]	[36739804]	[]
642_10057	chr5	39115537	39115937	+	1000	40.0	[14.409177]	[140]	[]	[]	[39115771]	[]
642_10063	chr5	82280370	82280770	+	1000	40.0	[18.919323]	[124]	[]	[]	[82280531]	[]
642_10070	chr5	134367068	134367468	+	1000	40.0	[6.848867]	[71]	[]	[]	[134367231]	[]
642_10078	chr5	178127477	178127877	+	1000	40.0	[3.3478272]	[142]	[]	[]	[178127713]	[]
642_10081	chr6	6712534	6712934	+	1000	40.0	[13.246898, 6.5886865]	[152, 158]	[]	[]	[6712773, 6712779]	[]
642_10087	chr6	13406847	13407247	+	1000	40.0	[]	[]	[5.3194]	[124]	[]	[13407068]
642_10097	chr6	29011228	29011628	+	1000	40.0	[3.4720602]	[94]	[]	[]	[29011389]	[]
642_101	chr19	49717420	49717820	+	1000	500.0	[]	[]	[12.521293]	[97]	[]	[49717608]
642_1010	chr7	54743601	54744001	+	1000	122.0	[]	[]	[18.919323, 3.6080077]	[125, 131]	[]	[54743818, 54743824]
642_10104	chr6	36954176	36954576	+	935	40.0	[]	[]	[4.3336134]	[184]	[]	[36954396]
642_10111	chr6	68028157	68028557	+	1000	40.0	[12.521293]	[98]	[]	[]	[68028350]	[]
642_10115	chr6	85680121	85680521	+	1000	40.0	[12.521293]	[81]	[]	[]	[85680282]	[]
642_10119	chr6	114998002	114998402	+	1000	40.0	[]	[]	[5.6029005, 16.66425, 5.863081, 5.863081]	[104, 110, 116, 127]	[]	[114998195, 114998201, 114998207, 114998218]
642_1012	chr1	193418433	193418833	+	1000	121.0	[5.863081, 13.246898, 18.919323]	[68, 78, 84]	[]	[]	[193418596, 193418606, 193418612]	[]
642_10120	chr6	126199441	126199841	+	1000	40.0	[10.991825, 5.863081]	[123, 129]	[3.3478272]	[79]	[126199656, 126199662]	[126199612]
642_1013	chr1	234373227	234373627	+	1000	121.0	[16.66425, 5.6029005]	[100, 132]	[]	[]	[234373427, 234373459]	[]
642_10139	chr7	43029875	43030275	+	1000	40.0	[18.919323]	[115]	[]	[]	[43030088]	[]
642_1014	chr10	42646230	42646630	+	1000	121.0	[10.130272, 12.261112, 12.3853445]	[75, 81, 87]	[]	[]	[42646404, 42646410, 42646416]	[]
642_10148	chr7	100478995	100479395	+	1000	40.0	[]	[]	[13.246898]	[140]	[]	[100479189]
642_1015	chr11	93718180	93718580	+	1000	121.0	[]	[]	[5.6029005, 6.954633, 4.3336134]	[110, 116, 130]	[]	[93718390, 93718396, 93718410]
642_10162	chr7	131108542	131108942	+	1000	40.0	[4.457846]	[191]	[]	[]	[131108756]	[]
642_10163	chr7	131336848	131337248	+	1000	40.0	[]	[]	[3.3478272]	[71]	[]	[131337005]
642_10169	chr7	136079587	136079987	+	1000	40.0	[]	[]	[4.593794]	[140]	[]	[136079787]
642_10173	chr7	152335909	152336309	+	1000	40.0	[]	[]	[3.6080077, 10.006039, 3.6080077, 3.7322407]	[96, 102, 114, 128]	[]	[152336091, 152336097, 152336109, 152336123]
642_1018	chr16	68764899	68765299	+	1000	121.0	[]	[]	[16.66425]	[120]	[]	[68765116]
642_10181	chr8	23074414	23074814	+	1000	40.0	[4.593794]	[144]	[]	[]	[23074590]	[]
642_10182	chr8	30157507	30157907	+	1000	40.0	[]	[]	[3.3478272]	[64]	[]	[30157658]
642_10183	chr8	30655932	30656332	+	1000	40.0	[4.3336134]	[177]	[5.863081, 5.863081]	[119, 166]	[30656175]	[30656117, 30656164]
642_10187	chr8	53884559	53884959	+	1000	40.0	[3.3478272]	[101]	[]	[]	[53884745]	[]
642_10195	chr8	124956077	124956477	+	1000	40.0	[3.7322407]	[160]	[]	[]	[124956264]	[]
642_10196	chr8	129999886	130000286	+	1000	40.0	[5.863081]	[107]	[]	[]	[130000041]	[]
642_10201	chr9	68747954	68748354	+	1000	40.0	[]	[]	[3.6080077, 5.863081]	[99, 120]	[]	[68748143, 68748164]
642_10202	chr9	97694101	97694501	+	1000	40.0	[18.919323]	[144]	[]	[]	[97694330]	[]
642_10205	chr9	107548314	107548714	+	1000	40.0	[14.409177, 6.5886865]	[149, 155]	[]	[]	[107548549, 107548555]	[]
642_10215	chr9	130851157	130851557	+	1000	40.0	[]	[]	[6.5886865]	[192]	[]	[130851381]
642_10222	chr9	131112373	131112773	+	1000	40.0	[3.2771003]	[186]	[]	[]	[131112587]	[]
642_10224	chr9	131205333	131205733	+	1000	40.0	[6.694453]	[178]	[]	[]	[131205559]	[]
642_10227	chrUn_GL000224v1	1271	1671	+	1000	40.0	[6.5886865]	[130]	[]	[]	[1500]	[]
642_1023	chr3	171491429	171491829	+	1000	121.0	[]	[]	[10.006039, 10.006039, 12.261112, 10.991825, 3.6080077]	[100, 106, 112, 118, 151]	[]	[171491625, 171491631, 171491637, 171491643, 171491676]
642_10230	chrX	48475772	48476172	+	1000	40.0	[7.7509656]	[131]	[]	[]	[48475924]	[]
642_10232	chrX	49012807	49013207	+	1000	40.0	[8.736752, 16.66425]	[97, 103]	[]	[]	[49013003, 49013009]	[]
642_10234	chrX	119970637	119971037	+	1000	40.0	[]	[]	[5.863081]	[83]	[]	[119970819]
642_10237	chrX	153032576	153032976	+	1000	40.0	[3.3478272, 12.521293]	[71, 88]	[]	[]	[153032734, 153032751]	[]
642_1024	chr5	49657069	49657469	+	1000	121.0	[]	[]	[10.006039]	[148]	[]	[49657317]
642_10242	chr1	15027437	15027837	+	1000	39.0	[4.3336134]	[127]	[]	[]	[15027662]	[]
642_10244	chr1	15823653	15824053	+	1000	39.0	[]	[]	[16.66425, 10.006039]	[139, 145]	[]	[15823874, 15823880]
642_10249	chr1	22053344	22053744	+	1000	39.0	[]	[]	[4.3336134]	[170]	[]	[22053586]
642_10252	chr1	26104959	26105359	+	1000	39.0	[]	[]	[3.3478272]	[190]	[]	[26105206]
642_10259	chr1	28890247	28890647	+	1000	39.0	[]	[]	[12.521293, 13.246898]	[105, 111]	[]	[28890411, 28890417]
642_10262	chr1	35774562	35774962	+	1000	39.0	[]	[]	[5.3194, 7.7509656]	[119, 153]	[]	[35774715, 35774749]
642_10272	chr1	77926577	77926977	+	1000	39.0	[12.261112, 10.266219, 10.266219]	[97, 132, 176]	[5.6029005]	[115]	[77926728, 77926763, 77926807]	[77926746]
642_10286	chr1	125179309	125179709	+	1000	39.0	[]	[]	[3.3478272]	[157]	[]	[125179532]
642_10292	chr1	155139611	155140011	+	1000	39.0	[]	[]	[12.261112, 3.3478272]	[121, 127]	[]	[155139817, 155139823]
642_10296	chr1	161738657	161739057	+	1000	39.0	[4.3336134]	[146]	[]	[]	[161738871]	[]
642_1030	chr12	89333874	89334274	+	1000	120.0	[]	[]	[10.991825, 5.863081]	[110, 116]	[]	[89334082, 89334088]
642_10300	chr1	174114776	174115176	+	1000	39.0	[]	[]	[6.7129197]	[194]	[]	[174115020]
642_10307	chr1	196684575	196684975	+	1000	39.0	[18.919323]	[86]	[]	[]	[196684755]	[]
