#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPB_idr.fa CEBPB --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
878_10	chr4	83630119	83630519	+	1000	726.0	[12.432437]	[101]	[11.660454]	[100]	[83630318]	[83630317]
878_10001	chr1	117638715	117639115	+	1000	109.0	[]	[]	[9.382546, 6.587911]	[92, 114]	[]	[117638905, 117638927]
878_10004	chr1	216212823	216213223	+	1000	109.0	[14.710344]	[100]	[14.710344]	[99]	[216213021]	[216213020]
878_10005	chr1	244963367	244963767	+	1000	109.0	[7.215275]	[102]	[8.302869]	[101]	[244963563]	[244963562]
878_10007	chr10	5975897	5976297	+	1000	109.0	[8.219931]	[114]	[11.993677]	[113]	[5976106]	[5976105]
878_10008	chr10	17659316	17659716	+	1000	109.0	[6.415165]	[100]	[8.800273]	[99]	[17659508]	[17659507]
878_10009	chr10	29481899	29482299	+	1000	109.0	[12.102169]	[100]	[11.303083]	[99]	[29482086]	[29482085]
878_1001	chr7	121007007	121007407	+	1000	401.0	[11.473993]	[104]	[12.245977]	[103]	[121007210]	[121007209]
878_10012	chr10	71243928	71244328	+	1000	109.0	[11.303083]	[104]	[12.102169]	[103]	[71244128]	[71244127]
878_10015	chr10	112843584	112843984	+	1000	109.0	[6.368189]	[97]	[]	[]	[112843778]	[]
878_10016	chr10	119886066	119886466	+	1000	109.0	[14.601852]	[95]	[11.440731]	[94]	[119886259]	[119886258]
878_10018	chr11	71241292	71241692	+	1000	109.0	[12.102169]	[104]	[11.489543]	[103]	[71241493]	[71241492]
878_10019	chr12	26942280	26942680	+	1000	109.0	[11.14578]	[93]	[11.332239]	[92]	[26942468]	[26942467]
878_10020	chr12	31662454	31662854	+	1000	109.0	[11.440731]	[107]	[14.415392]	[106]	[31662658]	[31662657]
878_10021	chr12	54175205	54175605	+	1000	109.0	[6.601625]	[94]	[]	[]	[54175397]	[]
878_10022	chr12	79964111	79964511	+	1000	109.0	[]	[]	[8.007916]	[109]	[]	[79964317]
878_10024	chr12	122067567	122067967	+	1000	109.0	[6.553837]	[96]	[11.415177]	[95]	[122067757]	[122067756]
