#PeakID(python scan_motif.py ./ENCODE_processed_files/STAT5A_idr.fa STAT5A --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
133_1	chrM	15042	15442	+	1000	802.0	[6.244324]	[90]	[]	[]	[15228]	[]
133_100	chr7	129958629	129959029	+	1000	469.0	[]	[]	[8.355901]	[141]	[]	[129958864]
133_1000	chr3	172391621	172392021	+	1000	230.0	[9.6861105, 15.901753]	[105, 142]	[8.538297]	[142]	[172391813, 172391850]	[172391850]
133_10004	chr1	23979359	23979759	+	1000	60.0	[14.173678]	[179]	[11.842608]	[179]	[23979606]	[23979606]
133_10005	chr1	27027081	27027481	+	1000	60.0	[]	[]	[6.6379886]	[153]	[]	[27027268]
133_10006	chr1	27690197	27690597	+	1000	60.0	[6.7182117, 13.548076]	[77, 98]	[13.548076, 6.7182117]	[77, 98]	[27690368, 27690389]	[27690368, 27690389]
133_10009	chr1	32695057	32695457	+	1000	60.0	[11.820001]	[130]	[10.022524]	[130]	[32695273]	[32695273]
133_10014	chr1	67898403	67898803	+	1000	60.0	[]	[]	[10.7095785, 8.735476]	[110, 133]	[]	[67898605, 67898628]
133_10018	chr1	109895754	109896154	+	1000	60.0	[]	[]	[6.626151]	[123]	[]	[109895961]
133_10020	chr1	155135077	155135477	+	1000	60.0	[8.496579]	[114]	[]	[]	[155135266]	[]
133_10027	chr1	204859917	204860317	+	807	60.0	[]	[]	[9.029213]	[82]	[]	[204860095]
133_1003	chr5	90658607	90659007	+	1000	230.0	[]	[]	[7.57549]	[59]	[]	[90658764]
133_10030	chr1	228085379	228085779	+	1000	60.0	[]	[]	[6.410166]	[73]	[]	[228085551]
133_10034	chr1	243255869	243256269	+	1000	60.0	[8.515688]	[204]	[11.750599]	[204]	[243256108]	[243256108]
133_10035	chr10	22736081	22736481	+	1000	60.0	[8.588062]	[147]	[]	[]	[22736308]	[]
133_1004	chr7	100897798	100898198	+	1000	230.0	[11.842608]	[108]	[14.173678]	[108]	[100898002]	[100898002]
133_10047	chr11	33371045	33371445	+	1000	60.0	[11.842608]	[126]	[14.173678]	[126]	[33371265]	[33371265]
133_10049	chr11	62621960	62622360	+	1000	60.0	[10.022524]	[138]	[11.820001]	[138]	[62622185]	[62622185]
133_10052	chr11	65934046	65934446	+	723	60.0	[]	[]	[7.2345104]	[109]	[]	[65934241]
133_10056	chr11	78285113	78285513	+	1000	60.0	[10.850257]	[169]	[]	[]	[78285337]	[]
133_10057	chr11	96323304	96323704	+	1000	60.0	[9.035112]	[131]	[9.051821]	[131]	[96323534]	[96323534]
133_10060	chr11	124115198	124115598	+	1000	60.0	[8.610671, 6.136779]	[93, 113]	[6.136779]	[114]	[124115390, 124115410]	[124115411]
133_10061	chr12	24695924	24696324	+	1000	60.0	[]	[]	[8.610671]	[130]	[]	[24696116]
133_10062	chr12	50041857	50042257	+	1000	60.0	[]	[]	[8.267781, 12.039788]	[109, 133]	[]	[50042054, 50042078]
133_10063	chr12	51389337	51389737	+	1000	60.0	[]	[]	[7.097286]	[120]	[]	[51389518]
133_10068	chr12	64362642	64363042	+	1000	60.0	[6.7182117, 11.842608]	[72, 93]	[13.548076, 14.173678]	[72, 93]	[64362809, 64362830]	[64362809, 64362830]
