#PeakID(python identify_motif.py ./ENCODE_processed_files/PBX2_idr.fa PBX2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
919_0	chrM	-35	365	+	1000	766.0	[]	[]	[6.7925434]	[142]	[]	[206]
919_100	chr19	8390091	8390491	+	1000	282.0	[7.597396]	[81]	[]	[]	[8390271]	[]
919_1000	chr1	28643057	28643457	+	1000	105.0	[10.434889]	[93]	[]	[]	[28643250]	[]
919_10002	chr1	45960915	45961315	+	900	27.0	[]	[]	[9.715816, 8.833028]	[114, 128]	[]	[45961123, 45961137]
919_10005	chr1	62783855	62784255	+	893	27.0	[]	[]	[8.976292]	[113]	[]	[62784040]
919_1001	chr1	46156511	46156911	+	1000	105.0	[]	[]	[12.174601, 8.141477]	[107, 121]	[]	[46156712, 46156726]
919_10011	chr1	100544759	100545159	+	754	27.0	[]	[]	[8.436447]	[106]	[]	[100544941]
919_10013	chr1	109298557	109298957	+	942	27.0	[]	[]	[7.9515624]	[128]	[]	[109298784]
919_10025	chr1	149939031	149939431	+	825	27.0	[9.370035, 7.990104, 8.661762]	[91, 95, 107]	[]	[]	[149939215, 149939219, 149939231]	[]
919_10028	chr1	156115216	156115616	+	945	27.0	[9.76323]	[151]	[]	[]	[156115425]	[]
919_1003	chr10	78406952	78407352	+	1000	105.0	[15.3284025]	[103]	[]	[]	[78407151]	[]
919_10033	chr1	182338047	182338447	+	701	27.0	[7.4612455]	[200]	[]	[]	[182338297]	[]
919_10036	chr1	201703602	201704002	+	930	27.0	[]	[]	[7.94979]	[191]	[]	[201703816]
919_1004	chr11	16280261	16280661	+	1000	105.0	[]	[]	[13.096307]	[133]	[]	[16280481]
919_10043	chr1	219664580	219664980	+	758	27.0	[]	[]	[11.2828665]	[96]	[]	[219664765]
919_10048	chr1	227762390	227762790	+	942	27.0	[7.249742]	[158]	[]	[]	[227762640]	[]
