#PeakID(python scan_motif.py ./ENCODE_processed_files/GATA1_idr.fa GATA1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
156_1	chrM	9700	10100	+	1000	804.0	[8.04971]	[74]	[]	[]	[9873]	[]
156_100	chr17	11908729	11909129	+	1000	371.0	[11.148683]	[125]	[9.473773]	[151]	[11908943]	[11908969]
156_1000	chr17	28527290	28527690	+	1000	173.0	[]	[]	[11.148683]	[78]	[]	[28527468]
156_10001	chr18	36132112	36132512	+	739	42.0	[7.286461]	[79]	[]	[]	[36132266]	[]
156_10002	chr18	57588262	57588662	+	1000	42.0	[]	[]	[11.148683]	[122]	[]	[57588483]
156_10004	chr19	1241404	1241804	+	1000	42.0	[11.148683]	[114]	[]	[]	[1241595]	[]
156_10005	chr19	2552788	2553188	+	804	42.0	[]	[]	[7.3913875]	[126]	[]	[2552999]
156_10007	chr19	5968126	5968526	+	1000	42.0	[]	[]	[11.148683]	[119]	[]	[5968343]
156_10008	chr19	8371366	8371766	+	1000	42.0	[11.148683]	[116]	[]	[]	[8371567]	[]
156_10010	chr19	28605569	28605969	+	757	42.0	[]	[]	[8.230114]	[95]	[]	[28605751]
156_10011	chr19	46791990	46792390	+	1000	42.0	[]	[]	[11.148683]	[124]	[]	[46792188]
156_10013	chr19	50823348	50823748	+	1000	42.0	[]	[]	[7.842722, 11.148683]	[78, 103]	[]	[50823526, 50823551]
156_10014	chr19	51158435	51158835	+	1000	42.0	[12.392342]	[114]	[]	[]	[51158632]	[]
156_10018	chr2	37682502	37682902	+	1000	42.0	[11.148683, 7.74083]	[110, 115]	[]	[]	[37682709, 37682714]	[]
156_10019	chr2	43040363	43040763	+	1000	42.0	[7.696181]	[120]	[]	[]	[43040535]	[]
156_1002	chr22	25762132	25762532	+	1000	173.0	[8.230114]	[92]	[8.230114]	[146]	[25762307]	[25762361]
156_10021	chr2	55441506	55441906	+	846	42.0	[7.392081]	[87]	[11.148683]	[177]	[55441667]	[55441757]
156_10022	chr2	68391781	68392181	+	1000	42.0	[]	[]	[11.148683]	[132]	[]	[68392012]
156_10023	chr2	85717318	85717718	+	1000	42.0	[11.148683]	[96]	[]	[]	[85717514]	[]
156_10024	chr2	119590880	119591280	+	1000	42.0	[]	[]	[7.696181]	[109]	[]	[119591083]
156_10026	chr2	127373737	127374137	+	1000	42.0	[11.148683]	[135]	[]	[]	[127373970]	[]
156_1003	chr3	45137654	45138054	+	1000	173.0	[]	[]	[11.148683, 8.230114]	[90, 136]	[]	[45137837, 45137883]
156_10031	chr2	192139820	192140220	+	828	42.0	[8.230114]	[86]	[]	[]	[192139995]	[]
156_10032	chr2	204337612	204338012	+	1000	42.0	[]	[]	[11.148683]	[180]	[]	[204337856]
156_10033	chr2	205898742	205899142	+	1000	42.0	[8.230114]	[124]	[11.148683]	[112]	[205898948]	[205898936]
156_10037	chr20	34127789	34128189	+	1000	42.0	[]	[]	[12.392342, 11.148683]	[103, 137]	[]	[34127975, 34128009]
156_10038	chr20	49928713	49929113	+	1000	42.0	[7.392081]	[110]	[]	[]	[49928921]	[]
156_1004	chr4	73832618	73833018	+	1000	173.0	[11.148683, 12.392342]	[73, 98]	[8.190248]	[145]	[73832785, 73832810]	[73832857]
156_10040	chr21	29232718	29233118	+	1000	42.0	[12.392342]	[154]	[]	[]	[29232963]	[]
156_10041	chr21	34897777	34898177	+	1000	42.0	[12.392342, 9.473773]	[96, 101]	[]	[]	[34897953, 34897958]	[]
156_10042	chr22	16784113	16784513	+	1000	42.0	[7.3913875]	[133]	[]	[]	[16784334]	[]
156_10044	chr22	20011682	20012082	+	1000	42.0	[]	[]	[8.230114]	[100]	[]	[20011876]
156_10047	chr22	21881604	21882004	+	1000	42.0	[11.148683]	[144]	[]	[]	[21881796]	[]
156_10048	chr22	38965847	38966247	+	1000	42.0	[]	[]	[11.148683]	[128]	[]	[38966065]
156_1005	chr5	76319733	76320133	+	1000	173.0	[8.230114, 11.148683]	[69, 115]	[]	[]	[76319902, 76319948]	[]
156_10050	chr3	4351226	4351626	+	1000	42.0	[8.203644, 8.230114]	[146, 151]	[]	[]	[4351401, 4351406]	[]
156_10051	chr3	12660790	12661190	+	1000	42.0	[]	[]	[11.148683]	[87]	[]	[12660966]
156_10052	chr3	12999436	12999836	+	1000	42.0	[]	[]	[12.392342]	[119]	[]	[12999620]
156_10053	chr3	38327636	38328036	+	855	42.0	[7.392081]	[125]	[]	[]	[38327861]	[]
156_10055	chr3	43690776	43691176	+	1000	42.0	[]	[]	[11.148683]	[85]	[]	[43690961]
156_10056	chr3	44966739	44967139	+	1000	42.0	[11.148683]	[103]	[]	[]	[44966911]	[]
156_10057	chr3	45135892	45136292	+	1000	42.0	[]	[]	[11.148683]	[77]	[]	[45136046]
156_10058	chr3	47186301	47186701	+	1000	42.0	[8.635739]	[122]	[]	[]	[47186522]	[]
156_10059	chr3	47503039	47503439	+	1000	42.0	[]	[]	[11.148683]	[125]	[]	[47503264]
156_1006	chr6	43836599	43836999	+	1000	173.0	[]	[]	[8.230114]	[124]	[]	[43836797]
156_10060	chr3	47722884	47723284	+	1000	42.0	[]	[]	[11.148683]	[100]	[]	[47723071]
156_10061	chr3	52300139	52300539	+	1000	42.0	[11.148683]	[89]	[7.3065944]	[121]	[52300326]	[52300358]
156_10062	chr3	57998588	57998988	+	1000	42.0	[]	[]	[11.148683]	[124]	[]	[57998797]
156_10063	chr3	67017162	67017562	+	1000	42.0	[]	[]	[8.230114]	[91]	[]	[67017353]
156_10064	chr3	72052778	72053178	+	1000	42.0	[11.148683, 7.286461]	[105, 113]	[8.635739]	[153]	[72052958, 72052966]	[72053006]
156_10065	chr3	108110978	108111378	+	936	42.0	[]	[]	[11.148683]	[149]	[]	[108111215]
156_10066	chr3	131602341	131602741	+	834	42.0	[]	[]	[11.148683]	[168]	[]	[131602584]
156_1007	chr6	119257011	119257411	+	1000	173.0	[]	[]	[8.190248]	[132]	[]	[119257233]
156_10070	chr3	157500177	157500577	+	1000	42.0	[8.635739]	[107]	[7.392081]	[105]	[157500372]	[157500370]
156_10071	chr3	170579583	170579983	+	1000	42.0	[]	[]	[11.148683]	[144]	[]	[170579817]
156_10072	chr3	171748333	171748733	+	1000	42.0	[8.190248]	[144]	[]	[]	[171748561]	[]
156_10075	chr3	177344536	177344936	+	1000	42.0	[8.203644]	[113]	[]	[]	[177344742]	[]
156_10076	chr3	182728219	182728619	+	843	42.0	[11.148683]	[118]	[]	[]	[182728433]	[]
156_1008	chr6	155080019	155080419	+	1000	173.0	[11.148683]	[83]	[]	[]	[155080202]	[]
156_10080	chr4	2816447	2816847	+	620	42.0	[8.230114]	[100]	[]	[]	[2816641]	[]
156_10085	chr4	127525594	127525994	+	1000	42.0	[]	[]	[11.148683]	[126]	[]	[127525820]
156_10086	chr4	139214159	139214559	+	1000	42.0	[]	[]	[12.392342]	[97]	[]	[139214346]
156_10087	chr4	169013366	169013766	+	1000	42.0	[8.635739]	[131]	[]	[]	[169013570]	[]
156_10089	chr5	31378703	31379103	+	1000	42.0	[8.635739, 12.392342]	[96, 101]	[]	[]	[31378887, 31378892]	[]
156_10091	chr5	56212151	56212551	+	1000	42.0	[11.148683]	[135]	[]	[]	[56212362]	[]
156_10092	chr5	72226952	72227352	+	1000	42.0	[7.3913875]	[127]	[]	[]	[72227154]	[]
156_10093	chr5	76874218	76874618	+	1000	42.0	[11.148683]	[113]	[11.148683]	[80]	[76874429]	[76874396]
156_10094	chr5	82420586	82420986	+	1000	42.0	[]	[]	[8.190248]	[131]	[]	[82420814]
156_10097	chr5	108762693	108763093	+	1000	42.0	[11.148683]	[77]	[]	[]	[108762859]	[]
156_10098	chr5	119070681	119071081	+	1000	42.0	[8.230114]	[80]	[]	[]	[119070846]	[]
156_10099	chr5	127963232	127963632	+	1000	42.0	[12.392342]	[90]	[]	[]	[127963421]	[]
156_101	chr22	21947636	21948036	+	1000	371.0	[8.230114]	[78]	[]	[]	[21947811]	[]
156_10101	chr5	148732656	148733056	+	1000	42.0	[7.392081, 11.148683]	[80, 85]	[]	[]	[148732836, 148732841]	[]
156_10102	chr5	149452213	149452613	+	801	42.0	[]	[]	[8.230114]	[110]	[]	[149452412]
156_10104	chr5	160348111	160348511	+	1000	42.0	[]	[]	[8.230114]	[149]	[]	[160348332]
156_10106	chr5	170630696	170631096	+	1000	42.0	[]	[]	[11.148683]	[105]	[]	[170630895]
156_10107	chr5	176420935	176421335	+	1000	42.0	[7.286461, 11.148683]	[138, 143]	[]	[]	[176421150, 176421155]	[]
156_10108	chr6	2856581	2856981	+	1000	42.0	[11.148683]	[122]	[8.635739]	[64]	[2856799]	[2856741]
156_1011	chr1	52614037	52614437	+	1000	172.0	[]	[]	[8.230114]	[125]	[]	[52614259]
156_10110	chr6	13863507	13863907	+	953	42.0	[]	[]	[7.3913875, 8.230114]	[101, 122]	[]	[13863678, 13863699]
156_10114	chr6	28267756	28268156	+	1000	42.0	[]	[]	[11.148683, 8.635739]	[85, 112]	[]	[28267917, 28267944]
156_10121	chr6	44064352	44064752	+	1000	42.0	[]	[]	[12.392342]	[88]	[]	[44064540]
156_10122	chr6	52609984	52610384	+	1000	42.0	[8.230114]	[95]	[8.635739, 8.230114]	[143, 158]	[52610161]	[52610209, 52610224]
156_10124	chr6	87869478	87869878	+	875	42.0	[8.190248]	[121]	[8.230114]	[137]	[87869698]	[87869714]
156_10125	chr6	88378624	88379024	+	1000	42.0	[8.635739]	[127]	[]	[]	[88378843]	[]
156_10127	chr6	106847078	106847478	+	1000	42.0	[11.148683]	[91]	[]	[]	[106847261]	[]
