#PeakID(python identify_motif.py ./ENCODE_processed_files/EGR1_idr.fa EGR1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
124_10003	chr22	31084698	31085098	+	1000	64.5	[9.087717]	[114]	[11.022005, 8.912237]	[140, 170]	[31084885]	[31084911, 31084941]
124_10008	chr3	49856308	49856708	+	1000	64.5	[7.6102953, 12.493753, 7.284421, 7.524163]	[130, 132, 134, 140]	[]	[]	[49856514, 49856516, 49856518, 49856524]	[]
124_10009	chr3	53891795	53892195	+	1000	64.5	[8.171691]	[75]	[8.874801]	[125]	[53891947]	[53891997]
124_10010	chr3	137014307	137014707	+	1000	64.5	[8.923889]	[120]	[]	[]	[137014493]	[]
124_10018	chr5	139197566	139197966	+	1000	64.5	[11.123285]	[91]	[]	[]	[139197719]	[]
124_10022	chr6	38578017	38578417	+	743	64.5	[7.245736]	[185]	[]	[]	[38578251]	[]
124_10025	chr6	139375178	139375578	+	1000	64.5	[8.149014, 11.787007, 8.516824, 8.039948]	[97, 101, 107, 109]	[]	[]	[139375369, 139375373, 139375379, 139375381]	[]
124_10027	chr6	161205183	161205583	+	1000	64.5	[]	[]	[8.568877]	[137]	[]	[161205368]
124_10028	chr6	170160472	170160872	+	1000	64.5	[]	[]	[9.777108, 10.953932, 11.123285, 7.532736]	[137, 152, 158, 166]	[]	[170160638, 170160653, 170160659, 170160667]
124_1003	chr3	57555970	57556370	+	1000	240.5	[9.772648]	[146]	[]	[]	[57556206]	[]
124_10030	chr7	6577352	6577752	+	1000	64.5	[8.874801, 9.727532]	[76, 171]	[7.3365264]	[84]	[6577505, 6577600]	[6577513]
124_10037	chr8	80486338	80486738	+	1000	64.5	[9.862483, 7.673353]	[105, 109]	[11.787007]	[152]	[80486515, 80486519]	[80486562]
124_10039	chr9	97307079	97307479	+	1000	64.5	[]	[]	[15.82531, 8.912237, 7.161257]	[95, 101, 143]	[]	[97307271, 97307277, 97307319]
124_10042	chr1	1283788	1284188	+	1000	64.0	[8.3342705, 8.672139, 9.142367]	[82, 88, 150]	[]	[]	[1283946, 1283952, 1284014]	[]
124_10046	chr1	28258539	28258939	+	1000	64.0	[9.113229]	[130]	[7.5968876]	[146]	[28258756]	[28258772]
124_10049	chr1	61264706	61265106	+	1000	64.0	[]	[]	[10.900947]	[151]	[]	[61264939]
124_1005	chrX	41084410	41084810	+	1000	240.5	[12.493753]	[107]	[]	[]	[41084617]	[]
124_10051	chr1	153783509	153783909	+	1000	64.0	[]	[]	[8.412784]	[90]	[]	[153783685]
124_10054	chr1	184974377	184974777	+	1000	64.0	[11.417694]	[118]	[7.696503]	[91]	[184974571]	[184974544]
124_10056	chr1	211592257	211592657	+	1000	64.0	[9.742292, 8.860818, 8.514492]	[84, 128, 150]	[]	[]	[211592419, 211592463, 211592485]	[]
124_10059	chr1	228463714	228464114	+	1000	64.0	[6.7668796]	[145]	[]	[]	[228463893]	[]
124_10061	chr1	235083585	235083985	+	1000	64.0	[]	[]	[7.7197247]	[139]	[]	[235083802]
124_10066	chr10	133225053	133225453	+	1000	64.0	[9.05055, 7.3975706]	[102, 131]	[]	[]	[133225241, 133225270]	[]
124_1007	chr1	54406423	54406823	+	1000	240.0	[]	[]	[8.894457, 9.121621, 8.953689, 7.464663]	[97, 107, 134, 141]	[]	[54406596, 54406606, 54406633, 54406640]
124_10073	chr12	25195043	25195443	+	1000	64.0	[7.673353]	[165]	[]	[]	[25195226]	[]
124_10078	chr14	49868238	49868638	+	1000	64.0	[9.237138]	[98]	[]	[]	[49868427]	[]
