#PeakID(python identify_motif.py ./ENCODE_processed_files/E2F8_idr.fa E2F8 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
672_1	chrM	12222	12622	+	1000	1122.0	[]	[]	[6.835271]	[64]	[]	[12382]
672_1000	chr19	15264068	15264468	+	1000	120.5	[18.581537]	[111]	[]	[]	[15264273]	[]
672_10007	chr12	48814600	48815000	+	1000	42.5	[]	[]	[4.0728397]	[147]	[]	[48814813]
672_10013	chr12	57086061	57086461	+	1000	42.5	[]	[]	[5.3486114, 5.2780786]	[101, 174]	[]	[57086224, 57086297]
672_10018	chr12	130878173	130878573	+	1000	42.5	[5.341686]	[188]	[]	[]	[130878401]	[]
672_10019	chr13	21176223	21176623	+	1000	42.5	[]	[]	[6.06024]	[164]	[]	[21176448]
672_10031	chr15	101451398	101451798	+	1000	42.5	[11.933399]	[112]	[]	[]	[101451597]	[]
672_1004	chr1	161202173	161202573	+	1000	120.0	[]	[]	[6.06024]	[113]	[]	[161202359]
672_10043	chr16	88491678	88492078	+	1000	42.5	[4.1062136]	[107]	[]	[]	[88491863]	[]
672_10044	chr16	88769716	88770116	+	1000	42.5	[6.2602453]	[150]	[]	[]	[88769945]	[]
672_10045	chr17	7306804	7307204	+	1000	42.5	[5.719182, 6.2114453]	[111, 149]	[7.521902]	[162]	[7306986, 7307024]	[7307037]
672_1005	chr12	54188902	54189302	+	1000	120.0	[4.014871]	[93]	[]	[]	[54189079]	[]
672_10051	chr17	77319261	77319661	+	1000	42.5	[6.588517]	[168]	[]	[]	[77319499]	[]
672_1006	chr16	23641168	23641568	+	1000	120.0	[]	[]	[4.206983]	[59]	[]	[23641325]
672_10067	chr19	17539161	17539561	+	548	42.5	[]	[]	[8.384736]	[162]	[]	[17539377]
672_10072	chr19	40806801	40807201	+	1000	42.5	[]	[]	[6.180794]	[115]	[]	[40806961]
672_10078	chr19	49473972	49474372	+	1000	42.5	[]	[]	[8.517044]	[164]	[]	[49474198]
672_10081	chr19	51702143	51702543	+	1000	42.5	[]	[]	[6.1050744]	[174]	[]	[51702383]
672_10086	chr2	27409494	27409894	+	1000	42.5	[]	[]	[7.736077]	[224]	[]	[27409721]
672_10092	chr2	127811026	127811426	+	1000	42.5	[9.505675]	[139]	[]	[]	[127811187]	[]
672_101	chr22	20079768	20080168	+	1000	399.5	[]	[]	[9.870048, 5.139306, 8.384736, 6.463767, 5.6277966]	[65, 75, 93, 109, 134]	[]	[20079933, 20079943, 20079961, 20079977, 20080002]
672_1010	chr2	60881343	60881743	+	1000	120.0	[9.89509]	[82]	[12.631809]	[96]	[60881523]	[60881537]
672_10104	chr20	57329609	57330009	+	1000	42.5	[10.928183]	[84]	[]	[]	[57329786]	[]
672_10107	chr21	39445838	39446238	+	1000	42.5	[]	[]	[8.021982]	[65]	[]	[39445998]
672_1011	chr7	107743732	107744132	+	1000	120.0	[]	[]	[4.440216]	[179]	[]	[107743948]
672_10120	chr3	42880941	42881341	+	1000	42.5	[6.006963]	[134]	[]	[]	[42881127]	[]
672_1014	chr12	31073916	31074316	+	1000	119.5	[9.554127, 6.1963897]	[95, 143]	[]	[]	[31074108, 31074156]	[]
672_1015	chr12	76348215	76348615	+	1000	119.5	[5.719182, 8.459066, 6.6773014]	[119, 128, 144]	[]	[]	[76348418, 76348427, 76348443]	[]
672_10162	chr6	28923640	28924040	+	1000	42.5	[4.466073, 8.72424]	[106, 152]	[]	[]	[28923842, 28923888]	[]
672_10173	chr6	116254003	116254403	+	1000	42.5	[6.786541]	[117]	[]	[]	[116254158]	[]
672_1018	chr15	40104808	40105208	+	1000	119.5	[]	[]	[9.220748, 6.4136243, 10.087202]	[104, 112, 137]	[]	[40105004, 40105012, 40105037]
672_10182	chr6	166382850	166383250	+	1000	42.5	[5.853156]	[155]	[]	[]	[166383072]	[]
672_10187	chr7	30146251	30146651	+	1000	42.5	[9.422651]	[174]	[]	[]	[30146460]	[]
672_102	chr7	65982069	65982469	+	1000	399.0	[4.9784555]	[61]	[]	[]	[65982229]	[]
672_10210	chr8	21965953	21966353	+	1000	42.5	[]	[]	[5.8180404]	[67]	[]	[21966110]
672_10211	chr8	27774373	27774773	+	1000	42.5	[5.1781826]	[139]	[]	[]	[27774532]	[]
672_10213	chr8	38210599	38210999	+	1000	42.5	[8.351413]	[86]	[]	[]	[38210785]	[]
672_10221	chr9	97503198	97503598	+	1000	42.5	[6.1180396]	[163]	[]	[]	[97503444]	[]
672_10225	chr9	126860185	126860585	+	1000	42.5	[]	[]	[15.175256]	[126]	[]	[126860379]
672_10226	chr9	128035119	128035519	+	1000	42.5	[]	[]	[8.517044]	[71]	[]	[128035271]
672_1023	chrX	53422452	53422852	+	1000	119.5	[10.928183]	[133]	[]	[]	[53422665]	[]
672_10231	chrX	132022614	132023014	+	1000	42.5	[18.581537]	[122]	[]	[]	[132022817]	[]
672_10238	chr1	20696405	20696805	+	1000	42.0	[]	[]	[5.87739]	[203]	[]	[20696655]
672_10253	chr1	58546656	58547056	+	1000	42.0	[8.47721]	[159]	[]	[]	[58546901]	[]
672_1026	chr17	57849905	57850305	+	1000	119.0	[5.197406]	[136]	[]	[]	[57850129]	[]
672_10262	chr1	155324951	155325351	+	1000	42.0	[5.973598]	[207]	[]	[]	[155325190]	[]
672_1028	chr2	174395527	174395927	+	1000	119.0	[]	[]	[4.4222717]	[136]	[]	[174395744]
672_10286	chr11	46380593	46380993	+	1000	42.0	[]	[]	[6.6479273, 7.3516436]	[114, 121]	[]	[46380759, 46380766]
672_1029	chr20	62182801	62183201	+	1000	119.0	[]	[]	[4.282936]	[145]	[]	[62183046]
672_10296	chr12	7018765	7019165	+	1000	42.0	[12.014641]	[80]	[6.9836626]	[102]	[7018943]	[7018965]
672_10297	chr12	8026935	8027335	+	1000	42.0	[6.6607347]	[70]	[6.2494383, 8.361487]	[68, 98]	[8027103]	[8027101, 8027131]
672_1030	chr4	56435792	56436192	+	1000	119.0	[]	[]	[5.589479]	[141]	[]	[56436012]
672_10308	chr14	99683713	99684113	+	1000	42.0	[6.1877255, 5.305839]	[80, 81]	[7.8513193]	[168]	[99683869, 99683870]	[99683957]
672_10309	chr14	103562783	103563183	+	857	42.0	[9.583502]	[132]	[4.445039, 4.9451327]	[65, 151]	[103563015]	[103562948, 103563034]
672_10315	chr15	72272623	72273023	+	1000	42.0	[8.364378]	[99]	[]	[]	[72272784]	[]
672_10316	chr15	75843064	75843464	+	1000	42.0	[5.7321477]	[91]	[]	[]	[75843242]	[]
672_10317	chr15	77910569	77910969	+	1000	42.0	[]	[]	[7.1124268, 6.9124413]	[65, 66]	[]	[77910733, 77910734]
672_10334	chr17	7915641	7916041	+	1000	42.0	[]	[]	[5.305839]	[166]	[]	[7915876]
672_10345	chr17	67824557	67824957	+	1000	42.0	[12.049122]	[124]	[]	[]	[67824767]	[]
672_10349	chr17	80544592	80544992	+	1000	42.0	[10.249213]	[82]	[]	[]	[80544770]	[]
672_1035	chr16	28846173	28846573	+	1000	118.5	[5.1477017]	[68]	[4.417346]	[124]	[28846337]	[28846393]
