#PeakID(python identify_motif.py ./ENCODE_processed_files/USF2_idr.fa USF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
77_0	chr1	11805975	11806375	+	1000	1225.0	[13.817017, 12.367886]	[96, 119]	[12.61677, 12.827922]	[96, 119]	[11806169, 11806192]	[11806169, 11806192]
77_10	chr1	154558629	154559029	+	1000	1123.0	[12.827922, 8.017387, 10.924718]	[73, 101, 153]	[12.367886, 6.679178]	[73, 101]	[154558800, 154558828, 154558880]	[154558800, 154558828]
77_1000	chr2	197434931	197435331	+	1000	487.0	[7.719285, 12.678137]	[93, 100]	[11.70322]	[100]	[197435122, 197435129]	[197435129]
77_10001	chr16	56257223	56257623	+	1000	78.0	[11.616045]	[108]	[10.658051]	[108]	[56257428]	[56257428]
77_10002	chr16	86806677	86807077	+	1000	78.0	[13.817017]	[83]	[12.61677]	[83]	[86806857]	[86806857]
77_10006	chr17	65381170	65381570	+	1000	78.0	[8.54334]	[99]	[7.991037, 14.977686]	[57, 99]	[65381364]	[65381322, 65381364]
77_10011	chr18	519085	519485	+	1000	78.0	[8.733058]	[152]	[8.490806]	[152]	[519286]	[519286]
77_10012	chr18	25281522	25281922	+	1000	78.0	[13.783291, 9.334596]	[73, 115]	[13.541038]	[73]	[25281692, 25281734]	[25281692]
77_10018	chr19	17718975	17719375	+	1000	78.0	[14.701707, 8.165397]	[124, 129]	[9.709861]	[124]	[17719184, 17719189]	[17719184]
77_10021	chr2	27765591	27765991	+	1000	78.0	[7.057958, 8.701957]	[71, 95]	[7.283927]	[95]	[27765752, 27765776]	[27765776]
77_10024	chr2	71306754	71307154	+	1000	78.0	[12.863889]	[107]	[8.604708]	[107]	[71306954]	[71306954]
77_10027	chr2	201835040	201835440	+	1000	78.0	[12.61677]	[110]	[13.817017]	[110]	[201835239]	[201835239]
77_10028	chr2	215880949	215881349	+	1000	78.0	[8.559837, 7.5288043]	[86, 127]	[6.3285575]	[127]	[215881124, 215881165]	[215881165]
77_10029	chr20	3989460	3989860	+	1000	78.0	[16.90268]	[107]	[11.66858]	[107]	[3989661]	[3989661]
77_1003	chr20	48282814	48283214	+	1000	486.0	[12.086817, 12.923806]	[91, 128]	[12.827876, 8.069922]	[91, 128]	[48282999, 48283036]	[48282999, 48283036]
77_10030	chr20	5010156	5010556	+	1000	78.0	[6.3285575]	[122]	[7.5288043]	[122]	[5010378]	[5010378]
77_10032	chr20	39468696	39469096	+	1000	78.0	[11.66858]	[98]	[16.90268]	[98]	[39468889]	[39468889]
77_10034	chr20	44364762	44365162	+	1000	78.0	[8.54334]	[86]	[14.977686]	[86]	[44364947]	[44364947]
77_10035	chr20	48957065	48957465	+	1000	78.0	[7.5088897]	[114]	[12.742989]	[114]	[48957262]	[48957262]
77_10036	chr20	54115013	54115413	+	1000	78.0	[9.2292185]	[119]	[8.107944]	[119]	[54115225]	[54115225]
77_1004	chr3	9101244	9101644	+	1000	486.0	[12.827922]	[101]	[12.367886]	[101]	[9101443]	[9101443]
