#PeakID(python identify_motif.py ./ENCODE_processed_files/BHLHE40_idr.fa BHLHE40 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
890_100	chr1	171485235	171485635	+	1000	618.0	[13.478247]	[102]	[13.478247]	[102]	[171485433]	[171485433]
890_10000	chr20	63540323	63540723	+	1000	89.0	[8.113682]	[83]	[8.113682]	[83]	[63540475]	[63540475]
890_10012	chr3	9897771	9898171	+	1000	89.0	[]	[]	[7.0544653]	[127]	[]	[9897982]
890_10018	chr3	160565588	160565988	+	1000	89.0	[9.912252]	[92]	[8.548939]	[92]	[160565772]	[160565772]
890_1002	chr1	6393926	6394326	+	1000	345.0	[9.876531]	[125]	[11.247076]	[125]	[6394139]	[6394139]
890_10020	chr3	184135148	184135548	+	1000	89.0	[6.9763474]	[65]	[]	[]	[184135307]	[]
890_10023	chr4	7075632	7076032	+	1000	89.0	[13.169274]	[97]	[13.318897]	[97]	[7075827]	[7075827]
890_10029	chr5	134177795	134178195	+	1000	89.0	[13.169274]	[133]	[13.318897]	[133]	[134178018]	[134178018]
890_1003	chr1	88891470	88891870	+	1000	345.0	[13.318897]	[104]	[13.169274]	[104]	[88891674]	[88891674]
890_10039	chr7	29798419	29798819	+	1000	89.0	[10.185503]	[113]	[11.406425]	[113]	[29798632]	[29798632]
890_1004	chr10	71635102	71635502	+	1000	345.0	[13.009925]	[101]	[13.009925, 7.046873]	[101, 107]	[71635288]	[71635288, 71635294]
890_10046	chr7	131069194	131069594	+	1000	89.0	[7.4100494]	[92]	[7.1574593]	[92]	[131069368]	[131069368]
890_10050	chr8	122828173	122828573	+	1000	89.0	[]	[]	[7.0544653]	[58]	[]	[122828326]
890_1007	chr5	139341491	139341891	+	1000	345.0	[6.99811, 7.14623, 8.113682]	[57, 122, 130]	[7.101077, 8.05161, 8.113682]	[57, 122, 130]	[139341642, 139341707, 139341715]	[139341642, 139341707, 139341715]
890_10075	chr1	203007484	203007884	+	1000	88.0	[7.4552026]	[98]	[8.210959]	[98]	[203007655]	[203007655]
890_10077	chr1	208189089	208189489	+	1000	88.0	[7.5227866]	[104]	[7.225755]	[104]	[208189276]	[208189276]
890_10079	chr10	5894872	5895272	+	1000	88.0	[6.9763474, 7.225755]	[101, 114]	[7.5227866]	[114]	[5895072, 5895085]	[5895085]
890_10081	chr10	70887815	70888215	+	1000	88.0	[7.2114162]	[121]	[7.4877]	[121]	[70888005]	[70888005]
890_10095	chr14	103519212	103519612	+	1000	88.0	[6.99811]	[80]	[7.101077]	[80]	[103519385]	[103519385]
890_101	chr2	9631136	9631536	+	1000	617.0	[7.848641]	[96]	[7.4477744]	[96]	[9631332]	[9631332]
890_10104	chr16	29009431	29009831	+	1000	88.0	[7.520388]	[96]	[7.6470494]	[96]	[29009625]	[29009625]
890_10107	chr16	67109399	67109799	+	1000	88.0	[7.1574593]	[113]	[7.4100494]	[113]	[67109608]	[67109608]
890_10108	chr16	75064819	75065219	+	1000	88.0	[13.478247]	[106]	[13.478247]	[106]	[75065013]	[75065013]
890_1011	chr8	52713034	52713434	+	1000	345.0	[7.4664316, 7.2138147]	[80, 105]	[7.569399, 7.066406]	[80, 105]	[52713203, 52713228]	[52713203, 52713228]
890_10115	chr17	8190141	8190541	+	1000	88.0	[11.406425]	[94]	[10.185503]	[94]	[8190332]	[8190332]
890_10116	chr17	18042965	18043365	+	1000	88.0	[11.247076]	[103]	[9.876531]	[103]	[18043151]	[18043151]
890_1012	chrX	77910345	77910745	+	1000	345.0	[13.478247]	[115]	[13.478247]	[115]	[77910554]	[77910554]
890_10120	chr17	47841141	47841541	+	1000	88.0	[6.900726]	[58]	[7.2062225]	[58]	[47841292]	[47841292]
890_10125	chr17	82332761	82333161	+	1000	88.0	[]	[]	[7.046873]	[142]	[]	[82332965]
890_10126	chr17	82698847	82699247	+	1000	88.0	[7.4552026, 7.6470494]	[75, 83]	[8.210959, 7.520388]	[75, 83]	[82699012, 82699020]	[82699012, 82699020]
890_10127	chr18	12376138	12376538	+	1000	88.0	[11.406425]	[66]	[10.185503]	[66]	[12376289]	[12376289]
890_10128	chr18	23354569	23354969	+	1000	88.0	[7.1388025]	[123]	[7.6892915]	[123]	[23354776]	[23354776]
890_10130	chr19	18418969	18419369	+	1000	88.0	[8.05161]	[101]	[7.14623]	[101]	[18419168]	[18419168]
890_1014	chr1	88684009	88684409	+	1000	344.0	[10.185503]	[86]	[11.406425]	[86]	[88684191]	[88684191]
890_10148	chr2	210170593	210170993	+	1000	88.0	[8.05161]	[133]	[7.14623]	[133]	[210170803]	[210170803]
890_10151	chr20	53578953	53579353	+	1000	88.0	[13.318897]	[109]	[13.169274]	[109]	[53579161]	[53579161]
890_10158	chr22	22631274	22631674	+	1000	88.0	[8.857911]	[137]	[10.071603]	[137]	[22631511]	[22631511]
890_1016	chr1	193121496	193121896	+	1000	344.0	[13.009925, 6.8972507]	[97, 143]	[13.009925]	[97]	[193121688, 193121734]	[193121688]
890_1017	chr11	12114553	12114953	+	1000	344.0	[]	[]	[7.0544653]	[66]	[]	[12114714]
890_10170	chr3	138410630	138411030	+	1000	88.0	[7.2138147]	[110]	[7.066406]	[110]	[138410838]	[138410838]
890_10171	chr3	152105463	152105863	+	1000	88.0	[10.071603]	[118]	[8.857911]	[118]	[152105673]	[152105673]
890_10173	chr4	20700094	20700494	+	1000	88.0	[9.912252]	[111]	[8.548939]	[111]	[20700263]	[20700263]
890_10199	chr7	36092398	36092798	+	1000	88.0	[7.0544653]	[142]	[]	[]	[36092638]	[]
890_102	chr20	63865010	63865410	+	1000	617.0	[13.009925]	[102]	[13.009925]	[102]	[63865208]	[63865208]
890_10201	chr7	135274400	135274800	+	1000	88.0	[8.857911]	[110]	[10.071603]	[110]	[135274597]	[135274597]
890_10207	chr9	97938100	97938500	+	1000	88.0	[6.876215]	[71]	[7.135697]	[71]	[97938256]	[97938256]
890_10208	chr9	127608307	127608707	+	1000	88.0	[10.071603]	[91]	[8.857911]	[91]	[127608494]	[127608494]
890_10215	chr1	3771943	3772343	+	1000	87.0	[9.912252]	[102]	[8.548939]	[102]	[3772142]	[3772142]
890_1022	chr7	131586342	131586742	+	1000	344.0	[13.169274]	[107]	[13.318897]	[107]	[131586545]	[131586545]
890_10229	chr1	206062367	206062767	+	1000	87.0	[13.318897]	[94]	[13.169274]	[94]	[206062559]	[206062559]
890_10237	chr10	110149333	110149733	+	1000	87.0	[7.1574593]	[106]	[7.4100494]	[106]	[110149528]	[110149528]
