#PeakID(python identify_motif.py ./ENCODE_processed_files/ATF1_idr.fa ATF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
755_10002	chr22	19429440	19429840	+	1000	31.0	[]	[]	[8.028987]	[174]	[]	[19429683]
755_1002	chr12	133130394	133130794	+	1000	106.0	[10.880985, 9.08557]	[103, 161]	[10.880985]	[105]	[133130580, 133130638]	[133130582]
755_1003	chr14	75660984	75661384	+	1000	106.0	[8.028987]	[109]	[]	[]	[75661185]	[]
755_10037	chr22	20718799	20719199	+	1000	31.0	[9.08557]	[92]	[]	[]	[20718990]	[]
755_1004	chr15	40894231	40894631	+	1000	106.0	[8.745255]	[115]	[9.08557]	[130]	[40894419]	[40894434]
755_10052	chr22	22096296	22096696	+	1000	31.0	[]	[]	[8.745255]	[155]	[]	[22096463]
755_10059	chr22	22502837	22503237	+	885	31.0	[]	[]	[10.880985]	[120]	[]	[22503030]
755_1007	chr19	47113617	47114017	+	1000	106.0	[10.880985]	[74]	[10.880985]	[76]	[47113791]	[47113793]
755_10071	chr22	32881922	32882322	+	1000	31.0	[10.880985]	[91]	[]	[]	[32882111]	[]
755_10075	chr22	43038353	43038753	+	1000	31.0	[10.880985]	[92]	[10.880985]	[94]	[43038535]	[43038537]
755_10092	chr3	149851240	149851640	+	1000	31.0	[10.880985]	[142]	[]	[]	[149851463]	[]
755_10093	chr3	186938629	186939029	+	1000	31.0	[8.745255]	[104]	[]	[]	[186938826]	[]
755_101	chr1	1000694	1001094	+	1000	320.0	[9.08557, 10.880985, 9.08557, 10.880985]	[66, 83, 108, 127]	[10.880985, 10.880985]	[85, 129]	[1000857, 1000874, 1000899, 1000918]	[1000876, 1000920]
755_10104	chr4	77075336	77075736	+	1000	31.0	[9.08557]	[111]	[]	[]	[77075530]	[]
755_10117	chr5	138032859	138033259	+	1000	31.0	[10.880985]	[148]	[]	[]	[138033104]	[]
755_1012	chr5	32174122	32174522	+	1000	106.0	[10.880985]	[117]	[10.880985]	[119]	[32174332]	[32174334]
755_10121	chr5	180611027	180611427	+	812	31.0	[10.880985, 9.08557]	[109, 137]	[]	[]	[180611227, 180611255]	[]
755_10122	chr5	181218241	181218641	+	1000	31.0	[]	[]	[6.94984]	[165]	[]	[181218469]
755_10126	chr6	26323152	26323552	+	877	31.0	[]	[]	[10.880985]	[106]	[]	[26323334]
755_10129	chr6	28747629	28748029	+	1000	31.0	[]	[]	[8.745255]	[137]	[]	[28747866]
755_1015	chr9	33076491	33076891	+	1000	106.0	[]	[]	[10.880985]	[115]	[]	[33076693]
755_10162	chr6	163308673	163309073	+	1000	31.0	[10.880985]	[133]	[10.880985]	[135]	[163308885]	[163308887]
755_10164	chr6	168105742	168106142	+	1000	31.0	[10.880985]	[112]	[10.880985]	[114]	[168105952]	[168105954]
755_10166	chr7	392110	392510	+	1000	31.0	[]	[]	[10.880985]	[105]	[]	[392306]
755_10174	chr7	92527586	92527986	+	923	31.0	[]	[]	[9.08557]	[128]	[]	[92527811]
755_10188	chr7	131244453	131244853	+	1000	31.0	[8.028987, 8.028987, 8.028987]	[132, 153, 162]	[]	[]	[131244660, 131244681, 131244690]	[]
755_10190	chr7	140059639	140060039	+	911	31.0	[]	[]	[10.880985]	[62]	[]	[140059793]
755_10194	chr7	151086849	151087249	+	1000	31.0	[]	[]	[10.880985]	[134]	[]	[151087055]
755_10196	chr7	153413267	153413667	+	1000	31.0	[]	[]	[8.028987]	[121]	[]	[153413458]
755_1020	chr14	90383247	90383647	+	1000	105.0	[8.028987]	[104]	[]	[]	[90383444]	[]
755_10202	chr8	23457482	23457882	+	635	31.0	[]	[]	[10.880985]	[107]	[]	[23457682]
755_10218	chr9	128304813	128305213	+	1000	31.0	[]	[]	[10.880985]	[123]	[]	[128305025]
755_1022	chr17	16380840	16381240	+	1000	105.0	[9.08557]	[115]	[]	[]	[16381045]	[]
755_10220	chr9	128337891	128338291	+	872	31.0	[8.028987]	[216]	[]	[]	[128338130]	[]
755_10243	chr1	2610995	2611395	+	838	30.0	[]	[]	[10.880985]	[146]	[]	[2611214]
755_10251	chr1	12075562	12075962	+	998	30.0	[]	[]	[9.08557]	[167]	[]	[12075738]
755_10255	chr1	15501416	15501816	+	710	30.0	[10.880985]	[65]	[]	[]	[15501577]	[]
755_10261	chr1	19659804	19660204	+	1000	30.0	[]	[]	[10.880985]	[79]	[]	[19659976]
755_10270	chr1	37554048	37554448	+	1000	30.0	[8.028987]	[229]	[]	[]	[37554290]	[]
755_10273	chr1	42957817	42958217	+	949	30.0	[]	[]	[8.028987]	[142]	[]	[42958052]
755_1028	chr9	111631104	111631504	+	1000	105.0	[10.880985]	[114]	[]	[]	[111631316]	[]
755_10294	chr1	175192922	175193322	+	1000	30.0	[8.745255]	[160]	[]	[]	[175193142]	[]
755_10298	chr1	198118053	198118453	+	1000	30.0	[10.880985]	[101]	[10.880985]	[103]	[198118253]	[198118255]
755_103	chr11	809674	810074	+	1000	319.0	[10.880985]	[105]	[8.028987, 10.880985]	[83, 107]	[809874]	[809852, 809876]
755_1030	chr1	92831779	92832179	+	1000	104.0	[]	[]	[8.745255, 10.880985]	[72, 111]	[]	[92831946, 92831985]
755_10301	chr1	203305113	203305513	+	867	30.0	[8.028987]	[105]	[]	[]	[203305309]	[]
755_1032	chr10	102399491	102399891	+	1000	104.0	[]	[]	[9.08557]	[61]	[]	[102399643]
