#PeakID(python identify_motif.py ./ENCODE_processed_files/ELK1_idr.fa ELK1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
120_100	chr1	20661294	20661694	+	1000	167.0	[14.663861]	[122]	[]	[]	[20661516]	[]
120_1002	chr3	141311618	141312018	+	1000	62.0	[8.601443, 7.070727]	[124, 148]	[]	[]	[141311828, 141311852]	[]
120_1003	chr5	126600681	126601081	+	1000	62.0	[14.663861]	[135]	[9.833897]	[120]	[126600910]	[126600895]
120_1004	chr5	181243731	181244131	+	1000	62.0	[7.8849635, 12.7289]	[107, 113]	[]	[]	[181243922, 181243928]	[]
120_1005	chr6	26026277	26026677	+	1000	62.0	[5.645092]	[143]	[5.450635]	[140]	[26026444]	[26026441]
120_1007	chr8	22244896	22245296	+	1000	62.0	[]	[]	[10.118435, 10.118435]	[100, 147]	[]	[22245088, 22245135]
120_1010	chrX	14029725	14030125	+	1000	62.0	[7.221968, 14.663861]	[71, 117]	[13.681358]	[82]	[14029890, 14029936]	[14029901]
120_1011	chrX	48958172	48958572	+	1000	62.0	[]	[]	[6.2644196, 16.446117, 7.785617]	[84, 117, 145]	[]	[48958352, 48958385, 48958413]
120_1014	chr1	42658190	42658590	+	1000	61.0	[6.0425715]	[145]	[9.8508215]	[171]	[42658404]	[42658430]
120_1015	chr1	222643962	222644362	+	1000	61.0	[]	[]	[10.118435, 6.8745704]	[107, 131]	[]	[222644153, 222644177]
120_1017	chr13	45464606	45465006	+	1000	61.0	[12.7289]	[125]	[16.446117]	[64]	[45464826]	[45464765]
120_1018	chr16	23557154	23557554	+	1000	61.0	[]	[]	[12.6155815, 5.4397116]	[135, 148]	[]	[23557382, 23557395]
120_1019	chr16	31074142	31074542	+	1000	61.0	[14.663861, 11.900691]	[93, 151]	[]	[]	[31074312, 31074370]	[]
120_102	chr1	203290478	203290878	+	1000	165.0	[6.2567697]	[100]	[]	[]	[203290667]	[]
120_1021	chr17	37609199	37609599	+	1000	61.0	[]	[]	[12.6155815]	[143]	[]	[37609423]
120_1024	chr19	6532637	6533037	+	1000	61.0	[]	[]	[16.446117]	[101]	[]	[6532833]
120_1025	chr19	8513676	8514076	+	1000	61.0	[8.499255, 12.6155815]	[64, 128]	[]	[]	[8513828, 8513892]	[]
120_1026	chr19	48255718	48256118	+	1000	61.0	[]	[]	[16.446117]	[135]	[]	[48255953]
120_1027	chr2	98608309	98608709	+	1000	61.0	[13.681358]	[99]	[14.663861]	[119]	[98608497]	[98608517]
120_1030	chr22	41468867	41469267	+	1000	61.0	[]	[]	[7.5894604]	[108]	[]	[41469060]
120_1037	chr5	43066817	43067217	+	1000	61.0	[8.181883]	[70]	[8.6928]	[77]	[43066976]	[43066983]
120_1039	chr6	49463161	49463561	+	1000	61.0	[]	[]	[5.418713, 12.6155815]	[95, 116]	[]	[49463349, 49463370]
120_104	chr1	40039804	40040204	+	1000	164.0	[10.702384]	[135]	[]	[]	[40040033]	[]
120_1040	chr6	133952935	133953335	+	1000	61.0	[10.946643]	[79]	[]	[]	[133953099]	[]
120_1042	chr8	33484954	33485354	+	1000	61.0	[9.536335, 7.785617, 16.446117]	[102, 116, 148]	[]	[]	[33485130, 33485144, 33485176]	[]
120_1043	chr9	129835055	129835455	+	1000	61.0	[]	[]	[11.899101]	[161]	[]	[129835276]
120_1044	chr1	11805827	11806227	+	1000	60.0	[13.681358]	[109]	[]	[]	[11806036]	[]
120_1045	chr1	40531361	40531761	+	1000	60.0	[7.0684943]	[92]	[8.524351]	[89]	[40531536]	[40531533]
120_1047	chr1	110963704	110964104	+	1000	60.0	[11.616154]	[101]	[]	[]	[110963896]	[]
120_1048	chr1	143263250	143263650	+	1000	60.0	[5.840594]	[97]	[]	[]	[143263447]	[]
120_105	chr7	76047836	76048236	+	1000	163.0	[12.6155815, 16.446117]	[67, 111]	[7.199311]	[64]	[76047992, 76048036]	[76047989]
120_1052	chr11	64240698	64241098	+	1000	60.0	[14.663861, 7.585262, 14.663861]	[103, 124, 165]	[5.4522247]	[154]	[64240879, 64240900, 64240941]	[64240930]
120_1056	chr16	72093492	72093892	+	1000	60.0	[13.681358]	[81]	[]	[]	[72093659]	[]
120_1059	chr17	59707439	59707839	+	1000	60.0	[16.446117]	[108]	[9.66722]	[127]	[59707636]	[59707655]
120_1061	chr19	2950475	2950875	+	1000	60.0	[]	[]	[8.932364, 9.96414, 5.8366838]	[105, 111, 117]	[]	[2950659, 2950665, 2950671]
120_1063	chr19	43935112	43935512	+	1000	60.0	[8.070155, 8.932364, 10.118435]	[63, 124, 150]	[]	[]	[43935270, 43935331, 43935357]	[]
120_1064	chr19	44002728	44003128	+	1000	60.0	[]	[]	[16.446117]	[128]	[]	[44002948]
120_1066	chr2	9843248	9843648	+	1000	60.0	[11.899101, 9.8508215]	[127, 149]	[8.181883]	[120]	[9843456, 9843478]	[9843449]
120_1067	chr2	25878444	25878844	+	1000	60.0	[6.64452]	[164]	[11.616154]	[118]	[25878665]	[25878619]
120_1069	chr2	219543689	219544089	+	1000	60.0	[12.6155815]	[135]	[]	[]	[219543891]	[]
120_107	chr2	24076290	24076690	+	1000	160.0	[9.63774]	[81]	[12.6155815, 7.405859]	[112, 164]	[24076447]	[24076478, 24076530]
120_1070	chr20	2101998	2102398	+	1000	60.0	[12.6155815]	[95]	[]	[]	[2102150]	[]
120_1074	chr22	22692688	22693088	+	1000	60.0	[6.8718476]	[158]	[]	[]	[22692912]	[]
120_1075	chr22	23180937	23181337	+	1000	60.0	[7.710297]	[173]	[6.2402864, 11.899101]	[119, 188]	[23181172]	[23181118, 23181187]
120_1076	chr3	23916903	23917303	+	1000	60.0	[7.898935]	[89]	[]	[]	[23917084]	[]
120_1079	chr3	157174781	157175181	+	1000	60.0	[9.63774, 5.9205213]	[133, 153]	[]	[]	[157174985, 157175005]	[]
120_1080	chr5	134923698	134924098	+	1000	60.0	[5.4413013]	[153]	[]	[]	[134923947]	[]
120_1082	chr6	84763270	84763670	+	1000	60.0	[]	[]	[7.6020155]	[127]	[]	[84763491]
120_1085	chr6	159789540	159789940	+	1000	60.0	[9.914867, 11.697124]	[107, 190]	[]	[]	[159789707, 159789790]	[]
120_1087	chr8	56074351	56074751	+	1000	60.0	[6.9851656]	[133]	[5.7344956]	[108]	[56074571]	[56074546]
120_1089	chr1	9943228	9943628	+	1000	59.0	[]	[]	[11.900691, 14.663861, 6.372642]	[82, 101, 172]	[]	[9943386, 9943405, 9943476]
120_1090	chr1	28581648	28582048	+	1000	59.0	[6.3777375]	[109]	[]	[]	[28581849]	[]
120_1092	chr1	207963519	207963919	+	1000	59.0	[5.544434]	[160]	[]	[]	[207963756]	[]
120_1093	chr1	235161076	235161476	+	1000	59.0	[7.579411]	[148]	[12.6155815, 5.8366838, 11.900691]	[101, 108, 118]	[235161318]	[235161271, 235161278, 235161288]
120_1096	chr11	57530577	57530977	+	1000	59.0	[9.135932, 7.6939425]	[80, 143]	[12.6155815, 10.785713]	[98, 140]	[57530742, 57530805]	[57530760, 57530802]
120_1097	chr11	61792421	61792821	+	1000	59.0	[11.419997, 7.7027783, 5.95339]	[90, 129, 135]	[5.5428443]	[144]	[61792592, 61792631, 61792637]	[61792646]
120_1098	chr12	42325957	42326357	+	1000	59.0	[14.663861]	[98]	[]	[]	[42326154]	[]
120_1099	chr12	51172715	51173115	+	1000	59.0	[]	[]	[13.681358, 16.446117]	[85, 107]	[]	[51172899, 51172921]
120_11	chr17	45317090	45317490	+	1000	689.0	[]	[]	[9.833254]	[108]	[]	[45317296]
120_1103	chr16	88570153	88570553	+	1000	59.0	[9.833897]	[95]	[]	[]	[88570329]	[]
120_1105	chr17	75667100	75667500	+	1000	59.0	[12.6155815]	[125]	[]	[]	[75667315]	[]
120_1106	chr17	81703149	81703549	+	1000	59.0	[]	[]	[10.946643]	[128]	[]	[81703370]
120_1108	chr18	3261826	3262226	+	1000	59.0	[]	[]	[6.111302]	[118]	[]	[3261978]
120_1109	chr19	1876008	1876408	+	1000	59.0	[]	[]	[11.900691, 7.1501074]	[81, 87]	[]	[1876187, 1876193]
120_1110	chr19	10106126	10106526	+	1000	59.0	[14.663861, 11.899101]	[115, 136]	[]	[]	[10106329, 10106350]	[]
120_1111	chr19	11435383	11435783	+	1000	59.0	[16.446117]	[138]	[8.183473]	[161]	[11435601]	[11435624]
120_1113	chr19	45485243	45485643	+	1000	59.0	[13.550472]	[111]	[]	[]	[45485424]	[]
120_1116	chr2	112584247	112584647	+	1000	59.0	[10.946643, 10.118435, 9.63774]	[65, 101, 141]	[]	[]	[112584398, 112584434, 112584474]	[]
120_1118	chr21	34745546	34745946	+	1000	59.0	[6.1569576]	[124]	[]	[]	[34745747]	[]
120_112	chr6	28080732	28081132	+	1000	157.0	[16.446117]	[106]	[]	[]	[28080933]	[]
120_1121	chr3	9890421	9890821	+	1000	59.0	[14.663861]	[104]	[]	[]	[9890600]	[]
