#PeakID(python scan_motif.py ./ENCODE_processed_files/NR2F1_idr.fa NR2F1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
504_100	chr3	49158103	49158503	+	1000	604.5	[12.247973, 11.108711]	[127, 133]	[]	[]	[49158319, 49158325]	[]
504_10000	chr1	35136720	35137120	+	1000	73.0	[7.6574984]	[111]	[]	[]	[35136899]	[]
504_10002	chr1	45444748	45445148	+	802	73.0	[10.737563, 11.876825]	[110, 125]	[]	[]	[45444952, 45444967]	[]
504_10005	chr1	160284743	160285143	+	593	73.0	[10.737563]	[128]	[7.6574984]	[102]	[160284920]	[160284894]
504_10007	chr1	201097360	201097760	+	1000	73.0	[]	[]	[10.737563]	[85]	[]	[201097527]
504_10008	chr1	203321076	203321476	+	928	73.0	[11.876825]	[205]	[]	[]	[203321302]	[]
504_10009	chr1	207020934	207021334	+	1000	73.0	[10.737563]	[114]	[]	[]	[207021123]	[]
504_10010	chr1	212620938	212621338	+	567	73.0	[]	[]	[10.737563]	[103]	[]	[212621134]
504_10013	chr10	24503545	24503945	+	1000	73.0	[11.876825]	[227]	[]	[]	[24503789]	[]
504_10015	chr10	99713538	99713938	+	1000	73.0	[11.876825]	[121]	[]	[]	[99713754]	[]
504_10017	chr12	68808609	68809009	+	769	73.0	[12.247973, 7.441646]	[123, 192]	[]	[]	[68808767, 68808836]	[]
504_10019	chr12	96371416	96371816	+	1000	73.0	[11.876825]	[90]	[]	[]	[96371577]	[]
504_1002	chr19	633023	633423	+	1000	288.5	[10.737563, 12.247973]	[91, 125]	[]	[]	[633202, 633236]	[]
504_10020	chr13	52602236	52602636	+	1000	73.0	[]	[]	[12.247973]	[152]	[]	[52602484]
504_10021	chr14	21278021	21278421	+	1000	73.0	[11.876825, 11.876825]	[85, 93]	[]	[]	[21278193, 21278201]	[]
504_10022	chr14	101924482	101924882	+	1000	73.0	[]	[]	[11.876825, 11.876825]	[99, 107]	[]	[101924662, 101924670]
504_10025	chr15	63484367	63484767	+	1000	73.0	[11.876825]	[213]	[]	[]	[63484600]	[]
504_10028	chr16	20681692	20682092	+	1000	73.0	[6.0948906]	[176]	[]	[]	[20681924]	[]
504_10029	chr16	30575223	30575623	+	1000	73.0	[]	[]	[11.876825]	[216]	[]	[30575473]
504_1003	chr19	10879002	10879402	+	1000	288.5	[12.247973]	[172]	[]	[]	[10879225]	[]
504_10036	chr19	7764163	7764563	+	1000	73.0	[]	[]	[12.247973]	[109]	[]	[7764351]
504_10037	chr19	11382777	11383177	+	673	73.0	[]	[]	[5.7237425]	[169]	[]	[11382974]
504_10038	chr19	29947363	29947763	+	1000	73.0	[]	[]	[12.247973]	[155]	[]	[29947573]
504_1004	chr7	27071630	27072030	+	1000	288.5	[11.108711, 8.79676]	[82, 93]	[]	[]	[27071795, 27071806]	[]
504_10041	chr19	40690708	40691108	+	1000	73.0	[]	[]	[11.876825]	[168]	[]	[40690928]
504_10042	chr19	40865186	40865586	+	1000	73.0	[12.247973]	[87]	[]	[]	[40865361]	[]
504_10043	chr19	48868501	48868901	+	1000	73.0	[]	[]	[11.876825]	[116]	[]	[48868710]
504_10044	chr2	11941319	11941719	+	1000	73.0	[]	[]	[6.0948906]	[168]	[]	[11941514]
504_10047	chr2	105467765	105468165	+	980	73.0	[6.0331016]	[130]	[]	[]	[105467946]	[]
504_10048	chr2	157853226	157853626	+	1000	73.0	[]	[]	[11.876825]	[117]	[]	[157853432]
504_10049	chr2	218909066	218909466	+	1000	73.0	[7.6574984]	[191]	[]	[]	[218909245]	[]
504_1005	chr1	31872803	31873203	+	1000	288.0	[10.737563]	[65]	[7.441646]	[81]	[31872961]	[31872977]
504_10050	chr20	760930	761330	+	1000	73.0	[6.0331016]	[145]	[]	[]	[761164]	[]
504_10051	chr20	22765157	22765557	+	1000	73.0	[5.7237425, 11.876825, 11.876825]	[134, 152, 164]	[]	[]	[22765358, 22765376, 22765388]	[]
504_10052	chr20	45983134	45983534	+	642	73.0	[]	[]	[12.247973]	[135]	[]	[45983349]
504_10053	chr3	44522492	44522892	+	1000	73.0	[]	[]	[8.580908]	[135]	[]	[44522649]
504_10055	chr3	48641370	48641770	+	1000	73.0	[8.580908]	[66]	[10.737563, 11.108711, 11.108711]	[109, 116, 125]	[48641534]	[48641577, 48641584, 48641593]
504_10056	chr3	94062331	94062731	+	1000	73.0	[10.737563]	[65]	[]	[]	[94062494]	[]
504_10057	chr3	153038760	153039160	+	1000	73.0	[]	[]	[11.876825]	[121]	[]	[153038933]
504_1006	chr19	51132277	51132677	+	1000	288.0	[]	[]	[11.108711]	[125]	[]	[51132433]
504_10061	chr4	158295021	158295421	+	941	73.0	[]	[]	[11.108711]	[96]	[]	[158295201]
504_10069	chr6	157710539	157710939	+	818	73.0	[]	[]	[11.876825]	[61]	[]	[157710694]
504_1007	chr6	7215246	7215646	+	1000	288.0	[]	[]	[11.876825, 11.108711]	[91, 111]	[]	[7215420, 7215440]
504_10070	chr7	526583	526983	+	1000	73.0	[]	[]	[6.0948906]	[206]	[]	[526786]
504_10072	chr7	55142930	55143330	+	985	73.0	[10.737563]	[84]	[]	[]	[55143091]	[]
504_10076	chr9	37422358	37422758	+	921	73.0	[11.108711]	[139]	[]	[]	[37422548]	[]
504_1008	chr8	11866436	11866836	+	1000	288.0	[11.876825, 11.876825]	[113, 121]	[]	[]	[11866644, 11866652]	[]
504_10081	chr1	921004	921404	+	1000	72.5	[]	[]	[11.876825]	[112]	[]	[921188]
504_10083	chr1	34866239	34866639	+	1000	72.5	[12.247973]	[144]	[8.580908]	[112]	[34866475]	[34866443]
504_10084	chr1	40130940	40131340	+	1000	72.5	[5.7237425]	[127]	[]	[]	[40131143]	[]
504_10086	chr1	44294694	44295094	+	1000	72.5	[]	[]	[11.108711]	[83]	[]	[44294861]
504_10088	chr1	114458333	114458733	+	1000	72.5	[]	[]	[7.6574984]	[169]	[]	[114458541]
504_1009	chr8	19322095	19322495	+	1000	288.0	[8.580908]	[102]	[11.108711]	[85]	[19322292]	[19322275]
504_10092	chr1	162422990	162423390	+	1000	72.5	[5.7237425]	[116]	[]	[]	[162423194]	[]
504_10093	chr1	179288993	179289393	+	1000	72.5	[]	[]	[12.247973]	[99]	[]	[179289172]
504_10098	chr10	25522956	25523356	+	1000	72.5	[11.108711, 7.6574984]	[134, 143]	[]	[]	[25523162, 25523171]	[]
504_101	chr16	56355933	56356333	+	1000	604.0	[]	[]	[5.9149733, 12.247973]	[121, 143]	[]	[56356127, 56356149]
504_1010	chr10	72171073	72171473	+	1000	287.5	[11.876825]	[84]	[]	[]	[72171247]	[]
504_10102	chr11	59669297	59669697	+	1000	72.5	[8.580908]	[372]	[]	[]	[59669540]	[]
504_10104	chr11	64322854	64323254	+	1000	72.5	[10.737563, 11.876825, 12.247973]	[180, 223, 235]	[]	[]	[64323033, 64323076, 64323088]	[]
504_10105	chr11	67644031	67644431	+	1000	72.5	[]	[]	[10.737563]	[94]	[]	[67644223]
504_10107	chr12	62732926	62733326	+	1000	72.5	[11.876825]	[164]	[]	[]	[62733170]	[]
504_10109	chr12	93971292	93971692	+	1000	72.5	[]	[]	[11.108711]	[226]	[]	[93971540]
504_1011	chr6	170554156	170554556	+	1000	287.5	[6.0331016]	[126]	[]	[]	[170554372]	[]
504_10111	chr15	55401259	55401659	+	898	72.5	[11.876825]	[131]	[]	[]	[55401451]	[]
504_10113	chr15	78305164	78305564	+	1000	72.5	[12.247973]	[99]	[]	[]	[78305329]	[]
504_10114	chr15	83383707	83384107	+	1000	72.5	[10.737563, 7.441646]	[64, 123]	[]	[]	[83383859, 83383918]	[]
504_10116	chr16	68244993	68245393	+	1000	72.5	[]	[]	[6.0331016]	[182]	[]	[68245232]
504_10117	chr17	36601724	36602124	+	1000	72.5	[]	[]	[8.580908, 6.0331016, 10.737563]	[212, 223, 253]	[]	[36601933, 36601944, 36601974]
504_1012	chr8	52695319	52695719	+	1000	287.5	[]	[]	[11.876825, 11.876825]	[96, 133]	[]	[52695510, 52695547]
504_10121	chr18	51211598	51211998	+	1000	72.5	[5.7237425, 5.7237425]	[138, 153]	[]	[]	[51211785, 51211800]	[]
504_10124	chr19	39004397	39004797	+	1000	72.5	[11.876825]	[133]	[]	[]	[39004551]	[]
504_1013	chr11	46554131	46554531	+	1000	287.0	[8.580908]	[121]	[6.4042497, 6.0331016]	[79, 87]	[46554334]	[46554292, 46554300]
504_10130	chr2	70752989	70753389	+	936	72.5	[5.7237425, 8.580908]	[143, 170]	[]	[]	[70753207, 70753234]	[]
504_10132	chr2	131092704	131093104	+	693	72.5	[]	[]	[10.737563, 6.4042497]	[153, 159]	[]	[131092930, 131092936]
504_10138	chr22	22594048	22594448	+	1000	72.5	[]	[]	[10.737563]	[99]	[]	[22594218]
504_10139	chr22	29383286	29383686	+	1000	72.5	[12.247973]	[136]	[]	[]	[29383493]	[]
