#PeakID(python identify_motif.py ./ENCODE_processed_files/TAL1_idr.fa TAL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
345_1	chr22	20025365	20025765	+	1000	805.0	[5.088419, 9.465482]	[116, 150]	[4.611834, 4.611834]	[116, 150]	[20025580, 20025614]	[20025580, 20025614]
345_10	chr7	73886041	73886441	+	1000	795.0	[5.088419, 4.611834, 4.611834]	[59, 97, 117]	[4.611834, 4.611834, 4.611834]	[59, 97, 117]	[73886198, 73886236, 73886256]	[73886198, 73886236, 73886256]
345_10001	chr9	121250345	121250745	+	1000	119.0	[4.611834, 4.611834, 11.270045]	[53, 82, 147]	[4.611834, 5.088419, 11.270045]	[53, 82, 147]	[121250498, 121250527, 121250592]	[121250498, 121250527, 121250592]
345_10004	chr1	21294968	21295368	+	1000	118.0	[4.611834]	[91]	[9.465482]	[91]	[21295137]	[21295137]
345_10005	chr1	28441684	28442084	+	1000	118.0	[4.611834]	[102]	[4.611834]	[102]	[28441876]	[28441876]
345_10006	chr1	109826822	109827222	+	1000	118.0	[4.611834, 11.270045, 4.611834]	[63, 97, 123]	[4.611834, 11.270045, 4.611834]	[63, 97, 123]	[109826979, 109827013, 109827039]	[109826979, 109827013, 109827039]
345_10008	chr1	116679040	116679440	+	1000	118.0	[4.611834]	[114]	[9.465482]	[114]	[116679254]	[116679254]
345_10012	chr11	4619614	4620014	+	1000	118.0	[4.611834]	[117]	[4.611834]	[117]	[4619822]	[4619822]
345_10016	chr11	62851499	62851899	+	1000	118.0	[11.270045, 4.611834]	[133, 136]	[11.270045, 4.611834]	[133, 136]	[62851706, 62851709]	[62851706, 62851709]
345_10019	chr12	89796791	89797191	+	1000	118.0	[4.611834]	[92]	[4.611834]	[92]	[89796977]	[89796977]
345_10020	chr14	63701550	63701950	+	1000	118.0	[4.611834]	[95]	[4.611834]	[95]	[63701740]	[63701740]
345_10023	chr16	4833994	4834394	+	1000	118.0	[9.465482]	[96]	[4.611834]	[96]	[4834177]	[4834177]
345_10029	chr17	81646767	81647167	+	1000	118.0	[4.611834, 4.611834]	[65, 81]	[4.611834, 4.611834]	[65, 81]	[81646932, 81646948]	[81646932, 81646948]
345_1003	chr20	49790301	49790701	+	1000	545.0	[4.611834, 4.611834]	[52, 96]	[5.088419, 9.465482]	[52, 96]	[49790453, 49790497]	[49790453, 49790497]
