#PeakID(python identify_motif.py ./ENCODE_processed_files/FOSL1_idr.fa FOSL1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
46_0	chrM	15853	16253	+	1000	823.0	[10.410377]	[118]	[8.4212055]	[118]	[16063]	[16063]
46_100	chr2	102227721	102228121	+	1000	445.0	[8.669164, 12.433358]	[75, 152]	[10.158142]	[152]	[102227883, 102227960]	[102227960]
46_1000	chr6	34609623	34610023	+	1000	268.0	[13.811987]	[106]	[11.972782]	[106]	[34609822]	[34609822]
46_10000	chr5	181133601	181134001	+	1000	85.0	[13.335394]	[130]	[10.910327]	[130]	[181133807]	[181133807]
46_10001	chr6	6790905	6791305	+	1000	85.0	[10.158142]	[144]	[7.5738554, 12.433358]	[129, 144]	[6791123]	[6791108, 6791123]
46_10004	chr6	47180603	47181003	+	1000	85.0	[11.972782, 6.8687744]	[121, 133]	[13.811987, 6.598297]	[121, 133]	[47180822, 47180834]	[47180822, 47180834]
46_10005	chr6	106548087	106548487	+	1000	85.0	[10.435919]	[125]	[9.98434]	[125]	[106548312]	[106548312]
46_10006	chr6	139569600	139570000	+	1000	85.0	[11.806913, 6.5491395]	[127, 149]	[9.245538, 7.2634783]	[127, 137]	[139569782, 139569804]	[139569782, 139569792]
46_10007	chr6	147621339	147621739	+	1000	85.0	[15.626627]	[110]	[13.351411]	[110]	[147621543]	[147621543]
46_10008	chr6	156719937	156720337	+	1000	85.0	[]	[]	[8.227716]	[118]	[]	[156720154]
46_1001	chr6	109384421	109384821	+	1000	268.0	[13.335394]	[115]	[10.910327]	[115]	[109384635]	[109384635]
46_10010	chr6	167857045	167857445	+	1000	85.0	[6.770823]	[178]	[9.314332]	[178]	[167857294]	[167857294]
46_10012	chr7	10860515	10860915	+	1000	85.0	[7.2110367, 9.531697, 11.060178]	[88, 107, 121]	[11.520754, 13.185543]	[107, 121]	[10860701, 10860720, 10860734]	[10860720, 10860734]
46_10013	chr7	40551599	40551999	+	1000	85.0	[8.619093]	[170]	[10.894309]	[170]	[40551834]	[40551834]
46_10014	chr7	54995996	54996396	+	1000	85.0	[10.420351]	[88]	[9.999908]	[88]	[54996168]	[54996168]
46_10016	chr7	111074083	111074483	+	1000	85.0	[15.626627]	[116]	[13.351411]	[116]	[111074283]	[111074283]
46_10017	chr7	128221907	128222307	+	1000	85.0	[10.894309]	[116]	[8.619093]	[116]	[128222122]	[128222122]
46_10018	chr7	139774326	139774726	+	1000	85.0	[7.322488, 9.373464]	[100, 128]	[10.5189495, 9.507747]	[100, 128]	[139774502, 139774530]	[139774502, 139774530]
46_10019	chr7	150367863	150368263	+	1000	85.0	[11.972782]	[129]	[13.811987]	[129]	[150368061]	[150368061]
46_1002	chr7	76364759	76365159	+	1000	268.0	[13.351411]	[128]	[15.626627]	[128]	[76364985]	[76364985]
46_10020	chr8	38405161	38405561	+	1000	85.0	[10.894309, 7.0391154]	[118, 135]	[8.619093, 9.046039]	[118, 135]	[38405374, 38405391]	[38405374, 38405391]
46_10021	chr8	40663214	40663614	+	1000	85.0	[11.536771]	[155]	[14.247998]	[155]	[40663435]	[40663435]
46_10022	chr8	91040663	91041063	+	1000	85.0	[]	[]	[9.140321]	[127]	[]	[91040885]
46_10023	chr8	97214649	97215049	+	1000	85.0	[13.335394]	[119]	[10.910327]	[119]	[97214856]	[97214856]
46_10025	chr8	125125908	125126308	+	1000	85.0	[7.6834273, 12.433358]	[97, 115]	[9.940776, 10.158142]	[97, 115]	[125126094, 125126112]	[125126094, 125126112]
46_10026	chr8	142676053	142676453	+	1000	85.0	[10.158142]	[111]	[12.433358]	[111]	[142676237]	[142676237]
46_10027	chr9	38252663	38253063	+	1000	85.0	[9.245538]	[103]	[11.806913]	[103]	[38252830]	[38252830]
46_10029	chr9	120775805	120776205	+	1000	85.0	[13.811987]	[102]	[11.972782]	[102]	[120775997]	[120775997]
46_1003	chr1	12549815	12550215	+	1000	267.0	[]	[]	[6.413076]	[120]	[]	[12550015]
46_10030	chr9	128137157	128137557	+	1000	85.0	[10.696422]	[96]	[8.13516]	[96]	[128137344]	[128137344]
46_10032	chr9	130946787	130947187	+	1000	85.0	[11.060178]	[167]	[13.185543]	[167]	[130947035]	[130947035]
46_10033	chr9	136998476	136998876	+	1000	85.0	[14.247998]	[151]	[11.536771]	[151]	[136998712]	[136998712]
46_10034	chr9	137611810	137612210	+	1000	85.0	[10.894309]	[107]	[8.619093]	[107]	[137612017]	[137612017]
46_10035	chrX	1888266	1888666	+	1000	85.0	[6.770823]	[64]	[9.314332]	[64]	[1888427]	[1888427]
46_10036	chrX	10633766	10634166	+	1000	85.0	[7.6834273]	[73]	[9.940776]	[73]	[10633934]	[10633934]
46_10037	chrX	14936571	14936971	+	1000	85.0	[11.755416]	[97]	[9.062057]	[97]	[14936758]	[14936758]
46_10038	chrX	31847744	31848144	+	1000	85.0	[]	[]	[9.140321]	[174]	[]	[31847992]
46_10039	chrX	132004653	132005053	+	1000	85.0	[13.351411]	[129]	[15.626627]	[129]	[132004878]	[132004878]
46_1004	chr1	152048028	152048428	+	1000	267.0	[12.433358]	[147]	[10.158142]	[147]	[152048264]	[152048264]
46_10040	chrX	136768539	136768939	+	1000	85.0	[12.225017]	[168]	[9.799835]	[168]	[136768738]	[136768738]
46_10042	chrX	156002406	156002806	+	1000	85.0	[8.619093]	[141]	[10.894309]	[141]	[156002630]	[156002630]
