#PeakID	chr	start	end	strand	idrScore	count
366_0	chrM	452	664	+	1000	3279.5
366_1	chr5	81736148	81736358	+	1000	3082.5
366_2	chr1	21905105	21905307	+	1000	2727.5
366_3	chrM	11978	12336	+	1000	2714.5
366_4	chrM	15925	16132	+	1000	2612.5
366_5	chr1	125180108	125180308	+	1000	2537.5
366_6	chr6	27131941	27132142	+	1000	2532.5
366_7	chr1	47181280	47181498	+	1000	2518.5
366_8	chr1	203626638	203626848	+	1000	2507.0
366_9	chr7	151039434	151039636	+	1000	2502.5
366_10	chr19	47313237	47313437	+	1000	2493.5
366_11	chrM	14012	14214	+	1000	2451.5
366_12	chrM	3254	3455	+	1000	2438.5
366_13	chrM	2300	2610	+	1000	2435.5
366_14	chrM	1990	2227	+	1000	2431.5
366_15	chr1	112700882	112701082	+	1000	2426.0
366_16	chrM	8137	8408	+	1000	2424.5
366_17	chr11	59842422	59842629	+	1000	2420.0
366_18	chrM	5237	5449	+	1000	2418.0
366_19	chrM	8595	8803	+	1000	2413.5
366_20	chr7	100479227	100479434	+	1000	2412.5
366_21	chrX	13647693	13647898	+	1000	2410.0
366_22	chr6	41279032	41279233	+	1000	2407.0
366_23	chr11	114160081	114160297	+	1000	2399.0
366_24	chr1	51284536	51284739	+	1000	2395.5
366_25	chr8	129682121	129682326	+	1000	2388.5
366_26	chr1	156616539	156616740	+	1000	2380.5
366_27	chr12	56636855	56637058	+	1000	2377.0
366_28	chr20	47360639	47360841	+	1000	2376.5
366_29	chr9	128007601	128007807	+	1000	2375.5
366_30	chr16	50323571	50323785	+	1000	2375.0
366_31	chr1	234523672	234523884	+	1000	2372.0
366_32	chr11	66701898	66702103	+	1000	2369.5
366_33	chr17	73474384	73474598	+	1000	2364.5
366_34	chr17	81394046	81394249	+	1000	2360.0
366_35	chr17	46742882	46743096	+	1000	2349.0
366_36	chr6	118660291	118660523	+	1000	2344.0
366_37	chr7	116876910	116877146	+	1000	2343.0
366_38	chr20	32752420	32752620	+	1000	2341.0
366_39	chr2	173354538	173354807	+	1000	2339.5
366_40	chr10	72364352	72364552	+	1000	2339.0
366_41	chr19	40209202	40209403	+	1000	2331.5
366_42	chr10	21724834	21725058	+	1000	2329.5
366_43	chr1	179293511	179293713	+	1000	2327.5
366_44	chr5	109468812	109469027	+	1000	2326.0
366_45	chr2	71882995	71883204	+	1000	2321.0
366_46	chr4	174423192	174423400	+	1000	2320.0
366_47	chr1	12478296	12478497	+	1000	2318.0
366_48	chr6	85600828	85601032	+	1000	2317.0
366_49	chr6	42199563	42199763	+	1000	2313.5
366_50	chrUn_KI270438v1	103998	104206	+	1000	2313.5
366_51	chr12	116197235	116197438	+	1000	2299.5
366_52	chr16	10972226	10972450	+	1000	2294.0
366_53	chr19	57599729	57599931	+	1000	2292.0
366_54	chr11	72414268	72414470	+	1000	2289.5
366_55	chr7	100119339	100119539	+	1000	2289.5
366_56	chrM	6383	6593	+	1000	2285.0
366_57	chr10	43418018	43418237	+	1000	2276.5
366_58	chr22	29821475	29821685	+	1000	2271.5
366_59	chr17	30825766	30825967	+	1000	2264.5
366_60	chr17	45158505	45158707	+	1000	2260.0
366_61	chr19	13847076	13847279	+	1000	2255.5
366_62	chrM	7550	7750	+	1000	2254.5
366_63	chr3	12841591	12841809	+	1000	2253.5
366_64	chr5	154653967	154654191	+	1000	2249.0
366_65	chr7	128523345	128523550	+	1000	2244.5
366_66	chr6	37103385	37103591	+	1000	2243.0
366_67	chr1	224204876	224205203	+	1000	2235.5
366_68	chr1	113949212	113949415	+	1000	2224.0
366_69	chr2	62287953	62288191	+	1000	2217.0
366_70	chr1	191823756	191823960	+	1000	2212.5
366_71	chr11	123235175	123235375	+	1000	2209.0
366_72	chr12	31636772	31636972	+	1000	2202.5
366_73	chr15	20193533	20193737	+	1000	2202.5
366_74	chr6	37240286	37240501	+	1000	2200.0
366_75	chr17	82462039	82462241	+	1000	2199.5
366_76	chr2	218322701	218322901	+	1000	2199.5
366_77	chr1	160989909	160990112	+	1000	2188.5
366_78	chrUn_KI270438v1	109332	109538	+	1000	2185.5
366_79	chr17	76406042	76406248	+	1000	2185.0
366_80	chr1	11657751	11657952	+	1000	2179.0
366_81	chr5	132293204	132293420	+	1000	2173.5
366_82	chr9	132799136	132799338	+	1000	2164.5
366_83	chr7	106859082	106859325	+	1000	2158.0
366_84	chr15	63436892	63437092	+	1000	2156.5
366_85	chr8	60751714	60751929	+	1000	2156.5
