#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIC_idr.fa NFIC --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
366_1	chr5	81736053	81736453	+	1000	3082.5	[7.275311, 7.275311]	[114, 146]	[7.275311]	[123]	[81736262, 81736294]	[81736271]
366_10	chr19	47313137	47313537	+	1000	2493.5	[7.275311]	[88]	[7.275311, 7.275311]	[97, 101]	[47313325]	[47313334, 47313338]
366_100	chr22	19718980	19719380	+	1000	2106.0	[7.275311]	[121]	[7.275311, 7.275311]	[60, 98]	[19719196]	[19719135, 19719173]
366_10001	chr3	43686903	43687303	+	1000	206.0	[]	[]	[7.275311]	[124]	[]	[43687113]
366_10006	chr6	127585113	127585513	+	1000	206.0	[]	[]	[7.275311]	[125]	[]	[127585334]
366_10007	chr7	100896077	100896477	+	1000	206.0	[]	[]	[7.275311, 7.275311]	[146, 168]	[]	[100896301, 100896323]
366_10008	chr8	28136791	28137191	+	1000	206.0	[]	[]	[7.275311, 7.275311]	[85, 164]	[]	[28136962, 28137041]
366_10009	chr9	35481345	35481745	+	1000	206.0	[]	[]	[7.275311]	[54]	[]	[35481497]
366_1001	chr2	25265762	25266162	+	1000	1029.0	[7.275311, 7.275311]	[95, 106]	[7.275311, 7.275311]	[97, 115]	[25265956, 25265967]	[25265958, 25265976]
366_10010	chrUn_GL000219v1	40137	40537	+	1000	206.0	[7.275311, 7.275311]	[121, 174]	[7.275311]	[176]	[40322, 40375]	[40377]
366_10016	chr1	164755690	164756090	+	1000	205.5	[7.275311, 7.275311, 7.275311]	[83, 106, 140]	[7.275311, 7.275311]	[99, 149]	[164755853, 164755876, 164755910]	[164755869, 164755919]
366_10019	chr17	34885125	34885525	+	1000	205.5	[]	[]	[7.275311]	[71]	[]	[34885287]
366_10021	chr17	43747932	43748332	+	1000	205.5	[7.275311]	[155]	[7.275311]	[106]	[43748173]	[43748124]
366_10022	chr17	62233987	62234387	+	1000	205.5	[]	[]	[7.275311, 7.275311, 7.275311]	[95, 102, 113]	[]	[62234157, 62234164, 62234175]
366_10025	chr19	53007553	53007953	+	1000	205.5	[7.275311]	[68]	[7.275311, 7.275311]	[97, 111]	[53007715]	[53007744, 53007758]
366_10026	chr2	112144435	112144835	+	1000	205.5	[7.275311]	[59]	[7.275311, 7.275311]	[68, 142]	[112144593]	[112144602, 112144676]
366_10029	chr4	125179757	125180157	+	1000	205.5	[7.275311]	[101]	[7.275311]	[110]	[125179953]	[125179962]
366_1003	chr1	8822709	8823109	+	1000	1027.5	[7.275311]	[102]	[7.275311]	[153]	[8822884]	[8822935]
366_10030	chr5	71989524	71989924	+	1000	205.5	[7.275311]	[90]	[7.275311]	[99]	[71989714]	[71989723]
366_10036	chr6	43887224	43887624	+	1000	205.5	[7.275311, 7.275311, 7.275311]	[79, 155, 161]	[7.275311]	[88]	[43887392, 43887468, 43887474]	[43887401]
366_10039	chr8	129694668	129695068	+	1000	205.5	[7.275311]	[82]	[7.275311, 7.275311]	[84, 91]	[129694850]	[129694852, 129694859]
366_1004	chr2	65382820	65383220	+	1000	1027.5	[7.275311]	[87]	[7.275311]	[121]	[65383002]	[65383036]
366_10042	chr1	24745071	24745471	+	1000	205.0	[7.275311]	[231]	[7.275311]	[171]	[24745304]	[24745244]
366_10044	chr1	120844127	120844527	+	1000	205.0	[]	[]	[7.275311]	[109]	[]	[120844325]
366_10045	chr11	102759721	102760121	+	1000	205.0	[7.275311]	[119]	[7.275311, 7.275311]	[128, 139]	[102759928]	[102759937, 102759948]
366_10047	chr12	111402813	111403213	+	1000	205.0	[7.275311]	[103]	[7.275311]	[105]	[111403003]	[111403005]
366_10049	chr15	57323710	57324110	+	1000	205.0	[7.275311]	[158]	[7.275311]	[234]	[57323878]	[57323954]
366_10050	chr16	50071055	50071455	+	1000	205.0	[7.275311]	[110]	[]	[]	[50071255]	[]
366_10052	chr16	73232795	73233195	+	1000	205.0	[7.275311]	[163]	[]	[]	[73233036]	[]
366_10053	chr17	39181297	39181697	+	1000	205.0	[7.275311]	[101]	[7.275311, 7.275311]	[110, 126]	[39181491]	[39181500, 39181516]
366_10057	chr2	36638868	36639268	+	1000	205.0	[7.275311]	[112]	[7.275311]	[102]	[36639077]	[36639067]
366_10059	chr2	119065151	119065551	+	1000	205.0	[7.275311]	[99]	[7.275311]	[108]	[119065344]	[119065353]
366_10060	chr3	43684975	43685375	+	1000	205.0	[7.275311]	[70]	[7.275311]	[79]	[43685133]	[43685142]
366_10062	chr5	78671529	78671929	+	1000	205.0	[]	[]	[7.275311]	[112]	[]	[78671729]
366_10063	chr5	111512579	111512979	+	1000	205.0	[7.275311]	[73]	[7.275311]	[86]	[111512734]	[111512747]
366_10067	chr7	14018750	14019150	+	1000	205.0	[7.275311]	[110]	[]	[]	[14018934]	[]
366_10068	chr7	78616524	78616924	+	1000	205.0	[7.275311]	[126]	[7.275311, 7.275311]	[97, 135]	[78616733]	[78616704, 78616742]
366_10070	chr8	95133624	95134024	+	1000	205.0	[7.275311]	[296]	[7.275311, 7.275311]	[229, 301]	[95133856]	[95133789, 95133861]
366_10072	chr1	23273393	23273793	+	1000	204.5	[7.275311]	[122]	[7.275311]	[113]	[23273601]	[23273592]
366_10074	chr1	211753076	211753476	+	1000	204.5	[]	[]	[7.275311]	[117]	[]	[211753289]
366_10075	chr10	78973048	78973448	+	1000	204.5	[7.275311]	[227]	[7.275311, 7.275311]	[150, 196]	[78973288]	[78973211, 78973257]
366_10076	chr11	47946945	47947345	+	1000	204.5	[7.275311, 7.275311, 7.275311]	[72, 76, 140]	[]	[]	[47947109, 47947113, 47947177]	[]
366_10077	chr13	79331341	79331741	+	1000	204.5	[7.275311, 7.275311]	[61, 109]	[7.275311]	[118]	[79331499, 79331547]	[79331556]
366_10079	chr15	29684699	29685099	+	1000	204.5	[7.275311, 7.275311]	[55, 129]	[7.275311]	[138]	[29684853, 29684927]	[29684936]
366_1008	chr9	37372842	37373242	+	1000	1026.0	[7.275311]	[88]	[7.275311]	[97]	[37373030]	[37373039]
366_10082	chr19	50432555	50432955	+	1000	204.5	[7.275311]	[112]	[7.275311]	[121]	[50432742]	[50432751]
366_10084	chr2	175668846	175669246	+	1000	204.5	[7.275311, 7.275311]	[130, 137]	[7.275311]	[139]	[175669072, 175669079]	[175669081]
366_10086	chr22	37242519	37242919	+	1000	204.5	[]	[]	[7.275311]	[161]	[]	[37242739]
366_10087	chr3	50714921	50715321	+	1000	204.5	[7.275311]	[103]	[]	[]	[50715117]	[]
366_10089	chr3	168085200	168085600	+	1000	204.5	[7.275311]	[111]	[]	[]	[168085404]	[]
366_10090	chr4	159390637	159391037	+	1000	204.5	[]	[]	[7.275311]	[113]	[]	[159390836]
366_10091	chr5	10762741	10763141	+	1000	204.5	[7.275311]	[118]	[]	[]	[10762940]	[]
366_10093	chr7	124768512	124768912	+	1000	204.5	[]	[]	[7.275311]	[123]	[]	[124768724]
366_10094	chr9	19479886	19480286	+	1000	204.5	[]	[]	[7.275311, 7.275311]	[117, 130]	[]	[19480081, 19480094]
366_10095	chrX	107708846	107709246	+	1000	204.5	[7.275311, 7.275311]	[66, 105]	[7.275311, 7.275311]	[114, 118]	[107709007, 107709046]	[107709055, 107709059]
366_10097	chr1	34320227	34320627	+	1000	204.0	[7.275311, 7.275311]	[70, 105]	[]	[]	[34320396, 34320431]	[]
366_10098	chr1	86779419	86779819	+	1000	204.0	[7.275311]	[109]	[]	[]	[86779624]	[]
366_1010	chr6	17656164	17656564	+	1000	1024.0	[7.275311, 7.275311]	[97, 104]	[7.275311]	[106]	[17656357, 17656364]	[17656366]
366_10100	chr1	182259448	182259848	+	1000	204.0	[7.275311]	[145]	[7.275311, 7.275311]	[165, 194]	[182259645]	[182259665, 182259694]
366_10101	chr1	235845804	235846204	+	1000	204.0	[7.275311]	[122]	[7.275311, 7.275311]	[113, 131]	[235846016]	[235846007, 235846025]
366_10102	chr10	21705815	21706215	+	1000	204.0	[7.275311, 7.275311]	[94, 101]	[7.275311]	[103]	[21706006, 21706013]	[21706015]
