#PeakID(python identify_motif.py ./ENCODE_processed_files/SREBF2_idr.fa SREBF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
99_10009	chr22	22153024	22153424	+	1000	45.0	[5.374046]	[203]	[7.9399495]	[203]	[22153270]	[22153270]
99_10015	chr22	22843347	22843747	+	1000	45.0	[7.4101677]	[70]	[8.181284]	[70]	[22843503]	[22843503]
99_10020	chr22	41946185	41946585	+	1000	45.0	[]	[]	[5.2188683]	[108]	[]	[41946381]
99_10024	chr3	4985856	4986256	+	1000	45.0	[6.328761]	[150]	[6.985234]	[150]	[4986070]	[4986070]
99_10031	chr3	24494204	24494604	+	1000	45.0	[4.884403]	[159]	[]	[]	[24494437]	[]
99_10045	chr3	49786502	49786902	+	948	45.0	[9.761483, 10.012176]	[87, 137]	[9.013285, 9.796326]	[87, 137]	[49786673, 49786723]	[49786673, 49786723]
99_10052	chr3	183637692	183638092	+	1000	45.0	[9.16307]	[171]	[10.27358]	[171]	[183637890]	[183637890]
99_10056	chr3	195699890	195700290	+	1000	45.0	[5.41352]	[176]	[]	[]	[195700117]	[]
99_10060	chr3	196519022	196519422	+	1000	45.0	[4.8827033]	[176]	[5.809614]	[176]	[196519237]	[196519237]
99_10083	chr5	10452830	10453230	+	994	45.0	[6.522595]	[143]	[5.5678797]	[143]	[10453041]	[10453041]
99_1010	chr9	130810167	130810567	+	1000	77.0	[5.830057]	[195]	[5.115098]	[195]	[130810408]	[130810408]
99_10110	chr6	7170191	7170591	+	1000	45.0	[6.410637]	[82]	[4.996092]	[82]	[7170365]	[7170365]
99_10113	chr6	13355632	13356032	+	1000	45.0	[]	[]	[4.764523]	[125]	[]	[13355806]
99_10114	chr6	13483238	13483638	+	1000	45.0	[5.4316607]	[235]	[]	[]	[13483489]	[]
99_10128	chr6	28543437	28543837	+	1000	45.0	[5.528985]	[82]	[]	[]	[28543613]	[]
99_10136	chr6	32244915	32245315	+	830	45.0	[5.760652]	[82]	[7.3718405, 5.2472296]	[82, 123]	[32245091]	[32245091, 32245132]
99_10143	chr6	34326643	34327043	+	1000	45.0	[9.16307]	[128]	[10.27358]	[128]	[34326832]	[34326832]
99_10150	chr6	37048103	37048503	+	1000	45.0	[9.542401]	[115]	[9.642931]	[115]	[37048315]	[37048315]
99_1017	chr1	15526643	15527043	+	1000	76.0	[16.1302]	[118]	[16.1302]	[118]	[15526817]	[15526817]
99_10174	chr6	152875708	152876108	+	1000	45.0	[5.374046]	[108]	[7.9399495]	[108]	[152875859]	[152875859]
99_10176	chr6	156686988	156687388	+	1000	45.0	[4.857907]	[133]	[]	[]	[156687207]	[]
99_10198	chr7	93592607	93593007	+	1000	45.0	[4.7707453]	[96]	[5.2378263]	[96]	[93592760]	[93592760]
99_10207	chr7	105396217	105396617	+	707	45.0	[6.174386, 5.374046]	[279, 287]	[6.589189, 7.9399495]	[279, 287]	[105396415, 105396423]	[105396415, 105396423]
99_10214	chr7	107007862	107008262	+	1000	45.0	[]	[]	[5.2761946]	[136]	[]	[107008087]
99_10223	chr7	117124621	117125021	+	1000	45.0	[]	[]	[4.8692756]	[99]	[]	[117124808]
99_10225	chr7	117791841	117792241	+	1000	45.0	[]	[]	[5.1931653]	[171]	[]	[117792017]
99_10227	chr7	120993604	120994004	+	1000	45.0	[13.96803]	[178]	[12.337635]	[178]	[120993842]	[120993842]
99_1024	chr1	89524160	89524560	+	1000	76.0	[7.256073]	[142]	[5.873199]	[142]	[89524337]	[89524337]
99_10246	chr7	152395174	152395574	+	1000	45.0	[]	[]	[5.2537107]	[72]	[]	[152395326]
99_10253	chr8	37864326	37864726	+	1000	45.0	[]	[]	[5.10322]	[116]	[]	[37864530]
99_10263	chr8	102751074	102751474	+	1000	45.0	[9.881098]	[133]	[10.132329]	[133]	[102751257]	[102751257]
99_10267	chr8	143334936	143335336	+	1000	45.0	[6.304411]	[157]	[4.7808824]	[157]	[143335164]	[143335164]
99_10273	chr9	94165713	94166113	+	1000	45.0	[11.587584]	[163]	[10.497101]	[163]	[94165943]	[94165943]
99_10280	chr9	120814551	120814951	+	1000	45.0	[9.16307]	[170]	[10.27358]	[170]	[120814728]	[120814728]
99_10294	chr9	136727559	136727959	+	1000	45.0	[9.619249]	[150]	[5.2871833]	[150]	[136727724]	[136727724]
99_1030	chr10	71851047	71851447	+	1000	76.0	[7.534592]	[158]	[9.145781]	[158]	[71851257]	[71851257]
99_10303	chrX	53433918	53434318	+	1000	45.0	[9.610193]	[161]	[9.542401]	[161]	[53434086]	[53434086]
99_10315	chr1	11981458	11981858	+	990	44.0	[]	[]	[5.917151]	[74]	[]	[11981625]
99_10342	chr1	28884918	28885318	+	1000	44.0	[5.954486]	[171]	[5.954486]	[171]	[28885153]	[28885153]
99_10344	chr1	30717653	30718053	+	1000	44.0	[7.9399495]	[211]	[5.374046]	[211]	[30717876]	[30717876]
99_10352	chr1	40709039	40709439	+	1000	44.0	[6.299832]	[137]	[5.407133]	[137]	[40709217]	[40709217]
99_10370	chr1	93442302	93442702	+	1000	44.0	[7.98505]	[109]	[5.206837]	[109]	[93442454]	[93442454]
99_10375	chr1	109388935	109389335	+	1000	44.0	[8.528767]	[175]	[6.377666]	[175]	[109389127]	[109389127]
99_10376	chr1	110060253	110060653	+	1000	44.0	[]	[]	[5.8576007]	[194]	[]	[110060489]
99_1038	chr17	63849331	63849731	+	1000	76.0	[5.873199]	[112]	[7.256073]	[112]	[63849504]	[63849504]
99_10384	chr1	144523841	144524241	+	1000	44.0	[]	[]	[5.1003165]	[147]	[]	[144524079]
99_10386	chr1	150363540	150363940	+	1000	44.0	[]	[]	[5.390789]	[101]	[]	[150363726]
99_10410	chr1	174204581	174204981	+	1000	44.0	[8.632918]	[205]	[7.437353]	[205]	[174204795]	[174204795]
99_10426	chr1	206925457	206925857	+	1000	44.0	[]	[]	[5.730965]	[218]	[]	[206925678]
99_10436	chr1	228086097	228086497	+	1000	44.0	[5.374046]	[194]	[7.9399495]	[194]	[228086301]	[228086301]
99_10444	chr1	235113200	235113600	+	1000	44.0	[7.674597]	[163]	[]	[]	[235113424]	[]
99_10453	chr10	11165753	11166153	+	1000	44.0	[]	[]	[7.3857613]	[155]	[]	[11165934]
99_10455	chr10	11538831	11539231	+	1000	44.0	[5.367403]	[79]	[7.253585]	[79]	[11539003]	[11539003]
99_1048	chr22	21639810	21640210	+	1000	76.0	[9.16307]	[158]	[10.27358]	[158]	[21640034]	[21640034]
99_10483	chr10	80201713	80202113	+	1000	44.0	[9.515881]	[215]	[6.5026107]	[215]	[80201937]	[80201937]
99_10485	chr11	353921	354321	+	1000	44.0	[9.881098]	[150]	[10.132329]	[150]	[354106]	[354106]
99_10500	chr11	46701060	46701460	+	877	44.0	[6.375795]	[139]	[]	[]	[46701284]	[]
99_10535	chr11	96340298	96340698	+	983	44.0	[12.74451]	[73]	[11.114115]	[73]	[96340462]	[96340462]
99_1055	chr22	23192155	23192555	+	1000	76.0	[7.6613994]	[95]	[7.9300528]	[95]	[23192331]	[23192331]
99_10552	chr12	93442175	93442575	+	1000	44.0	[5.739731]	[77]	[5.330423]	[77]	[93442350]	[93442350]
99_10562	chr12	121933850	121934250	+	1000	44.0	[]	[]	[5.8035364]	[103]	[]	[121934040]
99_10563	chr12	123383382	123383782	+	987	44.0	[9.16307]	[109]	[10.27358]	[109]	[123383544]	[123383544]
99_10567	chr13	80581323	80581723	+	1000	44.0	[11.355849]	[196]	[11.104618]	[196]	[80581531]	[80581531]
99_10629	chr16	57736050	57736450	+	1000	44.0	[7.6992993]	[103]	[8.73989]	[103]	[57736213]	[57736213]
99_10636	chr16	84145269	84145669	+	1000	44.0	[]	[]	[5.0077453]	[100]	[]	[84145467]
99_10638	chr16	85441117	85441517	+	1000	44.0	[5.1328235]	[123]	[6.2910986]	[123]	[85441335]	[85441335]
99_10651	chr17	39754503	39754903	+	1000	44.0	[12.30228]	[184]	[11.029983]	[184]	[39754731]	[39754731]
99_10657	chr17	42018964	42019364	+	1000	44.0	[7.0714707]	[136]	[7.691886]	[136]	[42019185]	[42019185]
99_10658	chr17	42277372	42277772	+	1000	44.0	[5.300137]	[96]	[]	[]	[42277563]	[]
99_1066	chr7	56106140	56106540	+	1000	76.0	[5.3542013]	[145]	[]	[]	[56106359]	[]
99_10670	chr17	73010885	73011285	+	1000	44.0	[5.93444]	[198]	[5.662076]	[198]	[73011087]	[73011087]
99_10681	chr17	82292606	82293006	+	1000	44.0	[9.602491]	[216]	[11.42953]	[216]	[82292846]	[82292846]
99_10685	chr18	9008604	9009004	+	1000	44.0	[]	[]	[6.4171405]	[116]	[]	[9008791]
99_10710	chr19	14529544	14529944	+	1000	44.0	[6.4171405]	[133]	[]	[]	[14529776]	[]
