#PeakID(python scan_motif.py ./ENCODE_processed_files/ZEB2_idr.fa ZEB2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
466_0	chrM	-10	390	+	1000	2013.5	[6.53501]	[74]	[]	[]	[164]	[]
466_10001	chr19	8528516	8528916	+	1000	54.0	[11.465191]	[87]	[11.465191, 6.975399]	[132, 170]	[8528676]	[8528721, 8528759]
466_10005	chr19	41367722	41368122	+	1000	54.0	[6.672127]	[163]	[]	[]	[41367923]	[]
466_10007	chr19	46850347	46850747	+	1000	54.0	[11.465191]	[162]	[]	[]	[46850511]	[]
466_10009	chr19	51338677	51339077	+	1000	54.0	[6.672127]	[123]	[6.975399, 11.465191]	[140, 157]	[51338885]	[51338902, 51338919]
466_1001	chr22	20016980	20017380	+	1000	140.5	[]	[]	[6.975399]	[126]	[]	[20017190]
466_10011	chr2	3379703	3380103	+	1000	54.0	[]	[]	[6.672127, 11.465191]	[67, 74]	[]	[3379867, 3379874]
466_10014	chr2	38892862	38893262	+	1000	54.0	[6.975399]	[120]	[]	[]	[38893066]	[]
466_10018	chr2	88754243	88754643	+	1000	54.0	[11.465191]	[75]	[]	[]	[88754410]	[]
466_1002	chr3	33905024	33905424	+	1000	140.5	[]	[]	[11.465191]	[73]	[]	[33905190]
466_10021	chr2	170930265	170930665	+	1000	54.0	[]	[]	[6.53501]	[173]	[]	[170930504]
466_10023	chr2	177262216	177262616	+	1000	54.0	[11.465191]	[228]	[]	[]	[177262456]	[]
466_10026	chr20	45891135	45891535	+	1000	54.0	[6.9489045, 6.9489045]	[59, 76]	[6.9489045, 6.9489045]	[59, 76]	[45891293, 45891310]	[45891293, 45891310]
466_10027	chr20	47487178	47487578	+	1000	54.0	[]	[]	[6.672127]	[142]	[]	[47487418]
466_1003	chr4	38621241	38621641	+	1000	140.5	[]	[]	[6.975399]	[108]	[]	[38621448]
466_10033	chr21	36155969	36156369	+	1000	54.0	[11.465191]	[155]	[11.465191]	[128]	[36156214]	[36156187]
466_1004	chr7	67019735	67020135	+	1000	140.5	[6.975399]	[85]	[]	[]	[67019901]	[]
466_10040	chr22	22742733	22743133	+	1000	54.0	[]	[]	[6.975399]	[97]	[]	[22742916]
466_10041	chr22	22860400	22860800	+	1000	54.0	[6.672127]	[82]	[]	[]	[22860573]	[]
466_10043	chr22	39311031	39311431	+	1000	54.0	[6.9489045]	[105]	[6.9489045]	[105]	[39311222]	[39311222]
466_10045	chr3	12984365	12984765	+	1000	54.0	[6.975399]	[140]	[]	[]	[12984531]	[]
466_1005	chr9	132978623	132979023	+	1000	140.5	[]	[]	[11.465191]	[124]	[]	[132978839]
466_10051	chr3	155862652	155863052	+	1000	54.0	[11.465191]	[121]	[]	[]	[155862850]	[]
466_10052	chr3	172306987	172307387	+	1000	54.0	[6.975399]	[102]	[]	[]	[172307168]	[]
466_10053	chr3	177251759	177252159	+	1000	54.0	[]	[]	[11.465191]	[168]	[]	[177252000]
466_10055	chr3	187745227	187745627	+	1000	54.0	[11.465191]	[175]	[]	[]	[187745407]	[]
466_10057	chr3	196563975	196564375	+	1000	54.0	[]	[]	[6.975399]	[132]	[]	[196564183]
466_10059	chr4	78715555	78715955	+	1000	54.0	[]	[]	[11.465191]	[62]	[]	[78715707]
466_10063	chr5	1067693	1068093	+	1000	54.0	[11.465191]	[164]	[]	[]	[1067925]	[]
466_10066	chr5	133944200	133944600	+	1000	54.0	[]	[]	[6.975399]	[132]	[]	[133944400]
466_10067	chr5	160008920	160009320	+	1000	54.0	[11.465191]	[134]	[]	[]	[160009126]	[]
