#PeakID(python scan_motif.py ./ENCODE_processed_files/ETS1_idr.fa ETS1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
503_10	chr9	129863143	129863543	+	1000	583.0	[]	[]	[10.389162, 12.327155]	[115, 142]	[]	[129863345, 129863372]
503_1000	chr7	45111542	45111942	+	1000	123.0	[7.896186, 10.150553]	[105, 136]	[11.455031]	[155]	[45111737, 45111768]	[45111787]
503_10000	chr13	39037759	39038159	+	1000	43.0	[7.0065327]	[153]	[]	[]	[39037947]	[]
503_10003	chr14	20413332	20413732	+	1000	43.0	[9.92478]	[64]	[]	[]	[20413487]	[]
503_10005	chr14	34539452	34539852	+	1000	43.0	[10.150553]	[60]	[]	[]	[34539612]	[]
503_10007	chr14	74763180	74763580	+	1000	43.0	[]	[]	[7.916553]	[130]	[]	[74763398]
503_10008	chr14	75126868	75127268	+	1000	43.0	[9.467575]	[101]	[10.947011]	[120]	[75127065]	[75127084]
503_1001	chr7	99504448	99504848	+	1000	123.0	[]	[]	[6.4371176]	[112]	[]	[99504650]
503_10010	chr14	77760980	77761380	+	1000	43.0	[7.6478944]	[140]	[]	[]	[77761191]	[]
503_10011	chr15	36579361	36579761	+	1000	43.0	[]	[]	[8.830775]	[112]	[]	[36579539]
503_10013	chr15	58521415	58521815	+	1000	43.0	[6.993913, 7.4008026]	[106, 123]	[]	[]	[58521599, 58521616]	[]
503_10016	chr15	75578620	75579020	+	1000	43.0	[]	[]	[6.924771]	[159]	[]	[75578846]
503_10020	chr15	89087849	89088249	+	1000	43.0	[]	[]	[6.4858923]	[166]	[]	[89088084]
503_10025	chr16	3059156	3059556	+	1000	43.0	[8.503526]	[129]	[]	[]	[3059326]	[]
503_10030	chr16	21953171	21953571	+	1000	43.0	[]	[]	[6.406941]	[98]	[]	[21953352]
503_10036	chr16	58629541	58629941	+	1000	43.0	[10.389162]	[131]	[]	[]	[58629754]	[]
503_1004	chr1	15975874	15976274	+	1000	122.0	[]	[]	[12.885004]	[176]	[]	[15976120]
503_10040	chr16	70746654	70747054	+	1000	43.0	[8.322755]	[116]	[]	[]	[70746854]	[]
503_1005	chr1	32013686	32014086	+	1000	122.0	[]	[]	[14.393928]	[86]	[]	[32013854]
503_10050	chr17	7351731	7352131	+	1000	43.0	[]	[]	[9.875317]	[211]	[]	[7351964]
503_10056	chr17	42751001	42751401	+	1000	43.0	[7.753163]	[60]	[]	[]	[42751155]	[]
503_1006	chr1	35930928	35931328	+	1000	122.0	[]	[]	[9.975595, 11.580525]	[82, 169]	[]	[35931084, 35931171]
503_10061	chr17	49677796	49678196	+	1000	43.0	[]	[]	[9.875317]	[131]	[]	[49677995]
503_10067	chr17	63433202	63433602	+	1000	43.0	[]	[]	[8.830775]	[133]	[]	[63433411]
503_10069	chr17	76383167	76383567	+	1000	43.0	[7.5145535]	[179]	[]	[]	[76383416]	[]
503_1007	chr10	61765548	61765948	+	1000	122.0	[]	[]	[12.327155]	[67]	[]	[61765714]
503_10070	chr17	77372847	77373247	+	1000	43.0	[]	[]	[8.303927]	[131]	[]	[77373036]
503_10080	chr18	47150343	47150743	+	1000	43.0	[11.455031]	[100]	[9.326159]	[147]	[47150514]	[47150561]
503_10085	chr19	4066541	4066941	+	1000	43.0	[7.1638846]	[114]	[]	[]	[4066716]	[]
503_1009	chr12	56041620	56042020	+	1000	122.0	[10.327956]	[134]	[]	[]	[56041844]	[]
503_10091	chr19	12365244	12365644	+	1000	43.0	[]	[]	[6.8936343]	[212]	[]	[12365464]
503_10097	chr19	19146000	19146400	+	704	43.0	[14.901949]	[78]	[]	[]	[19146177]	[]
503_101	chr9	135961216	135961616	+	1000	271.0	[14.901949]	[76]	[]	[]	[135961385]	[]
503_1010	chr15	82849523	82849923	+	1000	122.0	[9.834179]	[125]	[]	[]	[82849747]	[]
503_10100	chr19	39403736	39404136	+	1000	43.0	[7.4008026]	[175]	[]	[]	[39403953]	[]
503_10103	chr19	45717361	45717761	+	1000	43.0	[9.92478]	[113]	[]	[]	[45717551]	[]
503_10106	chr19	50325570	50325970	+	1000	43.0	[]	[]	[7.7103596]	[173]	[]	[50325815]
503_10107	chr19	52095552	52095952	+	1000	43.0	[8.372218]	[181]	[9.975595]	[169]	[52095766]	[52095754]
503_10109	chr2	27663266	27663666	+	1000	43.0	[8.819032]	[103]	[]	[]	[27663457]	[]
503_10119	chr2	200811712	200812112	+	1000	43.0	[]	[]	[9.933497, 6.4858923]	[111, 141]	[]	[200811910, 200811940]
503_1012	chr16	8797616	8798016	+	1000	122.0	[11.405568]	[140]	[6.4371176]	[146]	[8797816]	[8797822]
503_10121	chr2	230712550	230712950	+	1000	43.0	[]	[]	[6.406941]	[99]	[]	[230712748]
503_10129	chr20	33992948	33993348	+	1000	43.0	[]	[]	[7.5145535]	[135]	[]	[33993120]
503_10130	chr20	34876443	34876843	+	1000	43.0	[]	[]	[7.57576]	[117]	[]	[34876651]
503_10131	chr20	39049972	39050372	+	1000	43.0	[6.8936343]	[143]	[11.405568]	[186]	[39050170]	[39050213]
503_10134	chr20	64038931	64039331	+	1000	43.0	[]	[]	[12.327155]	[105]	[]	[64039094]
503_10135	chr21	9767603	9768003	+	1000	43.0	[]	[]	[10.421151, 7.099728]	[124, 130]	[]	[9767795, 9767801]
503_1014	chr19	5719976	5720376	+	1000	122.0	[]	[]	[11.343102]	[106]	[]	[5720169]
503_10141	chr22	20082767	20083167	+	1000	43.0	[]	[]	[9.1684675]	[72]	[]	[20082919]
503_10142	chr22	20526637	20527037	+	1000	43.0	[]	[]	[10.288883]	[185]	[]	[20526881]
503_10149	chr22	21693426	21693826	+	1000	43.0	[]	[]	[6.4371176]	[126]	[]	[21693613]
503_1016	chr19	13774222	13774622	+	1000	122.0	[]	[]	[9.1897955, 7.7851515]	[124, 155]	[]	[13774426, 13774457]
503_10168	chr22	36480046	36480446	+	1000	43.0	[8.77996]	[92]	[]	[]	[36480225]	[]
503_1017	chr19	14006906	14007306	+	1000	122.0	[8.311011]	[94]	[]	[]	[14007089]	[]
503_10173	chr3	5023249	5023649	+	1000	43.0	[]	[]	[6.406941]	[110]	[]	[5023424]
503_10174	chr3	11642645	11643045	+	1000	43.0	[10.897183]	[118]	[]	[]	[11642863]	[]
503_10175	chr3	43621757	43622157	+	1000	43.0	[8.00715]	[190]	[]	[]	[43621961]	[]
503_1018	chr2	71130434	71130834	+	1000	122.0	[]	[]	[9.467575]	[78]	[]	[71130608]
503_10188	chr4	68349613	68350013	+	1000	43.0	[7.937324]	[154]	[7.896186]	[59]	[68349861]	[68349766]
503_10193	chr4	126850286	126850686	+	1000	43.0	[]	[]	[10.310211]	[115]	[]	[126850460]
