#PeakID(python identify_motif.py ./ENCODE_processed_files/CREM_idr.fa CREM --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
978_0	chr16	2267946	2268346	+	1000	870.0	[12.827382, 8.6803]	[68, 118]	[12.82774, 8.678796]	[68, 118]	[2268110, 2268160]	[2268110, 2268160]
978_100	chr16	807663	808063	+	1000	716.0	[14.656586]	[93]	[14.659791]	[93]	[807856]	[807856]
978_10006	chr1	116570268	116570668	+	1000	128.0	[8.722204]	[87]	[8.723584]	[87]	[116570440]	[116570440]
978_10009	chr1	203270999	203271399	+	1000	128.0	[7.3324223]	[106]	[7.3363094]	[106]	[203271198]	[203271198]
978_10014	chr10	45726965	45727365	+	1000	128.0	[9.628607, 10.588503, 6.6510525, 6.9203253]	[122, 127, 132, 137]	[9.629826, 10.590109, 6.657896, 6.9204936]	[122, 127, 132, 137]	[45727187, 45727192, 45727197, 45727202]	[45727187, 45727192, 45727197, 45727202]
978_1002	chr15	22838448	22838848	+	1000	481.0	[6.6363373]	[147]	[6.631806]	[147]	[22838693]	[22838693]
978_10020	chr11	119067286	119067686	+	1000	128.0	[9.619333, 7.0569654]	[82, 136]	[9.625264, 7.0500126]	[82, 136]	[119067468, 119067522]	[119067468, 119067522]
978_10023	chr12	57522110	57522510	+	1000	128.0	[7.162315, 8.781467]	[101, 106]	[7.1610827, 8.776813]	[101, 106]	[57522298, 57522303]	[57522298, 57522303]
978_10026	chr12	113136066	113136466	+	1000	128.0	[10.245765]	[94]	[10.237755]	[94]	[113136254]	[113136254]
978_10032	chr14	81005545	81005945	+	1000	128.0	[12.779715]	[111]	[12.77833]	[111]	[81005750]	[81005750]
978_10033	chr14	81303304	81303704	+	1000	128.0	[9.272504]	[159]	[9.2775755]	[159]	[81303546]	[81303546]
978_1004	chr3	101686615	101687015	+	1000	481.0	[8.362087]	[97]	[8.362808]	[97]	[101686810]	[101686810]
978_10041	chr16	57976524	57976924	+	1000	128.0	[6.606615]	[99]	[6.6048985]	[99]	[57976704]	[57976704]
978_10047	chr17	55303627	55304027	+	1000	128.0	[15.108516]	[98]	[15.107543]	[98]	[55303820]	[55303820]
978_1005	chr3	170357455	170357855	+	1000	481.0	[8.361481, 15.054843]	[84, 109]	[8.363768, 15.059579]	[84, 109]	[170357632, 170357657]	[170357632, 170357657]
978_10056	chr19	32421878	32422278	+	1000	128.0	[7.5400953]	[124]	[7.5314775]	[124]	[32422093]	[32422093]
978_10058	chr19	55062367	55062767	+	1000	128.0	[7.8024454]	[95]	[7.7976027]	[95]	[55062554]	[55062554]
978_1006	chrX	19343715	19344115	+	1000	481.0	[8.349766]	[80]	[8.35278]	[80]	[19343895]	[19343895]
978_10065	chr20	3658802	3659202	+	1000	128.0	[6.6641574]	[91]	[6.6605854]	[91]	[3658989]	[3658989]
978_10067	chr20	25237776	25238176	+	1000	128.0	[7.304472]	[172]	[7.3135056]	[172]	[25238019]	[25238019]
978_10072	chr20	49812427	49812827	+	1000	128.0	[11.731939]	[96]	[11.73179]	[96]	[49812607]	[49812607]
978_10080	chr3	113577738	113578138	+	1000	128.0	[13.979431]	[87]	[13.973944]	[87]	[113577921]	[113577921]
978_10084	chr4	143773998	143774398	+	1000	128.0	[10.216566]	[107]	[10.221592]	[107]	[143774199]	[143774199]
978_10100	chr6	73422363	73422763	+	1000	128.0	[7.604903]	[104]	[7.6028156]	[104]	[73422562]	[73422562]
978_10103	chr7	993126	993526	+	1000	128.0	[8.152933]	[121]	[8.152933]	[121]	[993338]	[993338]
978_10115	chr9	95411607	95412007	+	1000	128.0	[10.888007, 7.308376]	[127, 152]	[10.887735, 7.303142]	[127, 152]	[95411825, 95411850]	[95411825, 95411850]
978_10119	chr9	136766447	136766847	+	1000	128.0	[10.664955, 7.3860006]	[75, 128]	[10.660405, 7.391829]	[75, 128]	[136766621, 136766674]	[136766621, 136766674]
978_10120	chrX	14064895	14065295	+	1000	128.0	[6.704465]	[124]	[6.6997676]	[124]	[14065081]	[14065081]
978_10128	chr1	32722105	32722505	+	1000	127.0	[8.812577]	[133]	[8.805943]	[133]	[32722335]	[32722335]
978_10136	chr10	22369487	22369887	+	1000	127.0	[7.546141, 6.488558]	[97, 122]	[7.5483665, 6.4944425]	[97, 122]	[22369680, 22369705]	[22369680, 22369705]
978_10146	chr12	106956668	106957068	+	1000	127.0	[9.523526]	[111]	[9.520889]	[111]	[106956869]	[106956869]
978_1016	chr19	57363314	57363714	+	1000	479.0	[15.3265295]	[84]	[15.324016]	[84]	[57363494]	[57363494]
978_10171	chr17	40098960	40099360	+	1000	127.0	[7.167418]	[80]	[7.161212]	[80]	[40099125]	[40099125]
978_10174	chr19	8423889	8424289	+	1000	127.0	[12.78048]	[93]	[12.775139]	[93]	[8424068]	[8424068]
978_10179	chr19	48107347	48107747	+	1000	127.0	[7.8776064]	[137]	[7.883726]	[137]	[48107574]	[48107574]
978_10180	chr19	48553852	48554252	+	1000	127.0	[9.306295, 6.6332226]	[81, 136]	[9.301134, 6.6319437]	[81, 136]	[48554019, 48554074]	[48554019, 48554074]
978_10183	chr2	65294736	65295136	+	1000	127.0	[9.264893]	[104]	[9.273697]	[104]	[65294940]	[65294940]
978_1021	chr1	1858615	1859015	+	1000	478.0	[15.42836]	[98]	[15.431219]	[98]	[1858811]	[1858811]
978_10231	chrX	119685400	119685800	+	1000	127.0	[10.805991]	[89]	[10.807172]	[89]	[119685578]	[119685578]
978_10241	chr1	46246772	46247172	+	1000	126.0	[7.226166]	[131]	[7.234045]	[131]	[46246995]	[46246995]
978_1025	chr12	121016332	121016732	+	1000	477.0	[13.466967, 7.141533]	[93, 98]	[13.466655, 7.146298]	[93, 98]	[121016525, 121016530]	[121016525, 121016530]
978_1026	chr14	74019137	74019537	+	1000	477.0	[8.266477]	[91]	[8.26581]	[91]	[74019326]	[74019326]
978_10263	chr11	134272430	134272830	+	1000	126.0	[17.111032]	[98]	[17.106876]	[98]	[134272618]	[134272618]
978_10266	chr12	31733704	31734104	+	1000	126.0	[6.5586443]	[58]	[6.5638847]	[58]	[31733861]	[31733861]
978_1027	chr17	76726388	76726788	+	1000	477.0	[6.634687]	[75]	[6.633456]	[75]	[76726559]	[76726559]
978_10280	chr16	57062374	57062774	+	1000	126.0	[9.461749]	[91]	[9.460981]	[91]	[57062556]	[57062556]
978_10284	chr17	19304099	19304499	+	1000	126.0	[11.9221945]	[109]	[11.923208]	[109]	[19304307]	[19304307]
978_10287	chr17	41645821	41646221	+	1000	126.0	[12.747844]	[117]	[12.744718]	[117]	[41646021]	[41646021]
978_10288	chr17	44108644	44109044	+	1000	126.0	[7.8465004]	[149]	[7.8471513]	[149]	[44108882]	[44108882]
978_10298	chr19	6811890	6812290	+	1000	126.0	[8.735324]	[87]	[8.734816]	[87]	[6812071]	[6812071]
978_10303	chr2	30191782	30192182	+	1000	126.0	[7.101296]	[146]	[7.0906487]	[146]	[30192025]	[30192025]
978_10312	chr20	36162445	36162845	+	1000	126.0	[8.230518]	[159]	[8.231995]	[159]	[36162691]	[36162691]
978_10313	chr20	47331285	47331685	+	1000	126.0	[6.6508417]	[94]	[6.664481]	[94]	[47331468]	[47331468]
978_1032	chr16	30075738	30076138	+	1000	476.0	[10.253365]	[100]	[10.248425]	[100]	[30075937]	[30075937]
978_10324	chr5	96743327	96743727	+	1000	126.0	[7.1949534]	[106]	[7.1938224]	[106]	[96743532]	[96743532]
978_10334	chr6	137351883	137352283	+	1000	126.0	[12.610931, 7.7784653]	[85, 103]	[12.61307, 7.7857027]	[85, 103]	[137352066, 137352084]	[137352066, 137352084]
978_10335	chr6	145893578	145893978	+	1000	126.0	[7.936477]	[88]	[7.944392]	[88]	[145893758]	[145893758]
978_10339	chr7	100601992	100602392	+	1000	126.0	[11.143353]	[85]	[11.144603]	[85]	[100602175]	[100602175]
978_10340	chr7	135923673	135924073	+	1000	126.0	[6.6690807]	[156]	[6.6670327]	[156]	[135923904]	[135923904]
978_10349	chr9	129268636	129269036	+	1000	126.0	[6.987306]	[113]	[6.982284]	[113]	[129268849]	[129268849]
978_10358	chr1	31447219	31447619	+	1000	125.0	[6.736269]	[115]	[6.740906]	[115]	[31447393]	[31447393]
978_10359	chr1	32920121	32920521	+	1000	125.0	[13.798454]	[88]	[13.803302]	[88]	[32920305]	[32920305]
978_10362	chr1	64966425	64966825	+	1000	125.0	[11.835435]	[98]	[11.837057]	[98]	[64966618]	[64966618]
978_10370	chr10	3665234	3665634	+	1000	125.0	[7.8254895]	[125]	[7.8259506]	[125]	[3665447]	[3665447]
978_10380	chr11	61971683	61972083	+	1000	125.0	[6.691296]	[156]	[6.696838]	[156]	[61971930]	[61971930]
978_10387	chr11	109940753	109941153	+	1000	125.0	[6.4991455]	[79]	[6.4990172]	[79]	[109940924]	[109940924]
978_10392	chr12	56496703	56497103	+	1000	125.0	[11.265174]	[92]	[11.2619]	[92]	[56496890]	[56496890]
