#PeakID(python scan_motif.py ./ENCODE_processed_files/IKZF1_idr.fa IKZF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
758_100	chr19	40464399	40464799	+	1000	650.5	[]	[]	[7.6377397]	[107]	[]	[40464596]
758_1000	chr4	10173499	10173899	+	1000	340.0	[]	[]	[7.037342]	[92]	[]	[10173687]
758_10000	chr2	97712123	97712523	+	1000	106.5	[]	[]	[7.5565295]	[83]	[]	[97712291]
758_10002	chr20	49694470	49694870	+	1000	106.5	[10.7555]	[86]	[]	[]	[49694655]	[]
758_10003	chr20	49989621	49990021	+	1000	106.5	[10.7555]	[87]	[]	[]	[49989803]	[]
758_10007	chr3	43686876	43687276	+	1000	106.5	[]	[]	[6.8439474]	[111]	[]	[43687086]
758_10009	chr4	26857621	26858021	+	1000	106.5	[6.8930507]	[73]	[]	[]	[26857794]	[]
758_1001	chr12	54279455	54279855	+	1000	339.5	[]	[]	[11.127567]	[131]	[]	[54279682]
758_10010	chr4	38673001	38673401	+	1000	106.5	[6.780856]	[180]	[7.6377397, 9.56255]	[129, 160]	[38673225]	[38673174, 38673205]
758_10012	chr4	109596473	109596873	+	1000	106.5	[]	[]	[8.693299]	[85]	[]	[109596645]
758_10013	chr5	96935779	96936179	+	1000	106.5	[]	[]	[6.8930507]	[91]	[]	[96935964]
758_10021	chr6	44052452	44052852	+	1000	106.5	[11.362798]	[54]	[]	[]	[44052606]	[]
758_10022	chr6	90218270	90218670	+	1000	106.5	[]	[]	[11.575829, 6.7687325]	[107, 123]	[]	[90218470, 90218486]
758_10023	chr6	90406200	90406600	+	1000	106.5	[11.575829]	[141]	[]	[]	[90406431]	[]
758_10025	chr7	36301953	36302353	+	1000	106.5	[]	[]	[11.127567, 7.25846]	[83, 136]	[]	[36302132, 36302185]
758_10027	chr7	88586175	88586575	+	1000	106.5	[]	[]	[9.081597, 6.780856, 10.770176]	[64, 76, 129]	[]	[88586337, 88586349, 88586402]
758_10028	chr7	106562849	106563249	+	1000	106.5	[11.575829]	[71]	[]	[]	[106563019]	[]
758_10029	chr7	151082636	151083036	+	1000	106.5	[]	[]	[7.0754085]	[88]	[]	[151082805]
758_1003	chr3	152330963	152331363	+	1000	339.5	[]	[]	[6.6800203, 11.127567]	[64, 83]	[]	[152331119, 152331138]
758_10031	chr8	105202120	105202520	+	1000	106.5	[8.056022]	[91]	[]	[]	[105202307]	[]
758_10032	chr8	129690964	129691364	+	1000	106.5	[11.127567, 7.652416]	[107, 143]	[]	[]	[129691155, 129691191]	[]
758_10033	chr8	143952443	143952843	+	1000	106.5	[]	[]	[7.3734775]	[70]	[]	[143952603]
758_10034	chr9	32526086	32526486	+	1000	106.5	[7.1035194]	[146]	[]	[]	[32526305]	[]
758_1004	chr6	119216199	119216599	+	1000	339.5	[7.037342, 6.660896]	[115, 147]	[]	[]	[119216409, 119216441]	[]
758_10040	chrX	48958112	48958512	+	1000	106.5	[11.362798]	[87]	[]	[]	[48958280]	[]
758_10041	chr1	11700616	11701016	+	1000	106.0	[14.245327, 8.428089]	[129, 150]	[]	[]	[11700841, 11700862]	[]
758_10042	chr1	11738836	11739236	+	1000	106.0	[]	[]	[7.6377397, 7.250373]	[74, 93]	[]	[11738991, 11739010]
758_10048	chr1	54476244	54476644	+	1000	106.0	[6.8439474]	[140]	[8.693299]	[122]	[54476479]	[54476461]
758_10049	chr1	89890269	89890669	+	1000	106.0	[]	[]	[7.037342]	[174]	[]	[89890464]
758_10050	chr1	91716395	91716795	+	1000	106.0	[9.56255]	[120]	[]	[]	[91716590]	[]
758_10053	chr1	207605994	207606394	+	1000	106.0	[6.863072]	[115]	[7.280349]	[138]	[207606200]	[207606223]
758_10054	chr1	248906246	248906646	+	1000	106.0	[11.362798]	[155]	[]	[]	[248906485]	[]
758_10055	chr10	43627921	43628321	+	1000	106.0	[8.693299, 8.458068]	[77, 99]	[]	[]	[43628086, 43628108]	[]
758_10056	chr10	49183620	49184020	+	1000	106.0	[7.220394, 6.780856, 11.575829]	[104, 131, 153]	[]	[]	[49183804, 49183831, 49183853]	[]
758_10057	chr10	73956448	73956848	+	1000	106.0	[14.245327]	[126]	[]	[]	[73956673]	[]
758_10058	chr10	77937164	77937564	+	1000	106.0	[]	[]	[6.7035384, 11.575829]	[96, 102]	[]	[77937357, 77937363]
758_10059	chr11	32450281	32450681	+	1000	106.0	[7.220394]	[82]	[9.373037, 9.442706]	[67, 152]	[32450450]	[32450435, 32450520]
758_10064	chr15	65796555	65796955	+	1000	106.0	[7.652416]	[93]	[]	[]	[65796747]	[]
758_10066	chr15	80151604	80152004	+	1000	106.0	[]	[]	[11.362798, 7.6377397, 7.2884393, 7.87297, 7.280349]	[69, 77, 113, 127, 132]	[]	[80151772, 80151780, 80151816, 80151830, 80151835]
758_10067	chr15	85044181	85044581	+	1000	106.0	[9.919872, 8.220124]	[91, 97]	[]	[]	[85044342, 85044348]	[]
758_10068	chr16	23640262	23640662	+	1000	106.0	[7.5565295]	[78]	[]	[]	[23640426]	[]
758_10070	chr16	79863626	79864026	+	1000	106.0	[]	[]	[7.1035194]	[104]	[]	[79863826]
758_10071	chr16	79951334	79951734	+	1000	106.0	[]	[]	[6.7416005, 7.6377397]	[58, 147]	[]	[79951488, 79951577]
758_10074	chr17	43172173	43172573	+	1000	106.0	[8.693299]	[150]	[14.245327, 7.2884393]	[70, 77]	[43172418]	[43172338, 43172345]
758_10075	chr17	46044250	46044650	+	1000	106.0	[]	[]	[8.458068]	[103]	[]	[46044446]
758_10077	chr18	79507031	79507431	+	1000	106.0	[8.245038]	[114]	[]	[]	[79507224]	[]
