#PeakID(python scan_motif.py ./ENCODE_processed_files/SPI1_idr.fa SPI1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
685_100	chr16	66524739	66525139	+	1000	462.0	[]	[]	[16.720299, 6.46373]	[98, 106]	[]	[66524936, 66524944]
685_1000	chr12	47312768	47313168	+	1000	241.0	[21.247185]	[90]	[]	[]	[47312958]	[]
685_10000	chr6	166907392	166907792	+	1000	68.0	[]	[]	[12.423825]	[102]	[]	[166907588]
685_10001	chr7	7989088	7989488	+	1000	68.0	[]	[]	[10.547462]	[94]	[]	[7989281]
685_10002	chr7	8201697	8202097	+	1000	68.0	[5.785965]	[75]	[]	[]	[8201870]	[]
685_10003	chr7	55561746	55562146	+	1000	68.0	[18.191957]	[98]	[]	[]	[55561943]	[]
685_10004	chr7	87147522	87147922	+	1000	68.0	[12.997499, 11.856607]	[73, 105]	[]	[]	[87147691, 87147723]	[]
685_10005	chr7	90338149	90338549	+	1000	68.0	[]	[]	[15.609814]	[98]	[]	[90338345]
685_10006	chr7	97116293	97116693	+	1000	68.0	[15.761773]	[95]	[]	[]	[97116478]	[]
685_10007	chr7	105876268	105876668	+	1000	68.0	[]	[]	[10.1462755]	[193]	[]	[105876476]
685_10008	chr7	127254296	127254696	+	1000	68.0	[]	[]	[13.980856]	[103]	[]	[127254481]
685_10009	chr7	128799460	128799860	+	1000	68.0	[12.102688]	[92]	[5.8868365]	[79]	[128799648]	[128799635]
685_1001	chr17	83120192	83120592	+	1000	241.0	[16.773355, 9.305184, 16.332783]	[54, 81, 89]	[]	[]	[83120346, 83120373, 83120381]	[]
685_10010	chr7	149028341	149028741	+	1000	68.0	[9.3341465]	[123]	[]	[]	[149028555]	[]
685_10011	chr8	36627969	36628369	+	1000	68.0	[21.247185]	[91]	[]	[]	[36628160]	[]
685_10012	chr8	37835621	37836021	+	1000	68.0	[9.508922]	[151]	[9.986488]	[102]	[37835870]	[37835821]
