#PeakID	chr	start	end	strand	idrScore	count
418_0	chrM	16015	16216	+	1000	803.0
418_1	chrM	11679	12047	+	1000	799.0
418_2	chrM	3125	3363	+	1000	797.0
418_3	chrM	10587	10860	+	1000	792.0
418_4	chrM	11075	11424	+	1000	789.0
418_5	chrM	13709	14087	+	1000	784.0
418_6	chrM	4852	5058	+	1000	734.0
418_7	chrM	5294	5545	+	1000	730.0
418_8	chr17	1324225	1324454	+	1000	711.0
418_9	chrM	6198	6568	+	1000	707.0
418_10	chr1	206673287	206673525	+	1000	671.0
418_11	chr19	41859665	41859887	+	1000	662.0
418_12	chr5	181223472	181223700	+	1000	631.0
418_13	chr2	121611745	121611989	+	1000	623.0
418_14	chr5	43040322	43040539	+	1000	622.0
418_15	chr6	26596765	26596978	+	1000	563.0
418_16	chr19	38317184	38317394	+	1000	559.0
418_17	chr2	65432481	65432710	+	1000	554.0
418_18	chrM	7134	7337	+	1000	552.0
418_19	chrM	9149	9428	+	1000	550.0
418_20	chr21	9767719	9767920	+	1000	548.0
418_21	chr16	46390436	46390751	+	1000	538.0
418_22	chr12	51246348	51246555	+	1000	536.0
418_23	chrX	2629555	2629764	+	1000	527.0
418_24	chr19	55041930	55042204	+	1000	526.0
418_25	chr22	21938547	21938766	+	1000	522.0
418_26	chr3	93470481	93470813	+	1000	510.0
418_27	chr1	4007601	4007805	+	1000	478.0
418_28	chr15	43330482	43330719	+	1000	478.0
418_29	chr19	45515172	45515423	+	1000	475.0
418_30	chr7	116950123	116950331	+	1000	471.0
418_31	chr22	21666129	21666344	+	1000	468.0
418_32	chr19	55027187	55027387	+	1000	458.0
418_33	chr6	30516533	30516750	+	1000	454.0
418_34	chr6	37050243	37050491	+	1000	453.0
418_35	chr12	11798945	11799173	+	1000	446.0
418_36	chr19	49717556	49717759	+	1000	442.0
418_37	chr1	64864178	64864429	+	1000	441.0
418_38	chr8	143205914	143206214	+	1000	438.0
418_39	chr19	34270018	34270248	+	1000	432.0
418_40	chr16	46394692	46394901	+	1000	425.0
418_41	chr19	46786456	46786703	+	1000	416.0
418_42	chr10	102393995	102394212	+	1000	415.0
