#PeakID(python identify_motif.py ./ENCODE_processed_files/MEIS2_idr.fa MEIS2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
596_10	chr5	90983119	90983519	+	1000	1654.0	[11.310461]	[100]	[]	[]	[90983310]	[]
596_100	chr19	15452090	15452490	+	1000	1445.5	[11.310461]	[102]	[]	[]	[15452290]	[]
596_10021	chr2	39515348	39515748	+	1000	139.0	[]	[]	[11.310461]	[98]	[]	[39515532]
596_10023	chr2	189613066	189613466	+	1000	139.0	[]	[]	[7.705946]	[163]	[]	[189613270]
596_1003	chr6	119170760	119171160	+	1000	724.5	[]	[]	[7.239613]	[70]	[]	[119170924]
596_10032	chr3	167734871	167735271	+	1000	139.0	[7.705946]	[178]	[]	[]	[167735051]	[]
596_10038	chr5	132872960	132873360	+	1000	139.0	[11.310461]	[145]	[]	[]	[132873145]	[]
596_10043	chr6	150156481	150156881	+	1000	139.0	[7.4989777]	[112]	[]	[]	[150156670]	[]
596_10046	chr9	97980445	97980845	+	1000	139.0	[7.239613, 7.4989777]	[103, 108]	[]	[]	[97980645, 97980650]	[]
596_10054	chr1	219907584	219907984	+	1000	138.5	[7.4989777]	[108]	[]	[]	[219907781]	[]
596_10062	chr14	77456679	77457079	+	1000	138.5	[11.310461]	[178]	[7.4989777]	[162]	[77456907]	[77456891]
596_10068	chr19	11639545	11639945	+	1000	138.5	[]	[]	[11.310461]	[113]	[]	[11639736]
596_10069	chr19	12294646	12295046	+	1000	138.5	[7.4989777]	[162]	[]	[]	[12294880]	[]
596_10070	chr19	58339237	58339637	+	1000	138.5	[]	[]	[7.4989777]	[111]	[]	[58339434]
596_10071	chr2	443742	444142	+	1000	138.5	[]	[]	[11.310461]	[119]	[]	[443953]
596_10090	chr7	108225002	108225402	+	1000	138.5	[7.4989777]	[155]	[7.239613]	[137]	[108225210]	[108225192]
596_10092	chr9	2022566	2022966	+	1000	138.5	[7.239613]	[184]	[]	[]	[2022804]	[]
596_10103	chr11	111698875	111699275	+	1000	138.0	[11.310461]	[154]	[]	[]	[111699111]	[]
596_10112	chr18	9181231	9181631	+	1000	138.0	[11.310461]	[89]	[]	[]	[9181398]	[]
596_10116	chr2	200713065	200713465	+	1000	138.0	[7.4989777]	[123]	[7.705946, 7.4989777]	[69, 108]	[200713271]	[200713217, 200713256]
596_10118	chr21	35541187	35541587	+	1000	138.0	[7.239613, 7.4989777, 7.239613]	[64, 101, 133]	[]	[]	[35541340, 35541377, 35541409]	[]
596_10123	chr4	1415560	1415960	+	1000	138.0	[7.4989777]	[86]	[]	[]	[1415726]	[]
596_10131	chr6	158799446	158799846	+	1000	138.0	[11.310461]	[98]	[]	[]	[158799634]	[]
596_10132	chr7	1537985	1538385	+	1000	138.0	[7.705946]	[178]	[]	[]	[1538231]	[]
596_10141	chr1	17441622	17442022	+	1000	137.5	[7.705946]	[161]	[7.705946]	[96]	[17441872]	[17441807]
596_10146	chr10	107025671	107026071	+	1000	137.5	[7.4989777, 7.239613]	[98, 169]	[]	[]	[107025828, 107025899]	[]
596_10148	chr11	18527030	18527430	+	1000	137.5	[]	[]	[11.310461]	[215]	[]	[18527275]
596_10153	chr13	48586668	48587068	+	1000	137.5	[]	[]	[7.4989777]	[123]	[]	[48586871]
596_10157	chr15	41513550	41513950	+	1000	137.5	[11.310461]	[143]	[11.310461]	[128]	[41513776]	[41513761]
596_10161	chr16	970774	971174	+	1000	137.5	[]	[]	[11.310461]	[94]	[]	[970967]
596_10165	chr2	176814731	176815131	+	1000	137.5	[11.310461, 7.239613]	[67, 140]	[]	[]	[176814883, 176814956]	[]
596_10176	chr5	124649716	124650116	+	741	137.5	[11.310461]	[174]	[]	[]	[124649963]	[]
596_10187	chr1	28449929	28450329	+	1000	137.0	[]	[]	[11.310461]	[127]	[]	[28450149]
596_10192	chr11	119106706	119107106	+	1000	137.0	[7.239613]	[136]	[]	[]	[119106897]	[]
596_10193	chr12	94107926	94108326	+	1000	137.0	[11.310461]	[158]	[]	[]	[94108171]	[]
596_10200	chr15	101641141	101641541	+	1000	137.0	[]	[]	[11.310461]	[164]	[]	[101641372]
