#PeakID(python identify_motif.py ./ENCODE_processed_files/TFDP1_idr.fa TFDP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
964_100	chr5	40755874	40756274	+	1000	500.0	[12.889068]	[104]	[]	[]	[40756077]	[]
964_1000	chr1	31938476	31938876	+	1000	211.0	[]	[]	[7.817822]	[164]	[]	[31938721]
964_10004	chr19	40811066	40811466	+	1000	66.0	[]	[]	[9.758087]	[204]	[]	[40811304]
964_1001	chr13	21176353	21176753	+	1000	211.0	[]	[]	[9.4829645]	[90]	[]	[21176537]
964_10010	chr19	55675012	55675412	+	1000	66.0	[8.8998375, 7.6702986]	[128, 137]	[8.09991]	[178]	[55675183, 55675192]	[55675233]
964_10012	chr2	15561580	15561980	+	1000	66.0	[12.889068]	[167]	[]	[]	[15561818]	[]
964_10015	chr2	43224359	43224759	+	1000	66.0	[8.8998375]	[146]	[]	[]	[43224548]	[]
964_10016	chr2	63840531	63840931	+	1000	66.0	[12.889068]	[82]	[]	[]	[63840687]	[]
964_10019	chr2	97995975	97996375	+	1000	66.0	[]	[]	[7.5846877]	[117]	[]	[97996134]
964_10026	chr20	1466759	1467159	+	1000	66.0	[12.889068]	[197]	[]	[]	[1466990]	[]
964_10028	chr20	33674262	33674662	+	1000	66.0	[]	[]	[7.5797467]	[167]	[]	[33674500]
964_1003	chr17	48047657	48048057	+	1000	211.0	[]	[]	[9.758087]	[133]	[]	[48047863]
964_10030	chr20	51033611	51034011	+	1000	66.0	[8.501586]	[193]	[]	[]	[51033859]	[]
964_10033	chr21	39451734	39452134	+	1000	66.0	[9.758087]	[207]	[]	[]	[39451952]	[]
964_10039	chr22	23787081	23787481	+	1000	66.0	[9.4829645]	[147]	[7.817822]	[121]	[23787304]	[23787278]
964_1004	chr17	76726783	76727183	+	1000	211.0	[]	[]	[12.889068]	[138]	[]	[76726995]
964_10043	chr22	41367085	41367485	+	1000	66.0	[12.889068]	[137]	[]	[]	[41367304]	[]
964_10048	chr3	138935948	138936348	+	1000	66.0	[8.417865]	[128]	[]	[]	[138936138]	[]
964_1005	chr2	74198408	74198808	+	1000	211.0	[]	[]	[7.5797467]	[103]	[]	[74198611]
964_10050	chr3	139677364	139677764	+	1000	66.0	[8.8998375]	[172]	[8.653531]	[123]	[139677599]	[139677550]
964_10052	chr3	155806115	155806515	+	1000	66.0	[7.5367184]	[131]	[8.8998375]	[154]	[155806316]	[155806339]
964_10053	chr3	195747880	195748280	+	1000	66.0	[8.417865]	[117]	[]	[]	[195748049]	[]
964_10054	chr3	196207133	196207533	+	1000	66.0	[12.889068]	[118]	[]	[]	[196207343]	[]
964_10055	chr4	3073675	3074075	+	1000	66.0	[9.4829645]	[179]	[8.8998375]	[129]	[3073887]	[3073837]
964_10056	chr4	37976976	37977376	+	1000	66.0	[]	[]	[12.889068]	[144]	[]	[37977184]
964_1006	chr2	152718437	152718837	+	1000	211.0	[]	[]	[8.653531]	[82]	[]	[152718617]
964_10065	chr5	76403988	76404388	+	1000	66.0	[9.4829645]	[123]	[]	[]	[76404200]	[]
964_10066	chr5	139696888	139697288	+	1000	66.0	[]	[]	[8.501586, 8.8998375, 9.4829645, 8.501586]	[104, 123, 155, 187]	[]	[139697053, 139697072, 139697104, 139697136]
964_1007	chr3	39406684	39407084	+	1000	211.0	[]	[]	[9.4829645]	[98]	[]	[39406876]
964_10071	chr6	7106687	7107087	+	1000	66.0	[]	[]	[8.8998375]	[162]	[]	[7106935]
964_1008	chr5	126778225	126778625	+	1000	211.0	[]	[]	[12.889068, 9.758087]	[105, 136]	[]	[126778394, 126778425]
964_10084	chr6	68575985	68576385	+	1000	66.0	[9.758087]	[130]	[7.5846877]	[98]	[68576176]	[68576144]
964_1009	chr5	177367340	177367740	+	1000	211.0	[12.889068]	[81]	[]	[]	[177367509]	[]
964_10091	chr7	1462650	1463050	+	1000	66.0	[9.4829645]	[154]	[]	[]	[1462883]	[]
964_10092	chr7	6447169	6447569	+	1000	66.0	[7.5846877]	[177]	[9.4829645]	[133]	[6447418]	[6447374]
964_10093	chr7	26864182	26864582	+	1000	66.0	[]	[]	[12.889068]	[96]	[]	[26864349]
964_101	chr5	177312248	177312648	+	1000	500.0	[12.889068]	[94]	[9.4829645]	[68]	[177312441]	[177312415]
964_10106	chr7	157525674	157526074	+	1000	66.0	[7.5797467, 7.5797467]	[76, 105]	[]	[]	[157525837, 157525866]	[]
964_1011	chr7	25125142	25125542	+	1000	211.0	[]	[]	[9.4829645]	[95]	[]	[25125325]
964_10112	chr8	41798693	41799093	+	1000	66.0	[]	[]	[12.889068]	[181]	[]	[41798898]
964_10116	chr8	95090369	95090769	+	1000	66.0	[]	[]	[8.8998375]	[139]	[]	[95090582]
964_10118	chr8	98825240	98825640	+	1000	66.0	[8.8998375]	[99]	[7.5797467]	[162]	[98825419]	[98825482]
964_10119	chr8	100212888	100213288	+	1000	66.0	[9.4829645]	[141]	[12.889068]	[104]	[100213104]	[100213067]
964_1012	chr8	94896112	94896512	+	1000	211.0	[9.4829645]	[122]	[8.653531]	[136]	[94896319]	[94896333]
964_10120	chr8	103371350	103371750	+	1000	66.0	[9.4829645]	[82]	[]	[]	[103371501]	[]
964_10122	chr8	134720100	134720500	+	1000	66.0	[8.501586]	[200]	[]	[]	[134720343]	[]
964_10128	chr9	127451212	127451612	+	1000	66.0	[8.169096, 7.817822]	[96, 146]	[]	[]	[127451406, 127451456]	[]
964_10129	chr9	132355043	132355443	+	1000	66.0	[]	[]	[7.6702986]	[110]	[]	[132355225]
964_10133	chr1	2212670	2213070	+	1000	65.0	[]	[]	[8.8998375]	[121]	[]	[2212839]
964_10135	chr1	3796317	3796717	+	1000	65.0	[8.169096]	[144]	[]	[]	[3796549]	[]
964_10138	chr1	35192181	35192581	+	1000	65.0	[]	[]	[7.6702986]	[181]	[]	[35192418]
964_10147	chr1	146035562	146035962	+	1000	65.0	[]	[]	[8.519867]	[99]	[]	[146035749]
964_10148	chr1	151057912	151058312	+	1000	65.0	[7.5797467, 7.5797467]	[159, 192]	[]	[]	[151058108, 151058141]	[]
964_1015	chr11	65858115	65858515	+	1000	210.0	[]	[]	[12.889068]	[125]	[]	[65858322]
964_10162	chr10	45972233	45972633	+	1000	65.0	[]	[]	[8.501586, 7.6702986]	[74, 126]	[]	[45972404, 45972456]
964_10166	chr10	77846664	77847064	+	1000	65.0	[8.8998375]	[94]	[12.889068]	[128]	[77846837]	[77846871]
964_10174	chr11	33256989	33257389	+	1000	65.0	[9.758087]	[97]	[]	[]	[33257150]	[]
964_10175	chr11	65112532	65112932	+	1000	65.0	[7.5797467, 7.5797467]	[163, 185]	[]	[]	[65112741, 65112763]	[]
964_10178	chr11	68003986	68004386	+	1000	65.0	[]	[]	[9.758087]	[73]	[]	[68004142]
964_1018	chr17	82519181	82519581	+	1000	210.0	[]	[]	[9.758087]	[178]	[]	[82519417]
964_10180	chr11	102452578	102452978	+	1000	65.0	[]	[]	[9.4829645]	[119]	[]	[102452743]
964_10181	chr12	3551435	3551835	+	1000	65.0	[]	[]	[9.4829645]	[137]	[]	[3551644]
964_10182	chr12	47079570	47079970	+	1000	65.0	[9.4829645]	[211]	[]	[]	[47079793]	[]
964_10185	chr12	57111624	57112024	+	1000	65.0	[]	[]	[8.169096]	[131]	[]	[57111819]
964_10186	chr12	95073351	95073751	+	1000	65.0	[]	[]	[8.417865]	[184]	[]	[95073591]
964_10188	chr12	120625703	120626103	+	1000	65.0	[9.758087]	[133]	[]	[]	[120625910]	[]
964_10191	chr13	33679215	33679615	+	1000	65.0	[12.889068]	[158]	[]	[]	[33679447]	[]
964_10192	chr13	40789592	40789992	+	1000	65.0	[9.758087]	[156]	[7.5367184]	[111]	[40789813]	[40789768]
964_10193	chr13	79406213	79406613	+	1000	65.0	[12.889068]	[202]	[]	[]	[79406455]	[]
964_10195	chr13	99980425	99980825	+	1000	65.0	[9.758087]	[167]	[]	[]	[99980651]	[]
964_10196	chr13	110712238	110712638	+	1000	65.0	[12.889068]	[186]	[]	[]	[110712472]	[]
964_10197	chr14	75126983	75127383	+	1000	65.0	[8.501586]	[146]	[12.889068]	[86]	[75127209]	[75127149]
