#PeakID(python identify_motif.py ./ENCODE_processed_files/STAT1_idr.fa STAT1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
315_1000	chr8	90187624	90188024	+	1000	35.0	[]	[]	[9.611048]	[72]	[]	[90187788]
315_1002	chr8	129689350	129689750	+	1000	35.0	[9.611048]	[96]	[]	[]	[129689513]	[]
315_1009	chr1	40820835	40821235	+	1000	34.0	[]	[]	[8.280003]	[141]	[]	[40821029]
315_1013	chr1	67688553	67688953	+	1000	34.0	[8.280003]	[156]	[]	[]	[67688793]	[]
315_1016	chr1	143203506	143203906	+	946	34.0	[8.259005]	[157]	[]	[]	[143203699]	[]
315_1021	chr10	42782558	42782958	+	1000	34.0	[]	[]	[9.525681]	[114]	[]	[42782747]
315_1022	chr10	73110249	73110649	+	1000	34.0	[8.194635]	[96]	[]	[]	[73110443]	[]
315_1027	chr12	54304325	54304725	+	1000	34.0	[]	[]	[8.280003]	[157]	[]	[54304539]
315_1030	chr14	73762413	73762813	+	1000	34.0	[9.525681]	[101]	[]	[]	[73762607]	[]
315_1032	chr15	92904386	92904786	+	1000	34.0	[]	[]	[9.611048]	[71]	[]	[92904538]
315_1038	chr17	30104536	30104936	+	1000	34.0	[8.259005, 9.525681]	[108, 156]	[]	[]	[30104738, 30104786]	[]
315_104	chr1	629738	630138	+	1000	101.0	[8.259005]	[119]	[]	[]	[629957]	[]
315_1043	chr19	35740369	35740769	+	1000	34.0	[9.525681]	[104]	[9.525681]	[81]	[35740570]	[35740547]
315_1044	chr19	48873439	48873839	+	1000	34.0	[8.194635]	[112]	[]	[]	[48873623]	[]
315_1051	chr2	157261241	157261641	+	1000	34.0	[9.611048, 9.611048]	[71, 121]	[]	[]	[157261412, 157261462]	[]
315_1053	chr2	175181664	175182064	+	1000	34.0	[8.194635]	[88]	[]	[]	[175181834]	[]
315_1055	chr2	230659177	230659577	+	1000	34.0	[8.194635]	[188]	[]	[]	[230659424]	[]
315_1058	chr21	21200118	21200518	+	1000	34.0	[9.611048, 8.259005]	[107, 166]	[]	[]	[21200307, 21200366]	[]
315_1059	chr21	38787557	38787957	+	1000	34.0	[8.194635]	[108]	[]	[]	[38787750]	[]
