#PeakID(python scan_motif.py ./ENCODE_processed_files/IRF2_idr.fa IRF2 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_10	chr1	110034245	110034645	+	1000	731.0	[6.1232615, 12.521293, 4.3336134]	[79, 85, 103]	[]	[]	[110034424, 110034430, 110034448]	[]
642_100	chr2	219387432	219387832	+	1000	503.0	[]	[]	[12.521293, 12.521293]	[109, 115]	[]	[219387639, 219387645]
642_10001	chr22	22866357	22866757	+	1000	40.0	[3.2771003]	[183]	[]	[]	[22866578]	[]
642_10004	chr22	22966898	22967298	+	1000	40.0	[]	[]	[3.3478272]	[160]	[]	[22967099]
642_10005	chr22	22979281	22979681	+	1000	40.0	[3.4720602]	[145]	[]	[]	[22979451]	[]
642_10006	chr22	22979899	22980299	+	1000	40.0	[]	[]	[4.3336134]	[90]	[]	[22980056]
642_10009	chr22	29553723	29554123	+	1000	40.0	[3.6080077]	[171]	[]	[]	[29553959]	[]
642_1001	chr10	67849329	67849729	+	1000	122.0	[]	[]	[3.4720602]	[164]	[]	[67849520]
642_10010	chr22	41446657	41447057	+	1000	40.0	[]	[]	[3.4720602]	[79]	[]	[41446816]
642_10013	chr3	17730191	17730591	+	1000	40.0	[]	[]	[4.3336134]	[181]	[]	[17730396]
642_10015	chr3	19945497	19945897	+	1000	40.0	[]	[]	[3.3478272]	[184]	[]	[19945735]
642_10024	chr3	45631439	45631839	+	1000	40.0	[5.6029005]	[68]	[]	[]	[45631606]	[]
642_10025	chr3	47315187	47315587	+	645	40.0	[4.593794]	[223]	[]	[]	[47315430]	[]
642_10027	chr3	87806639	87807039	+	1000	40.0	[]	[]	[16.66425, 3.6080077]	[105, 122]	[]	[87806841, 87806858]
642_10029	chr3	105987827	105988227	+	1000	40.0	[]	[]	[5.6029005, 16.66425, 5.3194]	[120, 126, 132]	[]	[105988017, 105988023, 105988029]
642_1003	chr15	34101868	34102268	+	1000	122.0	[5.863081]	[182]	[]	[]	[34102104]	[]
642_10032	chr3	139052755	139053155	+	1000	40.0	[]	[]	[5.863081]	[133]	[]	[139052974]
642_10034	chr3	153160987	153161387	+	1000	40.0	[]	[]	[10.991825]	[88]	[]	[153161140]
642_10039	chr3	184154359	184154759	+	1000	40.0	[]	[]	[16.66425]	[118]	[]	[184154573]
642_1004	chr22	19217911	19218311	+	1000	122.0	[13.352664]	[129]	[]	[]	[19218136]	[]
642_10045	chr4	55633925	55634325	+	1000	40.0	[]	[]	[10.006039]	[77]	[]	[55634078]
642_10046	chr4	74093329	74093729	+	1000	40.0	[]	[]	[12.521293]	[93]	[]	[74093521]
642_10047	chr4	78644643	78645043	+	1000	40.0	[4.593794]	[101]	[12.261112]	[121]	[78644817]	[78644837]
642_10049	chr4	78732532	78732932	+	1000	40.0	[]	[]	[7.6802387]	[126]	[]	[78732690]
642_10052	chr4	112109738	112110138	+	1000	40.0	[]	[]	[12.261112, 6.848867]	[109, 115]	[]	[112109942, 112109948]
642_10055	chr5	36739567	36739967	+	1000	40.0	[3.4720602]	[154]	[]	[]	[36739804]	[]
642_10056	chr5	36870423	36870823	+	1000	40.0	[]	[]	[4.4393797]	[93]	[]	[36870615]
642_10057	chr5	39115537	39115937	+	1000	40.0	[14.409177]	[140]	[]	[]	[39115771]	[]
642_10058	chr5	54744326	54744726	+	1000	40.0	[]	[]	[4.3336134]	[155]	[]	[54744558]
642_10061	chr5	79235359	79235759	+	1000	40.0	[]	[]	[8.736752, 4.593794]	[148, 155]	[]	[79235528, 79235535]
642_10063	chr5	82280370	82280770	+	1000	40.0	[18.919323]	[124]	[]	[]	[82280531]	[]
642_10064	chr5	94618437	94618837	+	1000	40.0	[]	[]	[5.6029005]	[105]	[]	[94618626]
642_10066	chr5	108681298	108681698	+	952	40.0	[12.261112]	[141]	[]	[]	[108681521]	[]
642_10067	chr5	110817460	110817860	+	1000	40.0	[]	[]	[18.919323]	[148]	[]	[110817708]
642_10068	chr5	115625816	115626216	+	1000	40.0	[4.3336134]	[77]	[]	[]	[115625993]	[]
642_1007	chr4	77862555	77862955	+	1000	122.0	[]	[]	[6.5886865, 10.991825]	[89, 95]	[]	[77862730, 77862736]
642_10070	chr5	134367068	134367468	+	1000	40.0	[6.848867]	[71]	[]	[]	[134367231]	[]
642_10072	chr5	139646976	139647376	+	1000	40.0	[]	[]	[10.006039]	[66]	[]	[139647134]
642_10075	chr5	170248635	170249035	+	777	40.0	[]	[]	[6.5886865, 10.266219]	[155, 161]	[]	[170248871, 170248877]
642_10078	chr5	178127477	178127877	+	1000	40.0	[3.3478272]	[142]	[]	[]	[178127713]	[]
642_10080	chr6	4941692	4942092	+	1000	40.0	[]	[]	[3.3478272]	[162]	[]	[4941942]
642_10081	chr6	6712534	6712934	+	1000	40.0	[13.246898, 6.5886865]	[152, 158]	[]	[]	[6712773, 6712779]	[]
642_10082	chr6	6858537	6858937	+	1000	40.0	[]	[]	[10.006039]	[124]	[]	[6858732]
642_10087	chr6	13406847	13407247	+	1000	40.0	[]	[]	[5.3194]	[124]	[]	[13407068]
642_10091	chr6	17600044	17600444	+	1000	40.0	[]	[]	[5.6029005]	[179]	[]	[17600280]
642_10096	chr6	27687394	27687794	+	1000	40.0	[]	[]	[5.6029005]	[157]	[]	[27687643]
642_10097	chr6	29011228	29011628	+	1000	40.0	[3.4720602]	[94]	[]	[]	[29011389]	[]
642_10099	chr6	29976498	29976898	+	1000	40.0	[4.3336134, 7.574473]	[67, 73]	[]	[]	[29976655, 29976661]	[]
642_101	chr19	49717420	49717820	+	1000	500.0	[]	[]	[12.521293]	[97]	[]	[49717608]
642_1010	chr7	54743601	54744001	+	1000	122.0	[]	[]	[18.919323, 3.6080077]	[125, 131]	[]	[54743818, 54743824]
642_10104	chr6	36954176	36954576	+	935	40.0	[]	[]	[4.3336134]	[184]	[]	[36954396]
642_10111	chr6	68028157	68028557	+	1000	40.0	[12.521293]	[98]	[]	[]	[68028350]	[]
642_10113	chr6	83592782	83593182	+	1000	40.0	[16.66425]	[157]	[]	[]	[83593023]	[]
642_10115	chr6	85680121	85680521	+	1000	40.0	[12.521293]	[81]	[]	[]	[85680282]	[]
642_10119	chr6	114998002	114998402	+	1000	40.0	[]	[]	[5.6029005, 16.66425, 5.863081, 5.863081]	[104, 110, 116, 127]	[]	[114998195, 114998201, 114998207, 114998218]
642_1012	chr1	193418433	193418833	+	1000	121.0	[5.863081, 13.246898, 18.919323]	[68, 78, 84]	[]	[]	[193418596, 193418606, 193418612]	[]
642_10120	chr6	126199441	126199841	+	1000	40.0	[10.991825, 5.863081]	[123, 129]	[3.3478272]	[79]	[126199656, 126199662]	[126199612]
642_10124	chr6	151040746	151041146	+	1000	40.0	[10.006039]	[123]	[12.261112]	[103]	[151040932]	[151040912]
642_1013	chr1	234373227	234373627	+	1000	121.0	[16.66425, 5.6029005]	[100, 132]	[]	[]	[234373427, 234373459]	[]
642_10135	chr7	16645528	16645928	+	1000	40.0	[]	[]	[3.3478272]	[103]	[]	[16645705]
642_10136	chr7	24936437	24936837	+	997	40.0	[10.991825]	[89]	[]	[]	[24936620]	[]
642_10139	chr7	43029875	43030275	+	1000	40.0	[18.919323]	[115]	[]	[]	[43030088]	[]
642_1014	chr10	42646230	42646630	+	1000	121.0	[10.130272, 12.261112, 12.3853445]	[75, 81, 87]	[]	[]	[42646404, 42646410, 42646416]	[]
642_10143	chr7	91082864	91083264	+	1000	40.0	[3.3478272]	[52]	[16.66425]	[135]	[91083016]	[91083099]
642_10144	chr7	92835402	92835802	+	1000	40.0	[]	[]	[5.6029005]	[150]	[]	[92835604]
642_10148	chr7	100478995	100479395	+	1000	40.0	[]	[]	[13.246898]	[140]	[]	[100479189]
642_1015	chr11	93718180	93718580	+	1000	121.0	[]	[]	[5.6029005, 6.954633, 4.3336134]	[110, 116, 130]	[]	[93718390, 93718396, 93718410]
642_10154	chr7	108570388	108570788	+	1000	40.0	[]	[]	[3.6080077]	[105]	[]	[108570574]
642_10162	chr7	131108542	131108942	+	1000	40.0	[4.457846]	[191]	[]	[]	[131108756]	[]
642_10163	chr7	131336848	131337248	+	1000	40.0	[]	[]	[3.3478272]	[71]	[]	[131337005]
642_10169	chr7	136079587	136079987	+	1000	40.0	[]	[]	[4.593794]	[140]	[]	[136079787]
642_1017	chr16	4065083	4065483	+	1000	121.0	[13.246898]	[161]	[18.919323, 5.863081]	[119, 125]	[4065331]	[4065289, 4065295]
642_10173	chr7	152335909	152336309	+	1000	40.0	[]	[]	[3.6080077, 10.006039, 3.6080077, 3.7322407]	[96, 102, 114, 128]	[]	[152336091, 152336097, 152336109, 152336123]
642_1018	chr16	68764899	68765299	+	1000	121.0	[]	[]	[16.66425]	[120]	[]	[68765116]
642_10181	chr8	23074414	23074814	+	1000	40.0	[4.593794]	[144]	[]	[]	[23074590]	[]
642_10182	chr8	30157507	30157907	+	1000	40.0	[]	[]	[3.3478272]	[64]	[]	[30157658]
642_10183	chr8	30655932	30656332	+	1000	40.0	[4.3336134]	[177]	[5.863081, 5.863081]	[119, 166]	[30656175]	[30656117, 30656164]
642_10187	chr8	53884559	53884959	+	1000	40.0	[3.3478272]	[101]	[]	[]	[53884745]	[]
642_10189	chr8	105328902	105329302	+	1000	40.0	[4.457846]	[168]	[]	[]	[105329110]	[]
