#PeakID	chr	start	end	strand	idrScore	count
986_0	chrM	133	348	+	1000	1887.0
986_1	chr3	93470512	93470716	+	1000	1840.0
986_2	chrM	12402	12623	+	1000	1558.5
986_3	chrM	16037	16395	+	1000	1295.0
986_4	chrM	2962	3280	+	1000	1260.0
986_5	chr16	46390599	46390799	+	1000	1256.0
986_6	chrM	10193	10430	+	1000	1247.0
986_7	chrUn_KI270467v1	2220	2434	+	1000	1246.5
986_8	chr1	125180085	125180287	+	1000	1244.0
986_9	chrM	2270	2543	+	1000	1240.5
986_10	chrM	13949	14202	+	1000	1238.5
986_11	chrM	10622	10848	+	1000	1234.5
986_12	chrM	7973	8189	+	1000	1222.5
986_13	chrM	6290	6523	+	1000	1219.5
986_14	chrM	5314	5525	+	1000	1215.0
986_15	chr22	20777820	20778021	+	1000	1208.5
986_16	chrUn_KI270438v1	103959	104173	+	1000	1207.0
986_17	chrM	7126	7327	+	1000	1203.0
986_18	chr21	34908585	34908796	+	1000	1180.5
986_19	chr1	40057545	40057747	+	1000	1179.0
986_20	chr10	43418174	43418396	+	1000	1164.0
986_21	chr6	7975171	7975388	+	1000	1157.0
986_22	chr7	139124396	139124609	+	1000	1156.5
986_23	chr7	64999505	64999718	+	1000	1150.0
986_24	chr2	69799117	69799336	+	1000	1137.5
986_25	chr11	59547853	59548078	+	1000	1108.5
986_26	chr1	21632263	21632467	+	1000	1103.0
986_27	chr10	61765742	61765947	+	1000	1102.5
986_28	chrUn_KI270438v1	109316	109532	+	1000	1102.0
986_29	chr21	35106364	35106570	+	1000	1093.5
986_30	chr1	234975158	234975362	+	1000	1090.5
986_31	chr16	34588114	34588331	+	1000	1081.5
986_32	chr3	24351903	24352104	+	1000	1081.5
986_33	chr1	182300087	182300288	+	1000	1052.0
986_34	chr17	27986911	27987137	+	1000	1051.0
986_35	chr16	29943425	29943643	+	1000	1033.0
986_36	chr7	104943610	104943825	+	1000	1022.5
986_37	chr18	9009106	9009317	+	1000	1021.5
986_38	chr1	108016503	108016723	+	1000	1006.5
986_39	chr2	170263802	170264008	+	1000	1000.0
986_40	chr19	33124728	33124955	+	1000	998.0
986_41	chr5	62261675	62261908	+	1000	988.5
986_42	chr17	69047612	69047813	+	1000	988.0
986_43	chrUn_KI270438v1	104799	105029	+	1000	986.5
986_44	chr19	10617127	10617341	+	1000	972.5
986_45	chr1	147377956	147378174	+	1000	945.5
986_46	chr1	223772114	223772329	+	1000	927.0
986_47	chr14	74620694	74620907	+	1000	927.0
986_48	chr7	155324166	155324373	+	1000	913.5
986_49	chrX	139213418	139213618	+	1000	912.0
986_50	chrUn_KI270467v1	2964	3190	+	1000	909.5
986_51	chr22	39452771	39452989	+	1000	908.0
986_52	chr12	31749352	31749555	+	1000	906.5
986_53	chr17	26603811	26604011	+	1000	902.0
986_54	chrX	154123985	154124202	+	1000	896.5
986_55	chr1	110881060	110881282	+	1000	887.5
986_56	chr13	25394769	25394971	+	1000	886.0
986_57	chr22	21632563	21632771	+	1000	883.5
986_58	chr3	45574194	45574396	+	1000	878.0
986_59	chr9	128558454	128558662	+	1000	864.5
986_60	chr8	27315434	27315636	+	1000	854.5
986_61	chr8	96644430	96644631	+	1000	850.5
986_62	chr22	19891641	19891861	+	1000	847.0
986_63	chr2	55140645	55140852	+	1000	838.0
986_64	chr1	15795235	15795445	+	1000	837.5
986_65	chr11	8206437	8206648	+	1000	827.0
986_66	chr3	49238521	49238743	+	1000	823.0
986_67	chr21	14753874	14754076	+	1000	821.0
986_68	chr1	47181262	47181469	+	1000	803.5
986_69	chr1	46158664	46158866	+	1000	803.0
986_70	chr17	49739825	49740074	+	1000	799.0
986_71	chr4	10181134	10181373	+	1000	798.5
986_72	chr11	118241138	118241341	+	1000	794.5
986_73	chrX	103101756	103101978	+	1000	790.0
986_74	chrUn_KI270466v1	920	1126	+	1000	789.0
986_75	chr5	176994731	176994937	+	1000	786.5
986_76	chr12	104467487	104467693	+	1000	786.0
986_77	chr9	121287062	121287268	+	1000	785.5
986_78	chr7	116876919	116877127	+	1000	775.0
986_79	chr4	68864512	68864720	+	1000	767.0
986_80	chr7	20219904	20220114	+	1000	767.0
986_81	chr17	64024283	64024489	+	1000	766.5
986_82	chr22	21947720	21947934	+	1000	766.5
986_83	chr17	62143661	62143872	+	1000	760.5
986_84	chr7	129720422	129720631	+	1000	760.0
986_85	chr16	46394725	46394928	+	1000	756.5
986_86	chr12	46430394	46430625	+	1000	749.0
986_87	chr1	113659091	113659299	+	1000	748.0
986_88	chr6	67889216	67889420	+	1000	746.5
986_89	chr1	143214649	143214852	+	1000	743.5
986_90	chr6	13395358	13395562	+	1000	741.0
986_91	chr20	29781925	29782142	+	1000	739.5
986_92	chr12	119665603	119665854	+	1000	734.5
