#PeakID(python identify_motif.py ./ENCODE_processed_files/GABPA_idr.fa GABPA --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
0_0	chr11	2400300	2400700	+	1000	874.0	[13.397782, 8.162848]	[102, 119]	[]	[]	[2400493, 2400510]	[]
0_1	chr11	47408248	47408648	+	1000	854.0	[]	[]	[10.101244]	[59]	[]	[47408407]
0_100	chr12	105236065	105236465	+	1000	782.0	[]	[]	[13.315012, 10.381482]	[78, 108]	[]	[105236238, 105236268]
0_1000	chr16	28863370	28863770	+	1000	632.0	[6.9121447]	[129]	[]	[]	[28863599]	[]
0_10000	chr17	38869418	38869818	+	1000	79.0	[]	[]	[8.217527]	[208]	[]	[38869627]
0_10003	chr17	45345544	45345944	+	1000	79.0	[10.951742]	[141]	[]	[]	[45345778]	[]
0_10005	chr17	78748623	78749023	+	1000	79.0	[13.28716, 7.7796507]	[80, 126]	[]	[]	[78748803, 78748849]	[]
0_10006	chr17	79832217	79832617	+	1000	79.0	[8.677165]	[98]	[10.808876]	[177]	[79832377]	[79832456]
0_10007	chr17	80260835	80261235	+	1000	79.0	[11.700283]	[116]	[]	[]	[80261024]	[]
0_10009	chr18	50775209	50775609	+	1000	79.0	[13.397782]	[110]	[11.680546, 8.704684]	[65, 146]	[50775419]	[50775374, 50775455]
0_1001	chr19	35748228	35748628	+	1000	632.0	[]	[]	[8.903031]	[76]	[]	[35748398]
0_10011	chr19	7920022	7920422	+	1000	79.0	[8.9971, 8.967373]	[101, 125]	[]	[]	[7920191, 7920215]	[]
0_10016	chr19	50148049	50148449	+	1000	79.0	[7.430582]	[94]	[]	[]	[50148230]	[]
0_1002	chr19	40285230	40285630	+	1000	632.0	[]	[]	[16.797768]	[105]	[]	[40285432]
0_10021	chr20	769834	770234	+	1000	79.0	[10.605342]	[133]	[]	[]	[770054]	[]
0_10022	chr20	3820546	3820946	+	1000	79.0	[]	[]	[7.41805]	[131]	[]	[3820747]
0_10024	chr20	32581005	32581405	+	1000	79.0	[14.741034]	[91]	[]	[]	[32581190]	[]
0_10025	chr20	44979204	44979604	+	1000	79.0	[]	[]	[12.640427]	[112]	[]	[44979414]
0_10026	chr21	29196366	29196766	+	1000	79.0	[8.143188]	[124]	[11.527266]	[68]	[29196575]	[29196519]
0_10027	chr21	42188291	42188691	+	1000	79.0	[]	[]	[11.10404, 7.9426746]	[82, 122]	[]	[42188466, 42188506]
0_10028	chr21	44300353	44300753	+	1000	79.0	[10.993419]	[132]	[]	[]	[44300539]	[]
0_10030	chr22	19604782	19605182	+	1000	79.0	[8.569641]	[147]	[]	[]	[19605011]	[]
0_10033	chr22	47631581	47631981	+	1000	79.0	[]	[]	[8.561428]	[90]	[]	[47631753]
0_10034	chr3	33054178	33054578	+	1000	79.0	[8.569641, 10.353631]	[101, 129]	[]	[]	[33054371, 33054399]	[]
0_10035	chr3	48465545	48465945	+	1000	79.0	[11.341048]	[101]	[]	[]	[48465737]	[]
0_10037	chr3	132722566	132722966	+	1000	79.0	[]	[]	[6.891909]	[77]	[]	[132722731]
0_10038	chr3	169563448	169563848	+	1000	79.0	[6.9403663]	[132]	[]	[]	[169563671]	[]
0_1004	chr5	160008922	160009322	+	1000	632.0	[]	[]	[8.403745, 8.345782]	[101, 121]	[]	[160009116, 160009136]
0_10040	chr3	196140171	196140571	+	1000	79.0	[11.482137, 7.2705154]	[144, 167]	[]	[]	[196140386, 196140409]	[]
0_10041	chr3	196318164	196318564	+	1000	79.0	[]	[]	[7.1961875, 7.197509]	[125, 152]	[]	[196318371, 196318398]
0_10042	chr4	2413161	2413561	+	1000	79.0	[]	[]	[7.613551]	[114]	[]	[2413346]
0_10045	chr5	1199827	1200227	+	1000	79.0	[10.020014]	[109]	[]	[]	[1199997]	[]
0_10046	chr5	14011699	14012099	+	1000	79.0	[6.6285024]	[85]	[]	[]	[14011881]	[]
0_10048	chr5	88827166	88827566	+	1000	79.0	[6.5708704]	[149]	[6.8511086]	[75]	[88827398]	[88827324]
0_1005	chrX	2632013	2632413	+	1000	632.0	[14.504025, 14.504025, 13.885272, 7.487201]	[82, 108, 136, 165]	[]	[]	[2632179, 2632205, 2632233, 2632262]	[]
0_10050	chr5	126686415	126686815	+	1000	79.0	[]	[]	[15.100268]	[114]	[]	[126686624]
0_10051	chr5	141680940	141681340	+	1000	79.0	[11.379836]	[111]	[]	[]	[141681119]	[]
0_10052	chr6	849055	849455	+	1000	79.0	[10.827319]	[104]	[]	[]	[849245]	[]
0_10054	chr6	13836924	13837324	+	1000	79.0	[]	[]	[8.309912]	[154]	[]	[13837153]
0_10056	chr6	28776275	28776675	+	1000	79.0	[9.560779]	[107]	[7.408891]	[126]	[28776448]	[28776467]
0_10057	chr6	31576796	31577196	+	1000	79.0	[]	[]	[9.22096, 9.59458]	[118, 124]	[]	[31577014, 31577020]
0_10058	chr6	41460929	41461329	+	1000	79.0	[16.797768]	[114]	[7.3694577]	[77]	[41461140]	[41461103]
0_10059	chr6	42198034	42198434	+	1000	79.0	[9.804404]	[146]	[]	[]	[42198258]	[]
0_1006	chr16	89657502	89657902	+	1000	631.0	[8.561428, 13.315012]	[96, 116]	[]	[]	[89657693, 89657713]	[]
0_10060	chr6	90503017	90503417	+	1000	79.0	[]	[]	[6.93056]	[89]	[]	[90503198]
0_10061	chr6	135321348	135321748	+	1000	79.0	[]	[]	[6.6108727]	[136]	[]	[135321582]
0_10062	chr6	150167889	150168289	+	1000	79.0	[9.155027]	[159]	[]	[]	[150168094]	[]
0_10064	chr7	45140810	45141210	+	1000	79.0	[]	[]	[9.804404, 9.155027]	[121, 127]	[]	[45141011, 45141017]
0_10065	chr7	142352575	142352975	+	1000	79.0	[]	[]	[13.885272]	[100]	[]	[142352750]
0_10066	chr8	26267305	26267705	+	1000	79.0	[10.972914]	[122]	[]	[]	[26267525]	[]
0_10067	chr8	38805154	38805554	+	1000	79.0	[]	[]	[11.527266, 13.864238]	[116, 153]	[]	[38805365, 38805402]
0_10069	chr8	85959095	85959495	+	1000	79.0	[7.117465]	[106]	[]	[]	[85959293]	[]
0_1007	chr19	12945645	12946045	+	1000	631.0	[7.397016]	[92]	[11.02127]	[102]	[12945829]	[12945839]
0_10071	chr9	38047745	38048145	+	1000	79.0	[16.797768]	[133]	[]	[]	[38047974]	[]
0_10072	chr9	90801570	90801970	+	1000	79.0	[]	[]	[12.187773, 8.466779, 7.710163]	[67, 99, 117]	[]	[90801736, 90801768, 90801786]
0_10073	chr9	108994709	108995109	+	1000	79.0	[]	[]	[13.885272, 11.290258]	[86, 117]	[]	[108994888, 108994919]
0_10074	chr9	124242766	124243166	+	1000	79.0	[10.325104, 10.485287]	[126, 136]	[12.640427]	[85]	[124242980, 124242990]	[124242939]
0_10075	chr9	127903404	127903804	+	1000	79.0	[11.07903, 10.763748]	[141, 171]	[6.540387]	[107]	[127903613, 127903643]	[127903579]
0_10076	chrUn_GL000218v1	97250	97650	+	1000	79.0	[10.539888]	[142]	[]	[]	[97429]	[]
0_10078	chrX	101051641	101052041	+	1000	79.0	[14.504025]	[140]	[]	[]	[101051876]	[]
0_10079	chrX	151984294	151984694	+	1000	79.0	[]	[]	[14.337926]	[110]	[]	[151984488]
0_1008	chr19	36573125	36573525	+	1000	631.0	[]	[]	[6.981497, 8.26837]	[79, 85]	[]	[36573296, 36573302]
0_10080	chr1	1004967	1005367	+	1000	78.0	[11.230427]	[119]	[]	[]	[1005165]	[]
0_10082	chr1	19533655	19534055	+	1000	78.0	[]	[]	[11.841372, 11.8865]	[128, 149]	[]	[19533866, 19533887]
0_10087	chr1	110328223	110328623	+	1000	78.0	[9.887399, 8.296897]	[83, 134]	[9.14137, 7.9830055]	[88, 103]	[110328390, 110328441]	[110328395, 110328410]
0_10088	chr1	144560808	144561208	+	1000	78.0	[]	[]	[6.674152]	[86]	[]	[144560989]
0_10089	chr1	150562275	150562675	+	1000	78.0	[8.31793]	[110]	[]	[]	[150562480]	[]
0_1009	chr1	230978815	230979215	+	1000	630.0	[7.455185]	[121]	[]	[]	[230979036]	[]
0_10090	chr1	155940631	155941031	+	1000	78.0	[11.42543, 6.540387]	[135, 152]	[11.196773]	[123]	[155940855, 155940872]	[155940843]
0_10094	chr1	244224436	244224836	+	1000	78.0	[9.56736, 11.07903]	[74, 136]	[]	[]	[244224591, 244224653]	[]
0_10095	chr1	244264159	244264559	+	1000	78.0	[]	[]	[6.9136844, 11.8865]	[80, 98]	[]	[244264333, 244264351]
0_10099	chr10	79444388	79444788	+	1000	78.0	[12.604423]	[110]	[]	[]	[79444585]	[]
0_101	chr3	128123776	128124176	+	1000	782.0	[8.403745, 11.841372]	[60, 102]	[]	[]	[128123931, 128123973]	[]
0_1010	chr16	69132369	69132769	+	1000	630.0	[10.330545, 7.4241676, 11.02127]	[98, 109, 132]	[]	[]	[69132567, 69132578, 69132601]	[]
0_10100	chr10	86520850	86521250	+	1000	78.0	[]	[]	[8.059889]	[58]	[]	[86521007]
0_10101	chr10	100186178	100186578	+	1000	78.0	[6.7834888]	[111]	[]	[]	[100186382]	[]
0_10102	chr10	110864632	110865032	+	1000	78.0	[12.044184]	[118]	[]	[]	[110864842]	[]
0_10105	chr11	65386408	65386808	+	1000	78.0	[8.928876, 6.5148845]	[112, 139]	[]	[]	[65386612, 65386639]	[]
0_10106	chr12	3544511	3544911	+	1000	78.0	[]	[]	[8.919994]	[95]	[]	[3544696]
0_10109	chr12	68560015	68560415	+	1000	78.0	[11.807504]	[205]	[]	[]	[68560250]	[]
0_10110	chr12	109098134	109098534	+	1000	78.0	[8.480525]	[70]	[]	[]	[109098290]	[]
0_10112	chr13	64274528	64274928	+	1000	78.0	[]	[]	[8.480525]	[107]	[]	[64274710]
0_10113	chr14	50003390	50003790	+	1000	78.0	[]	[]	[6.794401]	[88]	[]	[50003572]
0_10114	chr14	55790749	55791149	+	1000	78.0	[13.864238]	[141]	[8.176619]	[176]	[55790943]	[55790978]
0_10115	chr14	73753546	73753946	+	1000	78.0	[]	[]	[7.2352076]	[156]	[]	[73753792]
0_10116	chr15	63436860	63437260	+	1000	78.0	[]	[]	[8.217527]	[93]	[]	[63437029]
0_10117	chr15	68229445	68229845	+	1000	78.0	[]	[]	[8.191545]	[86]	[]	[68229618]
0_10122	chr16	9135766	9136166	+	1000	78.0	[]	[]	[13.077335]	[123]	[]	[9135948]
0_10123	chr17	27323462	27323862	+	1000	78.0	[14.337926]	[119]	[]	[]	[27323643]	[]
0_10125	chr17	29292794	29293194	+	1000	78.0	[]	[]	[8.386707]	[209]	[]	[29293038]
0_10127	chr17	45317193	45317593	+	1000	78.0	[]	[]	[6.5001817, 8.375894]	[202, 206]	[]	[45317431, 45317435]
0_10129	chr17	62172697	62173097	+	1000	78.0	[7.9491935, 10.485287, 8.895008]	[68, 96, 150]	[7.8419166]	[112]	[62172849, 62172877, 62172931]	[62172893]
0_1013	chr10	15860376	15860776	+	1000	629.0	[]	[]	[8.561428, 11.02127]	[91, 106]	[]	[15860559, 15860574]
0_10131	chr17	78341637	78342037	+	1000	78.0	[7.5106626]	[81]	[]	[]	[78341792]	[]
0_10132	chr18	6927144	6927544	+	1000	78.0	[]	[]	[11.341048]	[143]	[]	[6927386]
0_10135	chr19	1074675	1075075	+	1000	78.0	[]	[]	[9.532927, 8.284277]	[97, 133]	[]	[1074833, 1074869]
0_10136	chr19	6528758	6529158	+	1000	78.0	[8.569641]	[126]	[]	[]	[6528960]	[]
0_10139	chr19	12725615	12726015	+	1000	78.0	[]	[]	[9.59458]	[85]	[]	[12725797]
0_1014	chr19	38374387	38374787	+	1000	629.0	[10.972914]	[70]	[]	[]	[38374552]	[]
0_10142	chr19	18596790	18597190	+	1000	78.0	[]	[]	[8.4919]	[60]	[]	[18596945]
0_10143	chr19	48399527	48399927	+	1000	78.0	[]	[]	[6.808803, 10.485287]	[124, 139]	[]	[48399739, 48399754]
0_10146	chr2	69934341	69934741	+	1000	78.0	[11.8865]	[123]	[]	[]	[69934545]	[]
0_10147	chr2	74313475	74313875	+	1000	78.0	[6.731053, 6.511657]	[83, 117]	[]	[]	[74313655, 74313689]	[]
0_10148	chr2	102227688	102228088	+	1000	78.0	[]	[]	[11.700283]	[168]	[]	[102227938]
0_10149	chr2	102273752	102274152	+	1000	78.0	[]	[]	[9.248419, 11.196773]	[137, 154]	[]	[102273950, 102273967]
0_1015	chr2	176269251	176269651	+	1000	629.0	[]	[]	[9.157671]	[86]	[]	[176269435]
0_10150	chr2	108449618	108450018	+	1000	78.0	[13.864238]	[124]	[]	[]	[108449838]	[]
0_10152	chr2	110677986	110678386	+	1000	78.0	[12.067523]	[122]	[]	[]	[110678204]	[]
0_10154	chr2	172556124	172556524	+	1000	78.0	[10.186114]	[134]	[]	[]	[172556331]	[]
0_10155	chr20	53175368	53175768	+	1000	78.0	[]	[]	[9.1883955]	[79]	[]	[53175542]
0_10157	chr21	39317377	39317777	+	1000	78.0	[]	[]	[10.951742]	[148]	[]	[39317606]
0_10158	chr21	41903858	41904258	+	1000	78.0	[]	[]	[9.669839, 13.077335]	[70, 151]	[]	[41904020, 41904101]
0_1016	chr3	28348682	28349082	+	1000	629.0	[]	[]	[6.755474]	[61]	[]	[28348837]
0_10161	chr3	46433078	46433478	+	1000	78.0	[14.504025]	[176]	[11.379836]	[118]	[46433307]	[46433249]
0_10163	chr3	114290860	114291260	+	1000	78.0	[]	[]	[7.5099945, 9.037738]	[86, 140]	[]	[114291043, 114291097]
0_10165	chr4	3740311	3740711	+	1000	78.0	[8.705017]	[124]	[8.348509]	[76]	[3740520]	[3740472]
0_10167	chr4	73740409	73740809	+	1000	78.0	[]	[]	[9.047306, 7.7476707]	[109, 122]	[]	[73740615, 73740628]
0_10168	chr4	184266038	184266438	+	1000	78.0	[13.584]	[181]	[]	[]	[184266283]	[]
0_10169	chr5	2917515	2917915	+	1000	78.0	[8.964536]	[126]	[8.65132]	[59]	[2917734]	[2917667]
0_1017	chr3	100400980	100401380	+	1000	629.0	[11.02127]	[108]	[]	[]	[100401185]	[]
0_10170	chr5	14706479	14706879	+	1000	78.0	[11.020601]	[132]	[]	[]	[14706706]	[]
0_10171	chr5	131657482	131657882	+	1000	78.0	[8.141542]	[67]	[8.356729]	[129]	[131657642]	[131657704]
0_10172	chr5	159017748	159018148	+	1000	78.0	[13.864238]	[165]	[]	[]	[159017992]	[]
0_10174	chr6	26087667	26088067	+	1000	78.0	[]	[]	[14.455669]	[185]	[]	[26087916]
0_10176	chr6	26336634	26337034	+	1000	78.0	[9.247562]	[130]	[]	[]	[26336838]	[]
0_10177	chr6	28211780	28212180	+	1000	78.0	[6.846359, 11.617513]	[113, 150]	[]	[]	[28211988, 28212025]	[]
0_10178	chr6	32969800	32970200	+	1000	78.0	[]	[]	[7.41805]	[134]	[]	[32970026]
0_1018	chr3	121749775	121750175	+	1000	629.0	[]	[]	[16.797768]	[107]	[]	[121749982]
0_10181	chr6	86683289	86683689	+	1000	78.0	[7.7312946]	[110]	[]	[]	[86683492]	[]
0_10185	chr7	13850140	13850540	+	1000	78.0	[7.710133]	[91]	[]	[]	[13850297]	[]
0_10188	chr7	112207015	112207415	+	1000	78.0	[6.5205355, 7.190877]	[100, 157]	[]	[]	[112207200, 112207257]	[]
0_10189	chr7	116355193	116355593	+	1000	78.0	[]	[]	[8.853755]	[105]	[]	[116355398]
0_1019	chr4	674082	674482	+	1000	629.0	[]	[]	[7.9993815]	[85]	[]	[674266]
0_10190	chr7	129091512	129091912	+	1000	78.0	[]	[]	[7.7140174]	[141]	[]	[129091747]
0_10193	chr8	29752257	29752657	+	1000	78.0	[8.166533]	[148]	[]	[]	[29752501]	[]
0_10194	chr8	123130099	123130499	+	1000	78.0	[]	[]	[13.864238]	[110]	[]	[123130288]
0_10195	chr8	129557837	129558237	+	1000	78.0	[]	[]	[15.100268]	[83]	[]	[129558017]
0_10197	chr9	124469387	124469787	+	1000	78.0	[]	[]	[9.784637, 15.100268]	[93, 100]	[]	[124469572, 124469579]
0_102	chr1	155934303	155934703	+	1000	781.0	[9.915027]	[55]	[]	[]	[155934457]	[]
0_1020	chr5	110738778	110739178	+	1000	629.0	[8.561428, 10.85517]	[99, 119]	[8.217527]	[68]	[110738973, 110738993]	[110738942]
0_10201	chrUn_KI270743v1	68025	68425	+	1000	78.0	[]	[]	[10.539888]	[120]	[]	[68224]
0_10202	chrX	19829760	19830160	+	1000	78.0	[14.455669]	[106]	[]	[]	[19829944]	[]
0_10203	chrX	48003763	48004163	+	1000	78.0	[10.402516]	[119]	[]	[]	[48003975]	[]
0_10206	chr1	8423968	8424368	+	1000	77.0	[8.106905]	[130]	[]	[]	[8424186]	[]
0_10207	chr1	27436503	27436903	+	1000	77.0	[16.797768]	[100]	[]	[]	[27436692]	[]
0_10209	chr1	40699011	40699411	+	1000	77.0	[]	[]	[9.670894]	[131]	[]	[40699208]
0_1021	chrX	151396988	151397388	+	1000	629.0	[11.617513, 11.617513, 11.258278]	[80, 99, 118]	[]	[]	[151397167, 151397186, 151397205]	[]
0_10211	chr1	46719804	46720204	+	1000	77.0	[]	[]	[9.532927, 8.644198, 9.670894]	[93, 107, 154]	[]	[46719994, 46720008, 46720055]
0_10213	chr1	51517940	51518340	+	1000	77.0	[]	[]	[9.532927, 7.5685887]	[114, 118]	[]	[51518147, 51518151]
0_10214	chr1	89757609	89758009	+	1000	77.0	[10.184014]	[158]	[14.741034]	[139]	[89757841]	[89757822]
0_10216	chr1	146938126	146938526	+	1000	77.0	[]	[]	[8.561428]	[97]	[]	[146938321]
0_10219	chr1	167044019	167044419	+	1000	77.0	[8.705017]	[116]	[]	[]	[167044203]	[]
0_10220	chr1	182588712	182589112	+	1000	77.0	[9.076296]	[116]	[]	[]	[182588912]	[]
0_10221	chr1	201828881	201829281	+	1000	77.0	[]	[]	[7.0071845]	[108]	[]	[201829048]
0_10223	chr1	213325502	213325902	+	1000	77.0	[]	[]	[8.31793, 11.8865]	[59, 63]	[]	[213325660, 213325664]
0_10224	chr1	214402525	214402925	+	1000	77.0	[]	[]	[8.04451]	[116]	[]	[214402733]
0_10225	chr1	225477805	225478205	+	1000	77.0	[]	[]	[11.700283]	[159]	[]	[225478036]
0_10226	chr1	227318210	227318610	+	1000	77.0	[6.837227, 10.374664, 6.973034]	[140, 144, 154]	[]	[]	[227318361, 227318365, 227318375]	[]
0_10227	chr1	233114903	233115303	+	1000	77.0	[]	[]	[10.374664, 6.731053]	[119, 127]	[]	[233115089, 233115097]
0_10228	chr1	234544499	234544899	+	1000	77.0	[9.38153]	[82]	[]	[]	[234544674]	[]
0_10229	chr1	234772395	234772795	+	1000	77.0	[]	[]	[15.100268]	[84]	[]	[234772568]
0_1023	chr12	122225853	122226253	+	1000	628.0	[]	[]	[11.617513]	[97]	[]	[122226044]
0_10231	chr10	45008673	45009073	+	1000	77.0	[]	[]	[9.59458]	[149]	[]	[45008907]
0_10232	chr10	83917460	83917860	+	1000	77.0	[]	[]	[13.885272]	[120]	[]	[83917650]
0_10234	chr10	110441741	110442141	+	1000	77.0	[13.315012]	[146]	[]	[]	[110441968]	[]
0_10236	chr11	10899804	10900204	+	1000	77.0	[9.155027]	[85]	[]	[]	[10899988]	[]
0_10238	chr11	77299489	77299889	+	1000	77.0	[]	[]	[6.5081735, 7.1347384]	[131, 173]	[]	[77299690, 77299732]
