#PeakID(python identify_motif.py ./ENCODE_processed_files/CEBPG_idr.fa CEBPG --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
582_1	chrM	12078	12478	+	1000	1345.0	[5.465889, 6.002267]	[92, 147]	[]	[]	[12259, 12314]	[]
582_100	chr16	76194	76594	+	1000	322.0	[15.210169]	[102]	[15.617505]	[101]	[76395]	[76394]
582_10004	chr8	109540159	109540559	+	1000	51.0	[6.0776796]	[88]	[]	[]	[109540332]	[]
582_10009	chr9	123470162	123470562	+	587	51.0	[5.846348]	[168]	[]	[]	[123470345]	[]
582_10010	chr9	126403438	126403838	+	978	51.0	[5.198277]	[125]	[5.9220176, 5.468101]	[103, 124]	[126403659]	[126403637, 126403658]
582_10011	chr9	128455873	128456273	+	1000	51.0	[6.1760974]	[96]	[]	[]	[128456050]	[]
582_10013	chr9	131980178	131980578	+	1000	51.0	[10.636991]	[112]	[11.910557]	[111]	[131980384]	[131980383]
582_10014	chr9	137836599	137836999	+	1000	51.0	[15.210169]	[132]	[15.617505]	[131]	[137836821]	[137836820]
582_1002	chr17	42968974	42969374	+	1000	143.5	[]	[]	[5.8895617, 5.5146813]	[62, 88]	[]	[42969132, 42969158]
582_10033	chr10	48656325	48656725	+	1000	50.5	[9.006994]	[104]	[]	[]	[48656505]	[]
582_10037	chr11	95192743	95193143	+	1000	50.5	[5.9220176]	[109]	[]	[]	[95192941]	[]
582_10038	chr11	106076931	106077331	+	1000	50.5	[11.503221]	[108]	[10.229654]	[107]	[106077130]	[106077129]
582_10042	chr12	33187382	33187782	+	830	50.5	[11.910557]	[152]	[10.636991]	[151]	[33187605]	[33187604]
582_10046	chr12	72214165	72214565	+	1000	50.5	[11.654483]	[118]	[14.722584]	[117]	[72214359]	[72214358]
582_10051	chr13	80572040	80572440	+	1000	50.5	[5.234844]	[154]	[9.4143305]	[153]	[80572282]	[80572281]
582_10054	chr13	88637930	88638330	+	1000	50.5	[10.636991]	[113]	[11.910557]	[112]	[88638138]	[88638137]
582_10060	chr14	20333158	20333558	+	883	50.5	[6.532173]	[133]	[]	[]	[20333383]	[]
582_1007	chr6	6556564	6556964	+	1000	143.5	[6.055884]	[59]	[9.623465]	[58]	[6556723]	[6556722]
582_10076	chr17	40309432	40309832	+	1000	50.5	[5.9388933]	[94]	[8.710281]	[93]	[40309588]	[40309587]
582_1008	chr8	37393236	37393636	+	1000	143.5	[5.9220176]	[92]	[7.195584]	[129]	[37393428]	[37393465]
582_10085	chr18	63422279	63422679	+	1000	50.5	[9.784628]	[86]	[6.095848]	[143]	[63422455]	[63422512]
582_10088	chr19	57389573	57389973	+	1000	50.5	[9.4143305]	[156]	[]	[]	[57389798]	[]
582_10090	chr2	259930	260330	+	1000	50.5	[10.403485]	[105]	[11.009659]	[104]	[260130]	[260129]
582_10091	chr2	12149718	12150118	+	968	50.5	[9.901916]	[104]	[8.79053]	[103]	[12149877]	[12149876]
582_10092	chr2	30148876	30149276	+	1000	50.5	[]	[]	[5.9220176]	[105]	[]	[30149076]
582_101	chr1	182200452	182200852	+	1000	321.5	[9.623465]	[98]	[10.481071]	[97]	[182200648]	[182200647]
582_10100	chr2	102227900	102228300	+	1000	50.5	[6.5180492]	[125]	[]	[]	[102228121]	[]
582_10101	chr2	120760713	120761113	+	1000	50.5	[15.617505]	[97]	[11.192318]	[96]	[120760910]	[120760909]
582_10104	chr2	156691042	156691442	+	1000	50.5	[11.910557, 6.5180492]	[93, 177]	[10.229654, 9.1358795]	[92, 176]	[156691199, 156691283]	[156691198, 156691282]
582_10106	chr2	170277158	170277558	+	1000	50.5	[11.390118]	[134]	[]	[]	[170277391]	[]
582_10108	chr2	182924485	182924885	+	933	50.5	[6.6739683]	[105]	[11.422971]	[104]	[182924679]	[182924678]
582_10111	chr20	8356868	8357268	+	1000	50.5	[10.636991]	[90]	[11.910557]	[89]	[8357042]	[8357041]
582_10114	chr21	15965107	15965507	+	964	50.5	[9.623465]	[99]	[10.481071]	[98]	[15965306]	[15965305]
582_10119	chr3	15685981	15686381	+	1000	50.5	[6.202975, 5.5146813]	[112, 132]	[]	[]	[15686173, 15686193]	[]
582_10120	chr3	18080377	18080777	+	1000	50.5	[5.9220176]	[105]	[]	[]	[18080544]	[]
582_10121	chr3	18396424	18396824	+	1000	50.5	[5.9220176]	[112]	[]	[]	[18396636]	[]
582_10124	chr3	38575180	38575580	+	952	50.5	[15.210169]	[107]	[11.192318]	[106]	[38575376]	[38575375]
582_10126	chr3	143002237	143002637	+	1000	50.5	[5.422971]	[93]	[7.3027105]	[92]	[143002420]	[143002419]
582_10130	chr4	41856814	41857214	+	957	50.5	[]	[]	[5.9220176, 5.1868024]	[89, 105]	[]	[41856991, 41857007]
