#PeakID(python identify_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_10003	chr12	121798814	121799214	+	1000	39.0	[]	[]	[10.586677]	[124]	[]	[121799001]
39_10029	chr15	65049337	65049737	+	1000	39.0	[8.260495]	[167]	[8.017088]	[96]	[65049577]	[65049506]
39_10034	chr15	74580456	74580856	+	1000	39.0	[7.151105]	[166]	[8.892592]	[120]	[74580706]	[74580660]
39_10039	chr16	253004	253404	+	1000	39.0	[8.017088, 7.3683157]	[77, 89]	[]	[]	[253157, 253169]	[]
39_1004	chr2	138058344	138058744	+	1000	75.0	[]	[]	[12.064187]	[117]	[]	[138058559]
39_10042	chr16	3022307	3022707	+	1000	39.0	[]	[]	[7.7944894]	[177]	[]	[3022558]
39_10045	chr16	10357234	10357634	+	1000	39.0	[8.260495]	[57]	[]	[]	[10357387]	[]
39_10061	chr16	66516717	66517117	+	1000	39.0	[]	[]	[10.586677]	[157]	[]	[66516927]
39_10065	chr16	70165072	70165472	+	1000	39.0	[7.2151175]	[141]	[]	[]	[70165262]	[]
39_10068	chr16	85322875	85323275	+	1000	39.0	[12.064187]	[198]	[]	[]	[85323110]	[]
39_10071	chr16	85372850	85373250	+	1000	39.0	[8.892592]	[150]	[]	[]	[85373089]	[]
39_10088	chr17	38719919	38720319	+	1000	39.0	[8.892592]	[147]	[8.502309]	[115]	[38720155]	[38720123]
39_10092	chr17	42181302	42181702	+	1000	39.0	[7.748347]	[91]	[9.738007]	[135]	[42181465]	[42181509]
39_10097	chr17	46779506	46779906	+	1000	39.0	[8.892592]	[110]	[]	[]	[46779707]	[]
39_10098	chr17	47877541	47877941	+	1000	39.0	[]	[]	[8.017088]	[155]	[]	[47877777]
39_101	chr1	206735488	206735888	+	1000	175.0	[10.586677]	[107]	[8.502309]	[77]	[206735687]	[206735657]
39_10101	chr17	49879526	49879926	+	1000	39.0	[7.397283]	[102]	[]	[]	[49879726]	[]
39_10108	chr17	62170331	62170731	+	1000	39.0	[9.738007]	[155]	[]	[]	[62170568]	[]
39_10109	chr17	62172604	62173004	+	1000	39.0	[8.017088]	[153]	[]	[]	[62172835]	[]
39_10117	chr17	78176499	78176899	+	1000	39.0	[8.260495]	[95]	[]	[]	[78176693]	[]
39_10127	chr17	82292564	82292964	+	1000	39.0	[]	[]	[8.502309]	[123]	[]	[82292765]
39_10128	chr18	3594237	3594637	+	1000	39.0	[8.892592]	[93]	[]	[]	[3594428]	[]
39_10148	chr19	11143109	11143509	+	1000	39.0	[]	[]	[8.260495]	[127]	[]	[11143269]
39_10180	chr2	47078988	47079388	+	1000	39.0	[]	[]	[12.064187]	[86]	[]	[47079157]
39_10181	chr2	58688830	58689230	+	1000	39.0	[8.260495]	[129]	[]	[]	[58689053]	[]
39_10183	chr2	65382669	65383069	+	1000	39.0	[9.738007]	[91]	[]	[]	[65382857]	[]
39_10198	chr2	170324529	170324929	+	1000	39.0	[7.2151175]	[125]	[]	[]	[170324725]	[]
39_102	chr4	184684784	184685184	+	1000	175.0	[7.397283]	[83]	[10.586677]	[113]	[184684966]	[184684996]
39_10204	chr2	227451280	227451680	+	1000	39.0	[]	[]	[7.7944894]	[91]	[]	[227451471]
39_10214	chr20	35269261	35269661	+	1000	39.0	[8.892592]	[142]	[]	[]	[35269461]	[]
39_10215	chr20	37335881	37336281	+	1000	39.0	[]	[]	[7.397283, 8.892592]	[122, 159]	[]	[37336090, 37336127]
39_10218	chr20	39048015	39048415	+	1000	39.0	[]	[]	[8.892592]	[131]	[]	[39048240]
39_10221	chr20	47040715	47041115	+	1000	39.0	[]	[]	[7.397283]	[86]	[]	[47040870]
39_10223	chr20	50197400	50197800	+	1000	39.0	[8.909202, 10.370103]	[112, 131]	[]	[]	[50197600, 50197619]	[]
39_10225	chr20	62386801	62387201	+	1000	39.0	[8.329008]	[189]	[]	[]	[62387026]	[]
39_1023	chr7	129769057	129769457	+	1000	75.0	[]	[]	[10.370103, 12.064187]	[118, 143]	[]	[129769271, 129769296]
39_10237	chr22	19142210	19142610	+	1000	39.0	[8.892592]	[160]	[]	[]	[19142439]	[]
39_10243	chr22	19404089	19404489	+	1000	39.0	[7.748347]	[177]	[]	[]	[19404337]	[]
39_10245	chr22	19528027	19528427	+	1000	39.0	[]	[]	[8.044104]	[225]	[]	[19528266]
39_10246	chr22	19577467	19577867	+	1000	39.0	[8.892592, 8.017088]	[104, 114]	[]	[]	[19577636, 19577646]	[]
39_10247	chr22	19861330	19861730	+	1000	39.0	[]	[]	[9.738007]	[92]	[]	[19861511]
39_10251	chr22	20089244	20089644	+	1000	39.0	[]	[]	[8.892592]	[193]	[]	[20089482]
39_10253	chr22	20212427	20212827	+	1000	39.0	[8.260495, 9.738007]	[94, 108]	[]	[]	[20212588, 20212602]	[]
39_10256	chr22	20297649	20298049	+	1000	39.0	[]	[]	[8.892592]	[178]	[]	[20297848]
39_1026	chr7	154676405	154676805	+	1000	75.0	[7.2151175, 10.370103]	[133, 142]	[9.738007, 10.370103]	[81, 154]	[154676622, 154676631]	[154676570, 154676643]
39_10260	chr22	20421411	20421811	+	1000	39.0	[8.017088, 8.017088]	[147, 156]	[]	[]	[20421652, 20421661]	[]
39_10264	chr22	20648630	20649030	+	1000	39.0	[8.329008, 10.586677]	[67, 83]	[]	[]	[20648792, 20648808]	[]
39_10273	chr22	21717804	21718204	+	1000	39.0	[10.586677]	[121]	[]	[]	[21718007]	[]
39_10283	chr22	22158799	22159199	+	1000	39.0	[8.260495]	[135]	[]	[]	[22159023]	[]
39_10287	chr22	22528794	22529194	+	1000	39.0	[10.370103, 10.370103]	[57, 86]	[]	[]	[22528948, 22528977]	[]
39_10288	chr22	22535690	22536090	+	1000	39.0	[10.586677]	[79]	[]	[]	[22535845]	[]
39_10291	chr22	22608066	22608466	+	1000	39.0	[]	[]	[8.260495]	[140]	[]	[22608269]
39_10294	chr22	22699771	22700171	+	1000	39.0	[10.370103]	[133]	[]	[]	[22700004]	[]
39_10295	chr22	22762851	22763251	+	1000	39.0	[7.2151175]	[110]	[]	[]	[22763033]	[]
39_10301	chr22	22960799	22961199	+	1000	39.0	[]	[]	[12.064187]	[76]	[]	[22960974]
39_10302	chr22	22968381	22968781	+	1000	39.0	[10.370103, 10.370103]	[96, 148]	[]	[]	[22968573, 22968625]	[]
39_10306	chr22	30183866	30184266	+	1000	39.0	[9.738007, 8.502309]	[98, 141]	[12.064187]	[129]	[30184041, 30184084]	[30184072]
