#PeakID	chr	start	end	strand	idrScore	count
876_0	chr3	93470446	93470646	+	1000	1726.0
876_1	chrM	12413	12630	+	1000	1611.5
876_2	chrM	16218	16420	+	1000	1317.5
876_3	chr1	125180085	125180285	+	1000	1291.5
876_4	chrM	10773	10975	+	1000	1273.5
876_5	chr16	46390596	46390800	+	1000	1262.5
876_6	chrM	13717	13935	+	1000	1262.5
876_7	chrM	10207	10409	+	1000	1259.5
876_8	chrM	8071	8275	+	1000	1252.0
876_9	chrM	14983	15189	+	1000	1247.0
876_10	chrM	2264	2480	+	1000	1233.0
876_11	chrM	1629	1834	+	1000	1223.0
876_12	chrM	6287	6498	+	1000	1222.0
876_13	chrM	5291	5491	+	1000	1221.0
876_14	chrUn_KI270438v1	104003	104207	+	1000	1218.5
876_15	chrM	7136	7356	+	1000	1208.5
876_16	chr22	20777824	20778029	+	1000	1154.0
876_17	chr16	34588154	34588363	+	1000	1135.5
876_18	chr3	37987014	37987214	+	1000	1128.5
876_19	chrUn_KI270438v1	109331	109542	+	1000	1022.5
876_20	chr7	20219961	20220182	+	1000	999.0
876_21	chr10	45470694	45470896	+	1000	990.0
876_22	chrUn_KI270467v1	2254	2461	+	1000	973.5
876_23	chrUn_KI270438v1	104795	104998	+	1000	955.0
876_24	chr1	27979658	27979869	+	1000	939.5
876_25	chr17	26603815	26604018	+	1000	938.0
876_26	chr16	46394713	46394919	+	1000	877.5
876_27	chrUn_KI270467v1	3332	3536	+	1000	877.0
876_28	chr1	143214634	143214850	+	1000	848.0
876_29	chr8	37591469	37591677	+	1000	821.5
876_30	chr7	155324183	155324427	+	1000	810.5
876_31	chrUn_KI270466v1	885	1118	+	1000	799.0
876_32	chr10	78459094	78459295	+	1000	781.0
876_33	chr2	113012935	113013136	+	1000	774.0
876_34	chr16	46386329	46386534	+	1000	754.5
876_35	chr16	46398819	46399019	+	1000	751.0
876_36	chrUn_KI270438v1	112033	112239	+	1000	722.0
876_37	chr1	231934851	231935052	+	1000	699.0
876_38	chr6	37103434	37103639	+	1000	689.0
876_39	chr16	46387830	46388033	+	1000	680.5
876_40	chr6	133957976	133958207	+	1000	675.5
876_41	chr17	26881310	26881510	+	1000	672.0
876_42	chr5	133049688	133049888	+	1000	654.5
876_43	chr16	46401316	46401529	+	1000	648.0
876_44	chr17	26619955	26620159	+	1000	628.5
876_45	chr10	61342899	61343102	+	1000	626.0
876_46	chr17	74715200	74715400	+	1000	601.0
876_47	chr17	25920108	25920311	+	1000	597.0
876_48	chr15	40826245	40826458	+	1000	585.5
876_49	chr17	26885269	26885603	+	1000	575.5
876_50	chr2	226772693	226772897	+	1000	572.0
876_51	chrX	11588138	11588345	+	1000	570.0
876_52	chr1	234612543	234612750	+	1000	569.5
876_53	chrX	47048137	47048339	+	1000	568.0
876_54	chr3	41268085	41268295	+	1000	564.0
876_55	chr7	12951592	12951801	+	1000	560.0
876_56	chr1	116420485	116420688	+	1000	555.5
876_57	chr16	46391234	46391445	+	1000	555.0
876_58	chr5	34245998	34246219	+	1000	548.5
876_59	chr5	163379661	163379861	+	1000	547.5
876_60	chr2	148501612	148501812	+	1000	544.0
876_61	chr6	157825536	157825736	+	1000	540.0
876_62	chr5	10507579	10507815	+	1000	537.5
876_63	chr17	78666030	78666235	+	1000	528.5
876_64	chr9	108108770	108108974	+	1000	524.5
876_65	chr15	28911263	28911474	+	1000	523.0
876_66	chr7	150765769	150765975	+	1000	523.0
876_67	chr7	139853050	139853271	+	1000	520.5
876_68	chr16	34585860	34586077	+	1000	502.0
876_69	chr19	13069714	13069918	+	1000	497.0
876_70	chr8	15701877	15702078	+	1000	493.0
