#PeakID	chr	start	end	strand	idrScore	count
152_0	chrM	12500	12710	+	1000	797.0
152_1	chrM	9848	10105	+	1000	793.0
152_2	chrM	15095	15306	+	1000	788.0
152_3	chrM	88	288	+	1000	785.0
152_4	chrM	11181	11395	+	1000	785.0
152_5	chrM	3170	3371	+	1000	784.0
152_6	chrM	10639	10882	+	1000	770.0
152_7	chrM	13741	13941	+	1000	769.0
152_8	chrM	11776	12014	+	1000	717.0
152_9	chr3	93470505	93470774	+	1000	669.0
152_10	chrM	5301	5509	+	1000	628.0
152_11	chrM	6265	6510	+	1000	626.0
152_12	chr16	46390460	46390716	+	1000	538.0
152_13	chrM	8034	8244	+	1000	491.0
152_14	chr3	196537398	196537607	+	1000	453.0
152_15	chr2	62177460	62177694	+	1000	442.0
152_16	chr7	67019727	67019929	+	1000	430.0
152_17	chr2	11279381	11279589	+	1000	422.0
152_18	chrUn_KI270467v1	2233	2529	+	1000	406.0
152_19	chr7	148987094	148987312	+	1000	402.0
152_20	chr22	22594072	22594287	+	1000	400.0
152_21	chrM	9149	9353	+	1000	397.0
152_22	chr15	35557654	35557864	+	1000	369.0
152_23	chrUn_KI270467v1	3301	3521	+	1000	369.0
152_24	chr6	70337615	70337824	+	1000	367.0
152_25	chr16	46394778	46394981	+	1000	365.0
152_26	chr6	135323181	135323391	+	1000	365.0
152_27	chr6	26327640	26327850	+	1000	352.0
152_28	chr6	47134771	47134994	+	1000	345.0
152_29	chrM	7126	7333	+	1000	339.0
152_30	chr17	63432058	63432259	+	1000	337.0
152_31	chr19	11095185	11095393	+	1000	337.0
152_32	chr10	22389843	22390049	+	1000	332.0
152_33	chr6	31703413	31703622	+	1000	330.0
152_34	chr17	45135407	45135612	+	1000	324.0
152_35	chr3	182920499	182920705	+	1000	321.0
152_36	chr7	102991761	102991979	+	1000	319.0
152_37	chr7	106568812	106569015	+	1000	315.0
152_38	chr6	139518719	139518919	+	1000	312.0
152_39	chrX	153746472	153746691	+	1000	310.0
152_40	chr9	135468886	135469101	+	1000	309.0
152_41	chr21	34110658	34110883	+	1000	306.0
152_42	chrUn_KI270466v1	916	1125	+	1000	304.0
152_43	chr2	70301263	70301471	+	1000	292.0
152_44	chr7	6451376	6451612	+	1000	288.0
152_45	chr2	66433356	66433564	+	1000	287.0
152_46	chr7	116876839	116877056	+	1000	284.0
152_47	chr19	3899972	3900175	+	1000	282.0
152_48	chr12	23555885	23556086	+	1000	281.0
