#PeakID(python identify_motif.py ./ENCODE_processed_files/CREB1_idr.fa CREB1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
789_10	chr12	132445968	132446368	+	1000	755.0	[12.391855, 12.391855]	[129, 180]	[12.391855, 12.391855]	[129, 180]	[132446162, 132446213]	[132446162, 132446213]
789_100	chr2	19348226	19348626	+	1000	639.0	[12.391855]	[130]	[12.391855]	[130]	[19348448]	[19348448]
789_1000	chr7	73557123	73557523	+	1000	306.0	[7.587105]	[107]	[11.325602]	[107]	[73557329]	[73557329]
789_10000	chr3	53254813	53255213	+	1000	64.0	[7.0666766]	[86]	[6.9910398]	[86]	[53254980]	[53254980]
789_10002	chr3	99876014	99876414	+	1000	64.0	[8.105255]	[108]	[8.320283]	[108]	[99876208]	[99876208]
789_10003	chr3	125310798	125311198	+	1000	64.0	[7.587105, 6.726624]	[127, 145]	[11.325602]	[127]	[125311025, 125311043]	[125311025]
789_10007	chr3	155037909	155038309	+	1000	64.0	[]	[]	[6.7118297]	[181]	[]	[155038158]
789_10009	chr3	195634678	195635078	+	1000	64.0	[7.8243337]	[102]	[7.778084]	[102]	[195634879]	[195634879]
789_1001	chr10	23438796	23439196	+	1000	305.0	[7.2540293]	[148]	[]	[]	[23439042]	[]
789_10014	chr4	76301504	76301904	+	1000	64.0	[]	[]	[9.472043]	[95]	[]	[76301663]
789_10018	chr4	140096058	140096458	+	1000	64.0	[12.391855]	[125]	[12.391855]	[125]	[140096254]	[140096254]
789_10019	chr4	154441921	154442321	+	1000	64.0	[6.7814016]	[115]	[]	[]	[154442111]	[]
789_1002	chr7	125664	126064	+	1000	305.0	[7.304901, 7.304901, 7.304901]	[120, 143, 158]	[9.093543, 14.340561, 14.340561, 14.340561]	[67, 120, 143, 158]	[125870, 125893, 125908]	[125817, 125870, 125893, 125908]
789_10021	chr5	7306594	7306994	+	1000	64.0	[14.340561]	[109]	[6.939924, 7.304901]	[93, 109]	[7306794]	[7306778, 7306794]
789_10022	chr5	44809250	44809650	+	1000	64.0	[9.614517]	[156]	[]	[]	[44809501]	[]
789_10024	chr5	131373308	131373708	+	1000	64.0	[]	[]	[9.233536]	[102]	[]	[131373489]
789_10026	chr5	143026383	143026783	+	1000	64.0	[6.7118297, 7.778084]	[77, 82]	[7.8243337]	[82]	[143026554, 143026559]	[143026559]
789_10032	chr6	14733969	14734369	+	1000	64.0	[]	[]	[6.726624]	[128]	[]	[14734192]
789_10033	chr6	18034706	18035106	+	1000	64.0	[12.391855]	[112]	[12.391855]	[112]	[18034916]	[18034916]
789_10041	chr6	34609584	34609984	+	1000	64.0	[]	[]	[9.522412]	[58]	[]	[34609738]
789_10046	chr6	67880969	67881369	+	1000	64.0	[]	[]	[7.2208457, 6.939924]	[203, 241]	[]	[67881177, 67881215]
789_10047	chr6	86683493	86683893	+	1000	64.0	[9.233536]	[100]	[]	[]	[86683687]	[]
789_10048	chr6	135321330	135321730	+	1000	64.0	[7.2336946]	[86]	[]	[]	[135321509]	[]
789_1005	chr8	2127562	2127962	+	1000	304.0	[7.302018]	[131]	[7.6658115]	[131]	[2127786]	[2127786]
789_10051	chr6	143806306	143806706	+	1000	64.0	[6.730626]	[99]	[6.939924]	[78]	[143806497]	[143806476]
789_10054	chr6	159969906	159970306	+	1000	64.0	[14.340561]	[78]	[7.304901]	[78]	[159970078]	[159970078]
789_10055	chr7	2022936	2023336	+	1000	64.0	[8.492485]	[133]	[]	[]	[2023147]	[]
789_1006	chr12	57430854	57431254	+	1000	303.0	[7.7968802]	[123]	[9.55874]	[123]	[57431056]	[57431056]
789_10067	chr7	120856972	120857372	+	1000	64.0	[6.893674]	[88]	[]	[]	[120857133]	[]
789_10069	chr7	129423720	129424120	+	1000	64.0	[14.340561]	[114]	[7.304901]	[114]	[129423925]	[129423925]
789_10070	chr7	131007408	131007808	+	1000	64.0	[6.7814016]	[93]	[]	[]	[131007569]	[]
789_10084	chr8	127794317	127794717	+	1000	64.0	[12.391855]	[101]	[12.391855]	[101]	[127794500]	[127794500]
789_10092	chrUn_GL000224v1	2103	2503	+	1000	64.0	[]	[]	[6.6679616]	[65]	[]	[2254]
789_10094	chrX	41047886	41048286	+	1000	64.0	[7.302018, 7.587105]	[104, 123]	[7.6658115, 11.325602, 9.614517]	[104, 123, 173]	[41048064, 41048083]	[41048064, 41048083, 41048133]
789_10098	chr1	1324374	1324774	+	1000	63.0	[9.535811]	[217]	[]	[]	[1324596]	[]
789_1010	chr6	157757405	157757805	+	1000	303.0	[7.587105]	[127]	[11.325602]	[127]	[157757627]	[157757627]
789_10101	chr1	8791010	8791410	+	1000	63.0	[11.325602]	[66]	[7.587105]	[66]	[8791165]	[8791165]
789_10103	chr1	16248773	16249173	+	1000	63.0	[10.268989]	[93]	[]	[]	[16248942]	[]
789_10105	chr1	23809677	23810077	+	1000	63.0	[7.144837, 10.066811]	[71, 162]	[6.9573374, 7.5523715]	[71, 162]	[23809836, 23809927]	[23809836, 23809927]
789_10109	chr1	46407586	46407986	+	1000	63.0	[10.066811, 8.320283]	[89, 121]	[7.5523715, 8.105255]	[89, 121]	[46407768, 46407800]	[46407768, 46407800]
789_10112	chr1	61253358	61253758	+	1000	63.0	[]	[]	[6.6679616]	[107]	[]	[61253565]
789_10116	chr1	116420341	116420741	+	1000	63.0	[9.472043]	[96]	[]	[]	[116420537]	[]
789_10117	chr1	117656062	117656462	+	1000	63.0	[9.501078]	[130]	[7.435873]	[133]	[117656285]	[117656288]
789_10119	chr1	148371427	148371827	+	1000	63.0	[10.066811]	[72]	[7.5523715]	[72]	[148371591]	[148371591]
789_10120	chr1	150619682	150620082	+	1000	63.0	[9.472043]	[184]	[]	[]	[150619915]	[]
789_10125	chr1	168281600	168282000	+	1000	63.0	[6.726624]	[155]	[]	[]	[168281841]	[]
789_10126	chr1	179060796	179061196	+	1000	63.0	[]	[]	[9.77304]	[169]	[]	[179061047]
789_1013	chr14	88385435	88385835	+	1000	302.0	[12.391855]	[104]	[12.391855]	[104]	[88385637]	[88385637]
789_10131	chr10	13674671	13675071	+	1000	63.0	[7.304901, 7.304901, 7.304901]	[57, 76, 94]	[14.340561, 14.340561, 14.340561]	[57, 76, 94]	[13674823, 13674842, 13674860]	[13674823, 13674842, 13674860]
789_10132	chr10	21807100	21807500	+	1000	63.0	[]	[]	[6.599558]	[117]	[]	[21807283]
789_10134	chr10	49538332	49538732	+	1000	63.0	[]	[]	[9.472043]	[79]	[]	[49538491]
789_10136	chr11	5284554	5284954	+	1000	63.0	[]	[]	[7.0390015]	[117]	[]	[5284756]
789_10137	chr11	10455772	10456172	+	1000	63.0	[6.726624]	[58]	[]	[]	[10455929]	[]
