#PeakID(python identify_motif.py ./ENCODE_processed_files/SP1_idr.fa SP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
328_100	chr11	64778733	64779133	+	1000	433.0	[4.756748]	[114]	[]	[]	[64778932]	[]
328_10001	chr1	29962962	29963362	+	671	32.5	[7.8419137, 7.284884]	[63, 125]	[]	[]	[29963121, 29963183]	[]
328_10005	chr1	148402193	148402593	+	670	32.5	[3.2848659]	[111]	[10.958839, 3.000941]	[75, 154]	[148402383]	[148402347, 148402426]
328_10007	chr1	155140207	155140607	+	609	32.5	[3.0935175]	[178]	[]	[]	[155140403]	[]
328_10008	chr1	155320653	155321053	+	642	32.5	[15.728569, 4.317579]	[97, 153]	[10.958337]	[80]	[155320844, 155320900]	[155320827]
328_10011	chr1	173302933	173303333	+	592	32.5	[]	[]	[2.8858345]	[160]	[]	[173303149]
328_10014	chr1	207963608	207964008	+	639	32.5	[]	[]	[3.803224]	[159]	[]	[207963778]
328_1002	chr6	43769934	43770334	+	1000	179.0	[12.7226095, 3.90029]	[91, 138]	[13.477011, 9.304511]	[115, 131]	[43770109, 43770156]	[43770133, 43770149]
328_10020	chr10	22513806	22514206	+	665	32.5	[10.099494, 10.602403]	[127, 210]	[]	[]	[22513971, 22514054]	[]
328_10021	chr10	43420493	43420893	+	640	32.5	[]	[]	[4.281078]	[165]	[]	[43420707]
328_10023	chr10	72301308	72301708	+	654	32.5	[]	[]	[13.520647]	[165]	[]	[72301550]
328_10025	chr10	72364217	72364617	+	606	32.5	[]	[]	[2.9073746]	[54]	[]	[72364371]
328_10027	chr11	32434404	32434804	+	599	32.5	[]	[]	[7.322289]	[218]	[]	[32434626]
328_1003	chr1	11680991	11681391	+	1000	178.5	[7.465282, 19.02182]	[90, 101]	[]	[]	[11681181, 11681192]	[]
328_10038	chr14	67600018	67600418	+	675	32.5	[6.7354593]	[113]	[]	[]	[67600184]	[]
328_10039	chr15	44784068	44784468	+	613	32.5	[3.4065306]	[203]	[]	[]	[44784300]	[]
328_1004	chr1	15617103	15617503	+	1000	178.5	[7.757479, 15.4701605]	[64, 126]	[]	[]	[15617265, 15617327]	[]
328_10040	chr15	65049337	65049737	+	656	32.5	[]	[]	[3.383324]	[156]	[]	[65049567]
328_10042	chr16	2511401	2511801	+	662	32.5	[]	[]	[2.817525, 3.978555, 13.193981]	[144, 166, 171]	[]	[2511612, 2511634, 2511639]
328_10043	chr16	16022247	16022647	+	667	32.5	[]	[]	[4.7233872]	[128]	[]	[16022445]
328_10044	chr16	23951826	23952226	+	603	32.5	[]	[]	[2.5856442]	[75]	[]	[23951990]
328_10046	chr16	81752229	81752629	+	668	32.5	[3.4692273]	[135]	[]	[]	[81752422]	[]
328_10047	chr16	87317338	87317738	+	636	32.5	[6.8801794]	[222]	[4.186034]	[144]	[87317574]	[87317496]
328_10049	chr16	90096994	90097394	+	551	32.5	[]	[]	[5.4112988]	[101]	[]	[90097151]
328_1005	chr1	230978711	230979111	+	1000	178.5	[]	[]	[8.720917]	[129]	[]	[230978919]
328_10051	chr17	77331218	77331618	+	563	32.5	[]	[]	[7.0015936, 4.002374]	[97, 132]	[]	[77331402, 77331437]
328_10052	chr19	2392888	2393288	+	543	32.5	[]	[]	[13.520647]	[126]	[]	[2393100]
328_10054	chr19	8505884	8506284	+	650	32.5	[]	[]	[5.1179876, 2.6809125]	[127, 149]	[]	[8506055, 8506077]
328_10055	chr19	10701181	10701581	+	631	32.5	[11.971921]	[190]	[]	[]	[10701413]	[]
328_10058	chr19	16890599	16890999	+	663	32.5	[]	[]	[2.6827552, 2.9533458]	[113, 133]	[]	[16890756, 16890776]
328_10059	chr19	29893620	29894020	+	625	32.5	[3.6019719]	[202]	[]	[]	[29893833]	[]
328_10061	chr19	34973276	34973676	+	672	32.5	[2.773543]	[227]	[]	[]	[34973504]	[]
328_10064	chr19	48780640	48781040	+	643	32.5	[]	[]	[7.1340737]	[195]	[]	[48780869]
328_10065	chr19	55117572	55117972	+	664	32.5	[3.806392]	[177]	[]	[]	[55117772]	[]
328_10067	chr2	70136111	70136511	+	683	32.5	[3.120523]	[139]	[]	[]	[70136332]	[]
328_1007	chr3	196081981	196082381	+	1000	178.5	[2.6211183]	[74]	[2.6713355, 10.181536, 9.251202]	[90, 151, 172]	[196082133]	[196082149, 196082210, 196082231]
328_10070	chr2	241355351	241355751	+	667	32.5	[9.656737, 3.8725245, 9.656737, 3.8725245, 8.577606, 14.413666]	[77, 94, 114, 131, 151, 168]	[]	[]	[241355504, 241355521, 241355541, 241355558, 241355578, 241355595]	[]
328_10075	chr21	45554823	45555223	+	622	32.5	[7.4101353]	[89]	[10.355799]	[176]	[45554980]	[45555067]
328_10077	chr22	21076477	21076877	+	673	32.5	[3.815525]	[104]	[]	[]	[21076670]	[]
328_10086	chr22	23286832	23287232	+	678	32.5	[]	[]	[6.1764216]	[171]	[]	[23287016]
328_10087	chr22	32474698	32475098	+	638	32.5	[8.872077]	[235]	[3.917157]	[204]	[32474939]	[32474908]
328_10089	chr22	49945440	49945840	+	592	32.5	[11.998065, 3.8434052, 11.998065, 11.998065]	[69, 97, 115, 159]	[]	[]	[49945593, 49945621, 49945639, 49945683]	[]
328_10091	chr3	43770728	43771128	+	582	32.5	[2.712766]	[124]	[]	[]	[43770922]	[]
328_10093	chr3	142225367	142225767	+	637	32.5	[5.980747]	[157]	[3.4576087]	[155]	[142225580]	[142225578]
328_10096	chr4	139651525	139651925	+	585	32.5	[7.296477]	[144]	[]	[]	[139651710]	[]
328_101	chr16	30658032	30658432	+	1000	433.0	[]	[]	[8.386908, 8.564876]	[99, 168]	[]	[30658195, 30658264]
328_1010	chr3	13451674	13452074	+	1000	178.0	[16.273766, 6.9596148]	[65, 150]	[]	[]	[13451827, 13451912]	[]
328_10101	chr6	36680351	36680751	+	662	32.5	[8.0276, 5.672628, 4.154175]	[121, 127, 132]	[]	[]	[36680563, 36680569, 36680574]	[]
328_10102	chr6	36862210	36862610	+	668	32.5	[]	[]	[8.278679]	[141]	[]	[36862423]
328_10110	chr6	163777145	163777545	+	679	32.5	[]	[]	[4.681507]	[118]	[]	[163777341]
328_10112	chr7	93591319	93591719	+	673	32.5	[]	[]	[5.0788903]	[80]	[]	[93591488]
328_10113	chr7	100344653	100345053	+	637	32.5	[3.4065306]	[198]	[]	[]	[100344873]	[]
328_10119	chr7	137899186	137899586	+	553	32.5	[3.6733]	[172]	[]	[]	[137899404]	[]
328_1012	chr5	134845742	134846142	+	1000	178.0	[]	[]	[2.6033356]	[158]	[]	[134845979]
328_10122	chr8	90082732	90083132	+	596	32.5	[11.845226, 3.5007324]	[118, 149]	[]	[]	[90082926, 90082957]	[]
328_1013	chr7	121396308	121396708	+	1000	178.0	[9.211578]	[70]	[8.846862]	[56]	[121396474]	[121396460]
328_10130	chr1	11796369	11796769	+	607	32.0	[]	[]	[3.8826158]	[154]	[]	[11796605]
328_10135	chr1	31100567	31100967	+	645	32.0	[4.6940365]	[173]	[]	[]	[31100801]	[]
328_1014	chr1	235504354	235504754	+	1000	177.5	[11.56033]	[87]	[]	[]	[235504518]	[]
328_10142	chr1	84479176	84479576	+	610	32.0	[]	[]	[3.6236112]	[184]	[]	[84479375]
328_10143	chr1	95233777	95234177	+	621	32.0	[9.251202]	[164]	[4.0985465]	[147]	[95234012]	[95233995]
328_1015	chr19	2977290	2977690	+	1000	177.5	[]	[]	[9.277418, 7.983793, 5.411861]	[107, 128, 149]	[]	[2977475, 2977496, 2977517]
328_10151	chr1	228275660	228276060	+	658	32.0	[]	[]	[4.9807687, 4.905422]	[139, 145]	[]	[228275842, 228275848]
328_10152	chr1	231422462	231422862	+	560	32.0	[]	[]	[3.0737681, 4.0984597]	[162, 171]	[]	[231422679, 231422688]
328_10154	chr1	244302921	244303321	+	543	32.0	[14.373532]	[123]	[]	[]	[244303120]	[]
328_10155	chr1	247856982	247857382	+	553	32.0	[5.1179876]	[143]	[10.049542]	[135]	[247857171]	[247857163]
328_1016	chr22	21665979	21666379	+	1000	177.5	[3.544768]	[170]	[]	[]	[21666218]	[]
328_10161	chr11	8701331	8701731	+	610	32.0	[3.4762225]	[224]	[]	[]	[8701574]	[]
328_10168	chr11	113690845	113691245	+	657	32.0	[6.437447]	[157]	[]	[]	[113691072]	[]
328_10170	chr12	53252087	53252487	+	642	32.0	[]	[]	[4.0605245, 2.8492382]	[147, 189]	[]	[53252270, 53252312]
328_10172	chr12	68807724	68808124	+	559	32.0	[2.935585, 3.2606797, 6.5786633]	[146, 158, 163]	[]	[]	[68807954, 68807966, 68807971]	[]
328_10175	chr12	122203256	122203656	+	556	32.0	[]	[]	[5.8392725]	[95]	[]	[122203440]
328_10177	chr13	23375380	23375780	+	577	32.0	[6.8804, 11.464006]	[109, 123]	[13.218197]	[67]	[23375588, 23375602]	[23375546]
328_10178	chr13	44435107	44435507	+	655	32.0	[10.842799]	[116]	[]	[]	[44435321]	[]
328_10179	chr13	80654483	80654883	+	646	32.0	[]	[]	[5.568958]	[141]	[]	[80654677]
328_1018	chr11	27506646	27507046	+	1000	177.0	[]	[]	[19.063852]	[62]	[]	[27506807]
328_10180	chr13	99087319	99087719	+	644	32.0	[2.524673]	[171]	[]	[]	[99087537]	[]
328_10181	chr13	107940670	107941070	+	606	32.0	[2.8331597, 5.607381]	[101, 113]	[]	[]	[107940855, 107940867]	[]
328_10187	chr15	75047273	75047673	+	589	32.0	[]	[]	[11.354804]	[147]	[]	[75047483]
328_1019	chr15	65792141	65792541	+	1000	177.0	[3.8828983]	[120]	[7.481369, 3.236725, 2.8523378]	[106, 112, 186]	[65792314]	[65792300, 65792306, 65792380]
328_10191	chr16	81181158	81181558	+	641	32.0	[]	[]	[14.960438, 4.906575]	[145, 159]	[]	[81181376, 81181390]
328_10195	chr17	8192361	8192761	+	558	32.0	[3.911592]	[228]	[]	[]	[8192603]	[]
328_10199	chr17	65137366	65137766	+	556	32.0	[4.6286583, 5.0349026]	[179, 185]	[]	[]	[65137599, 65137605]	[]
328_1020	chr16	11742834	11743234	+	1000	177.0	[4.254917, 7.5393333]	[149, 155]	[6.3850904]	[190]	[11743035, 11743041]	[11743076]
328_10202	chr18	109765	110165	+	650	32.0	[]	[]	[4.5720105]	[135]	[]	[109963]
328_10204	chr18	11947151	11947551	+	545	32.0	[]	[]	[2.7286177]	[175]	[]	[11947373]
328_10205	chr19	4577349	4577749	+	631	32.0	[2.7370372]	[89]	[7.686324]	[153]	[4577535]	[4577599]
328_10207	chr19	10738905	10739305	+	595	32.0	[4.7766657]	[161]	[5.267304]	[137]	[10739123]	[10739099]
328_1021	chr19	16659964	16660364	+	1000	177.0	[]	[]	[8.229733]	[161]	[]	[16660206]
328_10212	chr19	49808703	49809103	+	637	32.0	[]	[]	[7.0950346, 17.164932, 17.300081]	[125, 167, 186]	[]	[49808859, 49808901, 49808920]
328_10213	chr2	11688300	11688700	+	616	32.0	[7.0797186]	[124]	[]	[]	[11688497]	[]
328_10215	chr2	38536058	38536458	+	565	32.0	[3.6893537]	[140]	[]	[]	[38536251]	[]
