#PeakID(python identify_motif.py ./ENCODE_processed_files/TCF3_idr.fa TCF3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
203_0	chrM	15920	16320	+	1000	1144.0	[8.52607]	[128]	[]	[]	[16148]	[]
203_10002	chr22	19478398	19478798	+	1000	133.0	[]	[]	[7.8880606]	[73]	[]	[19478566]
203_10009	chr3	170076953	170077353	+	1000	133.0	[8.643063]	[102]	[]	[]	[170077153]	[]
203_10015	chr4	184413171	184413571	+	1000	133.0	[7.5073967]	[125]	[]	[]	[184413387]	[]
203_10021	chr6	30781801	30782201	+	1000	133.0	[]	[]	[8.272243]	[151]	[]	[30782030]
203_10024	chr7	75780715	75781115	+	1000	133.0	[8.332749, 12.754859]	[73, 127]	[]	[]	[75780871, 75780925]	[]
203_10030	chr9	93064333	93064733	+	1000	133.0	[]	[]	[8.235647]	[137]	[]	[93064557]
203_10035	chr1	33055224	33055624	+	1000	132.0	[8.643063]	[118]	[]	[]	[33055436]	[]
203_10042	chr10	107028251	107028651	+	1000	132.0	[8.498569]	[115]	[]	[]	[107028466]	[]
203_10044	chr11	20471915	20472315	+	1000	132.0	[8.235647]	[124]	[]	[]	[20472136]	[]
203_10056	chr16	85420715	85421115	+	1000	132.0	[9.166563]	[93]	[]	[]	[85420907]	[]
203_10065	chr2	11993734	11994134	+	1000	132.0	[8.235647]	[97]	[8.52607]	[116]	[11993914]	[11993933]
203_10067	chr2	55116060	55116460	+	1000	132.0	[]	[]	[8.643063]	[107]	[]	[55116264]
203_10069	chr2	80312289	80312689	+	1000	132.0	[]	[]	[12.754859, 8.235647]	[56, 84]	[]	[80312444, 80312472]
203_10070	chr2	95550980	95551380	+	1000	132.0	[]	[]	[8.679044]	[92]	[]	[95551169]
203_10091	chr5	122421688	122422088	+	1000	132.0	[8.332749]	[127]	[8.272243]	[132]	[122421903]	[122421908]
203_10094	chr6	15735693	15736093	+	1000	132.0	[]	[]	[7.5073967]	[125]	[]	[15735894]
203_10099	chr6	141956861	141957261	+	1000	132.0	[8.272243]	[108]	[]	[]	[141957062]	[]
203_10101	chr7	130234081	130234481	+	1000	132.0	[]	[]	[7.5855]	[94]	[]	[130234275]
203_10102	chr8	38090454	38090854	+	1000	132.0	[8.332749]	[162]	[]	[]	[38090698]	[]
203_10111	chr1	43344198	43344598	+	1000	131.0	[8.235647]	[58]	[]	[]	[43344352]	[]
203_10117	chr1	221958232	221958632	+	1000	131.0	[7.5855]	[136]	[]	[]	[221958461]	[]
203_1012	chr1	203650315	203650715	+	1000	515.0	[8.643063]	[125]	[]	[]	[203650538]	[]
203_10128	chr12	103960527	103960927	+	1000	131.0	[]	[]	[8.52607]	[91]	[]	[103960713]
203_10133	chr15	68972223	68972623	+	1000	131.0	[]	[]	[7.5855]	[152]	[]	[68972473]
203_10136	chr16	23640052	23640452	+	1000	131.0	[8.332749]	[105]	[]	[]	[23640249]	[]
203_10137	chr16	89216199	89216599	+	1000	131.0	[8.52607]	[142]	[]	[]	[89216440]	[]
203_10139	chr17	7548598	7548998	+	1000	131.0	[8.332749]	[147]	[8.332749]	[159]	[7548826]	[7548838]
203_10142	chr17	35942619	35943019	+	1000	131.0	[8.643063]	[174]	[]	[]	[35942850]	[]
203_10143	chr17	43534873	43535273	+	1000	131.0	[8.498569]	[59]	[]	[]	[43535025]	[]
203_10149	chr2	177264693	177265093	+	1000	131.0	[9.166563]	[88]	[8.801346]	[158]	[177264844]	[177264914]
203_10150	chr20	3652218	3652618	+	1000	131.0	[]	[]	[8.272243, 8.52607, 8.643063]	[111, 133, 139]	[]	[3652419, 3652441, 3652447]
203_10155	chr22	20007479	20007879	+	1000	131.0	[8.332749]	[176]	[7.5073967]	[106]	[20007730]	[20007660]
203_10156	chr22	23119905	23120305	+	1000	131.0	[8.332749, 8.643063]	[120, 126]	[]	[]	[23120113, 23120119]	[]
203_10162	chr3	160373643	160374043	+	1000	131.0	[]	[]	[8.332749]	[88]	[]	[160373811]
203_10168	chr4	153492734	153493134	+	1000	131.0	[]	[]	[8.52607]	[159]	[]	[153492973]
203_10173	chr5	154518551	154518951	+	1000	131.0	[8.235647]	[131]	[]	[]	[154518778]	[]
203_10175	chr5	175129079	175129479	+	1000	131.0	[]	[]	[7.5073967]	[100]	[]	[175129278]
203_10186	chr7	24821295	24821695	+	1000	131.0	[7.5855]	[92]	[]	[]	[24821473]	[]
203_10189	chr7	99686296	99686696	+	1000	131.0	[]	[]	[8.643063]	[108]	[]	[99686499]
203_10193	chr8	38567084	38567484	+	1000	131.0	[12.754859]	[87]	[]	[]	[38567269]	[]
203_10199	chr9	129858083	129858483	+	1000	131.0	[8.235647]	[97]	[7.8880606]	[79]	[129858278]	[129858260]
203_10207	chr1	1004916	1005316	+	1000	130.0	[8.235647]	[73]	[]	[]	[1005077]	[]
203_10212	chr1	155397100	155397500	+	1000	130.0	[]	[]	[9.166563]	[72]	[]	[155397266]
203_10215	chr1	167549119	167549519	+	1000	130.0	[12.754859]	[111]	[]	[]	[167549299]	[]
203_10217	chr1	197096973	197097373	+	1000	130.0	[8.643063]	[124]	[8.643063]	[123]	[197097195]	[197097194]
