#PeakID(python scan_motif.py ./ENCODE_processed_files/ELF1_idr.fa ELF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
686_100	chr17	78840897	78841297	+	1000	361.5	[7.0098963]	[144]	[10.263223]	[102]	[78841140]	[78841098]
686_1000	chr1	156282750	156283150	+	1000	136.5	[7.7939863]	[89]	[]	[]	[156282923]	[]
686_10000	chr6	147221791	147222191	+	778	31.0	[]	[]	[6.8592234]	[123]	[]	[147222014]
686_10002	chr6	157520020	157520420	+	739	31.0	[9.148726]	[147]	[]	[]	[157520222]	[]
686_10004	chr7	8762660	8763060	+	808	31.0	[]	[]	[7.123239]	[94]	[]	[8762843]
686_10006	chr7	32747232	32747632	+	648	31.0	[13.502466]	[209]	[]	[]	[32747395]	[]
686_10007	chr7	36315525	36315925	+	819	31.0	[]	[]	[12.800334, 13.502466]	[164, 174]	[]	[36315761, 36315771]
686_10009	chr7	50262914	50263314	+	736	31.0	[12.800334]	[145]	[]	[]	[50263127]	[]
686_1001	chr1	234723898	234724298	+	1000	136.5	[16.017126, 9.106304]	[81, 151]	[]	[]	[234724077, 234724147]	[]
686_10012	chr7	116970332	116970732	+	803	31.0	[6.5834923]	[177]	[]	[]	[116970532]	[]
686_10015	chr7	134209550	134209950	+	596	31.0	[7.552349, 12.453062]	[129, 138]	[9.854824]	[58]	[134209777, 134209786]	[134209706]
686_10018	chr7	151491947	151492347	+	772	31.0	[10.744435]	[194]	[]	[]	[151492154]	[]
686_10019	chr7	152675258	152675658	+	743	31.0	[10.647848]	[102]	[]	[]	[152675447]	[]
686_1002	chr1	248826061	248826461	+	1000	136.5	[]	[]	[12.777884]	[135]	[]	[248826281]
686_10021	chr7	157405246	157405646	+	806	31.0	[]	[]	[6.591644]	[121]	[]	[157405454]
686_10024	chr9	38047788	38048188	+	654	31.0	[]	[]	[16.017126]	[138]	[]	[38047974]
686_10026	chr9	128254498	128254898	+	654	31.0	[]	[]	[6.69158]	[143]	[]	[128254677]
686_10027	chr9	128733193	128733593	+	634	31.0	[]	[]	[9.373884]	[213]	[]	[128733431]
686_10028	chr9	130744824	130745224	+	734	31.0	[]	[]	[11.964272]	[218]	[]	[130745066]
686_1003	chr10	12043001	12043401	+	1000	136.5	[16.017126, 8.7474785]	[140, 159]	[]	[]	[12043222, 12043241]	[]
686_10033	chr9	131141766	131142166	+	782	31.0	[]	[]	[12.453062]	[162]	[]	[131141967]
686_10034	chr9	131212396	131212796	+	802	31.0	[]	[]	[10.6445]	[179]	[]	[131212618]
686_10038	chrUn_KI270538v1	81236	81636	+	811	31.0	[]	[]	[9.373884]	[159]	[]	[81409]
686_10039	chrX	11375658	11376058	+	652	31.0	[9.148726]	[208]	[]	[]	[11375902]	[]
686_1004	chr12	31659104	31659504	+	1000	136.5	[9.56109]	[97]	[]	[]	[31659270]	[]
686_10041	chrX	23782835	23783235	+	673	31.0	[9.213819]	[130]	[]	[]	[23783037]	[]
686_10042	chrX	47582119	47582519	+	653	31.0	[9.054054]	[138]	[]	[]	[47582348]	[]
686_10048	chr1	12143529	12143929	+	757	30.5	[]	[]	[9.875818]	[65]	[]	[12143684]
686_10049	chr1	16960496	16960896	+	786	30.5	[]	[]	[10.831991]	[200]	[]	[16960737]
686_10050	chr1	20696719	20697119	+	723	30.5	[11.964272, 7.40341]	[124, 170]	[]	[]	[20696899, 20696945]	[]
686_10052	chr1	26237291	26237691	+	783	30.5	[]	[]	[10.076016]	[150]	[]	[26237523]
686_10058	chr1	39892629	39893029	+	571	30.5	[]	[]	[7.9740243]	[143]	[]	[39892801]
686_10059	chr1	40381236	40381636	+	791	30.5	[8.196257]	[139]	[6.69303]	[131]	[40381407]	[40381399]
686_1006	chr18	3247563	3247963	+	1000	136.5	[8.716876]	[148]	[]	[]	[3247810]	[]
686_10062	chr1	51235739	51236139	+	551	30.5	[6.7770047]	[129]	[]	[]	[51235890]	[]
686_10065	chr1	146409772	146410172	+	553	30.5	[6.9448047]	[90]	[]	[]	[146409931]	[]
686_10066	chr1	153627243	153627643	+	597	30.5	[9.938401]	[175]	[]	[]	[153627430]	[]
686_10068	chr1	159015453	159015853	+	787	30.5	[9.441459]	[70]	[]	[]	[159015613]	[]
686_1007	chr2	27582860	27583260	+	1000	136.5	[9.919916, 7.8291354]	[111, 165]	[7.867843]	[93]	[27583050, 27583104]	[27583032]
686_10074	chr1	202205709	202206109	+	640	30.5	[]	[]	[7.4055414, 7.680637]	[154, 175]	[]	[202205912, 202205933]
686_10076	chr1	207053170	207053570	+	767	30.5	[6.6342473]	[151]	[]	[]	[207053338]	[]
686_10078	chr1	226122529	226122929	+	788	30.5	[]	[]	[6.5906878]	[205]	[]	[226122696]
686_10079	chr1	234760258	234760658	+	735	30.5	[16.017126]	[206]	[]	[]	[234760499]	[]
686_1008	chr5	154038758	154039158	+	1000	136.5	[12.777884]	[84]	[]	[]	[154038914]	[]
686_10083	chr10	3665481	3665881	+	775	30.5	[]	[]	[6.5834923, 7.265795]	[117, 188]	[]	[3665642, 3665713]
686_10085	chr10	11894726	11895126	+	659	30.5	[6.5906878]	[147]	[]	[]	[11894968]	[]
686_10086	chr10	22316444	22316844	+	728	30.5	[7.534257, 10.257094]	[111, 117]	[]	[]	[22316648, 22316654]	[]
686_1009	chr7	23597127	23597527	+	1000	136.5	[7.0454664]	[142]	[9.098152]	[76]	[23597365]	[23597299]
686_10094	chr11	12090014	12090414	+	745	30.5	[9.854824]	[147]	[6.863509, 16.017126]	[112, 131]	[12090256]	[12090221, 12090240]
686_10096	chr11	14657076	14657476	+	765	30.5	[6.3747187]	[146]	[]	[]	[14657275]	[]
686_10097	chr11	59549503	59549903	+	776	30.5	[9.942367]	[181]	[]	[]	[59549708]	[]
686_10099	chr11	63813665	63814065	+	794	30.5	[]	[]	[9.919916]	[141]	[]	[63813833]
686_101	chr5	132556661	132557061	+	1000	361.5	[9.875818, 9.875818]	[75, 139]	[]	[]	[132556822, 132556886]	[]
686_1010	chr14	21383854	21384254	+	1000	136.0	[10.263223]	[96]	[8.716876]	[127]	[21384026]	[21384057]
686_10100	chr11	64271411	64271811	+	701	30.5	[]	[]	[6.3787317]	[154]	[]	[64271581]
686_10103	chr12	13255724	13256124	+	608	30.5	[6.705439]	[116]	[6.7688527]	[101]	[13255925]	[13255910]
686_10106	chr12	104408675	104409075	+	676	30.5	[6.466288]	[124]	[8.651784]	[80]	[104408884]	[104408840]
686_10110	chr13	107907007	107907407	+	792	30.5	[]	[]	[9.136763]	[149]	[]	[107907214]
686_10111	chr13	107978677	107979077	+	762	30.5	[]	[]	[10.285673]	[237]	[]	[107978925]
686_10113	chr14	23129112	23129512	+	639	30.5	[10.257094, 13.15916]	[84, 146]	[]	[]	[23129266, 23129328]	[]
686_10114	chr14	76956612	76957012	+	563	30.5	[9.56109]	[116]	[9.026612]	[134]	[76956826]	[76956844]
686_10115	chr15	36195388	36195788	+	561	30.5	[7.0373144]	[110]	[7.971261]	[137]	[36195568]	[36195595]
686_10116	chr16	19447728	19448128	+	610	30.5	[9.509456]	[112]	[]	[]	[19447927]	[]
686_10118	chr16	75087390	75087790	+	643	30.5	[6.765284]	[184]	[]	[]	[75087575]	[]
686_1012	chr17	44503487	44503887	+	1000	136.0	[]	[]	[12.777884]	[151]	[]	[44503706]
686_10120	chr16	79845727	79846127	+	791	30.5	[]	[]	[12.453062]	[142]	[]	[79845929]
686_10122	chr16	86204727	86205127	+	647	30.5	[]	[]	[10.263223]	[93]	[]	[86204918]
686_10125	chr17	28707275	28707675	+	788	30.5	[]	[]	[16.017126]	[115]	[]	[28707485]
686_10127	chr17	43367946	43368346	+	784	30.5	[]	[]	[7.5430217]	[176]	[]	[43368125]
686_10128	chr17	45579865	45580265	+	764	30.5	[9.054054]	[188]	[]	[]	[45580059]	[]
686_1013	chr17	49788426	49788826	+	1000	136.0	[12.777884]	[134]	[]	[]	[49788640]	[]
686_10130	chr17	67784489	67784889	+	790	30.5	[]	[]	[9.595095]	[222]	[]	[67784712]
686_10132	chr17	81859563	81859963	+	780	30.5	[7.2748194]	[108]	[]	[]	[81859741]	[]
686_10134	chr18	23437372	23437772	+	773	30.5	[7.881529, 8.7393265]	[87, 145]	[]	[]	[23437525, 23437583]	[]
686_10136	chr19	3479446	3479846	+	703	30.5	[6.6342473, 9.595095]	[103, 150]	[]	[]	[3479632, 3479679]	[]
686_10137	chr19	5369924	5370324	+	774	30.5	[]	[]	[6.3787317]	[82]	[]	[5370089]
686_10138	chr19	6674884	6675284	+	678	30.5	[]	[]	[6.6342473, 6.7770047]	[95, 125]	[]	[6675065, 6675095]
686_10139	chr19	11887801	11888201	+	788	30.5	[12.800334]	[138]	[]	[]	[11887978]	[]
