#PeakID(python scan_motif.py ./ENCODE_processed_files/ATF1_idr.fa ATF1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
755_10	chrM	4746	5146	+	1000	622.0	[]	[]	[8.745255]	[74]	[]	[4918]
755_100	chr10	84139307	84139707	+	1000	321.0	[8.745255]	[76]	[9.08557]	[94]	[84139482]	[84139500]
755_10002	chr22	19429440	19429840	+	1000	31.0	[]	[]	[8.028987]	[174]	[]	[19429683]
755_1002	chr12	133130394	133130794	+	1000	106.0	[10.880985, 9.08557]	[103, 161]	[10.880985]	[105]	[133130580, 133130638]	[133130582]
755_1003	chr14	75660984	75661384	+	1000	106.0	[8.028987]	[109]	[]	[]	[75661185]	[]
755_10037	chr22	20718799	20719199	+	1000	31.0	[9.08557]	[92]	[]	[]	[20718990]	[]
755_1004	chr15	40894231	40894631	+	1000	106.0	[8.745255]	[115]	[9.08557]	[130]	[40894419]	[40894434]
755_10052	chr22	22096296	22096696	+	1000	31.0	[]	[]	[8.745255]	[155]	[]	[22096463]
755_10059	chr22	22502837	22503237	+	885	31.0	[]	[]	[10.880985]	[120]	[]	[22503030]
755_1006	chr19	7943476	7943876	+	1000	106.0	[]	[]	[9.08557]	[116]	[]	[7943692]
755_1007	chr19	47113617	47114017	+	1000	106.0	[10.880985]	[74]	[10.880985]	[76]	[47113791]	[47113793]
755_10071	chr22	32881922	32882322	+	1000	31.0	[10.880985]	[91]	[]	[]	[32882111]	[]
755_10072	chr22	36529163	36529563	+	930	31.0	[]	[]	[10.880985]	[129]	[]	[36529363]
755_10075	chr22	43038353	43038753	+	1000	31.0	[10.880985]	[92]	[10.880985]	[94]	[43038535]	[43038537]
755_1008	chr20	31604166	31604566	+	1000	106.0	[10.880985]	[103]	[10.880985]	[105]	[31604363]	[31604365]
755_10088	chr3	66220764	66221164	+	1000	31.0	[]	[]	[10.880985]	[116]	[]	[66220973]
755_1009	chr3	39051815	39052215	+	1000	106.0	[10.880985]	[95]	[]	[]	[39052001]	[]
755_10092	chr3	149851240	149851640	+	1000	31.0	[10.880985]	[142]	[]	[]	[149851463]	[]
755_10093	chr3	186938629	186939029	+	1000	31.0	[8.745255]	[104]	[]	[]	[186938826]	[]
