#PeakID	chr	start	end	strand	idrScore	count
652_0	chr3	93470445	93470694	+	1000	1208.0
652_1	chrM	12318	12529	+	1000	1126.0
652_2	chrM	16077	16282	+	1000	875.5
652_3	chr1	125180098	125180310	+	1000	869.5
652_4	chr16	46390601	46390803	+	1000	856.5
652_5	chrM	14012	14228	+	1000	841.5
652_6	chrM	10756	11085	+	1000	833.0
652_7	chrM	2161	2471	+	1000	831.0
652_8	chrM	9668	9875	+	1000	829.5
652_9	chrM	5249	5487	+	1000	820.0
652_10	chrM	6397	6603	+	1000	818.0
652_11	chrUn_KI270438v1	103994	104203	+	1000	814.0
652_12	chrUn_KI270467v1	2237	2448	+	1000	803.5
652_13	chrM	7132	7335	+	1000	798.0
652_14	chrUn_KI270438v1	109335	109540	+	1000	796.0
652_15	chrUn_KI270438v1	104795	104996	+	1000	719.5
652_16	chr16	34588165	34588366	+	1000	710.5
652_17	chrUn_KI270467v1	3313	3538	+	1000	644.0
652_18	chr17	26603809	26604013	+	1000	573.0
652_19	chr16	46394724	46394925	+	1000	546.5
652_20	chr1	143214631	143214843	+	1000	536.5
652_21	chrUn_KI270466v1	897	1098	+	1000	534.5
652_22	chr16	46398813	46399021	+	1000	526.5
652_23	chr21	8234393	8234613	+	1000	522.5
652_24	chrUn_KI270438v1	112034	112240	+	1000	520.0
652_25	chr16	46386330	46386537	+	1000	494.5
652_26	chr16	46387833	46388035	+	1000	492.0
652_27	chr16	46401313	46401533	+	1000	466.5
652_28	chrUn_KI270438v1	110442	110644	+	1000	426.5
652_29	chr22	19909906	19910182	+	1000	420.0
652_30	chr17	26881303	26881507	+	1000	410.5
652_31	chr22	22959254	22959472	+	1000	396.5
652_32	chr16	46391232	46391469	+	1000	381.5
652_33	chr22	23178525	23178727	+	1000	376.0
652_34	chr21	8420047	8420284	+	1000	363.0
652_35	chr22	23281857	23282057	+	1000	360.0
652_36	chr21	8219886	8220087	+	1000	358.0
652_37	chr16	34585838	34586081	+	1000	337.0
652_38	chr17	26619942	26620162	+	1000	332.5
652_39	chrUn_KI270438v1	105666	105879	+	1000	332.5
652_40	chr6	158853150	158853379	+	1000	331.5
652_41	chr17	26885391	26885610	+	1000	328.0
652_42	chr17	25920120	25920322	+	1000	307.5
652_43	chr22	21938563	21938787	+	1000	307.0
652_44	chr1	27608705	27608916	+	1000	304.0
652_45	chrUn_GL000224v1	3793	4002	+	1000	300.5
652_46	chr22	19730722	19730923	+	1000	292.5
652_47	chr22	20496415	20496723	+	1000	292.0
652_48	chr1	143194917	143195118	+	1000	290.5
652_49	chr22	20157084	20157289	+	1000	290.5
652_50	chr16	34583016	34583227	+	1000	282.0
652_51	chr16	34587125	34587334	+	1000	278.5
652_52	chr22	22942719	22942981	+	1000	276.5
652_53	chr1	143264577	143264782	+	1000	276.0
652_54	chr16	34582150	34582358	+	1000	271.5
652_55	chrUn_GL000216v2	247	462	+	1000	269.5
652_56	chr16	34592656	34592872	+	1000	263.5
652_57	chr22	20418205	20418453	+	1000	259.0
652_58	chr1_KI270713v1_random	21666	21876	+	1000	257.0
652_59	chr2	90398474	90398690	+	1000	248.0
652_60	chr22	22464155	22464361	+	1000	246.5
652_61	chr22	20885587	20885791	+	1000	245.0
652_62	chr9	130771056	130771296	+	1000	240.5
652_63	chr3	46488774	46488983	+	1000	237.0
652_64	chr16	34593302	34593510	+	1000	235.5
652_65	chr9	131178389	131178595	+	1000	235.5
652_66	chr9	131057933	131058145	+	1000	233.0
652_67	chr9	130866540	130866742	+	1000	230.5
652_68	chr9	131125177	131125389	+	1000	230.0
652_69	chr21	8228609	8228851	+	1000	229.5
652_70	chr1_KI270709v1_random	7242	7450	+	1000	229.0
652_71	chr16	46395699	46395936	+	1000	228.0
652_72	chr1	16621069	16621290	+	1000	227.0
652_73	chr16	85382804	85383018	+	1000	227.0
652_74	chr3	37996820	37997066	+	1000	224.0
652_75	chr9	131046794	131047012	+	1000	223.5
652_76	chr3	38346604	38346808	+	1000	221.5
652_77	chr14	23120885	23121086	+	1000	221.0
652_78	chr1	124250641	124250844	+	1000	218.5
652_79	chr1	156660335	156660543	+	1000	218.0
652_80	chr16	34576385	34576586	+	1000	218.0
652_81	chr9	130845945	130846156	+	1000	218.0
652_82	chr1	123175915	123176119	+	1000	216.5
652_83	chr5	49601481	49601687	+	1000	213.5
652_84	chr1	244273063	244273274	+	1000	213.0
652_85	chr22	23128477	23128696	+	1000	211.0
652_86	chr9	130863677	130863881	+	1000	204.5
652_87	chr22	22559171	22559439	+	1000	203.5
652_88	chr16	46386899	46387105	+	1000	203.0
652_89	chr1	143217427	143217635	+	1000	202.0
652_90	chrUn_KI270438v1	108616	108822	+	1000	201.5
652_91	chr17	22521307	22521508	+	1000	197.5
652_92	chr2	90390630	90390835	+	1000	197.5
652_93	chr1	125183583	125183819	+	1000	196.5
652_94	chr22	20916462	20916687	+	1000	196.0
652_95	chr1	201559735	201559963	+	1000	193.5
652_96	chr7	76314357	76314557	+	1000	191.0
652_97	chr9	130998391	130998596	+	1000	190.0
652_98	chr17	25389843	25390045	+	1000	188.0
652_99	chr20	58623683	58623892	+	1000	187.0
652_100	chr1	46528090	46528293	+	1000	186.5
652_101	chr1_KI270709v1_random	5470	5684	+	1000	186.5
652_102	chr20	31068474	31068697	+	1000	185.5
652_103	chr2	90397678	90397890	+	1000	184.5
652_104	chr22	19970580	19970794	+	1000	184.5
