#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F2_idr.fa NR2F2 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
507_1000	chrX	131985479	131985879	+	1000	263.0	[9.739339]	[127]	[]	[]	[131985697]	[]
507_10005	chr14	58171057	58171457	+	1000	80.0	[7.663098]	[71]	[7.9180784]	[144]	[58171220]	[58171293]
507_10009	chr14	101927850	101928250	+	1000	80.0	[9.964856]	[110]	[]	[]	[101928047]	[]
507_10013	chr15	95574057	95574457	+	1000	80.0	[9.5729685, 8.614196]	[126, 137]	[]	[]	[95574268, 95574279]	[]
507_10015	chr16	15573297	15573697	+	1000	80.0	[12.953519]	[193]	[]	[]	[15573541]	[]
507_1002	chr1	12161840	12162240	+	1000	262.0	[9.5729685]	[145]	[]	[]	[12162078]	[]
507_10020	chr16	88461868	88462268	+	1000	80.0	[]	[]	[7.663098]	[156]	[]	[88462100]
507_10021	chr17	7476097	7476497	+	1000	80.0	[7.4965763]	[116]	[]	[]	[7476260]	[]
507_10022	chr17	7933018	7933418	+	1000	80.0	[]	[]	[9.739339]	[84]	[]	[7933180]
507_1003	chr1	167628011	167628411	+	1000	262.0	[]	[]	[7.5738697]	[122]	[]	[167628223]
507_10030	chr17	78411469	78411869	+	1000	80.0	[12.953519]	[139]	[]	[]	[78411690]	[]
507_10031	chr17	81912656	81913056	+	1000	80.0	[7.9180784]	[78]	[]	[]	[81912822]	[]
507_10032	chr18	9915044	9915444	+	1000	80.0	[]	[]	[7.7804747]	[109]	[]	[9915223]
507_10034	chr18	49062164	49062564	+	1000	80.0	[]	[]	[9.964856]	[140]	[]	[49062391]
507_10036	chr19	1271902	1272302	+	1000	80.0	[]	[]	[7.5738697, 7.7032084]	[132, 173]	[]	[1272106, 1272147]
507_10039	chr19	18410460	18410860	+	1000	80.0	[7.58023, 12.953519]	[112, 118]	[8.614196]	[150]	[18410649, 18410655]	[18410687]
507_1004	chr16	3163434	3163834	+	1000	262.0	[]	[]	[8.015333]	[133]	[]	[3163652]
507_10041	chr19	23758636	23759036	+	1000	80.0	[8.015333]	[72]	[]	[]	[23758801]	[]
507_10046	chr19	58380597	58380997	+	1000	80.0	[7.9180784]	[119]	[]	[]	[58380754]	[]
507_10047	chr19	58474532	58474932	+	1000	80.0	[12.953519]	[73]	[]	[]	[58474692]	[]
507_10048	chr2	10133215	10133615	+	1000	80.0	[]	[]	[8.015333]	[66]	[]	[10133381]
507_10050	chr2	48442658	48443058	+	1000	80.0	[9.5729685]	[166]	[7.4965763, 7.6892543]	[132, 138]	[48442896]	[48442862, 48442868]
507_10052	chr2	112812758	112813158	+	1000	80.0	[8.614196, 7.4965763]	[146, 152]	[]	[]	[112812985, 112812991]	[]
507_10053	chr2	134154254	134154654	+	1000	80.0	[8.015333]	[81]	[]	[]	[134154432]	[]
507_10055	chr2	169519855	169520255	+	1000	80.0	[]	[]	[9.739339]	[153]	[]	[169520084]
507_10059	chr2	190213472	190213872	+	1000	80.0	[9.964856]	[100]	[]	[]	[190213663]	[]
507_1006	chr2	69642558	69642958	+	1000	262.0	[8.614196]	[122]	[]	[]	[69642773]	[]
507_10060	chr2	219575567	219575967	+	1000	80.0	[8.015333, 7.4965763]	[122, 157]	[9.739339]	[141]	[219575775, 219575810]	[219575794]
507_10063	chr20	5122871	5123271	+	1000	80.0	[12.953519]	[163]	[]	[]	[5123101]	[]
507_10072	chr22	20904619	20905019	+	1000	80.0	[]	[]	[9.739339]	[126]	[]	[20904843]
507_10074	chr22	21685891	21686291	+	1000	80.0	[8.614196]	[115]	[]	[]	[21686071]	[]
507_10078	chr3	6608818	6609218	+	1000	80.0	[8.015333]	[76]	[]	[]	[6608984]	[]
507_10084	chr3	112794865	112795265	+	1000	80.0	[]	[]	[8.015333, 12.953519]	[82, 94]	[]	[112795035, 112795047]
507_10085	chr3	155863379	155863779	+	1000	80.0	[9.964856]	[112]	[]	[]	[155863571]	[]
507_1009	chr5	78758105	78758505	+	1000	262.0	[]	[]	[7.5738697, 7.5738697, 12.953519]	[67, 73, 148]	[]	[78758268, 78758274, 78758349]
507_10090	chr4	6673642	6674042	+	1000	80.0	[]	[]	[9.5729685, 8.614196]	[106, 135]	[]	[6673823, 6673852]
507_10094	chr4	122691934	122692334	+	1000	80.0	[]	[]	[12.953519]	[139]	[]	[122692144]
507_10096	chr4	165325858	165326258	+	1000	80.0	[9.5729685]	[89]	[]	[]	[165326045]	[]
507_101	chr1	234604841	234605241	+	1000	484.0	[]	[]	[7.58023]	[75]	[]	[234605010]
