#PeakID(python identify_motif.py ./ENCODE_processed_files/NR2F6_idr.fa NR2F6 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
681_1000	chr11	118573230	118573630	+	1000	91.0	[]	[]	[8.589731]	[87]	[]	[118573413]
681_10001	chr9	109459031	109459431	+	981	37.0	[]	[]	[10.466044]	[100]	[]	[109459214]
681_10008	chr9	128206314	128206714	+	1000	37.0	[]	[]	[6.9793944, 8.710301]	[151, 158]	[]	[128206556, 128206563]
681_1001	chr12	123721149	123721549	+	1000	91.0	[8.767773]	[83]	[]	[]	[123721305]	[]
681_10014	chr9	133122737	133123137	+	1000	37.0	[7.699957]	[94]	[]	[]	[133122931]	[]
681_10017	chrUn_GL000224v1	33398	33798	+	766	37.0	[]	[]	[9.110114]	[149]	[]	[33556]
681_1002	chr13	50161158	50161558	+	1000	91.0	[]	[]	[11.258537, 10.400684]	[123, 129]	[]	[50161376, 50161382]
681_10020	chrUn_KI270754v1	35953	36353	+	939	37.0	[7.355865]	[207]	[]	[]	[36187]	[]
681_10022	chr1	827260	827660	+	1000	36.0	[8.245195]	[163]	[]	[]	[827490]	[]
681_10030	chr1	1989073	1989473	+	614	36.0	[7.051181]	[105]	[]	[]	[1989263]	[]
681_10032	chr1	6161594	6161994	+	1000	36.0	[6.7778077]	[133]	[9.676358]	[106]	[6161809]	[6161782]
681_10036	chr1	9725002	9725402	+	994	36.0	[10.822892]	[70]	[]	[]	[9725165]	[]
681_10038	chr1	11727186	11727586	+	1000	36.0	[10.225179]	[93]	[11.341519]	[105]	[11727365]	[11727377]
681_1004	chr16	70635307	70635707	+	1000	91.0	[]	[]	[11.724585, 7.415039, 13.574681, 8.66444]	[117, 131, 138, 145]	[]	[70635509, 70635523, 70635530, 70635537]
681_10046	chr1	26268246	26268646	+	1000	36.0	[7.37782]	[214]	[8.565256, 10.465072]	[227, 234]	[26268465]	[26268478, 26268485]
681_1005	chr16	87145503	87145903	+	1000	91.0	[]	[]	[8.232883]	[146]	[]	[87145731]
681_10051	chr1	26993025	26993425	+	1000	36.0	[]	[]	[9.169012]	[232]	[]	[26993270]
681_10052	chr1	27067322	27067722	+	1000	36.0	[]	[]	[7.807559, 8.028181]	[147, 155]	[]	[27067484, 27067492]
681_10056	chr1	30913591	30913991	+	1000	36.0	[7.702022]	[66]	[]	[]	[30913757]	[]
681_10058	chr1	32104609	32105009	+	1000	36.0	[]	[]	[7.578237]	[105]	[]	[32104766]
681_1006	chr19	1493221	1493621	+	1000	91.0	[12.716828, 11.8274975]	[141, 205]	[]	[]	[1493392, 1493456]	[]
681_10063	chr1	39883050	39883450	+	1000	36.0	[10.510934]	[128]	[]	[]	[39883247]	[]
681_10066	chr1	47549513	47549913	+	860	36.0	[10.314935, 8.477994]	[94, 101]	[]	[]	[47549688, 47549695]	[]
681_10068	chr1	52094267	52094667	+	961	36.0	[]	[]	[6.9793944]	[150]	[]	[52094434]
681_10070	chr1	53367281	53367681	+	1000	36.0	[]	[]	[8.565256]	[133]	[]	[53367485]
681_10072	chr1	91732454	91732854	+	989	36.0	[7.264312]	[108]	[]	[]	[91732630]	[]
681_10075	chr1	100130556	100130956	+	982	36.0	[]	[]	[8.9075985, 8.076756]	[114, 121]	[]	[100130742, 100130749]
681_10079	chr1	114511208	114511608	+	1000	36.0	[7.8130794, 7.293319]	[224, 247]	[]	[]	[114511433, 114511456]	[]
681_1008	chr19	40523231	40523631	+	1000	91.0	[15.375314]	[87]	[]	[]	[40523406]	[]
681_10081	chr1	124012578	124012978	+	1000	36.0	[8.589731]	[148]	[7.1030235]	[141]	[124012822]	[124012815]
681_10084	chr1	146376698	146377098	+	1000	36.0	[10.225179]	[179]	[]	[]	[146376889]	[]
681_10089	chr1	179037991	179038391	+	1000	36.0	[]	[]	[10.016101]	[143]	[]	[179038191]
681_1009	chr2	47273138	47273538	+	1000	91.0	[10.400684, 9.6081915]	[128, 137]	[10.400684]	[73]	[47273358, 47273367]	[47273303]
681_10093	chr1	184773762	184774162	+	1000	36.0	[13.574681]	[67]	[12.716828]	[136]	[184773926]	[184773995]
681_10098	chr1	202161039	202161439	+	1000	36.0	[]	[]	[7.3564353, 7.608377]	[70, 156]	[]	[202161201, 202161287]
681_1010	chr2	73971008	73971408	+	1000	91.0	[7.96282, 10.016101, 7.881086]	[120, 126, 136]	[]	[]	[73971194, 73971200, 73971210]	[]
681_10110	chr1	211614668	211615068	+	862	36.0	[10.016101]	[134]	[]	[]	[211614865]	[]
681_10118	chr1	234755326	234755726	+	1000	36.0	[10.185661]	[121]	[]	[]	[234755527]	[]
681_1012	chr3	14947406	14947806	+	1000	91.0	[12.623525]	[143]	[7.5666924]	[127]	[14947648]	[14947632]
681_10124	chr10	11704106	11704506	+	1000	36.0	[7.1165414, 12.716828]	[95, 103]	[]	[]	[11704263, 11704271]	[]
681_10126	chr10	23051843	23052243	+	825	36.0	[]	[]	[9.408441]	[157]	[]	[23052068]
