#PeakID(python identify_motif.py ./ENCODE_processed_files/RUNX1_idr.fa RUNX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
39_1	chrM	9604	10004	+	1000	801.0	[]	[]	[10.370103]	[120]	[]	[9803]
39_10007	chr13	41463867	41464267	+	1000	39.0	[8.329008]	[64]	[]	[]	[41464031]	[]
39_1002	chr2	6909717	6910117	+	1000	75.0	[10.586677]	[132]	[]	[]	[6909925]	[]
39_10020	chr15	40569137	40569537	+	1000	39.0	[10.370103]	[107]	[]	[]	[40569339]	[]
39_10022	chr15	41513460	41513860	+	1000	39.0	[]	[]	[12.064187]	[138]	[]	[41513678]
39_10023	chr15	49155568	49155968	+	1000	39.0	[7.397283]	[169]	[]	[]	[49155776]	[]
39_10037	chr15	90954784	90955184	+	1000	39.0	[12.064187]	[232]	[]	[]	[90955026]	[]
39_10049	chr16	19067568	19067968	+	1000	39.0	[8.044104]	[208]	[]	[]	[19067798]	[]
39_1005	chr22	20117915	20118315	+	1000	75.0	[7.2151175]	[150]	[]	[]	[20118097]	[]
39_10055	chr16	29926164	29926564	+	1000	39.0	[8.892592]	[86]	[]	[]	[29926320]	[]
39_1007	chr22	22928724	22929124	+	1000	75.0	[10.370103]	[145]	[]	[]	[22928967]	[]
39_10072	chr16	85437271	85437671	+	1000	39.0	[]	[]	[9.738007]	[136]	[]	[85437493]
39_10073	chr16	88149010	88149410	+	1000	39.0	[]	[]	[8.909202, 8.892592]	[133, 223]	[]	[88149164, 88149254]
39_10078	chr17	16419874	16420274	+	1000	39.0	[12.064187]	[109]	[12.064187]	[136]	[16420071]	[16420098]
39_1008	chr3	5428944	5429344	+	1000	75.0	[8.909202]	[188]	[7.3683157]	[162]	[5429192]	[5429166]
39_10087	chr17	36862396	36862796	+	1000	39.0	[]	[]	[12.064187]	[185]	[]	[36862629]
39_10099	chr17	48492584	48492984	+	1000	39.0	[8.017088]	[184]	[]	[]	[48492773]	[]
39_1010	chr3	130787670	130788070	+	1000	75.0	[8.502309, 8.502309]	[97, 110]	[]	[]	[130787863, 130787876]	[]
39_10100	chr17	48501016	48501416	+	1000	39.0	[]	[]	[8.044104]	[150]	[]	[48501265]
39_10104	chr17	57340458	57340858	+	1000	39.0	[12.064187]	[93]	[]	[]	[57340645]	[]
39_10107	chr17	62065769	62066169	+	1000	39.0	[]	[]	[8.892592]	[94]	[]	[62065943]
39_10114	chr17	76385421	76385821	+	1000	39.0	[7.7944894]	[209]	[]	[]	[76385660]	[]
39_10123	chr17	81309293	81309693	+	1000	39.0	[]	[]	[8.017088]	[219]	[]	[81309539]
39_10146	chr19	10569025	10569425	+	1000	39.0	[7.2151175]	[108]	[]	[]	[10569220]	[]
39_10151	chr19	13958032	13958432	+	1000	39.0	[9.738007]	[64]	[10.586677]	[83]	[13958187]	[13958206]
39_10159	chr19	40750229	40750629	+	1000	39.0	[9.738007]	[74]	[7.397283]	[122]	[40750381]	[40750429]
39_10165	chr19	50368555	50368955	+	1000	39.0	[8.260495]	[145]	[8.892592]	[129]	[50368757]	[50368741]
39_1017	chr6	44225716	44226116	+	1000	75.0	[7.151105]	[156]	[]	[]	[44225947]	[]
39_10170	chr19	58407764	58408164	+	1000	39.0	[8.892592]	[187]	[]	[]	[58407991]	[]
39_10172	chr2	10448577	10448977	+	1000	39.0	[7.151105]	[69]	[]	[]	[10448736]	[]
39_10174	chr2	27321093	27321493	+	1000	39.0	[]	[]	[10.370103, 8.329008]	[56, 78]	[]	[27321244, 27321266]
39_10178	chr2	42827605	42828005	+	1000	39.0	[]	[]	[8.909202, 8.892592]	[80, 146]	[]	[42827779, 42827845]
39_10182	chr2	62304998	62305398	+	1000	39.0	[8.044104, 9.738007]	[66, 145]	[]	[]	[62305157, 62305236]	[]
39_10196	chr2	157838441	157838841	+	1000	39.0	[7.151105]	[86]	[7.151105, 10.370103]	[135, 149]	[157838621]	[157838670, 157838684]
39_10216	chr20	37527776	37528176	+	1000	39.0	[]	[]	[10.370103]	[187]	[]	[37528013]
39_1022	chr7	112573708	112574108	+	1000	75.0	[8.017088]	[118]	[]	[]	[112573923]	[]
39_10227	chr20	63942119	63942519	+	1000	39.0	[7.2151175]	[113]	[]	[]	[63942329]	[]
39_10230	chr21	38476486	38476886	+	977	39.0	[]	[]	[7.748347]	[217]	[]	[38476725]
39_10239	chr22	19233058	19233458	+	1000	39.0	[7.397283]	[162]	[]	[]	[19233277]	[]
39_10249	chr22	19888109	19888509	+	1000	39.0	[]	[]	[9.738007]	[229]	[]	[19888359]
39_1027	chr9	127451282	127451682	+	1000	75.0	[8.260495]	[143]	[]	[]	[127451512]	[]
39_10279	chr22	21970096	21970496	+	1000	39.0	[10.586677]	[151]	[]	[]	[21970274]	[]
39_1028	chr9	130834588	130834988	+	1000	75.0	[9.738007]	[66]	[]	[]	[130834748]	[]
39_103	chr16	88491630	88492030	+	1000	174.0	[]	[]	[9.738007]	[124]	[]	[88491840]
39_10320	chr3	13657825	13658225	+	1000	39.0	[]	[]	[7.7944894, 10.586677]	[93, 102]	[]	[13658001, 13658010]
39_10333	chr3	45842095	45842495	+	1000	39.0	[8.892592]	[140]	[]	[]	[45842332]	[]
39_10336	chr3	51539427	51539827	+	1000	39.0	[12.064187]	[118]	[]	[]	[51539619]	[]
39_10344	chr3	143119098	143119498	+	1000	39.0	[]	[]	[10.370103]	[95]	[]	[143119251]
39_10345	chr3	168116216	168116616	+	1000	39.0	[10.586677]	[120]	[]	[]	[168116406]	[]
39_10350	chr3	185660435	185660835	+	1000	39.0	[]	[]	[8.260495]	[85]	[]	[185660606]
39_10361	chr4	48340958	48341358	+	1000	39.0	[]	[]	[8.260495]	[137]	[]	[48341164]
39_10370	chr4	109815213	109815613	+	1000	39.0	[]	[]	[7.3683157]	[153]	[]	[109815398]
39_10372	chr4	138671478	138671878	+	1000	39.0	[]	[]	[10.586677]	[167]	[]	[138671721]
39_10381	chr5	34007729	34008129	+	1000	39.0	[]	[]	[8.909202]	[161]	[]	[34007924]
39_10389	chr5	82278178	82278578	+	1000	39.0	[]	[]	[10.370103]	[131]	[]	[82278373]
39_10404	chr5	154373713	154374113	+	1000	39.0	[8.909202]	[197]	[]	[]	[154373962]	[]
39_10408	chr5	173324041	173324441	+	1000	39.0	[7.151105]	[127]	[]	[]	[173324223]	[]
39_10417	chr6	311824	312224	+	1000	39.0	[9.738007]	[130]	[]	[]	[311986]	[]
39_10418	chr6	7140627	7141027	+	1000	39.0	[8.329008]	[119]	[]	[]	[7140834]	[]
39_1042	chr1	211630220	211630620	+	1000	74.0	[]	[]	[7.2151175]	[114]	[]	[211630433]
