#PeakID(python identify_motif.py ./ENCODE_processed_files/SRF_idr.fa SRF --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
49_100	chr1	151539501	151539901	+	1000	1016.0	[7.407259, 11.844076]	[93, 125]	[7.0321693, 8.562728]	[93, 125]	[151539693, 151539725]	[151539693, 151539725]
49_10000	chr6	158729863	158730263	+	1000	74.0	[9.68026]	[206]	[13.033171]	[206]	[158730111]	[158730111]
49_10001	chr6	159106564	159106964	+	1000	74.0	[13.632117]	[97]	[13.632117]	[97]	[159106740]	[159106740]
49_10006	chr7	74067825	74068225	+	1000	74.0	[12.57791]	[109]	[12.613283]	[109]	[74068027]	[74068027]
49_10009	chr7	99808819	99809219	+	1000	74.0	[13.632117, 8.668092]	[108, 176]	[13.632117, 10.9407625]	[108, 176]	[99808994, 99809062]	[99808994, 99809062]
49_1001	chr1	205376218	205376618	+	1000	260.0	[9.68026]	[102]	[13.033171]	[102]	[205376419]	[205376419]
49_10019	chr7	129423671	129424071	+	1000	74.0	[7.562104]	[173]	[7.728707]	[173]	[129423904]	[129423904]
49_1002	chr1	225882240	225882640	+	1000	260.0	[3.7564287]	[100]	[2.9697142]	[100]	[225882423]	[225882423]
49_10023	chr8	22672950	22673350	+	1000	74.0	[]	[]	[5.264582]	[167]	[]	[22673199]
49_10028	chr8	142615345	142615745	+	1000	74.0	[17.54071]	[108]	[14.892951]	[108]	[142615537]	[142615537]
49_10030	chr9	19409871	19410271	+	1000	74.0	[6.742007]	[121]	[3.6277652]	[121]	[19410083]	[19410083]
49_10031	chr9	83800839	83801239	+	1000	74.0	[9.68026]	[107]	[13.033171]	[107]	[83801046]	[83801046]
49_10038	chr9	131196319	131196719	+	1000	74.0	[]	[]	[2.3598723]	[153]	[]	[131196519]
