#PeakID(python identify_motif.py ./ENCODE_processed_files/PKNOX1_idr.fa PKNOX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
36_10000	chr16	79850033	79850433	+	1000	131.5	[]	[]	[12.172607]	[96]	[]	[79850223]
36_10001	chr16	85233453	85233853	+	1000	131.5	[8.786245]	[182]	[]	[]	[85233692]	[]
36_10003	chr18	31809062	31809462	+	1000	131.5	[]	[]	[11.136967]	[80]	[]	[31809230]
36_10004	chr19	12890497	12890897	+	1000	131.5	[11.254926]	[141]	[]	[]	[12890709]	[]
36_10007	chr19	51552552	51552952	+	1000	131.5	[10.388675]	[134]	[]	[]	[51552706]	[]
36_10008	chr2	30284011	30284411	+	1000	131.5	[8.860477, 9.031418]	[128, 142]	[]	[]	[30284222, 30284236]	[]
36_1001	chr11	8701209	8701609	+	1000	698.0	[10.29932]	[67]	[]	[]	[8701370]	[]
36_10014	chr3	128577614	128578014	+	1000	131.5	[14.492824, 9.390787]	[83, 150]	[]	[]	[128577794, 128577861]	[]
36_10016	chr4	140764854	140765254	+	1000	131.5	[8.132104]	[81]	[]	[]	[140765035]	[]
36_10017	chr4	165476610	165477010	+	1000	131.5	[7.12374, 9.271838]	[94, 115]	[]	[]	[165476778, 165476799]	[]
36_10020	chr6	4178681	4179081	+	1000	131.5	[]	[]	[8.661647]	[113]	[]	[4178870]
36_10021	chr6	40725341	40725741	+	782	131.5	[]	[]	[10.419522, 7.220449]	[112, 116]	[]	[40725541, 40725545]
36_10028	chr7	150976470	150976870	+	1000	131.5	[]	[]	[7.5943837, 9.697288]	[67, 112]	[]	[150976631, 150976676]
36_1003	chr19	49119094	49119494	+	1000	697.5	[]	[]	[10.643184, 12.91743]	[129, 133]	[]	[49119316, 49119320]
36_10030	chrX	38105232	38105632	+	1000	131.5	[]	[]	[8.085421]	[85]	[]	[38105392]
36_10033	chr1	47379465	47379865	+	1000	131.0	[]	[]	[8.51087]	[112]	[]	[47379667]
36_10035	chr1	173715005	173715405	+	802	131.0	[]	[]	[9.758735]	[97]	[]	[173715191]
36_10039	chr12	66302077	66302477	+	694	131.0	[]	[]	[11.785644]	[99]	[]	[66302263]
36_10041	chr15	64690499	64690899	+	1000	131.0	[]	[]	[14.492824]	[119]	[]	[64690712]
36_10042	chr15	77085204	77085604	+	1000	131.0	[]	[]	[8.776147]	[114]	[]	[77085379]
36_10043	chr15	88904808	88905208	+	1000	131.0	[]	[]	[9.336362, 8.249403]	[107, 111]	[]	[88905006, 88905010]
36_10046	chr18	809994	810394	+	1000	131.0	[]	[]	[7.511961]	[129]	[]	[810174]
