#PeakID(python identify_motif.py ./ENCODE_processed_files/SP1_idr.fa SP1 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
328_100	chr11	64778733	64779133	+	1000	433.0	[4.756748]	[114]	[]	[]	[64778932]	[]
328_10001	chr1	29962962	29963362	+	671	32.5	[7.8419137, 7.284884]	[63, 125]	[]	[]	[29963121, 29963183]	[]
328_10008	chr1	155320653	155321053	+	642	32.5	[15.728569, 4.317579]	[97, 153]	[10.958337]	[80]	[155320844, 155320900]	[155320827]
328_10014	chr1	207963608	207964008	+	639	32.5	[]	[]	[3.803224]	[159]	[]	[207963778]
328_10027	chr11	32434404	32434804	+	599	32.5	[]	[]	[7.322289]	[218]	[]	[32434626]
328_1003	chr1	11680991	11681391	+	1000	178.5	[7.465282, 19.02182]	[90, 101]	[]	[]	[11681181, 11681192]	[]
328_10038	chr14	67600018	67600418	+	675	32.5	[6.7354593]	[113]	[]	[]	[67600184]	[]
328_10042	chr16	2511401	2511801	+	662	32.5	[]	[]	[2.817525, 3.978555, 13.193981]	[144, 166, 171]	[]	[2511612, 2511634, 2511639]
328_10046	chr16	81752229	81752629	+	668	32.5	[3.4692273]	[135]	[]	[]	[81752422]	[]
328_10051	chr17	77331218	77331618	+	563	32.5	[]	[]	[7.0015936, 4.002374]	[97, 132]	[]	[77331402, 77331437]
328_10054	chr19	8505884	8506284	+	650	32.5	[]	[]	[5.1179876, 2.6809125]	[127, 149]	[]	[8506055, 8506077]
328_10059	chr19	29893620	29894020	+	625	32.5	[3.6019719]	[202]	[]	[]	[29893833]	[]
328_10065	chr19	55117572	55117972	+	664	32.5	[3.806392]	[177]	[]	[]	[55117772]	[]
328_1007	chr3	196081981	196082381	+	1000	178.5	[2.6211183]	[74]	[2.6713355, 10.181536, 9.251202]	[90, 151, 172]	[196082133]	[196082149, 196082210, 196082231]
328_10070	chr2	241355351	241355751	+	667	32.5	[9.656737, 3.8725245, 9.656737, 3.8725245, 8.577606, 14.413666]	[77, 94, 114, 131, 151, 168]	[]	[]	[241355504, 241355521, 241355541, 241355558, 241355578, 241355595]	[]
328_10086	chr22	23286832	23287232	+	678	32.5	[]	[]	[6.1764216]	[171]	[]	[23287016]
328_101	chr16	30658032	30658432	+	1000	433.0	[]	[]	[8.386908, 8.564876]	[99, 168]	[]	[30658195, 30658264]
328_10119	chr7	137899186	137899586	+	553	32.5	[3.6733]	[172]	[]	[]	[137899404]	[]
328_1013	chr7	121396308	121396708	+	1000	178.0	[9.211578]	[70]	[8.846862]	[56]	[121396474]	[121396460]
328_1014	chr1	235504354	235504754	+	1000	177.5	[11.56033]	[87]	[]	[]	[235504518]	[]
328_10142	chr1	84479176	84479576	+	610	32.0	[]	[]	[3.6236112]	[184]	[]	[84479375]
328_1015	chr19	2977290	2977690	+	1000	177.5	[]	[]	[9.277418, 7.983793, 5.411861]	[107, 128, 149]	[]	[2977475, 2977496, 2977517]
328_10155	chr1	247856982	247857382	+	553	32.0	[5.1179876]	[143]	[10.049542]	[135]	[247857171]	[247857163]
328_1016	chr22	21665979	21666379	+	1000	177.5	[3.544768]	[170]	[]	[]	[21666218]	[]
328_10168	chr11	113690845	113691245	+	657	32.0	[6.437447]	[157]	[]	[]	[113691072]	[]
328_10172	chr12	68807724	68808124	+	559	32.0	[2.935585, 3.2606797, 6.5786633]	[146, 158, 163]	[]	[]	[68807954, 68807966, 68807971]	[]
328_10175	chr12	122203256	122203656	+	556	32.0	[]	[]	[5.8392725]	[95]	[]	[122203440]
328_10178	chr13	44435107	44435507	+	655	32.0	[10.842799]	[116]	[]	[]	[44435321]	[]
328_10179	chr13	80654483	80654883	+	646	32.0	[]	[]	[5.568958]	[141]	[]	[80654677]
328_1018	chr11	27506646	27507046	+	1000	177.0	[]	[]	[19.063852]	[62]	[]	[27506807]
328_10180	chr13	99087319	99087719	+	644	32.0	[2.524673]	[171]	[]	[]	[99087537]	[]
328_1020	chr16	11742834	11743234	+	1000	177.0	[4.254917, 7.5393333]	[149, 155]	[6.3850904]	[190]	[11743035, 11743041]	[11743076]
328_10204	chr18	11947151	11947551	+	545	32.0	[]	[]	[2.7286177]	[175]	[]	[11947373]
328_1021	chr19	16659964	16660364	+	1000	177.0	[]	[]	[8.229733]	[161]	[]	[16660206]
328_10213	chr2	11688300	11688700	+	616	32.0	[7.0797186]	[124]	[]	[]	[11688497]	[]
328_10215	chr2	38536058	38536458	+	565	32.0	[3.6893537]	[140]	[]	[]	[38536251]	[]
328_10239	chr3	57692612	57693012	+	625	32.0	[]	[]	[7.701187]	[67]	[]	[57692766]
328_1024	chr3	41961960	41962360	+	1000	177.0	[12.371099]	[172]	[]	[]	[41962174]	[]
328_10241	chr3	182920738	182921138	+	639	32.0	[7.2762666]	[103]	[]	[]	[182920895]	[]
328_10247	chr5	138491783	138492183	+	620	32.0	[5.9579506]	[166]	[]	[]	[138492021]	[]
328_10248	chr6	341266	341666	+	649	32.0	[4.217562]	[193]	[]	[]	[341469]	[]
328_10250	chr6	7202020	7202420	+	656	32.0	[2.6060915, 6.1697683]	[109, 167]	[4.0022993]	[143]	[7202174, 7202232]	[7202208]
328_10254	chr6	28863842	28864242	+	618	32.0	[2.785451]	[120]	[]	[]	[28864007]	[]
328_10259	chr6	43758589	43758989	+	644	32.0	[]	[]	[4.080264]	[128]	[]	[43758770]
328_10262	chr7	22854189	22854589	+	641	32.0	[]	[]	[4.170333, 2.543091, 2.723212, 2.8221984]	[210, 211, 214, 216]	[]	[22854424, 22854425, 22854428, 22854430]
328_10263	chr7	30761076	30761476	+	647	32.0	[]	[]	[6.427448]	[186]	[]	[30761269]
328_10274	chr9	130888231	130888631	+	578	32.0	[]	[]	[4.664353]	[174]	[]	[130888466]
328_10275	chr9	131221106	131221506	+	634	32.0	[3.8574069]	[126]	[]	[]	[131221300]	[]
328_10280	chr1	16607621	16608021	+	559	31.5	[]	[]	[2.6804109]	[146]	[]	[16607777]
328_10284	chr1	95116891	95117291	+	621	31.5	[]	[]	[10.849285]	[145]	[]	[95117086]
328_10285	chr1	111747199	111747599	+	597	31.5	[3.3275912, 9.525968]	[163, 213]	[]	[]	[111747363, 111747413]	[]
328_1031	chr19	48321796	48322196	+	1000	176.5	[20.262814, 4.404488]	[151, 166]	[3.0349765]	[110]	[48322015, 48322030]	[48321974]
328_10312	chr12	64452040	64452440	+	590	31.5	[2.9593675]	[217]	[4.7017465]	[177]	[64452267]	[64452227]
328_10326	chr19	21141757	21142157	+	641	31.5	[]	[]	[4.8368397]	[119]	[]	[21141930]
328_10334	chr22	20998646	20999046	+	640	31.5	[4.8294706, 8.555517]	[95, 137]	[]	[]	[20998823, 20998865]	[]
328_1034	chr5	176647116	176647516	+	1000	176.5	[]	[]	[10.843215, 2.7589784, 8.943937, 14.043327, 4.421936]	[83, 97, 115, 150, 168]	[]	[176647267, 176647281, 176647299, 176647334, 176647352]
328_10346	chr22	23288443	23288843	+	625	31.5	[9.924946, 2.7511816]	[115, 172]	[]	[]	[23288594, 23288651]	[]
328_10351	chr3	150409857	150410257	+	599	31.5	[]	[]	[4.3329277]	[107]	[]	[150410029]
328_10354	chr4	70993432	70993832	+	583	31.5	[5.064667]	[176]	[8.301489, 11.755479]	[100, 116]	[70993681]	[70993605, 70993621]
328_10357	chr5	891244	891644	+	615	31.5	[3.9490716]	[109]	[]	[]	[891414]	[]
328_1037	chr2	134918530	134918930	+	1000	176.0	[6.450635]	[101]	[8.33906, 9.652213]	[145, 171]	[134918698]	[134918742, 134918768]
328_1038	chr22	18001428	18001828	+	1000	176.0	[]	[]	[3.1869078]	[64]	[]	[18001580]
328_10385	chr7	38341186	38341586	+	572	31.5	[2.6089916]	[72]	[]	[]	[38341341]	[]
328_10394	chr9	107784316	107784716	+	617	31.5	[]	[]	[5.251174]	[130]	[]	[107784516]
328_10395	chr9	111631052	111631452	+	630	31.5	[5.9763083]	[202]	[3.2494037]	[226]	[111631277]	[111631301]
328_10397	chrX	53093640	53094040	+	636	31.5	[]	[]	[4.4186106]	[128]	[]	[53093867]
328_1040	chr1	151008180	151008580	+	1000	175.5	[17.465149, 10.707707]	[99, 153]	[15.275013]	[172]	[151008347, 151008401]	[151008420]
328_10401	chr1	32201358	32201758	+	600	31.0	[16.02719]	[191]	[]	[]	[32201604]	[]
328_10419	chr12	9647862	9648262	+	598	31.0	[]	[]	[8.833014, 5.08197]	[96, 173]	[]	[9648035, 9648112]
328_1042	chr11	64305139	64305539	+	1000	175.5	[13.70639, 13.263202]	[143, 220]	[8.039264]	[202]	[64305307, 64305384]	[64305366]
328_10423	chr12	116599895	116600295	+	595	31.0	[2.8975134]	[204]	[]	[]	[116600097]	[]
328_10425	chr13	46052586	46052986	+	603	31.0	[11.479278]	[178]	[]	[]	[46052820]	[]
328_10426	chr14	22766424	22766824	+	544	31.0	[]	[]	[4.0297627]	[160]	[]	[22766649]
328_10428	chr15	62060228	62060628	+	618	31.0	[4.5675154]	[153]	[]	[]	[62060468]	[]
328_10429	chr15	63505246	63505646	+	604	31.0	[]	[]	[7.391039, 2.7590358]	[148, 214]	[]	[63505419, 63505485]
328_10434	chr16	18946040	18946440	+	610	31.0	[]	[]	[3.3874214, 4.945521]	[139, 144]	[]	[18946198, 18946203]
328_1044	chr7	151227159	151227559	+	1000	175.5	[]	[]	[11.505412]	[151]	[]	[151227399]
328_10442	chr19	3607535	3607935	+	594	31.0	[4.2662034]	[124]	[]	[]	[3607748]	[]
328_10446	chr19	12782546	12782946	+	573	31.0	[2.6323342, 11.288374]	[64, 69]	[]	[]	[12782703, 12782708]	[]
328_10448	chr19	18006940	18007340	+	540	31.0	[3.5548658]	[159]	[]	[]	[18007183]	[]
328_10449	chr19	18293135	18293535	+	585	31.0	[]	[]	[5.384858]	[125]	[]	[18293350]
328_1045	chr1	182029605	182030005	+	1000	175.0	[]	[]	[19.063852, 3.781605, 11.935774]	[91, 106, 131]	[]	[182029786, 182029801, 182029826]
328_10450	chr19	18415134	18415534	+	558	31.0	[3.408788]	[237]	[]	[]	[18415377]	[]
328_10454	chr19	48875552	48875952	+	608	31.0	[4.733663]	[155]	[]	[]	[48875794]	[]
328_10455	chr19	51570956	51571356	+	552	31.0	[]	[]	[4.6747704, 5.427772]	[126, 131]	[]	[51571177, 51571182]
328_10457	chr2	70248181	70248581	+	628	31.0	[]	[]	[5.9805746]	[101]	[]	[70248340]
328_10465	chr20	63740769	63741169	+	616	31.0	[15.121804]	[133]	[]	[]	[63740976]	[]
328_10474	chr3	33658896	33659296	+	596	31.0	[]	[]	[3.0328894]	[154]	[]	[33659066]
328_10476	chr3	138915724	138916124	+	611	31.0	[]	[]	[4.0346766, 8.229733]	[101, 125]	[]	[138915887, 138915911]
328_10477	chr3	141231418	141231818	+	547	31.0	[]	[]	[8.094693]	[67]	[]	[141231569]
328_10481	chr4	18022054	18022454	+	620	31.0	[]	[]	[3.7322705]	[139]	[]	[18022223]
328_10485	chr5	79235523	79235923	+	627	31.0	[]	[]	[3.7307658]	[143]	[]	[79235680]
