#PeakID	chr	start	end	strand	idrScore	count
965_0	chrM	140	343	+	1000	1110.5
965_1	chr1	125180090	125180295	+	1000	880.5
965_2	chrUn_KI270438v1	109329	109532	+	1000	873.0
965_3	chr16	46390595	46390800	+	1000	868.5
965_4	chrUn_KI270467v1	2251	2454	+	1000	863.5
965_5	chrM	12377	12586	+	1000	860.0
965_6	chrM	16020	16221	+	1000	855.0
965_7	chrUn_KI270438v1	103993	104194	+	1000	850.0
965_8	chrM	5283	5492	+	1000	813.5
965_9	chrM	6247	6469	+	1000	813.5
965_10	chrM	8051	8251	+	1000	812.5
965_11	chrM	4876	5077	+	1000	812.0
965_12	chrM	7128	7331	+	1000	801.5
965_13	chrUn_KI270438v1	104794	105034	+	1000	766.0
965_14	chr16	34588139	34588340	+	1000	759.0
965_15	chrUn_KI270438v1	112037	112254	+	1000	684.0
965_16	chr17	26603804	26604008	+	1000	661.0
965_17	chrUn_KI270467v1	3334	3540	+	1000	648.5
965_18	chr16	46394709	46394918	+	1000	640.0
965_19	chr1	143214640	143214840	+	1000	634.0
965_20	chrUn_KI270466v1	903	1111	+	1000	589.0
965_21	chr16	46386329	46386539	+	1000	562.5
965_22	chr16	46398817	46399020	+	1000	535.0
965_23	chr16	46387833	46388034	+	1000	508.0
965_24	chr16	46401333	46401534	+	1000	505.0
965_25	chr17	26881297	26881506	+	1000	485.0
965_26	chr17	25920116	25920333	+	1000	455.0
965_27	chr4	67722178	67722395	+	1000	438.5
965_28	chr3	45065157	45065365	+	1000	437.5
965_29	chr17	26619946	26620148	+	1000	434.5
965_30	chr17	78187061	78187275	+	1000	428.0
965_31	chr15	66774421	66774630	+	1000	415.0
965_32	chr16	34585772	34586082	+	1000	408.5
965_33	chr16	46391251	46391486	+	1000	399.0
965_34	chr1	233665873	233666077	+	1000	398.0
965_35	chr9	98791235	98791449	+	1000	397.5
965_36	chrUn_KI270438v1	110445	110648	+	1000	397.0
965_37	chr1	123175898	123176110	+	1000	386.5
965_38	chr6	15896130	15896378	+	1000	385.5
965_39	chr16	34592656	34592857	+	1000	357.5
965_40	chr12	12267064	12267302	+	1000	356.0
965_41	chr7	138257627	138257844	+	1000	348.5
965_42	chr16	34587130	34587333	+	1000	346.5
965_43	chrUn_GL000216v2	405	612	+	1000	344.0
965_44	chr11	86041975	86042178	+	1000	343.5
965_45	chr16	34582155	34582359	+	1000	341.5
965_46	chr1	143264578	143264783	+	1000	340.0
965_47	chr19	10027738	10027962	+	1000	333.0
965_48	chr11	69131631	69131844	+	1000	328.0
965_49	chr20	31494216	31494418	+	1000	327.5
965_50	chr21	8234393	8234597	+	1000	327.5
965_51	chr5	95728594	95728815	+	1000	326.5
965_52	chr1	50720585	50720793	+	1000	323.5
965_53	chr16	34583014	34583223	+	1000	323.5
965_54	chr1	32133539	32133751	+	1000	320.0
965_55	chr22	22023746	22024016	+	1000	317.0
965_56	chrUn_GL000224v1	3777	4001	+	1000	311.5
965_57	chr19	49495092	49495296	+	1000	308.5
965_58	chr20	63434925	63435132	+	1000	308.5
965_59	chr2	90398464	90398671	+	1000	308.0
965_60	chr1	124250641	124250853	+	1000	305.5
965_61	chrUn_KI270438v1	105656	105885	+	1000	301.0
965_62	chr8	49110598	49110806	+	1000	298.5
965_63	chr1	53182096	53182298	+	1000	294.0
965_64	chr17	4002561	4002781	+	1000	288.5
965_65	chr17	25389842	25390043	+	1000	286.5
965_66	chr14	20613453	20613655	+	1000	284.0
965_67	chr16	34593352	34593552	+	1000	274.5
965_68	chr19	54266158	54266364	+	1000	274.0
965_69	chr12	27703766	27703972	+	1000	273.5
965_70	chr16	34576386	34576594	+	1000	272.5
965_71	chrUn_KI270438v1	108613	108820	+	1000	272.0
965_72	chr15	90648364	90648573	+	1000	269.0
965_73	chr1	143194964	143195174	+	1000	267.5
965_74	chr16	46388620	46388823	+	1000	267.5
965_75	chr1_KI270709v1_random	7284	7498	+	1000	266.0
965_76	chr2	207772220	207772423	+	1000	260.0
965_77	chr21	36939505	36939714	+	1000	258.0
965_78	chr16	20944863	20945069	+	1000	257.0
965_79	chr19	49474072	49474295	+	1000	257.0
965_80	chr16	23597321	23597564	+	1000	255.0
965_81	chr14	103427899	103428116	+	1000	254.5
965_82	chr6	146887538	146887773	+	1000	252.5
965_83	chr17	23190260	23190461	+	1000	252.0
965_84	chr16	46386898	46387099	+	1000	245.0
965_85	chr18	3261741	3261943	+	1000	242.5
965_86	chrUn_KI270466v1	345	548	+	1000	240.5
965_87	chr1	125183596	125183796	+	1000	234.5
965_88	chr17	26883934	26884135	+	1000	233.5
965_89	chr6	28354298	28354535	+	1000	232.5
965_90	chr7	22586883	22587092	+	1000	232.0
965_91	chr17	76602010	76602223	+	1000	229.5
965_92	chr5	5340404	5340618	+	1000	228.0
965_93	chr5	176675746	176675946	+	1000	226.5
965_94	chr14	22982737	22982944	+	1000	225.0
965_95	chr2	90390624	90390843	+	1000	224.5
965_96	chr5	49601478	49601687	+	1000	223.5
965_97	chr1	153343877	153344079	+	1000	222.0
965_98	chr16	34584653	34584856	+	1000	222.0
965_99	chr3	196843071	196843272	+	1000	220.5
965_100	chr17	59155085	59155297	+	1000	220.0
965_101	chr3	47421100	47421307	+	1000	220.0
965_102	chr7	33716686	33716890	+	1000	219.0
965_103	chr22	23173975	23174188	+	1000	218.5
965_104	chr7	152394324	152394543	+	1000	218.5
965_105	chr22	40813919	40814135	+	1000	217.5
965_106	chr5	5523112	5523334	+	1000	217.5
965_107	chr16	46395719	46395923	+	1000	210.0
965_108	chr7	105012669	105012878	+	1000	210.0
965_109	chr1	124098874	124099081	+	1000	209.5
965_110	chr1_KI270709v1_random	13762	13969	+	1000	208.5
965_111	chr1_KI270709v1_random	5460	5676	+	1000	208.0
965_112	chr18	3247426	3247637	+	1000	207.5
965_113	chr19	49348028	49348234	+	1000	205.5
965_114	chr19	49363857	49364065	+	1000	205.0
965_115	chr7	100867210	100867414	+	1000	204.5
965_116	chr11	97973375	97973593	+	1000	204.0
965_117	chr8	41818909	41819126	+	1000	203.5
965_118	chr2	169711974	169712188	+	1000	202.5
965_119	chr9	99301829	99302065	+	1000	202.5
965_120	chr10	74153210	74153435	+	1000	202.0
965_121	chr1	123783615	123783819	+	1000	201.0
965_122	chrUn_GL000224v1	2198	2441	+	1000	201.0
965_123	chr5	49657156	49657409	+	1000	200.5
965_124	chr1	123195638	123195839	+	1000	200.0
965_125	chr6	73564574	73564791	+	1000	199.0
965_126	chr5	108531682	108531901	+	1000	198.0
965_127	chr12	120086952	120087159	+	1000	197.0
965_128	chr3	141312597	141312855	+	1000	196.5
965_129	chr1	143255502	143255708	+	1000	194.0
965_130	chr16	65769051	65769263	+	1000	194.0
965_131	chr8	67366224	67366462	+	1000	192.5
965_132	chr3	43584134	43584358	+	1000	192.0
965_133	chr7	10940226	10940454	+	1000	189.0
965_134	chr17	23016247	23016457	+	1000	188.5
965_135	chr15	63227108	63227316	+	1000	188.0
965_136	chr21	8420041	8420246	+	1000	188.0
965_137	chr15	66623910	66624137	+	1000	187.5
965_138	chr1	143185057	143185264	+	1000	187.0
965_139	chr20	31068143	31068400	+	1000	186.5
965_140	chr16	46400386	46400607	+	1000	185.5
965_141	chr12	56157846	56158048	+	1000	185.0
965_142	chr4	183348782	183348987	+	1000	184.5
965_143	chr18	22704406	22704625	+	1000	184.0
965_144	chr2	48471028	48471229	+	1000	183.5
965_145	chr21	41958169	41958389	+	1000	183.5
965_146	chr17_KI270729v1_random	3054	3271	+	1000	182.0
965_147	chr16	34594952	34595156	+	1000	181.5
965_148	chr17	22521316	22521535	+	1000	181.0
965_149	chr19	49420851	49421065	+	1000	181.0
965_150	chr19	49443017	49443219	+	1000	180.5
965_151	chr19	49451689	49451927	+	1000	179.5
965_152	chrUn_KI270442v1	391151	391368	+	1000	179.5
965_153	chr19	49453623	49453862	+	1000	179.0
965_154	chr17	32936997	32937214	+	1000	178.5
965_155	chr1	143213053	143213259	+	1000	177.0
965_156	chr19	49443784	49444158	+	1000	177.0
965_157	chr1	29124512	29124724	+	1000	176.0
965_158	chr17	28744346	28744567	+	1000	176.0
965_159	chr10	45411243	45411470	+	1000	175.5
965_160	chr1	143217263	143217486	+	1000	174.5
965_161	chr2	157324328	157324570	+	1000	174.0
965_162	chr6	159633268	159633494	+	1000	174.0
965_163	chr10	9825594	9825825	+	1000	173.0
965_164	chr21	8219906	8220110	+	1000	172.5
965_165	chr3	15305644	15305855	+	1000	172.5
965_166	chr13	16688931	16689133	+	1000	172.0
965_167	chr5	73497035	73497249	+	1000	171.5
965_168	chr2	168774184	168774405	+	1000	169.5
965_169	chr1	157580278	157580480	+	1000	168.5
965_170	chr19	49495648	49496003	+	1000	168.0
965_171	chr9	128656706	128656910	+	1000	168.0
965_172	chr17	25074357	25074587	+	1000	167.5
965_173	chr16	15550889	15551089	+	1000	166.0
965_174	chr8	38082049	38082274	+	1000	164.5
965_175	chr1	31171066	31171317	+	1000	163.0
965_176	chr17	48825851	48826078	+	1000	162.5
965_177	chr1	117535055	117535262	+	1000	161.0
965_178	chr7	107318528	107318756	+	1000	161.0
965_179	chr2	90397520	90397895	+	1000	160.5
965_180	chr1_KI270713v1_random	21659	21869	+	1000	160.0
965_181	chr6	45445900	45446117	+	1000	160.0
965_182	chr1	8626471	8626703	+	1000	159.5
965_183	chr3	99777047	99777263	+	1000	159.5
965_184	chr3	156555222	156555426	+	1000	159.5
965_185	chr8	38091783	38091990	+	1000	159.0
965_186	chr1	12075603	12075821	+	1000	157.0
965_187	chr14	64841241	64841465	+	1000	157.0
965_188	chr17	27748153	27748359	+	1000	157.0
965_189	chr19	49388225	49388522	+	1000	156.5
965_190	chr12	75334362	75334584	+	1000	155.5
965_191	chr1	125181520	125181721	+	1000	153.0
965_192	chr1	16146354	16146572	+	1000	152.5
965_193	chr11	36149776	36150005	+	1000	152.5
965_194	chr2	39468081	39468344	+	1000	152.5
