#PeakID(python identify_motif.py ./ENCODE_processed_files/FOXA3_idr.fa FOXA3 --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
876_100	chr21	28589984	28590384	+	1000	412.5	[8.361351]	[102]	[]	[]	[28590180]	[]
876_1000	chr17	65074785	65075185	+	1000	139.0	[8.264141, 12.570299]	[53, 82]	[]	[]	[65074936, 65074965]	[]
876_10004	chr9	131090858	131091258	+	1000	42.0	[]	[]	[7.553737]	[147]	[]	[131091095]
876_1001	chr21	35483127	35483527	+	1000	139.0	[]	[]	[9.252844]	[107]	[]	[35483308]
876_10010	chrX	57163243	57163643	+	697	42.0	[]	[]	[12.570299]	[77]	[]	[57163413]
876_10011	chrX	118724805	118725205	+	611	42.0	[]	[]	[8.361351, 7.676677]	[109, 159]	[]	[118724993, 118725043]
876_1002	chr6	4320887	4321287	+	1000	139.0	[]	[]	[12.570299]	[93]	[]	[4321069]
876_10021	chr1	57218776	57219176	+	1000	41.5	[10.2047415]	[157]	[]	[]	[57219008]	[]
876_10022	chr1	66564291	66564691	+	1000	41.5	[9.53014, 9.252844]	[100, 110]	[]	[]	[66564485, 66564495]	[]
876_10024	chr1	109960445	109960845	+	735	41.5	[]	[]	[10.2047415, 10.2047415]	[111, 126]	[]	[109960626, 109960641]
876_10026	chr1	111721889	111722289	+	1000	41.5	[]	[]	[9.53014]	[107]	[]	[111722079]
876_10027	chr1	112319137	112319537	+	588	41.5	[]	[]	[9.53014]	[148]	[]	[112319350]
876_1003	chr1	43119860	43120260	+	1000	138.5	[]	[]	[12.570299]	[103]	[]	[43120061]
876_10035	chr1	175889817	175890217	+	1000	41.5	[]	[]	[12.570299]	[99]	[]	[175890014]
876_10036	chr1	176122289	176122689	+	938	41.5	[]	[]	[7.553737]	[89]	[]	[176122467]
876_10037	chr1	183996571	183996971	+	1000	41.5	[10.2047415]	[146]	[]	[]	[183996803]	[]
876_10038	chr1	184975124	184975524	+	1000	41.5	[7.677661]	[161]	[7.677661]	[160]	[184975371]	[184975370]
