#PeakID(python identify_motif.py ./ENCODE_processed_files/NFIX_idr.fa NFIX --motif_path ./motifs/ --distance 50  --cutoff --size 400 --repeat ../hg38_repeats/hg38_repeats_merged.nodup.all.txt)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
642_1000	chr7	129984466	129984866	+	1000	97.0	[7.4974093, 8.844542]	[71, 104]	[7.4974093]	[68]	[129984632, 129984665]	[129984629]
642_1001	chr9	128442127	128442527	+	1000	97.0	[7.4974093]	[120]	[7.4974093]	[110]	[128442340]	[128442330]
642_1003	chr12	56585087	56585487	+	1000	96.5	[8.844542]	[112]	[8.844542]	[102]	[56585297]	[56585287]
642_1004	chr15	91469594	91469994	+	1000	96.5	[7.4974093]	[130]	[8.844542]	[120]	[91469816]	[91469806]
642_1005	chr17	27356054	27356454	+	1000	96.5	[7.4974093, 7.4974093]	[108, 117]	[7.4974093]	[98]	[27356261, 27356270]	[27356251]
642_1006	chr22	22559130	22559530	+	1000	96.5	[7.4974093]	[102]	[]	[]	[22559298]	[]
642_1007	chr8	30141593	30141993	+	1000	96.5	[8.844542]	[131]	[]	[]	[30141813]	[]
642_1008	chr1	177174926	177175326	+	1000	96.0	[8.844542]	[112]	[7.4974093]	[102]	[177175132]	[177175122]
642_1009	chr1	232620553	232620953	+	1000	96.0	[7.4974093, 7.4974093]	[85, 144]	[7.4974093]	[75]	[232620721, 232620780]	[232620711]
642_101	chr1	166695106	166695506	+	1000	307.5	[8.844542]	[113]	[7.4974093, 7.4974093, 7.4974093]	[63, 82, 103]	[166695319]	[166695269, 166695288, 166695309]
642_1010	chr10	22356322	22356722	+	1000	96.0	[8.844542]	[99]	[8.844542]	[89]	[22356514]	[22356504]
642_1011	chr10	124792057	124792457	+	1000	96.0	[8.844542]	[143]	[8.844542, 8.844542, 7.4974093]	[125, 133, 156]	[124792273]	[124792255, 124792263, 124792286]
642_1012	chr11	25745886	25746286	+	1000	96.0	[8.844542]	[92]	[8.844542]	[82]	[25746076]	[25746066]
642_1014	chr15	32898937	32899337	+	1000	96.0	[]	[]	[7.4974093]	[179]	[]	[32899179]
642_1016	chr2	26009469	26009869	+	1000	96.0	[7.4974093]	[109]	[7.4974093]	[99]	[26009672]	[26009662]
642_1017	chr20	50366617	50367017	+	1000	96.0	[7.4974093]	[124]	[7.4974093, 7.4974093]	[69, 114]	[50366832]	[50366777, 50366822]
642_1018	chr21	38076123	38076523	+	1000	96.0	[7.4974093]	[118]	[7.4974093]	[108]	[38076331]	[38076321]
