#PeakID(python scan_motif.py ./ENCODE_processed_files/PKNOX1_idr.fa PKNOX1 --motif_path ./motifs/ --distance 50  --cutoff --size 400)	chr	start	end	strand	idrScore	count	motif score +	motif position +	motif score -	motif position -	adjusted motif position +	adjusted motif position -
36_10	chr17	75393754	75394154	+	1000	1264.0	[9.758735]	[95]	[]	[]	[75393949]	[]
36_10000	chr16	79850033	79850433	+	1000	131.5	[]	[]	[12.172607]	[96]	[]	[79850223]
36_10001	chr16	85233453	85233853	+	1000	131.5	[8.786245]	[182]	[]	[]	[85233692]	[]
36_10003	chr18	31809062	31809462	+	1000	131.5	[]	[]	[11.136967]	[80]	[]	[31809230]
36_10004	chr19	12890497	12890897	+	1000	131.5	[11.254926]	[141]	[]	[]	[12890709]	[]
36_10006	chr19	46542599	46542999	+	1000	131.5	[11.391476]	[103]	[]	[]	[46542799]	[]
36_10007	chr19	51552552	51552952	+	1000	131.5	[10.388675]	[134]	[]	[]	[51552706]	[]
36_10008	chr2	30284011	30284411	+	1000	131.5	[8.860477, 9.031418]	[128, 142]	[]	[]	[30284222, 30284236]	[]
36_1001	chr11	8701209	8701609	+	1000	698.0	[10.29932]	[67]	[]	[]	[8701370]	[]
36_10011	chr3	4512877	4513277	+	1000	131.5	[11.747158]	[107]	[]	[]	[4513050]	[]
36_10014	chr3	128577614	128578014	+	1000	131.5	[14.492824, 9.390787]	[83, 150]	[]	[]	[128577794, 128577861]	[]
36_10016	chr4	140764854	140765254	+	1000	131.5	[8.132104]	[81]	[]	[]	[140765035]	[]
36_10017	chr4	165476610	165477010	+	1000	131.5	[7.12374, 9.271838]	[94, 115]	[]	[]	[165476778, 165476799]	[]
36_1002	chr18	75210516	75210916	+	1000	698.0	[13.265748]	[68]	[]	[]	[75210683]	[]
36_10020	chr6	4178681	4179081	+	1000	131.5	[]	[]	[8.661647]	[113]	[]	[4178870]
36_10021	chr6	40725341	40725741	+	782	131.5	[]	[]	[10.419522, 7.220449]	[112, 116]	[]	[40725541, 40725545]
36_10026	chr7	116217924	116218324	+	1000	131.5	[13.044986]	[154]	[]	[]	[116218126]	[]
36_10028	chr7	150976470	150976870	+	1000	131.5	[]	[]	[7.5943837, 9.697288]	[67, 112]	[]	[150976631, 150976676]
36_10029	chrUn_KI270744v1	105141	105541	+	1000	131.5	[]	[]	[10.482768]	[101]	[]	[105341]
36_1003	chr19	49119094	49119494	+	1000	697.5	[]	[]	[10.643184, 12.91743]	[129, 133]	[]	[49119316, 49119320]
36_10030	chrX	38105232	38105632	+	1000	131.5	[]	[]	[8.085421]	[85]	[]	[38105392]
36_10033	chr1	47379465	47379865	+	1000	131.0	[]	[]	[8.51087]	[112]	[]	[47379667]
36_10034	chr1	117605669	117606069	+	1000	131.0	[]	[]	[8.50106]	[157]	[]	[117605875]
36_10035	chr1	173715005	173715405	+	802	131.0	[]	[]	[9.758735]	[97]	[]	[173715191]
36_10038	chr12	48028556	48028956	+	1000	131.0	[8.153878]	[101]	[]	[]	[48028750]	[]
36_10039	chr12	66302077	66302477	+	694	131.0	[]	[]	[11.785644]	[99]	[]	[66302263]
36_10041	chr15	64690499	64690899	+	1000	131.0	[]	[]	[14.492824]	[119]	[]	[64690712]
36_10042	chr15	77085204	77085604	+	1000	131.0	[]	[]	[8.776147]	[114]	[]	[77085379]
36_10043	chr15	88904808	88905208	+	1000	131.0	[]	[]	[9.336362, 8.249403]	[107, 111]	[]	[88905006, 88905010]
36_10044	chr16	11240666	11241066	+	1000	131.0	[11.964068]	[108]	[]	[]	[11240870]	[]
36_10046	chr18	809994	810394	+	1000	131.0	[]	[]	[7.511961]	[129]	[]	[810174]
36_10047	chr19	13717373	13717773	+	1000	131.0	[]	[]	[9.465427]	[123]	[]	[13717584]
36_10048	chr2	25256570	25256970	+	1000	131.0	[]	[]	[11.254926]	[143]	[]	[25256785]
36_10051	chr2	148646018	148646418	+	1000	131.0	[7.8863187]	[93]	[]	[]	[148646205]	[]
36_10057	chr7	75814365	75814765	+	1000	131.0	[]	[]	[7.5943837, 7.0489435, 9.794609, 8.132104, 9.794609, 9.794609]	[83, 124, 128, 136, 140, 144]	[]	[75814527, 75814568, 75814572, 75814580, 75814584, 75814588]
36_10058	chr7	103972736	103973136	+	1000	131.0	[12.638885]	[130]	[]	[]	[103972947]	[]
36_1006	chr1	207748065	207748465	+	1000	696.5	[10.29932]	[96]	[]	[]	[207748260]	[]
36_10060	chr8	23494173	23494573	+	1000	131.0	[7.9302163]	[225]	[]	[]	[23494368]	[]
36_10062	chrX	48919953	48920353	+	1000	131.0	[7.12374, 8.205009]	[102, 181]	[]	[]	[48920124, 48920203]	[]
36_10063	chr1	778579	778979	+	1000	130.5	[]	[]	[8.50106]	[144]	[]	[778742]
36_10066	chr1	157445713	157446113	+	1000	130.5	[8.51087]	[124]	[]	[]	[157445932]	[]
36_10067	chr1	179293367	179293767	+	1000	130.5	[]	[]	[7.6208234]	[309]	[]	[179293559]
36_1007	chr11	47913888	47914288	+	1000	696.0	[14.610782]	[116]	[]	[]	[47914096]	[]
36_10073	chr12	120381801	120382201	+	1000	130.5	[]	[]	[8.636816]	[149]	[]	[120382034]
36_10074	chr12	121060550	121060950	+	1000	130.5	[9.136437]	[164]	[]	[]	[121060790]	[]
36_10075	chr14	30621278	30621678	+	1000	130.5	[9.640319, 7.22998]	[92, 96]	[]	[]	[30621460, 30621464]	[]
36_10076	chr14	72451405	72451805	+	1000	130.5	[]	[]	[7.220449]	[101]	[]	[72451605]
36_10077	chr15	67579139	67579539	+	1000	130.5	[9.611549, 9.524263]	[94, 110]	[]	[]	[67579333, 67579349]	[]
36_10078	chr16	1033175	1033575	+	873	130.5	[]	[]	[9.955025, 8.123905, 8.302331, 8.123905, 8.302331, 8.302331, 8.123905, 7.5519257]	[220, 224, 236, 240, 252, 263, 267, 279]	[]	[1033352, 1033356, 1033368, 1033372, 1033384, 1033395, 1033399, 1033411]
36_10079	chr16	48244116	48244516	+	1000	130.5	[]	[]	[10.388675]	[138]	[]	[48244340]
36_1008	chr16	10738816	10739216	+	1000	696.0	[7.2303605]	[128]	[14.492824]	[192]	[10738994]	[10739058]
36_10080	chr16	56264165	56264565	+	840	130.5	[11.903602]	[115]	[]	[]	[56264346]	[]
36_10082	chr17	48215538	48215938	+	1000	130.5	[10.419522]	[95]	[]	[]	[48215722]	[]
36_10084	chr2	80410353	80410753	+	1000	130.5	[12.269929]	[127]	[7.9990454]	[77]	[80410566]	[80410516]
36_10085	chr20	31918063	31918463	+	1000	130.5	[7.355974]	[147]	[11.178108]	[194]	[31918265]	[31918312]
36_10086	chr20	44963335	44963735	+	1000	130.5	[12.638885]	[100]	[]	[]	[44963526]	[]
36_10087	chr22	23165556	23165956	+	1000	130.5	[12.830319, 8.278535]	[123, 153]	[]	[]	[23165756, 23165786]	[]
36_10089	chr3	66039116	66039516	+	1000	130.5	[]	[]	[9.758277]	[112]	[]	[66039312]
36_1009	chr2	127527228	127527628	+	1000	696.0	[]	[]	[14.959101]	[90]	[]	[127527418]
36_10090	chr3	100401246	100401646	+	1000	130.5	[10.123138]	[108]	[]	[]	[100401445]	[]
36_10091	chr3	141804981	141805381	+	829	130.5	[]	[]	[10.388675, 8.565754]	[147, 157]	[]	[141805200, 141805210]
36_10093	chr3	182704839	182705239	+	1000	130.5	[14.492824]	[107]	[]	[]	[182705035]	[]
36_10095	chr5	119285078	119285478	+	1000	130.5	[]	[]	[8.661665]	[93]	[]	[119285259]
36_10096	chr5	132323151	132323551	+	1000	130.5	[9.611549, 10.419522]	[135, 139]	[]	[]	[132323374, 132323378]	[]
36_10097	chr6	5294291	5294691	+	1000	130.5	[]	[]	[7.302327]	[187]	[]	[5294493]
